gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
tph1b	8.36074898389801e-161	4.08994878402169	0.976	0.273	1.6721497967796e-157
FO907089.1	5.31295994780592e-117	3.52962379685477	0.856	0.273	1.06259198956118e-113
arpp21	9.04017554039235e-101	2.93252394899864	0.918	0.402	1.80803510807847e-97
ddc	9.7691093056881e-91	2.77680456731781	0.784	0.25	1.95382186113762e-87
bnc2	1.26697283456928e-88	3.48685792421527	0.721	0.224	2.53394566913856e-85
slc18a2	1.79026428859567e-73	3.11358158593234	0.683	0.242	3.58052857719134e-70
crhbp	7.02143186181013e-67	2.65602170887363	0.692	0.245	1.40428637236203e-63
myo16	1.23768610646897e-63	3.17598850420781	0.635	0.228	2.47537221293795e-60
sik2b	2.82324511691771e-43	3.20358950230343	0.635	0.316	5.64649023383542e-40
srrm4	6.40324391042254e-39	2.77430999011508	0.452	0.146	1.28064878208451e-35
arrdc3a	1.27274442083012e-37	2.67787567031796	0.606	0.312	2.54548884166023e-34
insl5a	6.25083133178577e-35	2.03947805245801	0.548	0.249	1.25016626635715e-31
mmel1	3.80454584317917e-30	2.61691835831267	0.466	0.205	7.60909168635834e-27
rasd1	5.00526367692158e-30	2.54567045230205	0.399	0.146	1.00105273538432e-26
snap25a	6.15974935480594e-30	1.18833835016064	0.841	0.61	1.23194987096119e-26
tlx2	1.73375488219376e-26	1.78097006239183	0.611	0.363	3.46750976438752e-23
si:ch211-66k16.27	4.87968454073188e-26	2.23755831066032	0.389	0.159	9.75936908146376e-23
satb2	1.2902263551718e-25	2.46335775214624	0.365	0.142	2.5804527103436e-22
scg2b	1.78767423235338e-24	1.67564880663145	0.62	0.392	3.57534846470677e-21
ret	7.10337928523723e-22	1.31448322925169	0.596	0.355	1.42067585704745e-18
camk2n1a	5.05890510710144e-21	1.43701105727685	0.63	0.415	1.01178102142029e-17
zgc:64106	1.0384558565639e-20	2.64471293029779	0.404	0.204	2.0769117131278e-17
kidins220a	1.06756103756899e-20	2.66698549511335	0.375	0.176	2.13512207513797e-17
necab2	6.82994916809987e-19	1.86142062971671	0.5	0.311	1.36598983361997e-15
jcada	1.26032696355511e-18	2.51966362580875	0.418	0.234	2.52065392711021e-15
trpc4b	1.12810122054642e-17	2.21701524801771	0.288	0.118	2.25620244109284e-14
chrna3	1.96402892425238e-17	1.63854464652124	0.562	0.385	3.92805784850477e-14
cntnap5b	1.03322956756855e-15	2.32833402000077	0.346	0.177	2.06645913513709e-12
chgb	5.09811879943084e-15	3.0359846240366	0.337	0.174	1.01962375988617e-11
atp2b1a	5.33074379532199e-15	1.83013656625204	0.423	0.26	1.0661487590644e-11
pcdh19	1.46085190831441e-14	1.77348183654798	0.413	0.255	2.92170381662882e-11
osbpl10b	2.03011204970466e-14	2.21710709224925	0.341	0.192	4.06022409940931e-11
