gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
nos1	2.25278945104671e-137	1.99312652020921	0.958	0.405	4.50557890209342e-134
si:dkeyp-120h9.1	1.76464367557837e-110	2.02026755043196	0.876	0.424	3.52928735115673e-107
adcyap1b	9.68921576368655e-106	2.2089860210729	0.854	0.404	1.93784315273731e-102
vipb	3.83855203652831e-98	1.89378845930423	0.961	0.609	7.67710407305662e-95
hand2	9.08844965782602e-78	1.69778164187165	0.724	0.283	1.8176899315652e-74
stmn2b	5.44720292523814e-76	1.7297434740943	0.831	0.477	1.08944058504763e-72
tac1	9.10215977446932e-76	2.27732920184166	0.656	0.276	1.82043195489386e-72
ret	7.70350150195466e-58	1.5074944018159	0.701	0.334	1.54070030039093e-54
elavl4	4.32690447958795e-53	1.12766361448191	0.904	0.659	8.65380895917589e-50
plcxd3	2.93506885186384e-44	1.51556456060037	0.662	0.375	5.87013770372769e-41
wnt11r	2.35108565741607e-35	1.06646038415762	0.273	0.085	4.70217131483214e-32
fn1a	1.0764421449127e-34	1.7130478967492	0.468	0.239	2.15288428982539e-31
baalcb	4.76040908267433e-34	0.306521888621764	0.18	0.025	9.52081816534866e-31
runx1	4.1227793888724e-33	0.360102991613561	0.203	0.043	8.24555877774479e-30
etv1	8.59248999602881e-33	0.7846146032654	0.879	0.688	1.71849799920576e-29
islr2	2.18120504917333e-31	1.24180460993416	0.592	0.346	4.36241009834665e-28
calm2b	1.89622352727157e-30	1.09003327014457	0.71	0.458	3.79244705454314e-27
cpe	1.97745175922464e-30	1.1383418818311	0.715	0.477	3.95490351844928e-27
cntn5	4.60214836441211e-30	0.264999754335235	0.172	0.035	9.20429672882423e-27
phox2bb	1.16549494141237e-29	0.975482496934687	0.67	0.405	2.33098988282473e-26
crabp1b	6.53258347777011e-28	0.446570656280803	0.22	0.066	1.30651669555402e-24
tuba1c	1.29153256925937e-27	0.975260872840626	0.634	0.377	2.58306513851875e-24
serpini1	2.08731930204115e-27	1.59750733527842	0.487	0.287	4.17463860408231e-24
znf536	5.27303770551511e-27	0.922454839716969	0.727	0.504	1.05460754110302e-23
PLEKHH3	1.46398287059303e-26	1.42991155672737	0.448	0.247	2.92796574118606e-23
cyp1c1	2.43848120175782e-26	0.710660704752631	0.223	0.07	4.87696240351563e-23
dgkaa	4.60617767865235e-26	1.22060841409578	0.611	0.395	9.2123553573047e-23
slc6a2	9.69926470257015e-26	0.335902445058422	0.211	0.062	1.93985294051403e-22
gap43	9.99416441746447e-26	0.880957195372309	0.693	0.456	1.99883288349289e-22
pcdh20	4.48467023046955e-24	1.42638611331405	0.363	0.189	8.96934046093911e-21
lrrc59	5.43745963370407e-23	0.558469755212531	0.285	0.123	1.08749192674081e-19
hoxb6a	1.05905540819185e-22	0.305339546560805	0.217	0.081	2.11811081638369e-19
adcyap1r1a	4.3679528547067e-22	1.44214908854086	0.465	0.288	8.73590570941339e-19
tnfsf12	2.8736073732499e-21	0.671095656313433	0.239	0.098	5.7472147464998e-18
vgf	1.13358326894813e-20	0.568745219109806	0.865	0.688	2.26716653789627e-17
mt-co2	1.80089885832473e-19	0.868491960218112	0.696	0.481	3.60179771664946e-16
RPL37A	3.24801349484762e-19	0.73088540277243	0.704	0.523	6.49602698969525e-16
hmx3a	3.59947709304673e-19	1.57179561438229	0.363	0.17	7.19895418609346e-16
grinaa	3.81266828730599e-19	0.32529654661808	0.175	0.068	7.62533657461199e-16
sult6b1	1.78914320284582e-18	0.793151138654572	0.335	0.183	3.57828640569165e-15
zgc:64022	3.50109543394838e-18	1.07366655279773	0.276	0.133	7.00219086789677e-15
ppp1r1c	1.13892064134556e-17	1.02304127413536	0.482	0.32	2.27784128269112e-14
cplx2	1.18177852971139e-17	0.928862313027319	0.614	0.446	2.36355705942278e-14
tuba1a	1.4771588554008e-17	0.69107948814138	0.611	0.414	2.9543177108016e-14
kifc1	1.66077531569042e-17	0.384049422792972	0.239	0.115	3.32155063138085e-14
igfbp5b	2.26057929224277e-17	0.781085728932569	0.445	0.279	4.52115858448554e-14
slc24a4a	2.61870408257603e-17	0.760906875702398	0.254	0.113	5.23740816515206e-14
sez6a	4.48605566865157e-17	0.90065083355404	0.273	0.13	8.97211133730313e-14
sst6	1.75952170785015e-16	0.335608698963888	0.217	0.087	3.5190434157003e-13
tubb2b	3.99415396920296e-16	0.922229069040857	0.442	0.276	7.98830793840592e-13
chrna3	4.36130642730918e-16	0.877117473231562	0.538	0.38	8.72261285461837e-13
nefma	5.3368835284941e-16	1.3647203211854	0.349	0.21	1.06737670569882e-12
rims2a	7.69073080577655e-16	1.1238170220048	0.408	0.267	1.53814616115531e-12
glud1b	1.09945421597519e-15	0.664016686809136	0.282	0.147	2.19890843195039e-12
nrp2a	6.1660917293487e-15	0.669204726054734	0.287	0.158	1.23321834586974e-11
map1b	6.85031725962936e-15	0.602097294951973	0.662	0.501	1.37006345192587e-11
map7d1a	1.19468365927986e-14	0.543964038205759	0.245	0.137	2.38936731855971e-11
vim	1.96504984378367e-14	0.648812066246775	0.769	0.633	3.93009968756733e-11
stmn1b	3.20122923540759e-14	0.896214131936829	0.549	0.386	6.40245847081518e-11
rnd1b	1.57099738900593e-13	0.856627991706344	0.259	0.137	3.14199477801186e-10
prnprs3	7.63706378806698e-13	0.821188575074165	0.349	0.208	1.5274127576134e-09
si:dkeyp-97b10.3	9.08428265175543e-13	0.257460932282643	0.135	0.063	1.81685653035109e-09
tuba2	1.055549720118e-12	0.868845981947328	0.479	0.346	2.11109944023599e-09
gng13b	1.09961134431024e-12	0.428453813750487	0.211	0.115	2.19922268862047e-09
phox2a	1.50265110992422e-12	0.453919834884034	0.8	0.653	3.00530221984845e-09
ca2	1.84150922528175e-12	0.754348885043945	0.223	0.098	3.68301845056349e-09
rpl36a	1.85656183322795e-12	0.511887579404912	0.676	0.511	3.71312366645589e-09
gpx1a	3.43346733160523e-12	0.428835994985384	0.166	0.08	6.86693466321045e-09
tapbpl	6.33995261327338e-12	0.29785990305372	0.146	0.058	1.26799052265468e-08
ppiab	2.31838832306835e-11	0.679262689230853	0.586	0.463	4.63677664613669e-08
rgs4	4.85746657730712e-11	0.836279720662231	0.358	0.247	9.71493315461425e-08
phlda1	7.50699569502802e-11	0.832451408408637	0.324	0.196	1.5013991390056e-07
atp1b1a	1.093258238577e-10	0.452186186341785	0.535	0.39	2.18651647715399e-07
mt-co3	1.31059707371485e-10	0.75661214335068	0.594	0.454	2.6211941474297e-07
gng10	1.38351583815707e-10	0.488078589901128	0.115	0.035	2.76703167631414e-07
nme2b.2	1.92264740656888e-10	0.624981972908038	0.189	0.094	3.84529481313775e-07
sdhaf3	3.16831198846925e-10	0.528973230257565	0.149	0.056	6.3366239769385e-07
sp7	4.9726055380809e-10	0.274120547594982	0.146	0.071	9.94521107616179e-07
ptprk	6.8017482985788e-10	1.0295237287419	0.307	0.211	1.36034965971576e-06
faua	1.57802952852083e-09	0.754582326497992	0.504	0.388	3.15605905704165e-06
pcbd1	1.58828126565697e-09	0.514547139112392	0.208	0.116	3.17656253131395e-06
rps25	1.6722538688749e-09	0.736321689177259	0.549	0.43	3.34450773774979e-06
pdgfra	1.88267615045249e-09	1.21496872929078	0.285	0.174	3.76535230090498e-06
ywhaba	2.65538869105679e-09	0.690475743254635	0.487	0.373	5.31077738211359e-06
eno1b	3.00934773318505e-09	0.294050126891603	0.225	0.156	6.01869546637009e-06
gapdhs	3.60300752197337e-09	0.533684461717537	0.566	0.436	7.20601504394673e-06
rock2b.1	6.15122380556313e-09	0.711366129872769	0.282	0.186	1.23024476111263e-05
rab6bb	7.14778780211605e-09	0.733473818131132	0.532	0.435	1.42955756042321e-05
si:ch73-193i22.1	9.02226675872741e-09	0.951714447705976	0.4	0.297	1.80445335174548e-05
rpl28	1.15713761202507e-08	0.608122316930808	0.504	0.391	2.31427522405014e-05
tubb5	1.19219324824358e-08	0.565619923828724	0.473	0.355	2.38438649648716e-05
atp6v1e1b	1.41523491219006e-08	0.35478898959898	0.282	0.19	2.83046982438012e-05
slc2a3a	1.7126196022372e-08	0.447866277903599	0.552	0.44	3.4252392044744e-05
stra6	1.7246584286159e-08	0.319556146759185	0.101	0.038	3.4493168572318e-05
rpl21	1.81040562746571e-08	0.525592893378825	0.58	0.458	3.62081125493142e-05
efna5a	1.96633197255839e-08	0.357435518110589	0.223	0.143	3.93266394511678e-05
ecm1b	2.10448635706577e-08	0.543706684400732	0.206	0.125	4.20897271413154e-05
hmx2	2.12709923838979e-08	0.995645259382357	0.225	0.124	4.25419847677959e-05
rps10	2.49630997325437e-08	0.671417230992179	0.524	0.406	4.99261994650875e-05
rps2	3.50602630456783e-08	0.452528018748582	0.597	0.468	7.01205260913566e-05
atp6v0cb	3.86966169406088e-08	0.679021427885316	0.487	0.382	7.73932338812177e-05
pcsk1nl	1.21590751743113e-07	0.427602481911615	0.642	0.543	0.000243181503486226
rtn1a	1.5324138306792e-07	0.416002774095015	0.682	0.571	0.00030648276613584
rnasekb	1.56365866268805e-07	0.426444089469139	0.279	0.202	0.00031273173253761
homer1b	3.10184434420935e-07	0.309915271726855	0.079	0.106	0.00062036886884187
mast1b	3.30870741861466e-07	0.326255360675226	0.223	0.147	0.000661741483722931
nme2b.1	3.64291629005635e-07	0.505964307400499	0.459	0.358	0.00072858325801127
tssc4	4.34826973833231e-07	0.305391092942594	0.13	0.064	0.000869653947666463
trim71	7.45023337311855e-07	0.301546468612067	0.217	0.144	0.00149004667462371
sncb	7.52950353483291e-07	0.744295490804334	0.231	0.14	0.00150590070696658
stmn2a	8.15780710383515e-07	0.510577760311488	0.611	0.522	0.00163156142076703
nfe2l2a	8.79387547220865e-07	0.573397003425906	0.346	0.267	0.00175877509444173
tnfaip2a	1.96050494201066e-06	0.433305903617802	0.366	0.292	0.00392100988402133
col6a3	2.67280475089528e-06	0.882862635034314	0.327	0.242	0.00534560950179055
ube2nb	2.8267881915012e-06	0.444045097635456	0.225	0.154	0.00565357638300239
tmem35	6.74167014264365e-06	0.43623369444924	0.285	0.218	0.0134833402852873
