nFeature_RNA	nCount_RNA	stage	version
3150	15826	larval	version_1
1555	7916	larval	version_1
1564	4824	larval	version_1
2568	14436	larval	version_1
2258	12766	larval	version_1
2059	9644	larval	version_1
1333	3914	larval	version_1
3427	24358	larval	version_1
2174	9765	larval	version_1
2061	9711	larval	version_1
2687	15616	larval	version_1
1351	7055	larval	version_1
3527	23021	larval	version_1
2475	12593	larval	version_1
2768	16688	larval	version_1
1632	6222	larval	version_1
3181	20999	larval	version_1
1876	12370	larval	version_1
2294	10068	larval	version_1
2842	17457	larval	version_1
1607	6207	larval	version_1
2829	17794	larval	version_1
2789	15802	larval	version_1
2132	11743	larval	version_1
2365	13453	larval	version_1
1867	7714	larval	version_1
1793	5777	larval	version_1
3113	20650	larval	version_1
1773	5533	larval	version_1
2572	15417	larval	version_1
3106	18906	larval	version_1
876	2834	larval	version_1
3176	21073	larval	version_1
2434	14986	larval	version_1
1452	4905	larval	version_1
2273	11737	larval	version_1
1726	9285	larval	version_1
2681	17043	larval	version_1
1643	6020	larval	version_1
2190	11791	larval	version_1
2166	16560	larval	version_1
1774	7386	larval	version_1
978	3069	larval	version_1
1484	8315	larval	version_1
2303	12667	larval	version_1
2266	14314	larval	version_1
1575	5650	larval	version_1
3144	18233	larval	version_1
941	5034	larval	version_1
2710	15690	larval	version_1
1843	7795	larval	version_1
3171	18646	larval	version_1
2742	15970	larval	version_1
1751	6552	larval	version_1
2800	18542	larval	version_1
1633	6499	larval	version_1
1359	4096	larval	version_1
1986	10713	larval	version_1
1644	6722	larval	version_1
1979	7707	larval	version_1
1141	3239	larval	version_1
1551	5080	larval	version_1
3193	20543	larval	version_1
2133	8552	larval	version_1
2043	11265	larval	version_1
1409	4998	larval	version_1
1891	8856	larval	version_1
2045	10235	larval	version_1
1518	5269	larval	version_1
1388	4437	larval	version_1
1671	5746	larval	version_1
2118	14079	larval	version_1
2116	12332	larval	version_1
2828	16061	larval	version_1
2414	12177	larval	version_1
2901	17073	larval	version_1
1188	6204	larval	version_1
1303	4353	larval	version_1
1524	5213	larval	version_1
1639	8819	larval	version_1
3188	19547	larval	version_1
3134	20624	larval	version_1
2783	16371	larval	version_1
2298	13009	larval	version_1
1619	6599	larval	version_1
1296	3493	larval	version_1
3582	23989	larval	version_1
3126	19810	larval	version_1
2297	10932	larval	version_1
1599	5142	larval	version_1
1096	3946	larval	version_1
2610	15042	larval	version_1
1405	4632	larval	version_1
2203	11788	larval	version_1
2168	12108	larval	version_1
1155	3400	larval	version_1
2357	9222	larval	version_1
1694	7209	larval	version_1
2703	13603	larval	version_1
1961	9184	larval	version_1
2211	11031	larval	version_1
1105	4267	larval	version_1
1210	3820	larval	version_1
1655	8031	larval	version_1
1596	6102	larval	version_1
2939	19332	larval	version_1
2560	14646	larval	version_1
2245	12149	larval	version_1
1588	8195	larval	version_1
3004	22431	larval	version_1
1771	6284	larval	version_1
1829	9821	larval	version_1
1704	6983	larval	version_1
2122	11165	larval	version_1
2870	17539	larval	version_1
2058	12586	larval	version_1
2881	15069	larval	version_1
1312	6242	larval	version_1
2704	13290	larval	version_1
1433	4056	larval	version_1
2462	12853	larval	version_1
3033	19743	larval	version_1
3305	21266	larval	version_1
1317	4849	larval	version_1
1568	5115	larval	version_1
2289	12188	larval	version_1
2056	9798	larval	version_1
2792	17210	larval	version_1
2995	19705	larval	version_1
2382	13377	larval	version_1
2093	10635	larval	version_1
2967	17822	larval	version_1
1704	7649	larval	version_1
1539	4702	larval	version_1
1357	4774	larval	version_1
1403	5037	larval	version_1
3275	19143	larval	version_1
1584	8329	larval	version_1
3262	21630	larval	version_1
1492	5760	larval	version_1
2943	17790	larval	version_1
1210	3608	larval	version_1
2193	10757	larval	version_1
2585	12538	larval	version_1
1796	8813	larval	version_1
2018	9973	larval	version_1
1834	7763	larval	version_1
2805	16055	larval	version_1
2475	12833	larval	version_1
1493	5250	larval	version_1
2782	16404	larval	version_1
1392	5870	larval	version_1
1898	6666	larval	version_1
2585	13915	larval	version_1
2786	16305	larval	version_1
1632	6688	larval	version_1
2108	11264	larval	version_1
1459	6137	larval	version_1
1094	3064	larval	version_1
2915	15477	larval	version_1
2439	9678	larval	version_1
2285	11389	larval	version_1
2684	15087	larval	version_1
2352	11317	larval	version_1
3180	19805	larval	version_1
3659	25888	larval	version_1
2083	10520	larval	version_1
1727	8007	larval	version_1
1392	6394	larval	version_1
3672	24833	larval	version_1
1325	7015	larval	version_1
1854	8981	larval	version_1
2564	13075	larval	version_1
1449	6155	larval	version_1
1321	3834	larval	version_1
1201	4454	larval	version_1
1328	4424	larval	version_1
1373	7777	larval	version_1
2680	17118	larval	version_1
2860	18347	larval	version_1
2804	16979	larval	version_1
1999	10965	larval	version_1
2499	15091	larval	version_1
825	3527	larval	version_1
2595	14385	larval	version_1
2336	13423	larval	version_1
1241	5426	larval	version_1
1970	11763	larval	version_1
2443	14694	larval	version_1
3033	19356	larval	version_1
2754	13573	larval	version_1
1815	9933	larval	version_1
1734	7739	larval	version_1
1665	6595	larval	version_1
2297	13121	larval	version_1
1638	7516	larval	version_1
2213	11940	larval	version_1
827	3050	larval	version_1
3524	23899	larval	version_1
3276	18755	larval	version_1
1039	4096	larval	version_1
2517	11974	larval	version_1
1636	9739	larval	version_1
1261	3991	larval	version_1
1927	7411	larval	version_1
2230	9852	larval	version_1
2980	17934	larval	version_1
2137	13240	larval	version_1
1220	4911	larval	version_1
1322	6617	larval	version_1
2436	12291	larval	version_1
3079	16525	larval	version_1
2052	6410	larval	version_1
2693	15619	larval	version_1
1040	4077	larval	version_1
1310	28465	larval	version_1
1891	9540	larval	version_1
2896	16927	larval	version_1
1212	5043	larval	version_1
1545	7868	larval	version_1
1599	8366	larval	version_1
1942	10278	larval	version_1
3098	20314	larval	version_1
1973	6921	larval	version_1
1209	5395	larval	version_1
2170	9709	larval	version_1
1397	4653	larval	version_1
1421	3694	larval	version_1
3296	19017	larval	version_1
1280	4605	larval	version_1
2147	11111	larval	version_1
1404	4882	larval	version_1
2757	16235	larval	version_1
1372	4743	larval	version_1
2186	13658	larval	version_1
2495	14603	larval	version_1
1882	5931	larval	version_1
1227	3998	larval	version_1
1802	9071	larval	version_1
2103	8394	larval	version_1
2317	12958	larval	version_1
3009	15603	larval	version_1
1685	7949	larval	version_1
2526	16071	larval	version_1
2642	14753	larval	version_1
3219	20763	larval	version_1
2594	14964	larval	version_1
1390	4747	larval	version_1
2876	18872	larval	version_1
2275	13554	larval	version_1
846	3640	larval	version_1
2631	15442	larval	version_1
1877	12445	larval	version_1
3061	17025	larval	version_1
3171	19672	larval	version_1
2870	15687	larval	version_1
1954	8102	larval	version_1
1337	4693	larval	version_1
1580	6284	larval	version_1
2108	10213	larval	version_1
3206	19403	larval	version_1
2519	14215	larval	version_1
1680	5020	larval	version_1
2798	16005	larval	version_1
3385	20066	larval	version_1
2383	12393	larval	version_1
1941	6498	larval	version_1
3542	22301	larval	version_1
1350	4566	larval	version_1
1122	4028	larval	version_1
2432	12668	larval	version_1
1385	5554	larval	version_1
2952	19098	larval	version_1
2476	14456	larval	version_1
2109	8225	larval	version_1
1660	8372	larval	version_1
2478	12794	larval	version_1
1816	10269	larval	version_1
2844	15993	larval	version_1
2650	13982	larval	version_1
1535	8133	larval	version_1
2449	12309	larval	version_1
2393	11209	larval	version_1
2264	10784	larval	version_1
1122	3899	larval	version_1
1831	9992	larval	version_1
1450	5398	larval	version_1
3002	15408	larval	version_1
1814	8817	larval	version_1
2087	11243	larval	version_1
1878	7367	larval	version_1
2025	9513	larval	version_1
1502	4635	larval	version_1
1525	4987	larval	version_1
1819	7890	larval	version_1
2089	12421	larval	version_1
2509	13086	larval	version_1
2299	11055	larval	version_1
1982	10228	larval	version_1
2715	17177	larval	version_1
2475	15477	larval	version_1
2079	10228	larval	version_1
2429	10100	larval	version_1
2238	10827	larval	version_1
1559	5157	larval	version_1
2047	10381	larval	version_1
2372	12351	larval	version_1
1594	5423	larval	version_1
3460	24680	larval	version_1
1731	6033	larval	version_1
2858	16655	larval	version_1
1568	4755	larval	version_1
1269	4972	larval	version_1
899	3007	larval	version_1
2283	10706	larval	version_1
2591	17836	larval	version_1
2269	10880	larval	version_1
2040	10718	larval	version_1
2281	12141	larval	version_1
1787	8396	larval	version_1
2039	11913	larval	version_1
1989	11027	larval	version_1
3489	21395	larval	version_1
2550	14690	larval	version_1
2134	15001	larval	version_1
1632	5486	larval	version_1
3442	21831	larval	version_1
2140	11485	larval	version_1
1572	6289	larval	version_1
1326	5126	larval	version_1
1673	5237	larval	version_1
2041	10985	larval	version_1
2699	16064	larval	version_1
2558	13793	larval	version_1
1237	4096	larval	version_1
2618	15357	larval	version_1
2739	16091	larval	version_1
2750	15597	larval	version_1
2368	11093	larval	version_1
2646	14250	larval	version_1
1998	11013	larval	version_1
1943	9472	larval	version_1
2117	10082	larval	version_1
2659	14124	larval	version_1
2244	12843	larval	version_1
2720	14181	larval	version_1
2931	17868	larval	version_1
2479	12581	larval	version_1
2652	15045	larval	version_1
1455	4849	larval	version_1
1327	4322	larval	version_1
2846	16439	larval	version_1
2210	11649	larval	version_1
1352	5699	larval	version_1
2814	17546	larval	version_1
2558	12595	larval	version_1
2269	11182	larval	version_1
2014	12348	larval	version_1
2295	11746	larval	version_1
1462	5590	larval	version_1
2230	11411	larval	version_1
2256	12635	larval	version_1
2523	14820	larval	version_1
2312	14341	larval	version_1
2378	11750	larval	version_1
1775	7516	larval	version_1
1713	10772	larval	version_1
2775	14953	larval	version_1
2280	10283	larval	version_1
1325	8199	larval	version_1
2161	12095	larval	version_1
1247	4525	larval	version_1
1451	7023	larval	version_1
1685	6330	larval	version_1
2867	16633	larval	version_1
2265	9428	larval	version_1
1799	9860	larval	version_1
1665	4835	larval	version_1
2510	13050	larval	version_1
2282	13113	larval	version_1
1643	5214	larval	version_1
1526	7022	larval	version_1
1036	2993	larval	version_1
1655	7974	larval	version_1
1483	5513	larval	version_1
2518	14159	larval	version_1
1950	12581	larval	version_1
2227	9771	larval	version_1
2080	10126	larval	version_1
1426	5940	larval	version_1
2109	9780	larval	version_1
876	2762	larval	version_1
1808	9732	larval	version_1
2908	17493	larval	version_1
1335	4222	larval	version_1
3311	21274	larval	version_1
3257	20199	larval	version_1
1473	4642	larval	version_1
1430	6143	larval	version_1
2254	12694	larval	version_1
2736	16116	larval	version_1
1825	9497	larval	version_1
1337	4933	larval	version_1
3062	22245	larval	version_1
2222	10813	larval	version_1
1364	4924	larval	version_1
2059	10367	larval	version_1
2704	14065	larval	version_1
2128	12523	larval	version_1
1141	4159	larval	version_1
2482	8616	larval	version_1
2164	12397	larval	version_1
1855	9130	larval	version_1
