featureCutoff	remainingCells	passRate	data
0	2527	0.907035175879397	2dpf
100	2527	0.907035175879397	2dpf
200	2527	0.907035175879397	2dpf
300	2515	0.902727925340991	2dpf
400	2441	0.876166547020818	2dpf
500	2384	0.855707106963388	2dpf
600	2345	0.841708542713568	2dpf
700	2296	0.824120603015075	2dpf
800	2248	0.80689160086145	2dpf
900	2195	0.787867910983489	2dpf
1000	2128	0.763819095477387	2dpf
0	3869	0.924713193116635	3dpf
100	3869	0.924713193116635	3dpf
200	3869	0.924713193116635	3dpf
300	3823	0.913718929254302	3dpf
400	3440	0.822179732313576	3dpf
500	3112	0.743785850860421	3dpf
600	2868	0.68546845124283	3dpf
700	2695	0.644120458891013	3dpf
800	2505	0.598709369024857	3dpf
900	2280	0.544933078393881	3dpf
1000	2059	0.492112810707457	3dpf
0	1952	0.99846547314578	adult19
100	1931	0.98772378516624	adult19
200	1839	0.940664961636829	adult19
300	1440	0.736572890025575	adult19
400	1033	0.528388746803069	adult19
500	672	0.343734015345269	adult19
600	426	0.217902813299233	adult19
700	270	0.138107416879795	adult19
800	181	0.0925831202046036	adult19
900	133	0.0680306905370844	adult19
1000	92	0.0470588235294118	adult19
0	1988	0.998493219487695	adult20
100	1971	0.989954796584631	adult20
200	1941	0.974886991461577	adult20
300	1581	0.794073329984932	adult20
400	1250	0.627825213460573	adult20
500	884	0.443997990959317	adult20
600	610	0.306378704168759	adult20
700	395	0.198392767453541	adult20
800	258	0.129583124058262	adult20
900	184	0.0924158714213963	adult20
1000	135	0.0678051230537418	adult20
