nCount_RNA	nFeature_RNA	percent.mt	orig.ident
13305	2745	0.81924088688463	2dpf
1504	610	18.1515957446809	2dpf
6572	1364	1.61290322580645	2dpf
3880	1369	0.902061855670103	2dpf
12055	2262	1.28577353795106	2dpf
10735	1985	1.52771308802981	2dpf
7960	1792	2.38693467336683	2dpf
3126	1160	1.66346769033909	2dpf
20289	3020	0.901966582877421	2dpf
528	335	0.189393939393939	2dpf
8078	1912	1.03986135181976	2dpf
8263	1837	1.01657993464843	2dpf
12989	2383	2.27115251366541	2dpf
5750	1202	1.39130434782609	2dpf
19297	3105	1.38363476188009	2dpf
10479	2157	0.906575054871648	2dpf
14001	2429	1.06420969930719	2dpf
5050	1435	1.04950495049505	2dpf
17717	2799	1.19094654851273	2dpf
10377	1661	0.944396260961742	2dpf
8314	1995	0.757757998556651	2dpf
14532	2498	1.21800165152766	2dpf
5079	1409	1.2994683992912	2dpf
539	334	1.48423005565863	2dpf
15031	2478	1.4037655511942	2dpf
13234	2462	1.33746410760163	2dpf
9760	1865	1.62909836065574	2dpf
11316	2099	1.01626016260163	2dpf
6266	1624	1.4682413022662	2dpf
4515	1556	1.10741971207087	2dpf
978	481	0.204498977505113	2dpf
17432	2795	0.613813675998164	2dpf
4322	1508	0.856085145765849	2dpf
813	483	1.8450184501845	2dpf
12808	2275	1.1945658963148	2dpf
15993	2719	1.17551428750078	2dpf
525	310	2.85714285714286	2dpf
2358	768	2.71416454622561	2dpf
17730	2816	1.32543711223914	2dpf
12441	2146	1.98537095088819	2dpf
3890	1260	1.46529562982005	2dpf
9860	2028	0.750507099391481	2dpf
7627	1513	1.324242821555	2dpf
14294	2350	0.755561774170981	2dpf
4885	1452	1.18730808597748	2dpf
9768	1907	0.542588042588043	2dpf
2896	1193	5.90469613259669	2dpf
13865	1878	1.18283447529751	2dpf
5852	1526	1.99931647300068	2dpf
2628	866	0.45662100456621	2dpf
7070	1312	0.565770862800566	2dpf
10701	2042	1.22418465563966	2dpf
12036	2013	0.847457627118644	2dpf
4795	1384	2.46089676746611	2dpf
15260	2778	1.08125819134993	2dpf
4130	817	2.00968523002421	2dpf
13080	2382	0.886850152905199	2dpf
6298	1571	1.46078120038107	2dpf
15423	2740	1.62095571548985	2dpf
13440	2434	1.17559523809524	2dpf
5337	1524	1.12422709387296	2dpf
15675	2510	1.24401913875598	2dpf
5397	1438	0.870854178247174	2dpf
968	550	14.5661157024793	2dpf
3337	1161	1.64818699430626	2dpf
9079	1780	1.27767375261593	2dpf
5617	1431	0.943564180167349	2dpf
6174	1710	0.858438613540654	2dpf
517	181	54.7388781431335	2dpf
2616	1002	0.764525993883792	2dpf
4038	1339	0.965824665676077	2dpf
17262	2755	0.886339937434828	2dpf
7135	1877	1.19131044148563	2dpf
763	426	0.786369593709043	2dpf
9385	1786	1.06553010122536	2dpf
629	344	9.69793322734499	2dpf
3979	1207	1.43252073385273	2dpf
7284	1653	1.35914332784185	2dpf
7664	1763	1.98329853862213	2dpf
4262	1329	1.66588456123886	2dpf
3594	1175	1.94769059543684	2dpf
4718	1463	1.20813904196694	2dpf
11724	1857	1.29648584100989	2dpf
778	414	25.3213367609255	2dpf
972	537	14.917695473251	2dpf
10407	1866	0.932064956279427	2dpf
622	365	5.46623794212219	2dpf
13459	2493	0.965896426183223	2dpf
10039	2101	1.57386193844008	2dpf
3936	1293	6.09756097560976	2dpf
1261	598	13.6399682791435	2dpf
14373	2565	1.67675502678634	2dpf
4954	1042	2.42228502220428	2dpf
3489	1120	1.46173688736028	2dpf
4271	1315	0.608756731444626	2dpf
7449	1431	0.657806416968721	2dpf
16160	2751	1.35519801980198	2dpf
17193	2715	0.982958180654918	2dpf
13695	2461	0.985761226725082	2dpf
744	378	2.1505376344086	2dpf
10886	2008	1.24012493110417	2dpf
5542	1415	1.31721400216528	2dpf
2812	1109	1.10241820768137	2dpf
20065	3170	1.02666334413157	2dpf
963	603	5.50363447559709	2dpf
16630	2773	1.07636800962117	2dpf
9146	1982	1.19177782637218	2dpf
4147	1368	1.30214612973234	2dpf
3120	940	4.93589743589744	2dpf
12566	2271	1.19369727837021	2dpf
3755	1233	0.932090545938748	2dpf
9584	1922	1.1373121869783	2dpf
10136	1931	0.927387529597474	2dpf
2721	987	1.02903344358692	2dpf
7459	2043	0.965276846762301	2dpf
6063	1487	0.65973940293584	2dpf
11226	2359	2.89506502761447	2dpf
7682	1709	1.3407966675345	2dpf
942	394	18.2590233545648	2dpf
9246	1941	1.05991780229288	2dpf
3303	969	2.08900999091735	2dpf
822	542	4.74452554744525	2dpf
3188	1090	1.28607277289837	2dpf
861	431	24.274099883856	2dpf
6673	1449	1.18387531844747	2dpf
5068	1398	1.0852407261247	2dpf
16104	2597	0.838301043219076	2dpf
621	298	29.4685990338164	2dpf
12097	2233	1.32264197734976	2dpf
10169	1957	0.81620611662897	2dpf
653	362	17.7641653905054	2dpf
6741	1386	3.90149829402166	2dpf
955	471	10.9947643979058	2dpf
18557	2641	1.0723716117907	2dpf
4993	1517	1.78249549369117	2dpf
8056	1580	1.2909632571996	2dpf
5721	1474	1.41583639223912	2dpf
9271	1883	0.582461438895481	2dpf
14658	2540	1.01650975576477	2dpf
10408	1760	0.95119139123751	2dpf
12479	2531	0.977642439298021	2dpf
5091	1144	1.25712040856413	2dpf
10564	2337	3.09541840212041	2dpf
3210	1239	1.24610591900312	2dpf
10607	2145	1.38587725087207	2dpf
1584	765	6.18686868686869	2dpf
16778	2667	1.04303254261533	2dpf
17869	2892	0.817057473837372	2dpf
3874	1149	0.929272070211667	2dpf
4125	1358	0.436363636363636	2dpf
1039	531	16.8431183830606	2dpf
10310	2005	1.06692531522793	2dpf
8110	1775	2.05918618988903	2dpf
14214	2448	1.41409877585479	2dpf
16351	2601	1.76136016145801	2dpf
875	428	19.6571428571429	2dpf
11161	2082	0.645103485350775	2dpf
8849	1821	1.36738614532716	2dpf
14289	2590	1.10574567849395	2dpf
923	529	15.0595882990249	2dpf
6199	1468	1.22600419422487	2dpf
3864	1333	0.698757763975155	2dpf
635	358	16.0629921259843	2dpf
1360	590	0	2dpf
3735	1167	2.46318607764391	2dpf
4148	1214	0.867888138862102	2dpf
16171	2893	1.18731061777256	2dpf
7021	1400	1.02549494374021	2dpf
18066	2848	1.48898483338869	2dpf
664	322	18.0722891566265	2dpf
4779	1339	1.50659133709981	2dpf
14834	2588	0.802211136578131	2dpf
2915	1046	1.13207547169811	2dpf
8818	1940	1.50827852120662	2dpf
10545	2300	1.23281175912755	2dpf
2299	832	18.6602870813397	2dpf
7098	1554	0.915750915750916	2dpf
8259	1786	1.07761230173144	2dpf
969	515	0.722394220846233	2dpf
6315	1597	1.07680126682502	2dpf
1168	592	17.208904109589	2dpf
13551	2451	1.05527267360342	2dpf
10674	2160	1.00243582537006	2dpf
563	220	0.177619893428064	2dpf
4265	1304	1.10199296600234	2dpf
13797	2461	1.10893672537508	2dpf
4950	1223	1.23232323232323	2dpf
1264	643	17.8006329113924	2dpf
5477	1619	0.839875844440387	2dpf
11542	2258	1.55952174666436	2dpf
13537	2458	1.13762281155352	2dpf
5513	1434	1.25158715762743	2dpf
9348	1838	1.54043645699615	2dpf
5098	1270	2.35386426049431	2dpf
2551	952	1.45041160329283	2dpf
13007	2542	0.945644652879219	2dpf
8032	2116	1.18276892430279	2dpf
