countCutoff	remainingCells	passRate	data
0	2527	0.907035175879397	2dpf
100	2527	0.907035175879397	2dpf
200	2527	0.907035175879397	2dpf
300	2527	0.907035175879397	2dpf
400	2527	0.907035175879397	2dpf
500	2525	0.906317300789663	2dpf
600	2485	0.891959798994975	2dpf
700	2447	0.878320172290022	2dpf
800	2425	0.870423546302943	2dpf
900	2413	0.866116295764537	2dpf
1000	2398	0.860732232591529	2dpf
0	3869	0.924713193116635	3dpf
100	3869	0.924713193116635	3dpf
200	3869	0.924713193116635	3dpf
300	3869	0.924713193116635	3dpf
400	3869	0.924713193116635	3dpf
500	3868	0.924474187380497	3dpf
600	3566	0.852294455066922	3dpf
700	3404	0.813575525812619	3dpf
800	3272	0.782026768642447	3dpf
900	3166	0.756692160611855	3dpf
1000	3058	0.730879541108987	3dpf
0	1952	0.99846547314578	adult19
100	1952	0.99846547314578	adult19
200	1952	0.99846547314578	adult19
300	1706	0.872634271099744	adult19
400	1364	0.69769820971867	adult19
500	1045	0.534526854219949	adult19
600	777	0.397442455242967	adult19
700	583	0.298209718670077	adult19
800	424	0.216879795396419	adult19
900	315	0.161125319693095	adult19
1000	246	0.125831202046036	adult19
0	1988	0.998493219487695	adult20
100	1988	0.998493219487695	adult20
200	1988	0.998493219487695	adult20
300	1890	0.949271722752386	adult20
400	1550	0.77850326469111	adult20
500	1273	0.639377197388247	adult20
600	995	0.499748869914616	adult20
700	766	0.384731290808639	adult20
800	609	0.305876443997991	adult20
900	459	0.230537418382722	adult20
1000	359	0.180311401305876	adult20
