gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ppp1r14c	1.47946600131507e-256	0.412114123239439	0.97	0.061	2.95893200263015e-253
atp2b3b	7.89144390594581e-251	0.302342346879437	0.95	0.04	1.57828878118916e-247
slc2a3a	7.30674354727909e-246	0.639415301623172	0.99	0.102	1.46134870945582e-242
tmem178	6.65752767749424e-224	0.530481129592156	1	0.126	1.33150553549885e-220
sult4a1	1.76080669095086e-206	1.20427964098231	1	0.175	3.52161338190172e-203
SMIM18	5.02620467545004e-197	0.345297356643553	0.876	0.038	1.00524093509001e-193
vip	3.13431335510725e-196	1.05423437739154	1	0.175	6.26862671021449e-193
sypa	6.30310802577682e-196	0.582048004868857	0.995	0.094	1.26062160515536e-192
pyya	7.70964467087471e-193	0.304191511239759	0.9	0.097	1.54192893417494e-189
sv2a	1.5714057856267e-189	0.509960109124261	0.935	0.096	3.1428115712534e-186
cpne4a	3.43162604042512e-189	0.366530226945154	0.97	0.155	6.86325208085023e-186
fgf13b	2.1470435853424e-187	1.07691077709189	1	0.203	4.29408717068479e-184
hpcal4	1.4145713300063e-184	0.27506662566253	0.985	0.128	2.8291426600126e-181
tppp2	6.40666292057608e-182	0.401936584131262	1	0.203	1.28133258411522e-178
slc29a4	9.24042069639424e-182	0.797392704130347	1	0.204	1.84808413927885e-178
cyb561	7.87540996202208e-177	0.262102559069991	0.836	0.042	1.57508199240442e-173
cntnap2a	1.63955609424537e-175	0.558353376864021	0.995	0.242	3.27911218849075e-172
scg2b	2.43535407547997e-174	1.48484033810301	1	0.189	4.87070815095993e-171
chrnb4	1.03472092763895e-169	0.752903991085874	1	0.197	2.0694418552779e-166
plcxd3	2.25103230856216e-168	1.69637236592428	1	0.223	4.50206461712432e-165
cdk5r2a	3.42658664205907e-167	0.586899357178879	0.935	0.114	6.85317328411814e-164
scg5.1	1.36643016262117e-166	1.3447686433197	1	0.198	2.73286032524235e-163
prph	1.10846795736552e-164	0.644552436679896	1	0.234	2.21693591473104e-161
dbh	1.58941079306408e-162	0.383927621406513	0.925	0.166	3.17882158612817e-159
cbln1	4.17726117880103e-162	0.25965968532634	0.876	0.068	8.35452235760207e-159
syn2a	1.62010009750747e-159	1.18860495691005	1	0.194	3.24020019501494e-156
syt1a	2.06907627936688e-159	1.08136846356498	1	0.206	4.13815255873376e-156
snap25b	8.77359695163709e-153	1.08266457392793	0.9	0.096	1.75471939032742e-149
rab6bb	8.16857406915587e-149	1.35765396583211	1	0.257	1.63371481383117e-145
vgf	1.60277108945876e-148	0.726561005457313	1	0.223	3.20554217891752e-145
rab6ba	2.14740716943187e-148	0.260058157212522	0.905	0.178	4.29481433886374e-145
pcsk1nl	2.62610700620128e-148	1.81263725127908	1	0.259	5.25221401240257e-145
nfasca	1.90617295530862e-144	1.07887541795598	1	0.163	3.81234591061724e-141
syt4	2.26741355810927e-144	1.17048541862194	0.96	0.176	4.53482711621854e-141
cbln2b	2.4666736142479e-144	0.569859250610924	0.204	0.037	4.93334722849579e-141
jagn1a	7.62047908894451e-141	1.31257004731094	0.99	0.227	1.5240958177889e-137
eno2	2.97012145956868e-139	0.838370195165042	1	0.285	5.94024291913737e-136
tspan13b	8.07718048661384e-139	0.704644696792798	0.975	0.189	1.61543609732277e-135
nlgn3a	3.51390000160869e-138	0.532551068667181	1	0.307	7.02780000321738e-135
olfm1b	7.03969007999939e-136	1.72876979416355	1	0.303	1.40793801599988e-132
hmx2	1.14309763357912e-135	0.77005869813637	1	0.23	2.28619526715824e-132
dgkaa	3.97950167697032e-134	0.958313683321541	1	0.3	7.95900335394065e-131
islr2	6.43948848955761e-134	1.09625106442286	1	0.312	1.28789769791152e-130
slc35g2b	1.96331056895209e-133	0.863202809769597	0.95	0.209	3.92662113790419e-130
gch1	3.48840857225018e-133	1.06104985514606	1	0.294	6.97681714450037e-130
vamp2	4.42505724146456e-133	2.00013877541939	1	0.293	8.85011448292912e-130
tbx3a	7.58674097571418e-133	0.809071066782723	1	0.346	1.51734819514284e-129
slc35g2a	1.39710732455588e-130	1.36837605114054	1	0.314	2.79421464911177e-127
stmn2a	6.4492690440705e-129	2.68452961673338	1	0.355	1.2898538088141e-125
etv1	3.10963610009077e-128	0.751313665891767	1	0.29	6.21927220018153e-125
cplx2	1.00728920840154e-127	1.54750066564093	1	0.295	2.01457841680307e-124
ret	7.53543363255174e-127	1.02677588933517	1	0.354	1.50708672651035e-123
stmn4l	2.72487502632866e-126	1.8714561880015	1	0.336	5.44975005265732e-123
nsfa	6.67847110676655e-126	1.09491396586237	0.935	0.19	1.33569422135331e-122
zgc:100951	4.51361077122133e-125	0.296136459977186	0.96	0.135	9.02722154244266e-122
si:dkeyp-120h9.1	7.30028774593404e-124	1.14915567634523	1	0.301	1.46005754918681e-120
ncs1a	2.76345691029822e-122	0.458879771360115	0.95	0.196	5.52691382059645e-119
phyhipla	4.12778630467969e-122	0.581121744086373	0.995	0.33	8.25557260935939e-119
gap43	6.0941984509388e-122	3.15450363925871	1	0.436	1.21883969018776e-118
tspan7b	9.07387275174703e-122	1.65498181700637	1	0.208	1.81477455034941e-118
phox2a	9.60520933231198e-122	3.3948302722677	1	0.458	1.9210418664624e-118
arl4aa	3.35021662287152e-121	0.362747760706252	1	0.353	6.70043324574304e-118
syngr3b	1.30619686835931e-119	0.625867498056751	0.915	0.216	2.61239373671862e-116
si:dkey-205h13.1	1.33910184365301e-119	0.361694366804516	0.99	0.217	2.67820368730602e-116
insm1b	5.22591472937126e-119	1.48518730489819	0.99	0.255	1.04518294587425e-115
tac3a	1.20181963787399e-118	1.09143958397887	0.871	0.116	2.40363927574798e-115
stmn1b	1.45104860990038e-118	2.54597470378034	1	0.428	2.90209721980076e-115
tmsb	8.5458965068179e-118	2.00061732517874	0.99	0.273	1.70917930136358e-114
tuba2	1.46631387962155e-117	1.81346122914914	0.97	0.292	2.9326277592431e-114
gng2	9.96949816632672e-117	2.52246046541103	0.995	0.421	1.99389963326534e-113
stmn4	1.82378205642965e-116	0.609195948191409	0.945	0.228	3.6475641128593e-113
elavl4	8.68617853965697e-116	2.75625661694171	0.995	0.418	1.73723570793139e-112
cpe	1.10158562666918e-115	1.82264820759497	1	0.413	2.20317125333836e-112
elavl3	1.03424600191438e-114	2.54605368465958	0.99	0.383	2.06849200382875e-111
tuba1c	4.20228523944207e-114	2.77634299245064	1	0.49	8.40457047888413e-111
nr4a1	5.86715166401204e-113	0.439035048225732	1	0.305	1.17343033280241e-109
gng3	2.09318151281132e-112	2.48519577891265	0.98	0.355	4.18636302562264e-109
chrna5	5.76253444308458e-111	1.36891264006923	1	0.352	1.15250688861692e-107
si:dkey-1h6.8	1.41379187986919e-110	0.260022234234487	0.756	0.081	2.82758375973838e-107
aplp1	3.58129448661996e-110	1.35780659959165	0.94	0.292	7.16258897323991e-107
tuba1a	2.55809732517893e-109	2.5266526576725	1	0.426	5.11619465035786e-106
hmx3a	6.2158935411035e-109	0.745084617773919	1	0.342	1.2431787082207e-105
rtn1a	2.57240871404315e-108	2.1837450406377	1	0.482	5.1448174280863e-105
arpp21	4.15456529443558e-108	0.787880665250442	1	0.375	8.30913058887116e-105
rnasekb	1.51123733190451e-107	2.22423001039901	1	0.411	3.02247466380902e-104
atpv0e2	1.32026733099437e-106	1.78409400205862	1	0.306	2.64053466198873e-103
tubb5	2.63516448324479e-105	2.51587643890583	0.985	0.34	5.27032896648957e-102
ppp3cb	1.55501980714478e-104	0.490054656137845	0.856	0.155	3.11003961428957e-101
gfra1a	4.20685145283518e-104	0.395795572642299	1	0.333	8.41370290567036e-101
maptb	8.50328502722861e-103	1.82824702450126	1	0.461	1.70065700544572e-99
mllt11	9.99564777641653e-103	2.331661728065	0.95	0.338	1.99912955528331e-99
celf4	5.97984333612736e-102	0.942682270034597	0.985	0.346	1.19596866722547e-98
stmn2b	5.93504323271891e-101	2.73249617858549	0.945	0.334	1.18700864654378e-97
rgs4	2.87723985445951e-99	0.606789662632403	1	0.41	5.75447970891903e-96
znf536	1.54610792610487e-98	0.938923345618853	1	0.427	3.09221585220974e-95
sncb	2.79419440716723e-98	1.65187171283986	0.876	0.134	5.58838881433445e-95
ywhag2	6.19483917875898e-98	2.35712343868551	1	0.449	1.23896783575179e-94
camk2d2	1.14552787921545e-97	0.866784441331098	0.786	0.061	2.2910557584309e-94
atp6v0cb	5.21772917857068e-97	2.21665959884323	1	0.436	1.04354583571414e-93
calm1b	2.28346527852676e-94	1.10801692258742	1	0.399	4.56693055705353e-91
hand2	3.67035671859672e-94	1.88908172628236	1	0.641	7.34071343719344e-91
pou4f1	3.90363907450075e-94	0.432920719653606	0.159	0.045	7.80727814900151e-91
mid1ip1a	1.20009091326523e-93	0.439891195480627	0.876	0.154	2.40018182653046e-90
alcama	1.67432179611028e-93	1.81262759241136	1	0.386	3.34864359222056e-90
hoxb2a	4.27306677413451e-93	0.776195454700392	0.98	0.189	8.54613354826902e-90
scg3	3.89201201526662e-92	0.841266334921771	1	0.421	7.78402403053324e-89
vim	1.0519905199952e-91	2.28650023824463	1	0.539	2.10398103999041e-88
zc4h2	1.15390554557225e-91	1.58490368610909	0.995	0.482	2.30781109114451e-88
hoxb1b	4.1951940574534e-91	0.551177503163203	1	0.284	8.3903881149068e-88
hoxb5b	9.20194269364683e-89	2.74201664385278	1	0.486	1.84038853872937e-85
basp1	1.43098649427099e-88	1.77672850178837	0.92	0.285	2.86197298854198e-85
