gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CLEC3A	6.24496373463739e-62	0.356709312214985	0.795	0.133	1.24899274692748e-58
plvapb	4.78629234267411e-51	0.728278942055488	0.918	0.15	9.57258468534822e-48
otos	6.29152978974824e-51	1.45587271960752	0.904	0.165	1.25830595794965e-47
pdgfrl	6.08192101703314e-50	0.979353927413742	1	0.327	1.21638420340663e-46
mkxa	1.02093757160233e-47	0.386324758204666	0.973	0.26	2.04187514320465e-44
steap4	1.20764281368781e-47	0.295784119886509	1	0.334	2.41528562737563e-44
thbs1b	5.83622531525307e-47	0.91155631067744	1	0.288	1.16724506305061e-43
tent5bb	1.1961040264915e-46	0.273448083739069	1	0.346	2.392208052983e-43
cgref1	5.45281704287743e-46	0.346642963996655	1	0.352	1.09056340857549e-42
si:ch211-106j24.1	1.34155434595395e-45	0.288122357698137	1	0.279	2.6831086919079e-42
aspn	1.58157424101335e-43	0.410032006185929	0.986	0.275	3.16314848202671e-40
si:dkey-12l12.1	2.56834557932862e-43	0.43305911167188	1	0.313	5.13669115865724e-40
ogna	2.15339187678808e-42	0.27275132098318	1	0.352	4.30678375357616e-39
cxcr4a	2.18439972850628e-42	0.321083779018796	0.123	0.028	4.36879945701255e-39
epyc	1.0258575177834e-41	0.960612573787179	0.973	0.309	2.05171503556679e-38
pcolce2b	1.67991292783693e-41	0.570636567994054	0.986	0.356	3.35982585567387e-38
prss35	3.9697140666404e-41	1.65947797391047	0.904	0.226	7.9394281332808e-38
cilp	6.4402534011555e-40	0.382801139379483	0.986	0.289	1.2880506802311e-36
angptl1a	8.5142060254063e-40	0.376074517488706	0.959	0.296	1.70284120508126e-36
vwde	1.84671146727393e-39	2.24697047556816	1	0.364	3.69342293454787e-36
efemp2a	7.28295967393658e-39	0.601342436108975	0.973	0.265	1.45659193478732e-35
srpx	3.95140469278339e-38	1.15611926669387	0.986	0.357	7.90280938556678e-35
aoc2	5.92025083906949e-38	0.526700343763365	1	0.385	1.1840501678139e-34
foxa3	4.40346689891453e-37	0.441721783360436	0.918	0.238	8.80693379782905e-34
serpinf1	9.28076744839196e-37	1.09501718616436	1	0.352	1.85615348967839e-33
capgb	1.59046839974772e-36	0.252278614152834	0.959	0.292	3.18093679949545e-33
col11a2	4.33958402187449e-36	1.65458083748477	0.973	0.375	8.67916804374898e-33
nucb2b	1.01511236688188e-35	0.2985923196131	0.932	0.333	2.03022473376376e-32
col2a1b	2.57777538490774e-35	1.69614958440347	0.986	0.388	5.15555076981548e-32
krt94	1.16162712845934e-34	0.979663439141171	0.918	0.241	2.32325425691869e-31
rbp4	3.91370259054655e-34	1.68962370862334	1	0.435	7.8274051810931e-31
wif1	1.11744086973539e-33	0.293678545829875	0.986	0.322	2.23488173947078e-30
vstm4a	1.36964640286035e-33	0.389975349672507	0.986	0.314	2.73929280572071e-30
aqp1a.1	1.91293974824635e-33	0.764177690162509	0.836	0.187	3.8258794964927e-30
zgc:56585	2.32225261471428e-33	0.334985474112392	1	0.29	4.64450522942857e-30
sparc	3.80929453412236e-32	1.84719168598206	1	0.827	7.61858906824471e-29
wfdc2	4.07545056323271e-32	1.00672246227912	0.959	0.385	8.15090112646542e-29
tgm2b	4.64864307520909e-32	0.845270141799272	0.945	0.272	9.29728615041819e-29
lum	5.16448080246548e-32	1.65941114693281	1	0.385	1.0328961604931e-28
tspan18b	1.45481469762179e-31	0.373315041706681	0.959	0.369	2.90962939524357e-28
si:ch1073-406l10.2	2.39121276488232e-31	0.269179697597466	0.822	0.224	4.78242552976463e-28
col9a2	2.85664580344742e-31	2.42807959860319	1	0.457	5.71329160689484e-28
fgfr3	4.52652233178281e-31	0.892214779442596	0.973	0.388	9.05304466356562e-28
col6a3	5.07284329044872e-31	0.567413658172837	1	0.319	1.01456865808974e-27
hhla2a.1	1.65771949910776e-30	0.348306050246347	0.918	0.252	3.31543899821551e-27
sfrp5	1.08223752916868e-29	0.381468597568512	0.904	0.196	2.16447505833737e-26
selenop	9.24585238363418e-29	1.09272086981456	1	0.484	1.84917047672684e-25
matn4	1.35040498710903e-28	2.39577144401756	0.904	0.36	2.70080997421806e-25
nog2	4.1271157354619e-28	0.265128549050598	0.932	0.328	8.2542314709238e-25
thbs4b	9.60850621439819e-28	0.546614197748178	0.986	0.341	1.92170124287964e-24
csrp1a	3.15586175004812e-27	0.700063794902948	0.89	0.221	6.31172350009625e-24
srgn	3.54070333814464e-27	0.275492255918207	0.822	0.239	7.08140667628928e-24
zgc:92630	4.83526619546967e-27	0.256607840463391	0.932	0.353	9.67053239093933e-24
rac2	5.53737201931761e-27	0.318058372234926	0.863	0.234	1.10747440386352e-23
col5a2a	6.13321420769204e-27	0.555496472957103	1	0.341	1.22664284153841e-23
fkbp9	1.10983110102271e-26	1.40277604373901	1	0.52	2.21966220204542e-23
hapln1b	1.39023159929886e-26	0.314611785491376	0.973	0.388	2.78046319859772e-23
col2a1a	4.79384862435018e-26	2.7524676300008	1	0.521	9.58769724870036e-23
enpp6	4.95158693074665e-25	0.633479676446709	0.877	0.267	9.90317386149329e-22
ecrg4a	7.58915508395637e-25	0.408969422535369	1	0.528	1.51783101679127e-21
cnmd	2.01944668321949e-24	2.46464284703011	0.973	0.573	4.03889336643898e-21
col9a3	2.47921177433828e-24	2.19925122652236	0.986	0.547	4.95842354867657e-21
clec14a	2.60020106345444e-24	0.323946345136904	0.753	0.1	5.20040212690888e-21
tmem88a	3.31883272842567e-24	0.43710058865552	0.274	0.045	6.63766545685134e-21
cavin2b	4.19095361951076e-24	1.00592885991069	1	0.532	8.38190723902151e-21
