gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
tcf21	2.04527552205467e-61	0.434265489358782	0.984	0.151	4.09055104410935e-58
kazald3	6.56834003427841e-50	0.404762342510286	1	0.238	1.31366800685568e-46
bmp16	2.76305487171456e-43	0.486736833224379	1	0.349	5.52610974342912e-40
foxf2b	9.26238496099081e-42	0.57630135467595	1	0.253	1.85247699219816e-38
gstm.3	2.00805609043802e-41	0.290444648570584	0.951	0.195	4.01611218087604e-38
socs1a	1.19020244141405e-37	0.28560080790925	1	0.285	2.3804048828281e-34
cybrd1	2.23120508332888e-37	0.557693582126259	1	0.225	4.46241016665776e-34
aoc2	4.65004084125302e-36	0.315199229650686	1	0.387	9.30008168250603e-33
zgc:153704	7.81893781566507e-36	1.15494244479655	1	0.432	1.56378756313301e-32
gfra4b	5.08224964464883e-34	0.260632569221731	0.918	0.17	1.01644992892977e-30
efna2a	7.76464486783068e-33	1.01892269212479	1	0.371	1.55292897356614e-29
ism1	1.00171772577883e-32	0.528184671894035	1	0.389	2.00343545155765e-29
col6a1	8.57025107204529e-30	0.533871369112676	1	0.35	1.71405021440906e-26
lhx8a	2.16971857951864e-29	0.458888188775937	0.902	0.176	4.33943715903729e-26
nid2a	5.4407359611628e-28	0.605027019218014	0.951	0.23	1.08814719223256e-24
plcg1	1.12240682048358e-27	0.264069174522168	0.951	0.19	2.24481364096717e-24
txnipb	5.12558026692441e-26	0.291049301722114	0.115	0.05	1.02511605338488e-22
rrad	1.87471933439795e-25	0.272137871754673	0.918	0.307	3.74943866879591e-22
nefmb	3.16277594428572e-25	0.311736500635792	0.066	0.114	6.32555188857144e-22
zgc:162939	7.5175288889172e-25	0.35933555261362	1	0.48	1.50350577778344e-21
artnb	2.36066287052034e-24	0.438151949128556	0.836	0.149	4.72132574104068e-21
meis2a.1	3.23609146233379e-24	1.38627514995828	0.934	0.257	6.47218292466758e-21
igfbp5b	8.71473834034287e-24	0.330245611323535	1	0.422	1.74294766806857e-20
cyp2ad3	1.96701848344816e-23	0.329120726930307	0.984	0.31	3.93403696689632e-20
foxf2a	3.7741289288406e-23	1.38498043411712	0.951	0.337	7.5482578576812e-20
