gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
cyp1b1	1.38473280881741e-71	0.385108399124297	1	0.148	2.76946561763482e-68
cldn7a	1.66253241028299e-48	0.368064396539354	1	0.284	3.32506482056599e-45
zgc:113162	2.38190835391559e-43	0.329672079220795	1	0.293	4.76381670783118e-40
her7	1.25633130224236e-42	0.377776673218102	0.983	0.184	2.51266260448472e-39
hoxa13b	5.76023719414477e-40	1.67652578410986	1	0.366	1.15204743882895e-36
hoxa10b	7.55367692950982e-40	1.25679109537448	1	0.318	1.51073538590196e-36
cpne2	9.93733035801112e-39	0.696991733451402	1	0.359	1.98746607160222e-35
zic2a	1.46068929470922e-37	0.664853607253397	1	0.315	2.92137858941844e-34
lmo7a	8.74094405772479e-37	0.328016299326663	1	0.336	1.74818881154496e-33
capgb	1.09982925837729e-36	0.338453780947469	1	0.294	2.19965851675457e-33
fhl3b	1.59476769516303e-36	0.697803207508043	1	0.362	3.18953539032606e-33
abtb2a	5.64560690033028e-36	1.41632319881112	1	0.316	1.12912138006606e-32
wif1	1.14992628866982e-35	0.638743347549592	1	0.325	2.29985257733964e-32
hoxa11b	9.60895586896594e-35	0.806728411749734	1	0.388	1.92179117379319e-31
sema3d	6.51918603413305e-34	0.806648674016392	0.948	0.312	1.30383720682661e-30
loxl1	1.41246012639921e-33	1.29994204267334	1	0.449	2.82492025279841e-30
loxl4	1.81447106464434e-33	1.00359304459399	1	0.388	3.62894212928868e-30
si:dkey-164f24.2	1.88324308567408e-33	1.94882420393349	1	0.459	3.76648617134815e-30
si:dkey-19b23.8	3.26492423083414e-33	0.754241710340954	1	0.399	6.52984846166827e-30
tbx15	3.59684808160173e-33	1.61327394951494	0.948	0.296	7.19369616320345e-30
nid1a	3.37046622413361e-32	0.747146648481934	1	0.441	6.74093244826722e-29
pdlim5a	7.37178840674438e-32	0.830841654908633	1	0.356	1.47435768134888e-28
col8a2	1.01040983965918e-31	1.39904514832046	1	0.424	2.02081967931836e-28
nog3	1.62710918953689e-31	1.0901619693665	1	0.356	3.25421837907377e-28
itga9	5.61597050046782e-31	1.25286506941232	1	0.408	1.12319410009356e-27
f13a1b	5.32931207761452e-30	1.05393764373432	1	0.51	1.0658624155229e-26
hapln1b	9.85742313646043e-30	0.759655967129701	1	0.39	1.97148462729209e-26
klf2b	5.55502941856172e-29	0.926790216504468	1	0.413	1.11100588371234e-25
bmp2b	8.74561050877462e-29	0.252697931624791	1	0.335	1.74912210175492e-25
ppp1r1c	1.32900920971379e-28	1.31182540784016	1	0.451	2.65801841942758e-25
hoxd9a	1.84477233842353e-28	0.891158572512526	0.931	0.306	3.68954467684706e-25
fsta	1.87538469802096e-28	0.556558953728818	1	0.34	3.75076939604191e-25
gyg1b	1.30254310293834e-27	1.70165251458164	1	0.567	2.60508620587667e-24
tgm2l	1.46739954562505e-27	0.341941040563587	1	0.512	2.9347990912501e-24
fbp1a	7.3770888309487e-27	0.264281200789947	1	0.424	1.47541776618974e-23
myl9a	1.2404676697233e-26	0.574585374776561	1	0.476	2.48093533944659e-23
fgfbp2b	1.8503564270177e-26	1.9917035478847	1	0.615	3.70071285403541e-23
fhl1b	5.75825119923848e-26	1.69765090988494	1	0.558	1.1516502398477e-22
fam49a	1.07685680264154e-25	1.92399866069056	1	0.575	2.15371360528309e-22
igfbp3	1.23153791581828e-25	0.385280958706487	1	0.448	2.46307583163656e-22
clic2	1.49490481612455e-25	1.19131967101932	1	0.562	2.98980963224909e-22
igf2a	2.92854708902159e-25	0.369763018600501	1	0.409	5.85709417804318e-22
si:ch211-156j16.1	4.49632066071083e-25	1.4869439258427	1	0.591	8.99264132142166e-22
angptl7	2.81494661006736e-24	0.431294989551125	0.983	0.327	5.62989322013471e-21
krt18a.1	1.17748984704387e-23	1.77432783444612	1	0.789	2.35497969408775e-20
plk3	4.38377008071118e-23	0.909737702940917	1	0.398	8.76754016142236e-20
atp1a1b	5.30895023105392e-23	0.359544085948102	1	0.455	1.06179004621078e-19
hoxd12a	8.11128908613587e-22	0.978069468648493	0.862	0.345	1.62225781722717e-18
tuft1a	9.31590701592835e-22	0.377678772396391	1	0.555	1.86318140318567e-18
col9a3	1.20746565979707e-21	0.47336825174095	1	0.549	2.41493131959413e-18
grasp	2.34718671184156e-21	0.56161982952216	0.897	0.348	4.69437342368312e-18
col2a1a	3.73498673256213e-21	0.421925180602584	1	0.523	7.46997346512426e-18
fkbp11	4.30982462280246e-21	0.739125167149295	1	0.464	8.61964924560492e-18
krt8	4.34238962197579e-21	1.47620730310651	1	0.873	8.68477924395159e-18
col9a1a	7.57015905358912e-21	0.574229849123464	1	0.545	1.51403181071782e-17
nog2	8.32783917315516e-21	0.321957605573738	0.914	0.331	1.66556783463103e-17
rcn3	1.17925393335865e-20	0.44534247036683	0.931	0.329	2.35850786671729e-17
hoxd11a	4.0456933749755e-20	0.372219107751058	0.793	0.194	8.09138674995101e-17
crip2	4.86456204494605e-20	0.521517267006337	1	0.496	9.7291240898921e-17
papss2b	5.19837293977876e-20	0.567418098059695	1	0.475	1.03967458795575e-16
tuba8l2	6.82859230458737e-20	0.319513189705479	0.914	0.269	1.36571846091747e-16
tagln2	1.85154678931201e-19	1.1675054582657	1	0.569	3.70309357862401e-16
hbegfa	4.92092062105813e-19	0.902959702364305	1	0.524	9.84184124211626e-16
foxc1a	5.01518891241935e-19	0.707728868986474	1	0.375	1.00303778248387e-15
id3	5.86852610637813e-19	1.61270713453303	0.983	0.562	1.17370522127563e-15
foxc1b	3.20614468403094e-18	1.05101818211105	0.983	0.481	6.41228936806188e-15
hapln1a	4.54386893070047e-18	0.943309011281581	1	0.439	9.08773786140094e-15
cnmd	5.42471749820745e-18	0.532735861165466	1	0.575	1.08494349964149e-14
fkbp9	5.5793183604184e-18	1.05595542611428	1	0.522	1.11586367208368e-14
hoxd13a	1.49095958682662e-17	0.556411037563491	0.793	0.258	2.98191917365323e-14
sox9b	2.12161839945973e-17	1.58373633046602	0.793	0.144	4.24323679891945e-14
arpc1b	1.23415017952368e-16	0.88158878871343	1	0.514	2.46830035904737e-13
tob1a	1.70024928271319e-16	0.37585444502057	1	0.388	3.40049856542638e-13
mab21l1	9.15470885256172e-16	0.599982723825274	1	0.45	1.83094177051234e-12
nog1	1.25103091109317e-15	0.34235281338681	0.845	0.305	2.50206182218635e-12
snai2	3.06874784311499e-15	0.324104569106375	1	0.463	6.13749568622998e-12
cthrc1a	3.41331877005636e-15	0.325117214531025	0.897	0.356	6.82663754011272e-12
ebf3a	1.67578577877351e-14	0.364740823958746	0.948	0.31	3.35157155754702e-11
ugt1b5	3.82008469979892e-14	0.291628668672898	1	0.521	7.64016939959784e-11
id1	5.00502975966285e-13	1.113931488288	0.983	0.713	1.00100595193257e-09
hoxa9b	7.62718677240139e-13	0.974381353771186	0.776	0.295	1.52543735448028e-09
ctgfa	1.18707669080054e-12	0.513205368071539	1	0.491	2.37415338160108e-09
sox10	1.39979635825094e-12	0.335613454079114	1	0.596	2.79959271650189e-09
acta1a	2.57221338000857e-12	0.286148605676756	0.259	0.218	5.14442676001713e-09
tpm4a	4.39463171531752e-12	0.81230956439702	1	0.64	8.78926343063503e-09
ier2b	2.52340225563665e-11	1.04949723977739	0.983	0.607	5.0468045112733e-08
mmp2	2.56286366000815e-11	0.65845850747565	1	0.636	5.12572732001631e-08
serpinh1b	3.28344035568916e-11	1.24584000002553	1	0.907	6.56688071137833e-08
zbtb16a	7.07021794268519e-10	0.710025170112617	0.759	0.171	1.41404358853704e-06
si:ch211-131k2.3	1.62714433537514e-09	0.491687721170822	0.224	0.215	3.25428867075029e-06
ier2a	2.35271168466756e-08	0.712436822142736	1	0.858	4.70542336933512e-05
hoxd10a	3.95123285238905e-08	0.260489073965064	0.345	0.169	7.90246570477811e-05
hand2	4.09933225459332e-08	0.326691970494964	1	0.655	8.19866450918665e-05
mycb	2.58553348833974e-07	0.526244997074488	0.983	0.611	0.000517106697667947
actb2	1.64119267237796e-06	0.381447961173091	1	0.999	0.00328238534475592
cnn3a	2.74525480178237e-06	0.45008565139072	1	0.707	0.00549050960356473
her9	3.39708164454128e-06	0.566346214950005	1	0.711	0.00679416328908255
fosl1a	5.07258383093939e-06	0.541873859571099	1	0.779	0.0101451676618788
tmsb4x	5.38683413623638e-06	0.33241077661454	1	0.989	0.0107736682724728
h1f0	7.8771256992957e-06	0.758231825698449	1	0.848	0.0157542513985914
zgc:66479	8.87933101120987e-06	0.532072360915991	0.69	0.211	0.0177586620224197
dnajb1b	2.00310580495553e-05	0.634742592539042	1	0.819	0.0400621160991106
atf3	2.32825663717076e-05	0.380965881049577	1	0.837	0.0465651327434152
