gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
wnt7aa	5.47301242973207e-124	0.921704428340656	0.909	0.014	1.09460248594641e-120
nkx2.2a	2.78763139881846e-105	1.84406266570571	0.864	0.042	5.57526279763692e-102
ugt8	1.00197648445086e-56	0.610791145214638	0.773	0.053	2.00395296890171e-53
jph1b	1.33229328966969e-56	0.314035970507098	0.932	0.11	2.66458657933939e-53
hepacama	1.06087394602944e-55	0.67003999645509	1	0.165	2.12174789205888e-52
ap1s3b	1.072295605592e-48	0.260794261675405	0.886	0.15	2.144591211184e-45
c7b	1.2166227372711e-47	1.0815254781645	0.932	0.17	2.43324547454221e-44
syt12	9.55776916962705e-42	0.297651083011442	0.886	0.137	1.91155383392541e-38
tmem125b	8.27019784185989e-39	0.422509425279403	0.886	0.155	1.65403956837198e-35
flj13639	1.19695911395219e-36	0.336564588570131	0.977	0.162	2.39391822790437e-33
rnd2	1.34548043519728e-36	0.378983085714027	0.955	0.167	2.69096087039455e-33
timd4	2.6809543291096e-35	1.48639017768825	0.977	0.323	5.36190865821921e-32
her4.3	8.14016240945805e-34	0.795590985799757	1	0.365	1.62803248189161e-30
her4.4	2.86901896966026e-33	1.03814653228257	1	0.364	5.73803793932052e-30
map4k2	3.96746136238051e-33	0.257500226334742	0.932	0.212	7.93492272476103e-30
slc6a1b	2.44206472238887e-31	0.592507225040801	0.909	0.139	4.88412944477775e-28
si:ch73-21g5.7	6.71198242487948e-30	1.7484341170688	0.955	0.283	1.3423964849759e-26
fabp7b	1.84183682457212e-29	0.739824259073145	0.091	0.164	3.68367364914423e-26
her12	5.14032818912016e-29	1.37250466257312	1	0.366	1.02806563782403e-25
slc1a2b	7.40130689048466e-29	1.74457319247025	0.932	0.195	1.48026137809693e-25
qki2	8.60125734756338e-29	2.26128570694505	1	0.33	1.72025146951268e-25
cenpf	2.4721552479512e-28	0.257941126932037	0.955	0.137	4.9443104959024e-25
apoeb	4.05663342713767e-28	0.303654346824297	0.955	0.211	8.11326685427533e-25
her4.1	4.83355788160579e-28	1.66759303377921	1	0.434	9.66711576321159e-25
zic5	6.47400892810587e-28	0.382358967189774	0.114	0.213	1.29480178562117e-24
nrgna	3.033104470245e-27	0.256484648360222	1	0.401	6.06620894049e-24
foxb1a	4.15028514912743e-27	0.549868685324757	0.159	0.054	8.30057029825485e-24
prc1b	5.59593570748493e-27	0.361660099119509	0.955	0.214	1.11918714149699e-23
tjp2b	1.19980348700638e-26	0.59335555895685	0.977	0.287	2.39960697401276e-23
her4.2	1.93472533556787e-26	2.07797583650298	1	0.442	3.86945067113573e-23
fabp2	3.14840015406576e-26	0.547560320757568	0.977	0.385	6.29680030813152e-23
lim2.2	3.32726733909297e-26	0.523182438087721	0.909	0.221	6.65453467818594e-23
kctd12.1	6.95532287557752e-26	0.257006132079139	0.955	0.285	1.3910645751155e-22
efhd1	2.79872799903922e-25	1.4065123160652	1	0.372	5.59745599807844e-22
her4.2.1	2.89860487061079e-25	1.66019422448903	1	0.439	5.79720974122159e-22
slc44a1b	3.39321620036029e-25	0.757959599943042	0.977	0.286	6.78643240072059e-22
aplnrb	3.63186432138006e-25	0.415143006998469	0.818	0.041	7.26372864276012e-22
scp2a	1.04134985009772e-23	0.334670970937437	1	0.308	2.08269970019545e-20
irx2a	1.23990627031001e-23	0.356952993349801	0.159	0.046	2.47981254062002e-20
lmo7a	5.46495019974077e-23	0.47951163290973	0.977	0.339	1.09299003994815e-19
im:7152348	8.65481481172862e-23	0.505351265463457	0.136	0.254	1.73096296234572e-19
zeb2a	1.33227433404342e-22	1.82084972080432	1	0.407	2.66454866808685e-19
cldn19	1.98506090896189e-22	0.812586301601106	0.955	0.333	3.97012181792377e-19
gadd45gb.1	2.49759787835505e-22	1.84388928328638	0.818	0.064	4.9951957567101e-19
aurka	2.87490033537476e-22	0.312914932365619	0.955	0.214	5.74980067074953e-19
si:dkeyp-117h8.2	3.46158670165893e-22	0.806062989516661	0.932	0.263	6.92317340331787e-19
crip3	5.25227728595431e-22	0.375467724706527	0.955	0.28	1.05045545719086e-18
atp1a1b	5.38948253615943e-22	1.75752818281414	0.977	0.457	1.07789650723189e-18
zic2b	8.39884594314646e-22	0.429592377874335	0.091	0.136	1.67976918862929e-18
irx1a	2.38984645941137e-21	0.438200246214715	0.114	0.077	4.77969291882273e-18
g2e3	2.43613925063726e-21	0.342724654105849	0.932	0.165	4.87227850127451e-18
cspg5a	8.00493968943391e-21	0.509290309144437	0.932	0.311	1.60098793788678e-17
sb:cb81	2.28884082776703e-20	2.48870520386127	1	0.468	4.57768165553406e-17
glula	2.36914124584259e-20	1.30934512858531	1	0.376	4.73828249168517e-17
b3gat2	3.08939957911852e-20	0.367513551504659	0.182	0.08	6.17879915823703e-17
atcaya	5.86286674952714e-20	0.260530832712653	0.932	0.192	1.17257334990543e-16
grasp	1.42068608616761e-19	0.800086346408557	0.955	0.35	2.84137217233521e-16
map1aa	1.51023330533119e-19	0.453277515709282	0.977	0.326	3.02046661066239e-16
gbx1	2.46251053594864e-19	0.634864998302001	0.841	0.094	4.92502107189728e-16
