gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-98n17.5	0	1.96468381201462	0.957	0.003	0
pkp3a	4.84192000887063e-202	0.95170682098059	1	0.019	9.68384001774126e-199
s100v1	5.08939691014056e-141	0.669952388509397	0.957	0.024	1.01787938202811e-137
ecrg4b	2.12007757868156e-110	0.406858558145302	1	0.029	4.24015515736312e-107
si:ch1073-443f11.2	2.91867446750921e-77	1.35399653305422	1	0.064	5.83734893501843e-74
tmprss4a	1.4036015869483e-76	0.791030079401346	0.957	0.044	2.8072031738966e-73
chmp4c	8.60766996399787e-73	1.08258834662199	0.87	0.024	1.72153399279957e-69
rassf7b	1.16163820650322e-72	0.715508956892709	1	0.041	2.32327641300644e-69
gpa33a	4.45744134062632e-72	1.08693446067086	1	0.052	8.91488268125265e-69
ap1m2	1.97043883827628e-66	1.06114492721918	1	0.077	3.94087767655257e-63
rassf6	1.97295924477595e-58	0.41364689839137	0.957	0.012	3.9459184895519e-55
spint1a	1.18235775588269e-51	2.4401303240477	1	0.094	2.36471551176537e-48
caspb	3.02314602444285e-51	0.791700705817439	1	0.084	6.0462920488857e-48
tmem54a	6.26376448499171e-51	0.829159290393384	1	0.094	1.25275289699834e-47
hsd11b1la	1.81280078142205e-48	0.420116547481046	1	0.102	3.6256015628441e-45
zgc:193726	2.28721274078699e-48	0.366486416387402	0.957	0.059	4.57442548157399e-45
vamp8	9.57028466847851e-46	1.12452329794055	1	0.057	1.9140569336957e-42
irg1l	8.82849003911702e-43	0.990298067068543	1	0.062	1.7656980078234e-39
anxa1c	2.50578621399187e-42	1.02777546864	0.957	0.024	5.01157242798375e-39
vsig10	5.11210433199826e-42	1.11956610774129	0.957	0.098	1.02242086639965e-38
zgc:174938	3.75264350464541e-41	0.684870890258067	0.826	0.013	7.50528700929081e-38
CABZ01030107.1	1.01751117861513e-39	0.364113867001376	0.13	0.019	2.03502235723027e-36
oclna	1.49594292588319e-39	1.99340215507402	0.957	0.097	2.99188585176638e-36
cldnh	1.71948480150749e-38	3.06310651700058	0.913	0.09	3.43896960301498e-35
gsnb	3.72270171782041e-38	1.1195937115253	1	0.035	7.44540343564083e-35
tjp3	1.08001988821973e-35	1.22265517967253	1	0.088	2.16003977643946e-32
ap1s3b	1.88241696014504e-35	0.483296904955285	1	0.153	3.76483392029008e-32
spaca4l	3.3197065268783e-35	1.15268096991857	1	0.117	6.63941305375659e-32
pycard	6.9998041632307e-35	1.66501614194319	1	0.165	1.39996083264614e-31
stard14	1.46931071995655e-34	1.17655630614057	1	0.11	2.9386214399131e-31
spint2	1.48603310517795e-34	3.1407473423849	1	0.108	2.9720662103559e-31
si:dkeyp-72e1.7	2.28798545241831e-34	0.408851254730427	1	0.12	4.57597090483662e-31
ankrd22	4.63251874516042e-34	0.964154844223674	1	0.134	9.26503749032084e-31
ildr1a	2.40323346244713e-33	1.22305099482197	0.913	0.103	4.80646692489426e-30
si:dkey-184p9.7	3.84519304590067e-33	0.90180555479113	0.913	0.087	7.69038609180133e-30
epdl1	7.58941398185623e-32	1.44934049317998	0.957	0.153	1.51788279637125e-28
cldn7b	1.20129896158339e-30	2.53483357553468	1	0.079	2.40259792316678e-27
hrc	5.29201482047892e-30	0.353190536285844	1	0.17	1.05840296409579e-26
aep1	7.14478670981811e-30	1.89451190485335	1	0.133	1.42895734196362e-26
zgc:193505	5.75087617569405e-29	1.92644419806874	0.957	0.104	1.15017523513881e-25
tmem176l.4	2.85298441090647e-27	2.33694183102337	1	0.16	5.70596882181294e-24
il20ra	6.02101885507486e-27	0.401379343241909	0.913	0.097	1.20420377101497e-23
depdc7a	7.27684002637964e-27	0.309213547999189	1	0.218	1.45536800527593e-23
zgc:92380	1.56961078385836e-26	0.845352075633376	0.913	0.153	3.13922156771672e-23
lsr	1.96525817609259e-26	0.906489482485364	0.87	0.084	3.93051635218518e-23
zgc:153665	3.50251740411234e-26	0.786912697559382	1	0.134	7.00503480822469e-23
cldnc	3.830511430054e-26	1.83161264269909	0.739	0.021	7.661022860108e-23
arhgef18a	4.22502185101974e-26	0.770816330705974	1	0.195	8.45004370203948e-23
abca12	1.04163945676392e-25	1.21709024394274	0.957	0.127	2.08327891352784e-22
mid1ip1a	1.44674187276101e-25	2.52648837576299	1	0.186	2.89348374552201e-22
atp1b1b	2.14769592148699e-25	1.22165385467911	0.957	0.155	4.29539184297399e-22
tnks1bp1	3.22934905836181e-25	1.25073315215356	1	0.222	6.45869811672363e-22
bicdl2	1.34803806077924e-24	0.864073103208933	1	0.217	2.69607612155847e-21
si:ch211-212k18.7	1.88007930790665e-24	0.468484148251516	1	0.243	3.7601586158133e-21
snap23.2	7.67355724813419e-24	0.254701555010662	1	0.176	1.53471144962684e-20
aifm4	1.06789446910618e-23	0.666407398426324	1	0.242	2.13578893821235e-20
pon1	2.29550483035605e-23	0.41910142553644	1	0.26	4.59100966071211e-20
lgals1l1	2.45070157512348e-23	0.662952519202283	1	0.239	4.90140315024695e-20
si:dkey-74k8.3	4.37173624992285e-23	0.317561146413975	1	0.179	8.7434724998457e-20
itm2bb	4.79005319398813e-23	1.48742814064595	1	0.176	9.58010638797626e-20
