gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
klhl41b	7.05358724979378e-42	0.709659221319669	1	0.081	1.41071744995876e-38
myo6b	5.96289843884325e-35	0.481921929692535	0.957	0.084	1.19257968776865e-31
ncf1	3.56073937023199e-29	0.261251226414395	0.957	0.087	7.12147874046397e-26
hlx1	4.72378170751099e-27	0.325497727782656	1	0.112	9.44756341502197e-24
pou6f2	1.42546008862004e-25	0.436422830272313	0.957	0.087	2.85092017724007e-22
neurod1	4.89026086797492e-22	3.07918641261179	0.957	0.142	9.78052173594985e-19
zgc:101853	1.76473296619088e-21	0.501108222101477	1	0.228	3.52946593238176e-18
apba2b	3.81462444573021e-20	0.250021880827331	0.913	0.1	7.62924889146042e-17
pvalb6	7.86929619790862e-19	0.277344288154295	0.13	0.135	1.57385923958172e-15
ndnfl	4.45699115060763e-18	0.405459433644977	0.13	0.032	8.91398230121525e-15
b3gnt5a	9.00444819013327e-18	0.50545938564848	1	0.225	1.80088963802665e-14
zgc:162989	1.26876080052976e-17	0.349435684207715	0.913	0.206	2.53752160105951e-14
six1b	1.47529662634544e-17	1.86914216666635	1	0.204	2.95059325269087e-14
si:ch211-214j24.14	4.59984970795461e-17	0.526342169765763	0.957	0.186	9.19969941590923e-14
si:dkey-280e21.3	9.02238939521598e-17	0.522098676428631	0.957	0.2	1.8044778790432e-13
si:ch211-56a11.2	5.16327003787739e-15	2.15965172250458	0.913	0.249	1.03265400757548e-11
tmbim1b	5.87506206194828e-15	0.352271413324023	0.783	0.13	1.17501241238966e-11
sst6	6.00697339787862e-15	0.58283742443654	0.261	0.037	1.20139467957572e-11
elf3	8.29497680722287e-15	0.343873626865717	0.826	0.137	1.65899536144457e-11
fgf13b	9.04099851857893e-15	0.316706471817055	0.957	0.24	1.80819970371579e-11
cks2	3.86122028744033e-14	0.383256384325164	1	0.288	7.72244057488067e-11
etv1	5.9674170803041e-14	0.435543685087887	1	0.323	1.19348341606082e-10
foxg1b	8.73811791295852e-14	0.265084026484903	1	0.307	1.7476235825917e-10
mss51	1.38902786445064e-13	0.290346244115029	1	0.363	2.77805572890127e-10
tagapa	1.50471245832908e-13	0.264332443017718	0.87	0.094	3.00942491665816e-10
tspan7b	1.35475284393578e-12	0.761781846641228	1	0.244	2.70950568787157e-09
dgkaa	1.4125190886831e-12	0.272903979263566	1	0.332	2.8250381773662e-09
plk1	1.69254998901857e-12	0.360529928617284	1	0.293	3.38509997803713e-09
isl2b	3.82217178296071e-12	1.66522075509457	0.826	0.146	7.64434356592142e-09
krt5	8.45560941956645e-12	0.312986070537721	1	0.41	1.69112188391329e-08
si:dkey-183i3.9	1.44957876698895e-11	0.323405722933519	0.217	0.068	2.89915753397789e-08
scg3	2.44664869997133e-11	0.894388351496005	1	0.447	4.89329739994266e-08
snap23.2	3.26428386651764e-11	0.549290392114004	0.217	0.18	6.52856773303528e-08
s100s	4.86017380254182e-11	1.66750666444871	0.652	0.071	9.72034760508364e-08
her4.2	6.55016632082927e-11	0.338269711082493	1	0.445	1.31003326416585e-07
gipc3	3.77661428348444e-10	0.563533946691621	0.174	0.173	7.55322856696889e-07
ngfrb	6.04415050647368e-10	1.22238644632766	0.913	0.392	1.20883010129474e-06
uacab	6.53876838632568e-10	0.276267277566804	0.217	0.153	1.30775367726514e-06
onecut1	8.5537353971325e-10	1.43985382602595	0.826	0.067	1.7107470794265e-06
il34	9.15205939450045e-10	1.27104373944065	0.217	0.123	1.83041187890009e-06
bcam	1.07472080140369e-09	1.34370371015454	0.87	0.335	2.14944160280738e-06
gmps	1.74405207488022e-09	0.290063181786931	1	0.306	3.48810414976043e-06
slc16a3	2.13067723527086e-09	0.328889053872708	0.913	0.226	4.26135447054172e-06
CABZ01118738.1	2.13607301902603e-09	0.67190775701814	0.217	0.085	4.27214603805205e-06
elavl3	2.35175288292838e-09	1.26640649664084	0.957	0.411	4.70350576585675e-06
vgf	4.02163125845201e-09	0.839262642348338	0.87	0.26	8.04326251690403e-06
map1aa	4.61322986366511e-09	1.28931415106269	0.87	0.33	9.22645972733022e-06
stmn4	4.77269736374355e-09	0.99022420897556	0.87	0.261	9.5453947274871e-06
cxcl14	5.00180401450987e-09	0.356057846419368	1	0.404	1.00036080290197e-05
ascl1a	5.4761835375897e-09	0.33061699041411	0.87	0.309	1.09523670751794e-05
tuba2	5.74632379225785e-09	0.350106742274619	0.913	0.323	1.14926475845157e-05
dlb	6.46780494378479e-09	1.10042468814174	0.826	0.197	1.29356098875696e-05
maptb	7.66396803918305e-09	0.519447392176637	1	0.485	1.53279360783661e-05
hmx3a	1.20237749704287e-08	0.993359129494713	0.913	0.372	2.40475499408574e-05
dpysl3	3.5762899282787e-08	0.472545347826528	0.913	0.329	7.1525798565574e-05
znf536	3.77130950336206e-08	0.441651480132293	1	0.454	7.54261900672412e-05
gadd45ga	5.37771048602345e-08	0.822181480543144	1	0.433	0.000107554209720469
chodl	6.36904326608664e-08	0.496477781587117	0.217	0.08	0.000127380865321733
lrrn1	6.82389509412633e-08	0.373794939499553	0.87	0.244	0.000136477901882527
gap43	9.26622899310744e-08	0.313479215257066	1	0.462	0.000185324579862149
mvp	1.36962626385454e-07	0.938997192003573	1	0.621	0.000273925252770909
insm1b	1.3736225993987e-07	1.85167454210767	0.826	0.289	0.000274724519879741
rasgef1bb	1.81346420074042e-07	0.339651299289078	1	0.494	0.000362692840148084
slc1a4	1.83900605036759e-07	0.499921912835485	0.87	0.267	0.000367801210073517
tuba8l3	2.00603458184447e-07	1.33345459530634	1	0.617	0.000401206916368893
gfra1a	2.26664031385075e-07	0.45734275147483	0.913	0.364	0.000453328062770149
wbp2	2.41874784593868e-07	0.476230446914074	1	0.497	0.000483749569187737
si:dkey-56m19.5	2.58390932476644e-07	0.749819567097253	0.957	0.355	0.000516781864953287
vim	2.60677916338205e-07	2.85507784452949	0.87	0.561	0.000521355832676409
hmx2	5.54159298439623e-07	0.834313953604362	0.826	0.266	0.00110831859687925
aldocb	1.17133300456167e-06	0.320568712152225	0.957	0.438	0.00234266600912335
gapdhs	1.34091638281451e-06	0.962080443429842	0.957	0.759	0.00268183276562901
