gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
txlnba	9.60006040340019e-67	0.618829199813244	1	0.003	1.92001208068004e-63
pvalb3	8.77761708212291e-56	1.69144305481777	1	0.003	1.75552341642458e-52
cavin4a	5.4804568623397e-43	2.38548171193494	1	0.042	1.09609137246794e-39
jph2	1.22176032596349e-33	1.73051859676559	0.875	0.017	2.44352065192697e-30
zgc:158296	4.8931537944514e-32	1.080091617146	1	0.05	9.7863075889028e-29
mybpc2b	4.92633369029524e-31	1.38279224922006	1	0.043	9.85266738059047e-28
neb	8.0580284712476e-30	2.3972772425383	1	0.058	1.61160569424952e-26
ank1a.1	7.96521664412956e-27	1.9816234044887	1	0.038	1.59304332882591e-23
flnca	6.69705424413605e-21	0.725226491826729	1	0.078	1.33941084882721e-17
myom1a	5.94308858419026e-19	1.29026141668653	1	0.057	1.18861771683805e-15
si:dkey-211f22.5	3.63965291740919e-18	1.5193745347683	0.875	0.061	7.27930583481838e-15
actn3b	5.75132175469212e-18	1.93293562262724	1	0.101	1.15026435093843e-14
spegb	8.04930998286888e-18	0.651464637609888	1	0.074	1.60986199657378e-14
myog	9.45964086136422e-18	0.366326102063428	1	0.089	1.89192817227284e-14
txlnbb	7.8775064235303e-17	1.15601334553622	1	0.049	1.57550128470606e-13
stac3	1.12202176896799e-16	0.78875181328137	0.875	0.067	2.24404353793599e-13
ttn.2	2.60448763284217e-16	3.00960892344501	1	0.081	5.20897526568434e-13
actn3a	4.12463061197569e-16	3.18360642153787	1	0.118	8.24926122395139e-13
klhl41b	8.09672100762454e-16	1.34052931934586	1	0.085	1.61934420152491e-12
ttn.1	1.18419731438081e-15	2.50277143942263	1	0.091	2.36839462876163e-12
pfkmb	1.59560110066406e-15	1.02822292105676	0.75	0.022	3.19120220132813e-12
myoz1a	3.60346528838936e-15	1.0683100110383	1	0.137	7.20693057677872e-12
ckmt2b	4.43115595560501e-14	2.06279283320128	1	0.154	8.86231191121002e-11
