gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
prc1b	3.95763166026087e-98	0.706595734778601	0.928	0.194	7.91526332052174e-95
spon2b	4.23596325261064e-88	0.382168494089002	1	0.283	8.47192650522128e-85
slc29a2	1.2857917735448e-66	0.258462134491147	0.868	0.124	2.5715835470896e-63
hpgd	1.64623612181632e-59	0.305421002155735	1	0.389	3.29247224363265e-56
osr1	8.5005865212167e-58	0.256206178584134	0.908	0.225	1.70011730424334e-54
phldb2b	3.99801115649416e-51	0.49521577524466	0.908	0.259	7.99602231298831e-48
cdk1	6.02122421444776e-47	1.42358098326385	0.862	0.273	1.20424484288955e-43
twist2	2.27408124987957e-46	0.27629272239062	0.961	0.313	4.54816249975914e-43
hmgn2	4.57336516723906e-46	1.29147697554097	1	0.957	9.14673033447813e-43
aurkb	3.47448376406899e-44	1.2685762771801	0.868	0.315	6.94896752813797e-41
kifc1	3.70494840786502e-44	1.07139496544371	0.842	0.246	7.40989681573005e-41
nusap1	3.85278280952037e-43	1.39228172187677	0.842	0.316	7.70556561904074e-40
mad2l1	1.66759362217299e-41	1.08483986446225	0.842	0.22	3.33518724434598e-38
hmgb2b	5.36205827516311e-41	1.1058927999439	1	0.792	1.07241165503262e-37
cd248a	1.19278240172469e-40	0.473830143517361	0.895	0.282	2.38556480344938e-37
si:ch73-281n10.2	8.72776171082405e-40	1.16614570810998	1	0.849	1.74555234216481e-36
sema3fa	9.32440339878112e-40	0.344993731137411	0.868	0.232	1.86488067975622e-36
dcn	6.30911355549975e-39	0.272212369758631	0.947	0.33	1.26182271109995e-35
tpx2	1.18696978855837e-38	1.26893265966619	0.816	0.243	2.37393957711673e-35
ube2c	1.35739813949609e-37	1.40520969463414	0.829	0.225	2.71479627899217e-34
mki67	1.7043122193072e-37	1.08728083662203	0.816	0.154	3.40862443861441e-34
tuba8l	7.02862245472344e-37	1.22166591262403	0.947	0.56	1.40572449094469e-33
emx2	6.97126842819059e-36	0.488044121840957	0.816	0.202	1.39425368563812e-32
cks2	7.72591098726918e-35	0.836253680233152	0.803	0.271	1.54518219745384e-31
hmgb2a	2.97371357478438e-34	1.1670725171835	1	0.927	5.94742714956876e-31
col12a1a	6.775786911033e-33	0.254908553448549	0.954	0.404	1.3551573822066e-29
stmn1a	1.38126842671334e-31	0.641048001919289	0.941	0.379	2.76253685342669e-28
ccna2	6.98072653842922e-31	1.10905055123276	0.803	0.237	1.39614530768584e-27
h3f3b.1	1.03480684699433e-30	0.960389876217314	1	0.895	2.06961369398867e-27
plk1	1.36104116120807e-29	1.11871049279617	0.789	0.277	2.72208232241614e-26
cdca8	3.18465205412344e-29	0.93694009133121	0.776	0.251	6.36930410824687e-26
ctsk	1.39386403121106e-27	0.25846795889927	0.901	0.36	2.78772806242212e-24
ms4a17a.11	2.21494234964574e-26	0.485656856911426	0.954	0.49	4.42988469929147e-23
cks1b	1.25941247597411e-25	0.874837322731396	0.789	0.197	2.51882495194823e-22
sfrp2	5.4947880165189e-25	0.43172535432325	0.882	0.353	1.09895760330378e-21
CABZ01058261.1	1.91548316818324e-24	0.957578952766977	0.75	0.174	3.83096633636647e-21
hoxd4a	2.58097175726187e-24	0.379144437339928	0.954	0.457	5.16194351452373e-21
dlx4b	6.53799494564974e-24	0.261300948985349	0.191	0.082	1.30759898912995e-20
pmp22a	1.89954221447917e-23	0.949131121335911	0.98	0.698	3.79908442895834e-20
ociad2	2.58160482580474e-23	0.306673780354002	0.829	0.284	5.16320965160949e-20
hmga1a	4.52234786007198e-23	0.680200342584269	1	0.879	9.04469572014396e-20
kpna2	5.13482128276394e-23	1.36681556714295	0.737	0.206	1.02696425655279e-19
aurka	9.32342465807092e-22	0.829949730284987	0.717	0.203	1.86468493161418e-18
g2e3	1.12038544477347e-21	0.957979810220899	0.711	0.152	2.24077088954693e-18
birc5a	2.37077205156274e-21	0.851989421129086	0.73	0.212	4.74154410312549e-18
dlgap5	4.89285511437374e-21	0.839937974645101	0.724	0.161	9.78571022874749e-18
foxp4	6.07168767813293e-21	0.536142607111501	0.947	0.509	1.21433753562659e-17
cxcl12a	8.45088075392955e-21	0.53227697926901	0.868	0.434	1.69017615078591e-17
cish	9.30673946153571e-21	0.253587731900301	0.921	0.43	1.86134789230714e-17
tp53inp2	8.5552201004583e-20	0.934340302804398	0.822	0.331	1.71104402009166e-16
ccl25b	3.48000741559848e-19	0.745859667577893	0.73	0.218	6.96001483119696e-16
top2a	1.16627740662664e-18	0.953782512751739	0.704	0.156	2.33255481325329e-15
rnd3a	1.53308968359438e-18	0.482466771234096	0.882	0.399	3.06617936718876e-15
kif11	5.28957534048021e-18	1.11721920688966	0.697	0.216	1.05791506809604e-14
tubb2b	9.29797419262091e-18	0.492295445215857	0.98	0.701	1.85959483852418e-14
tubb4b	5.26125684757405e-17	0.53447301623026	1	0.979	1.05225136951481e-13
tacc3	5.94707884863206e-17	0.804720665513588	0.711	0.244	1.18941576972641e-13
serpine1	1.1053224851246e-16	0.491945534721422	1	0.598	2.2106449702492e-13
kif23	1.15985614358934e-16	0.636106875744564	0.697	0.203	2.31971228717868e-13
tuba8l4	2.69825273645805e-16	0.488576563423058	0.967	0.666	5.3965054729161e-13
her6	2.71912828099446e-15	0.418214706868122	1	0.766	5.43825656198892e-12
ms4a17a.9	2.72899458519003e-15	0.458544057692955	0.829	0.398	5.45798917038007e-12
mych	3.87257365097094e-15	0.274137653893357	0.914	0.508	7.74514730194188e-12
dlx4a	1.03530803716573e-14	0.543208033234359	0.289	0.126	2.07061607433146e-11
cnn2	1.22746284369967e-14	0.495897917036384	0.961	0.595	2.45492568739934e-11
net1	1.96546740064225e-14	0.25659328833824	0.987	0.61	3.9309348012845e-11
lrrc17	4.52203069231703e-14	0.458653577428604	0.803	0.334	9.04406138463407e-11
tuba1b	1.38589873665211e-12	0.802962759498048	0.711	0.237	2.77179747330421e-09
lhx6	2.71782530133999e-12	0.270639628068486	0.711	0.21	5.43565060267997e-09
ackr3b	3.28488897440909e-12	0.28043591822301	0.776	0.316	6.56977794881818e-09
grem2b	2.17383607963567e-11	0.357850813053464	0.322	0.109	4.34767215927135e-08
jdp2b	4.79954776107027e-11	0.325034881447056	1	0.776	9.59909552214055e-08
cenpf	5.40209217760744e-11	0.738852013810343	0.645	0.126	1.08041843552149e-07
zfp36l1b	8.79716519512058e-11	0.337615935405843	1	0.675	1.75943303902412e-07
tpm4a	3.47500821925426e-10	0.327098657956179	0.974	0.632	6.95001643850853e-07
foxf2a	9.62726128836641e-10	0.45097246036374	0.743	0.331	1.92545225767328e-06
zgc:165555.7	1.01458167745983e-09	0.262157319589897	0.612	0.059	2.02916335491965e-06
hoxb3a	3.41734197371629e-09	0.292674551173057	0.816	0.392	6.83468394743258e-06
si:ch211-69g19.2	1.95530752572397e-08	1.06535861648972	0.618	0.138	3.91061505144795e-05
zgc:55461	2.01374422957592e-08	0.691492241450082	0.625	0.21	4.02748845915184e-05
cdc20	3.72029438250557e-08	1.23925035920947	0.625	0.171	7.44058876501113e-05
hoxa2b	8.51332809840285e-08	0.255129176645217	0.368	0.124	0.000170266561968057
prrx1a	3.52332698681044e-07	0.481042558331864	0.737	0.354	0.000704665397362087
mdka	3.6083803887954e-07	0.28744607945504	0.914	0.661	0.00072167607775908
nr2f1b	8.90128183955059e-07	0.374196943303962	0.355	0.168	0.00178025636791012
vasna	1.65255717610864e-06	0.279747477702778	0.408	0.141	0.00330511435221727
cdc14b	2.38191482359104e-06	0.774350653814471	0.691	0.39	0.00476382964718208
mibp	3.00943572014692e-06	0.6061761311997	0.651	0.269	0.00601887144029383
twist1a	3.47152897087717e-06	0.26638195330166	0.783	0.479	0.00694305794175435
psat1	8.05530173140942e-06	0.268788881837685	0.75	0.437	0.0161106034628189
rrm1	1.06884377738535e-05	0.428935271319532	0.671	0.278	0.021376875547707
tnc	1.65682547038048e-05	0.447752102548173	0.375	0.169	0.0331365094076096
lepa	1.69134798766324e-05	0.318835598657196	0.428	0.286	0.0338269597532649
