gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
sost	3.89195042351663e-37	0.424299800554808	0.925	0.257	7.78390084703326e-34
sfrp5	2.6807815747003e-30	0.27643263311899	0.84	0.192	5.36156314940059e-27
vstm4a	3.79927759070397e-29	0.362668799844293	0.887	0.311	7.59855518140794e-26
adgre10	9.73716445347267e-26	0.395420281940889	0.179	0.064	1.94743289069453e-22
lrrc17	1.08702067719391e-21	0.271691367059742	0.934	0.336	2.17404135438781e-18
twist2	9.4574088783353e-20	0.25382799130669	0.906	0.322	1.89148177566706e-16
hsp70l	1.10271341794957e-19	0.97515124920204	1	0.887	2.20542683589913e-16
fosab	1.14286650252569e-19	0.855935622630792	1	0.91	2.28573300505137e-16
dnajb1b	5.34057793853817e-18	0.977354518414936	1	0.817	1.06811558770763e-14
hsp70.2	5.13329420826104e-17	0.87515939769714	1	0.936	1.02665884165221e-13
hsp70.1	7.21834192154534e-16	0.855591354325796	1	0.903	1.44366838430907e-12
pcna	1.26206319938648e-15	0.802475566008205	0.858	0.389	2.52412639877296e-12
jdp2b	1.55990463008245e-15	0.891785620015319	1	0.778	3.11980926016491e-12
cyr61	2.3161895463575e-15	0.487187958328544	0.972	0.582	4.63237909271499e-12
hsp70.3	1.10070153808998e-14	0.74718027958344	1	0.971	2.20140307617995e-11
jun	1.72869010182316e-14	0.722240281569459	1	0.904	3.45738020364631e-11
mcm4	2.47191550902682e-14	0.794657392757203	0.802	0.356	4.94383101805364e-11
dut	3.43638687737714e-14	0.600382085379602	0.792	0.245	6.87277375475429e-11
stmn1a	1.44699159969666e-13	0.361281817634529	0.887	0.387	2.89398319939332e-10
dcn	1.565429417627e-12	0.327840640570556	0.84	0.34	3.13085883525399e-09
mcm6	8.82954996512784e-12	0.902266989297124	0.736	0.313	1.76590999302557e-08
hmgb2b	9.63390674950944e-12	0.38806077835014	0.981	0.795	1.92678134990189e-08
her6	1.86502228964496e-11	0.604203989923111	1	0.769	3.73004457928992e-08
mcm2	3.15722980963743e-11	0.863391333992573	0.736	0.263	6.31445961927486e-08
pax9	4.34851583863808e-10	0.318862240647915	0.689	0.204	8.69703167727616e-07
mab21l2	1.07494853813455e-09	0.692897828578155	0.745	0.25	2.1498970762691e-06
ubb	1.11463670996324e-09	0.56756219501094	1	0.808	2.22927341992648e-06
msx1b	2.17732332716862e-09	0.251704325470808	0.726	0.255	4.35464665433725e-06
gsc	3.91978148733634e-09	0.367795318134229	0.783	0.325	7.83956297467268e-06
serpinh1b	4.15783177251773e-09	0.354082274344345	1	0.905	8.31566354503546e-06
junba	1.09881162976734e-08	0.567618871982692	1	0.891	2.19762325953468e-05
mcm5	1.29650282306123e-08	0.638358237309771	0.698	0.207	2.59300564612246e-05
pmp22a	2.29168526989181e-08	0.372691537054389	0.981	0.701	4.58337053978363e-05
socs3b	4.81125770898396e-08	0.441812559226672	1	0.827	9.62251541796792e-05
si:ch73-335l21.4	5.21710679745893e-08	0.459986682041031	1	0.841	0.000104342135949179
ier2b	1.05598485198907e-07	0.539907386028033	0.925	0.604	0.000211196970397813
bambib	1.18284342987535e-06	0.287365107172602	0.717	0.317	0.00236568685975071
hsp90aa1.2	1.9164474009235e-06	0.348597645720877	1	0.97	0.003832894801847
cebpb	3.05455346131325e-06	0.261956306374334	1	0.753	0.00610910692262649
btg2	3.34199856731578e-06	0.347735663279161	0.991	0.74	0.00668399713463155
id2a	4.11917250935399e-06	0.306574114819484	0.972	0.683	0.00823834501870798
si:ch211-156b7.4	7.65445495153172e-06	0.76675187502055	0.66	0.27	0.0153089099030634
fen1	1.50630875474314e-05	0.682071114001228	0.67	0.267	0.0301261750948627
twist1b	2.30172739030605e-05	0.470967924450538	0.726	0.373	0.0460345478061211
