gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-66e2.5	5.31850183937436e-123	0.870729777224306	1	0.136	1.06370036787487e-119
hepacama	8.42176304866095e-121	1.35117726483839	1	0.154	1.68435260973219e-117
aatka	3.52326101937351e-89	0.250483447281088	0.914	0.136	7.04652203874702e-86
afap1l1b	1.07906662835829e-76	0.385078715939522	1	0.229	2.15813325671659e-73
tm4sf18	4.28030088101303e-74	0.956627408351822	1	0.309	8.56060176202605e-71
si:dkey-34d22.1	8.90738515760828e-74	0.894812735403922	1	0.263	1.78147703152166e-70
entpd3	4.89507677236746e-70	1.56683802064771	0.957	0.262	9.79015354473492e-67
ins	1.13733249675308e-69	3.64193059813346	0.86	0.122	2.27466499350617e-66
dkk1a	5.66556928888207e-66	0.408604102472271	1	0.259	1.13311385777641e-62
scn4ab	1.38736632724487e-65	2.54207001933555	1	0.378	2.77473265448974e-62
ly6m5	2.13666758110818e-56	1.3784745843741	1	0.395	4.27333516221637e-53
tspan12	4.84471751353002e-55	0.394333808531357	1	0.323	9.68943502706003e-52
tcap	1.03623881046116e-52	1.46157448911912	0.968	0.362	2.07247762092232e-49
ngfb	1.14929405566103e-51	0.301029199640546	0.946	0.279	2.29858811132207e-48
crip1	1.77473086815974e-50	0.356447584699908	1	0.421	3.54946173631948e-47
nr4a2b	5.57813147662437e-50	0.706766595616253	0.946	0.248	1.11562629532487e-46
hbegfb	1.46055278162289e-48	0.813464726486856	0.86	0.178	2.92110556324578e-45
mical3b	5.15214165983062e-48	0.262818719928798	1	0.355	1.03042833196612e-44
zgc:154093	3.07189530037468e-47	0.381574992956496	0.968	0.248	6.14379060074936e-44
nlgn3a	2.27006638688809e-45	0.332289433298662	1	0.326	4.54013277377617e-42
abhd6a	1.21244528808995e-43	1.92120194843433	1	0.479	2.42489057617991e-40
fstb	2.77373479136316e-43	1.32749540185602	0.989	0.393	5.54746958272633e-40
slc35c2	3.62153427458911e-42	1.49007744334631	0.925	0.314	7.24306854917822e-39
adam8a	4.06537493991449e-42	1.38442954848467	1	0.385	8.13074987982898e-39
