gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
esrrga	5.49838074231186e-182	0.875790228579469	0.977	0.029	1.09967614846237e-178
si:ch211-113g11.6	1.76885272037073e-162	0.28112253562373	0.942	0.045	3.53770544074146e-159
ntrk3b	3.80705100750029e-157	0.276302143229194	0.965	0.069	7.61410201500058e-154
neflb	3.01751615171984e-151	0.645882620732593	0.988	0.101	6.03503230343969e-148
atp2b3b	1.37382728791854e-121	0.504879924711727	0.988	0.066	2.74765457583709e-118
cbln1	7.23308019543231e-119	0.316707996896662	0.988	0.089	1.44661603908646e-115
prozb	4.49154736839156e-108	0.277447927715546	1	0.156	8.98309473678313e-105
slc2a3a	3.73002740821715e-107	0.973378052850542	0.988	0.128	7.4600548164343e-104
kcnip1b	1.7110335968029e-100	0.307040815518535	0.953	0.136	3.42206719360579e-97
pvalb6	7.91901241643305e-98	0.975083758063487	0.919	0.117	1.58380248328661e-94
si:dkey-175g6.2	1.52847255784638e-97	0.274661944519254	0.942	0.073	3.05694511569275e-94
atp1b1b	5.30070430514799e-94	0.698196073206071	1	0.141	1.0601408610296e-90
chga	1.46375447404179e-91	0.67001530442537	0.977	0.145	2.92750894808359e-88
ajap1	2.49898720438591e-91	0.407914944167615	0.174	0.028	4.99797440877183e-88
si:ch73-119p20.1	6.21540548760453e-91	1.1925790324091	1	0.198	1.24308109752091e-87
cdk5r2a	1.03995419482891e-89	1.30795177600511	0.965	0.138	2.07990838965782e-86
nptna	5.96900591974939e-89	1.57196355238957	0.953	0.12	1.19380118394988e-85
snap25b	1.16250902649155e-88	1.48318158367523	0.953	0.119	2.3250180529831e-85
hpcal4	1.90948773510163e-85	0.645516266840738	0.965	0.154	3.81897547020327e-82
sult4a1	2.77620110926663e-85	1.15650217516231	1	0.2	5.55240221853326e-82
rims2a	3.55875151909818e-85	0.578412710052843	0.919	0.115	7.11750303819636e-82
rab6ba	4.58196570803519e-85	0.436886738764542	0.965	0.198	9.16393141607038e-82
zgc:162989	2.73749466950591e-84	0.263014097101489	0.988	0.193	5.47498933901182e-81
tppp2	4.99696480756323e-83	0.619159343084904	1	0.227	9.99392961512646e-80
si:dkey-7j14.5	1.76801401496451e-82	1.52855342936037	1	0.214	3.53602802992901e-79
vip	1.51892462619245e-80	0.337306661002109	1	0.2	3.0378492523849e-77
prph	3.50541638043242e-78	1.08538405199135	1	0.257	7.01083276086485e-75
slc29a4	2.48520557637376e-73	0.496997392933952	1	0.228	4.97041115274752e-70
syngr3b	5.19039697537269e-73	1.13134597266053	0.977	0.236	1.03807939507454e-69
neurod1	2.29230217529533e-72	0.25992008096157	0.965	0.129	4.58460435059065e-69
scg2b	5.74333699713142e-72	1.29257511358622	1	0.213	1.14866739942628e-68
snap25a	8.07403366038027e-72	3.0969827663914	1	0.21	1.61480673207605e-68
ppp1r14c	1.01268002903767e-70	0.445384280624067	0.895	0.09	2.02536005807534e-67
sox1b	4.41351558316707e-70	0.33251470513966	0.07	0.126	8.82703116633414e-67
calb2b	1.62813502101726e-69	1.69867765412578	0.872	0.098	3.25627004203452e-66
zgc:65851	3.97422911527468e-69	0.318512083059405	0.872	0.092	7.94845823054936e-66
syt1a	7.62847929581223e-68	1.3153686289268	1	0.229	1.52569585916245e-64
plcxd3	4.03087680209722e-67	1.05323013151706	1	0.246	8.06175360419444e-64
syt4	1.2885269218459e-66	1.04330286311004	0.977	0.199	2.57705384369179e-63
nefmb	1.47477589267782e-66	0.953187587783153	0.93	0.095	2.94955178535564e-63
rab6bb	2.76094745144174e-66	1.58675023945663	1	0.279	5.52189490288349e-63
IGLON5	4.06710791706839e-66	0.976917592314531	0.977	0.28	8.13421583413678e-63
fgf13b	7.32698799380507e-66	1.46612825057308	0.965	0.228	1.46539759876101e-62
nsfa	2.52766122025927e-65	1.73811616037296	0.965	0.212	5.05532244051854e-62
stmn4	1.11645656271264e-64	1.60228560783729	0.977	0.249	2.23291312542527e-61
syn2a	3.50956588248263e-63	1.62407294845987	0.988	0.219	7.01913176496525e-60
chodl	4.62167641974961e-62	0.260186563209574	0.907	0.063	9.24335283949922e-59
olfm1b	1.42858716025638e-61	1.9623035360268	1	0.324	2.85717432051276e-58
scg5.1	9.72253347565572e-61	1.28171798965864	0.977	0.223	1.94450669513114e-57
islr2	1.4154658015197e-60	2.86472796705476	1	0.333	2.83093160303939e-57
stmn3	4.48323626917197e-60	0.705788428911181	0.663	0.072	8.96647253834394e-57
oxr1b	4.14275397414003e-59	0.37267234961011	1	0.315	8.28550794828006e-56
smdt1a	7.25965630762396e-59	0.516623294101755	0.93	0.177	1.45193126152479e-55
tuba2	9.64847646311198e-59	1.89355125825212	1	0.311	1.9296952926224e-55
atp6v1b2	1.14466916039351e-58	1.07278529655203	0.942	0.149	2.28933832078701e-55
kcnd3	1.41767265672401e-58	0.293688824869695	0.907	0.207	2.83534531344801e-55
sv2a	1.54051890369552e-58	0.829561623495132	0.872	0.123	3.08103780739105e-55
stmn4l	3.4134120503534e-58	2.50019732753335	1	0.356	6.8268241007068e-55
vgf	1.18126503515886e-57	1.01872444303281	1	0.247	2.36253007031773e-54
nfasca	1.20653986375715e-57	0.846290744078106	0.988	0.188	2.4130797275143e-54
ada	2.1926339061144e-57	0.447116388754475	0.988	0.358	4.38526781222879e-54
khdrbs2	7.64102047931849e-57	0.443402565717846	0.174	0.093	1.5282040958637e-53
si:dkey-184p18.2	4.81336304517915e-56	0.362506705324229	0.116	0.025	9.62672609035829e-53
fndc4b	1.34891677989441e-55	0.435244566955327	0.872	0.128	2.69783355978882e-52
ca10a	2.42828160425329e-54	0.260879847379293	0.105	0.221	4.85656320850657e-51
nsg2	4.44836030103096e-54	2.8309516541735	0.977	0.287	8.89672060206193e-51
hoxc8a	1.40759441009859e-53	0.812898620778841	0.86	0.167	2.81518882019718e-50
stmn2a	2.62816863319197e-53	2.26266295258115	1	0.374	5.25633726638394e-50
gbx2	2.98380954253131e-53	0.702863265943523	0.907	0.137	5.96761908506262e-50
gch1	3.31375009340236e-53	0.605108833380329	1	0.315	6.62750018680472e-50
map1aa	5.17550121777825e-53	2.13572109893168	0.965	0.319	1.03510024355565e-49
lrrn1	1.07752728917675e-51	0.604476854630625	1	0.231	2.1550545783535e-48
rnasekb	1.10381071107977e-51	2.61092372585683	1	0.428	2.20762142215954e-48
elavl4	2.40426690623959e-51	2.59084764267618	1	0.436	4.80853381247918e-48
sypa	3.92860385383622e-51	1.05743094736414	0.872	0.124	7.85720770767245e-48
dgkaa	4.20238160392743e-51	0.667819314089893	1	0.321	8.40476320785486e-48
si:dkey-205h13.1	5.62122294851336e-51	0.465418549704832	1	0.24	1.12424458970267e-47
cplx2	2.01595465482632e-50	1.71659077887013	0.977	0.317	4.03190930965265e-47
etv1	2.14590287964436e-50	0.538678618652846	1	0.312	4.29180575928873e-47
calm1b	7.45533027244763e-50	2.52765218945063	1	0.417	1.49106605448953e-46
pcsk1nl	1.33480831609106e-49	1.4238113371847	0.953	0.282	2.66961663218212e-46
kctd12.1	2.22688448659185e-49	0.284329132448186	0.942	0.278	4.4537689731837e-46
vamp2	5.49794879085754e-49	1.85627953684594	0.977	0.315	1.09958975817151e-45
tbx3a	6.90847491365626e-49	0.350404036713319	1	0.365	1.38169498273125e-45
zgc:65894	8.82369299581821e-49	2.37950615569858	0.977	0.35	1.76473859916364e-45
tspan7b	9.67118498111469e-49	1.57852001432509	0.988	0.232	1.93423699622294e-45
basp1	1.19963176232333e-48	1.5084377419422	0.977	0.303	2.39926352464666e-45
slc35g2a	1.98056791560792e-48	0.845869963011948	0.988	0.335	3.96113583121584e-45
atpv0e2	4.35207898977585e-48	2.2089294104863	0.988	0.327	8.70415797955171e-45
atp6v0cb	5.92966595481956e-48	2.56818735280445	1	0.453	1.18593319096391e-44
rtn1a	2.13216233703105e-47	2.09006773664841	1	0.497	4.26432467406209e-44
elavl3	3.04031526636487e-47	2.19599742623292	1	0.401	6.08063053272975e-44
chrna5	3.92383887867052e-47	1.4767659509088	1	0.371	7.84767775734104e-44
stmn1b	6.32501903975015e-47	2.43521346818438	0.988	0.446	1.26500380795003e-43
gbx1	2.30900156436614e-46	0.293030631683577	0.07	0.103	4.61800312873228e-43
cpe	4.48889058952138e-46	1.61621536889409	1	0.431	8.97778117904276e-43
pou4f1	1.00373301994513e-45	0.604035134651472	0.116	0.05	2.00746603989026e-42
eno2	1.18790714239737e-45	1.7081480838082	0.919	0.308	2.37581428479475e-42
hoxb10a	2.96374347259525e-45	0.703010385025786	0.221	0.078	5.9274869451905e-42
aldocb	4.07371884481208e-45	2.63038899985907	1	0.428	8.14743768962417e-42
nova2	5.04281493029062e-45	1.51368658419894	0.988	0.287	1.00856298605812e-41
tuba1c	2.56153307876041e-44	2.69075510195846	0.977	0.506	5.12306615752083e-41
SMIM18	2.80323402493328e-44	0.317756929090516	0.791	0.065	5.60646804986655e-41
otpb	3.12005588208569e-44	1.61235182250943	0.233	0.015	6.24011176417137e-41
anxa13l	4.9887453866462e-44	0.54303195495183	1	0.421	9.9774907732924e-41
scg3	1.08552303393671e-43	0.897198119974361	1	0.438	2.17104606787341e-40
sod2	6.14303979406105e-43	0.363583595800202	1	0.37	1.22860795881221e-39
gng3	6.63141450228505e-43	2.53041155011918	0.942	0.375	1.32628290045701e-39
gfra1a	8.47115067694844e-43	0.54934741649578	1	0.353	1.69423013538969e-39
stmn2b	9.64118782817965e-43	2.16955616200901	0.953	0.352	1.92823756563593e-39
zgc:103678	9.78286478578788e-43	0.305719916243973	0.791	0.058	1.95657295715758e-39
ret	2.39376396539224e-42	0.495859219688798	1	0.373	4.78752793078449e-39
eno1a	4.56620086814993e-42	2.75372019546595	1	0.416	9.13240173629986e-39
ywhag2	4.80577120315203e-42	2.48567317827501	0.988	0.466	9.61154240630406e-39
ppp1r1b	5.01732161642963e-42	0.255030696116215	0.965	0.336	1.00346432328593e-38
stx1b	1.28863911394148e-41	1.61955073835099	0.895	0.266	2.57727822788297e-38
si:dkeyp-120h9.1	1.63154910322738e-41	0.472637524105483	1	0.322	3.26309820645477e-38
sncb	2.57731439140574e-41	1.51383859760034	0.872	0.157	5.15462878281149e-38
calm3a.1	6.53619413687664e-40	2.22663877809897	0.988	0.697	1.30723882737533e-36
zgc:153426	8.4213295108243e-40	2.04779887109818	0.942	0.333	1.68426590216486e-36
si:dkeyp-75h12.5	1.00528620527252e-39	1.88492195218953	0.953	0.498	2.01057241054504e-36
tagln3b	1.36090372410314e-39	0.917677386965957	1	0.315	2.72180744820628e-36
arpp21	3.24677358952182e-39	0.469630953214138	1	0.394	6.49354717904364e-36
insm1b	3.28392843873886e-39	0.437489055899078	0.977	0.277	6.56785687747772e-36
pknox2	1.16499258426836e-38	0.648695941705705	0.942	0.369	2.32998516853672e-35
golga7ba	1.21843081743378e-38	1.61389885337315	0.884	0.195	2.43686163486756e-35
tmem59l	3.47993525000091e-37	2.02895900890236	0.907	0.388	6.95987050000181e-34
alcama	3.76350884414385e-36	1.38071133294171	1	0.405	7.52701768828769e-33
ywhag1	4.84020796397821e-36	0.837160797654759	0.837	0.197	9.68041592795641e-33
si:dkeyp-72g9.4	6.38320396229375e-36	0.916477660604551	0.86	0.284	1.27664079245875e-32
tuba1a	8.54515606283974e-36	1.91932039803773	0.965	0.444	1.70903121256795e-32
ckbb	1.77484380502874e-35	1.78961503820158	0.988	0.566	3.54968761005749e-32
phox2a	3.4207278701631e-35	0.728938597509283	1	0.474	6.8414557403262e-32
scrt1b	4.55620786172167e-35	0.662321110318684	0.709	0.067	9.11241572344334e-32
maptb	6.25862898929256e-35	1.36685264436391	1	0.477	1.25172579785851e-31
irx2a	6.69316745860065e-35	0.515155987126332	0.198	0.044	1.33863349172013e-31
si:ch211-195b15.8	1.01013591848884e-34	1.6551308441837	1	0.519	2.02027183697769e-31
