gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
sost	2.97496674726936e-54	0.492765745705605	1	0.26	5.94993349453873e-51
si:dkey-12l12.1	4.12796888396001e-52	0.324368840087401	1	0.312	8.25593776792003e-49
tnn	4.37174372123187e-52	0.571933427776469	1	0.218	8.74348744246374e-49
spon2b	2.67277362175973e-47	0.804557262540588	0.987	0.297	5.34554724351945e-44
her2	2.82477461264014e-45	1.61323727398405	1	0.464	5.64954922528028e-42
ism1	6.28003656099243e-37	0.693882615601691	0.987	0.387	1.25600731219849e-33
zgc:114130	1.26469884762425e-36	0.275922675882202	0.961	0.239	2.5293976952485e-33
ecrg4a	1.52974343626096e-35	1.01401277611378	1	0.527	3.05948687252191e-32
cd248a	2.85635269938267e-35	0.693731153623606	0.974	0.293	5.71270539876535e-32
her15.1.1	2.63264248090008e-33	1.12187013653352	1	0.47	5.26528496180016e-30
lhx6	3.10477556994841e-33	0.310763341421423	0.934	0.215	6.20955113989681e-30
her15.1	3.54907395292134e-33	1.39687693774181	1	0.502	7.09814790584267e-30
cdon	4.48713215076343e-32	0.377044031557468	0.947	0.221	8.97426430152686e-29
dlx4a	5.29342489203477e-32	1.72877738667945	0.868	0.117	1.05868497840695e-28
foxi1	1.3220369408858e-31	0.288251689211261	0.526	0.063	2.64407388177159e-28
hey1	6.85365685884087e-31	0.800251469882831	1	0.457	1.37073137176817e-27
aldh1a2	6.03723283945092e-28	0.574634158501501	0.895	0.195	1.20744656789018e-24
dlx3b	1.4142086005923e-26	1.25877120621631	0.868	0.225	2.8284172011846e-23
fmoda	1.22023031454047e-25	0.876957353857277	1	0.464	2.44046062908094e-22
id1	6.31298566195396e-24	1.5908751708353	0.987	0.712	1.26259713239079e-20
dlx5a	1.29140015354647e-22	1.15221875428566	0.868	0.311	2.58280030709293e-19
ndnf	1.62620493564607e-21	0.535484843190873	0.961	0.362	3.25240987129214e-18
lrrc17	2.57378648901901e-21	0.272946679684179	0.987	0.339	5.14757297803802e-18
si:dkey-16p21.8	1.25761125681926e-20	0.598613419618816	0.961	0.375	2.51522251363853e-17
her6	4.22250134900022e-20	1.64928430980866	1	0.771	8.44500269800044e-17
dlx4b	5.77401485798132e-20	0.827056896145432	0.776	0.073	1.15480297159626e-16
txnipb	4.93457159501405e-19	0.4814966249141	0.197	0.049	9.8691431900281e-16
bmp5	9.14485499271435e-19	0.504939846876442	0.961	0.435	1.82897099854287e-15
emx2	1.07130564670214e-18	0.874400632920744	0.803	0.214	2.14261129340428e-15
foxc1a	6.02351615016895e-18	0.382858453381969	0.987	0.373	1.20470323003379e-14
ms4a17a.9	1.16748975103646e-17	0.382597623833504	0.974	0.403	2.33497950207292e-14
id3	2.23143598808079e-17	1.14404243956508	0.974	0.561	4.46287197616159e-14
foxp4	2.97968661339487e-17	0.749139243820756	0.987	0.516	5.95937322678973e-14
lmo4b	9.95920482410102e-17	0.418236143510321	0.855	0.299	1.9918409648202e-13
mcm2	1.93352604118303e-16	0.868398819356864	0.842	0.265	3.86705208236605e-13
hmgb2b	2.38852988612284e-16	0.65251890177379	0.987	0.797	4.77705977224568e-13
bhmt	7.90207840854254e-16	0.609908273803059	1	0.573	1.58041568170851e-12
mcm6	2.59504076812578e-15	0.680667302543232	0.842	0.315	5.19008153625156e-12
mych	2.81300316458872e-15	0.348420117785271	1	0.514	5.62600632917745e-12
cyr61	8.04048538786031e-15	0.668842487259074	0.934	0.586	1.60809707757206e-11
si:dkey-23i12.7	1.7347465524334e-14	0.30758885798052	0.921	0.402	3.46949310486681e-11
mdka	2.12745560368916e-14	0.541001809059164	0.987	0.664	4.25491120737831e-11
her9	2.23687337764956e-14	1.43611231814757	1	0.71	4.47374675529912e-11
fgfbp2a	4.1475947103627e-14	0.710044448890966	0.329	0.082	8.29518942072539e-11
pcna	1.07826544573037e-13	0.748103682607219	0.882	0.392	2.15653089146074e-10
mcm4	2.16196872886116e-13	0.915952086966955	0.829	0.359	4.32393745772231e-10
ramp2	4.21711791519578e-13	0.402308488001225	0.882	0.352	8.43423583039155e-10
arpc1b	8.92078174876167e-13	0.259955339948112	0.974	0.512	1.78415634975233e-09
col6a1	9.46694512748475e-12	0.300611431650322	0.868	0.35	1.89338902549695e-08
si:ch211-222l21.1	1.02812631279431e-11	0.342606119776571	1	0.826	2.05625262558862e-08
mab21l2	5.57401972853177e-11	0.461145728603253	0.816	0.252	1.11480394570635e-07
angptl4	6.10046129334187e-11	0.478756055019474	1	0.766	1.22009225866837e-07
jdp2b	1.09298376772778e-10	0.417412101331781	1	0.78	2.18596753545555e-07
net1	1.4424084560462e-10	0.41392329483522	1	0.618	2.88481691209241e-07
mcm5	1.64332237998988e-10	0.809634518279709	0.75	0.21	3.28664475997975e-07
larp4ab	2.5186487130641e-10	0.291248157123883	0.816	0.313	5.03729742612819e-07
pmp22a	2.99157895015364e-10	0.437503476344468	1	0.703	5.98315790030729e-07
socs3b	3.02868009425693e-10	0.717625122778477	1	0.829	6.05736018851386e-07
hspbp1	7.65451682815283e-10	0.360057853321202	1	0.697	1.53090336563057e-06
msx1b	8.07030542640096e-10	0.694348842502431	0.763	0.258	1.61406108528019e-06
stmn1a	1.10484047875277e-09	0.482629762645086	0.868	0.391	2.20968095750554e-06
cdca7a	2.62204203531796e-09	0.808113575970223	0.724	0.226	5.24408407063592e-06
hmga1a	2.65806612195473e-09	0.401117562057671	1	0.881	5.31613224390945e-06
id2a	3.99171955233873e-09	0.544124680959841	1	0.685	7.98343910467746e-06
klf6a	1.15087696580278e-08	0.551520912674126	1	0.829	2.30175393160555e-05
si:ch73-335l21.4	3.18025070137893e-08	0.569538680015373	1	0.842	6.36050140275785e-05
cish	3.71666201187736e-08	0.425310113942078	0.855	0.441	7.43332402375472e-05
tgfbi	6.3010813088106e-08	0.658154021292432	0.803	0.383	0.000126021626176212
junba	7.09574939736288e-08	0.477547988516021	1	0.892	0.000141914987947258
btg2	1.37696170260415e-07	0.428439152632509	0.974	0.742	0.00027539234052083
mcm3	3.27080614829167e-07	0.702734366247571	0.697	0.227	0.000654161229658333
gadd45ab	5.14154170187956e-07	0.277744317374948	0.829	0.444	0.00102830834037591
cebpd	4.13884500670343e-06	0.637081160867293	1	0.804	0.00827769001340686
zgc:171759	9.88465003257402e-06	0.281028818351825	0.237	0.109	0.019769300065148
jun	1.28902898899406e-05	0.340216623116167	1	0.905	0.0257805797798813
fen1	1.30071574711825e-05	0.612398499327592	0.724	0.269	0.026014314942365
nop58	1.67497685489962e-05	0.373342355180366	0.816	0.454	0.0334995370979925
dnajb1b	2.36024938442865e-05	0.419240399943521	1	0.818	0.047204987688573
