gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
col1a2	1.4894799099678e-103	1.87753354188488	0.957	0.57	2.97895981993561e-100
pmp22a	2.79123720092723e-94	1.87404800862797	0.975	0.688	5.58247440185446e-91
fosab	8.67423652327211e-94	2.08738837616237	0.989	0.906	1.73484730465442e-90
jdp2b	2.44488450411963e-59	1.86060939456999	0.914	0.774	4.88976900823926e-56
jun	3.77653767878783e-57	1.33581712476509	0.964	0.902	7.55307535757567e-54
hsp70.2	1.2011232251749e-51	1.16619890832489	0.989	0.933	2.4022464503498e-48
col1a1b	2.46544299576022e-51	1.49245808847718	0.714	0.483	4.93088599152045e-48
sparc	6.80281700229011e-51	1.04905000411617	0.979	0.819	1.36056340045802e-47
col1a1a	3.21816066594038e-49	0.842599147280934	0.793	0.592	6.43632133188077e-46
lrrc17	1.96023030231987e-47	1.71180975377482	0.614	0.332	3.92046060463974e-44
mxra8b	5.77579516828329e-47	1.66852471584002	0.668	0.448	1.15515903365666e-43
meis2a.1	1.20205973561463e-46	1.78756956090939	0.521	0.248	2.40411947122926e-43
foxf2a	6.81563150322901e-46	2.04278612344109	0.582	0.328	1.3631263006458e-42
cdh11	3.28596501781247e-44	1.60755929310821	0.714	0.536	6.57193003562494e-41
si:ch73-335l21.4	2.14740326330484e-43	1.51199831142593	0.893	0.841	4.29480652660969e-40
junba	4.1793712667645e-42	1.09817824288896	0.957	0.889	8.358742533529e-39
col6a1	2.47392401845858e-41	1.78146063776137	0.579	0.343	4.94784803691717e-38
dnajb1b	3.77567463595908e-41	1.15025858713589	0.939	0.813	7.55134927191815e-38
socs3b	2.46783321702127e-40	1.27341821594591	0.9	0.827	4.93566643404253e-37
hsp70.1	9.58163220944557e-40	1.19325553815274	0.961	0.901	1.91632644188911e-36
rbp5	1.12647935139682e-39	1.27660910053733	0.6	0.338	2.25295870279363e-36
gsc	3.54321947982522e-39	2.47902071184725	0.546	0.321	7.08643895965044e-36
hsp70.3	7.04065843957516e-36	0.828190267875057	1	0.97	1.40813168791503e-32
socs3a	3.44437143898215e-35	1.49145705868824	0.764	0.664	6.8887428779643e-32
si:ch211-286o17.1	1.33868021282566e-34	1.44476630016233	0.6	0.403	2.67736042565132e-31
btg2	4.68132152171179e-34	1.39690842692363	0.804	0.742	9.36264304342358e-31
ier2a	1.42454503774377e-33	1.06711275496891	0.918	0.855	2.84909007548755e-30
dcn	2.85899884344636e-33	1.59558611196993	0.539	0.339	5.71799768689271e-30
hsp70l	1.29129847040269e-32	0.823020480881925	0.957	0.885	2.58259694080538e-29
prrx1b	1.82931958286257e-31	1.19465035928848	0.429	0.238	3.65863916572514e-28
zfp36l2	1.21418448352444e-28	1.5592225031136	0.561	0.411	2.42836896704887e-25
ms4a17a.9	1.80234320760797e-27	1.38171665631103	0.571	0.402	3.60468641521595e-24
sfrp2	1.18083290944922e-25	2.27619234372308	0.511	0.362	2.36166581889843e-22
ccdc3b	2.44642022054749e-25	1.77012770741469	0.514	0.364	4.89284044109498e-22
s100v2	4.91101426484471e-25	1.33740393242151	0.6	0.497	9.82202852968941e-22
grem2b	9.29857516020026e-24	0.852994437565014	0.161	0.114	1.85971503204005e-20
efna2a	1.07323623179771e-22	1.62290784730054	0.482	0.373	2.14647246359542e-19
zgc:162730	1.24080138719727e-22	0.968554261859175	0.904	0.873	2.48160277439453e-19
crip1	1.48951749228029e-22	0.253347859805668	0.096	0.461	2.97903498456057e-19
cebpd	5.75945910755877e-22	1.5347985377424	0.782	0.809	1.15189182151175e-18
ubb	6.0549458386505e-22	1.13742178645434	0.843	0.811	1.2109891677301e-18
apln	6.33806343662467e-22	1.25118378221897	0.393	0.268	1.26761268732493e-18
fibina	1.3286623971654e-20	0.744016783673998	0.346	0.238	2.65732479433079e-17
cyr61	1.7853014939782e-20	1.40695073571987	0.654	0.588	3.57060298795639e-17
fmoda	6.86188234738275e-20	1.66649534937933	0.561	0.468	1.37237646947655e-16
cxcl12a	9.03077279504473e-20	2.37276025409281	0.536	0.444	1.80615455900895e-16
ackr3b	1.36323828017126e-19	1.63506258649215	0.436	0.326	2.72647656034252e-16
cygb1	7.03328792407234e-19	0.352810613721042	0.079	0.417	1.40665758481447e-15
cd82a	1.8428677945258e-18	0.540611928326897	0.732	0.673	3.6857355890516e-15
prrx1a	2.98399492296577e-18	0.911894751950342	0.475	0.36	5.96798984593155e-15
sdc4	4.10735789254785e-18	0.550371272724727	0.968	0.944	8.21471578509569e-15
twist1b	6.33848217542196e-17	1.08866537915652	0.468	0.376	1.26769643508439e-13
cyp2ad3	1.64317801793161e-16	1.31434411595599	0.414	0.313	3.28635603586322e-13
cebpb	1.95779273845024e-16	0.966680918175024	0.786	0.758	3.91558547690048e-13
si:dkeyp-44a8.4	8.32065945860391e-16	0.716328561824246	0.175	0.137	1.66413189172078e-12
agmo	1.559420674147e-15	0.27580837598691	0.146	0.474	3.118841348294e-12
twist3	1.88479884830272e-15	0.757823216675069	0.179	0.138	3.76959769660544e-12
ociad2	3.00895372277845e-15	0.962708736027747	0.404	0.297	6.0179074455569e-12
ms4a17a.11	3.25572556493234e-15	0.984863162294364	0.561	0.503	6.51145112986468e-12
serpinf1	5.60534228285489e-15	1.61761421126859	0.446	0.357	1.12106845657098e-11
wnt11r	1.40556917215977e-14	1.8858653691804	0.443	0.384	2.81113834431953e-11
her15.1.1	1.4130524012049e-14	0.523774603792436	0.161	0.505	2.8261048024098e-11
lpl	1.63596040897149e-14	0.877808311926246	0.279	0.24	3.27192081794298e-11
hoxa2b	2.54918955720188e-14	0.37489720810323	0.139	0.133	5.09837911440375e-11
p4ha1b	4.35036981168695e-14	0.300052912859024	0.161	0.174	8.7007396233739e-11
klf6a	1.18870212693888e-13	0.894039268207195	0.811	0.834	2.37740425387776e-10
fam69c	1.40615743331844e-13	0.421952098674394	0.114	0.409	2.81231486663688e-10
ppdpfb	1.49523613842466e-13	0.279425619967822	1	0.991	2.99047227684931e-10
zgc:153704	1.78845105630326e-13	1.90242801000838	0.475	0.438	3.57690211260651e-10
serpinh1b	1.79496254497841e-13	0.573364002504798	0.946	0.905	3.58992508995683e-10
rgs5a	2.85407755670913e-13	1.53714217174462	0.525	0.507	5.70815511341825e-10
zgc:112437	3.5821164401801e-13	0.794954775136938	0.071	0.349	7.1642328803602e-10
irx5a	7.52873443036916e-13	0.271231114752524	0.086	0.119	1.50574688607383e-09
ttc36	9.52018454686227e-13	0.371901430533487	0.111	0.375	1.90403690937245e-09
ier2b	1.13272801984345e-12	0.857555809747144	0.629	0.611	2.26545603968689e-09
selenop	1.31682909737676e-12	1.80145498728833	0.507	0.492	2.63365819475352e-09
myl9a	2.73951227173211e-12	0.342750238984593	0.196	0.506	5.47902454346422e-09
vasna	1.38289502048437e-11	0.445713523304396	0.168	0.15	2.76579004096874e-08
mmp2	2.39783080624651e-11	0.725969221133722	0.661	0.64	4.79566161249301e-08
twist2	3.00887164202689e-11	1.16853337140894	0.404	0.333	6.01774328405378e-08
twist1a	3.00992177386699e-11	0.832956996680889	0.543	0.487	6.01984354773398e-08
ctsk	4.91117569790426e-11	0.843337555172089	0.425	0.378	9.82235139580852e-08
ccnd1	5.73335932093236e-11	0.834044195093998	0.454	0.425	1.14667186418647e-07
lum	5.90445596824667e-11	2.05153603122086	0.446	0.392	1.18089119364933e-07
col6a3	6.03038347144631e-11	1.3416426861751	0.393	0.326	1.20607669428926e-07
cebpa	7.22851547941316e-11	0.384252765483327	0.125	0.425	1.44570309588263e-07
col5a2a	1.08666427349661e-10	0.986839278255207	0.411	0.349	2.17332854699322e-07
cd248a	1.4436287280626e-10	1.04463800689472	0.357	0.302	2.88725745612521e-07
hsd11b2	2.10224034505617e-10	0.735444597532794	0.2	0.19	4.20448069011235e-07
serpine1	2.73545255952266e-10	0.811379625891737	0.614	0.614	5.47090511904532e-07
ppdpfa	3.03274443157279e-10	0.751493092614896	0.257	0.597	6.06548886314559e-07
her6	3.38414633567229e-10	0.878299565173094	0.75	0.777	6.76829267134458e-07
foxp4	3.55414487198218e-10	0.988963573165527	0.546	0.524	7.10828974396436e-07
bag3	9.27764020436453e-10	0.306242374599532	0.225	0.535	1.85552804087291e-06
tpm4a	1.0296085767761e-09	0.315411430435151	0.739	0.638	2.05921715355219e-06
fthl27	1.15128158249225e-09	0.390781767369909	0.986	0.971	2.3025631649845e-06
f3b	1.62478229557979e-09	1.3234827179671	0.546	0.555	3.24956459115959e-06
zgc:153911	1.63212674839103e-09	0.404477563143174	0.146	0.439	3.26425349678205e-06
aldh1a2	1.70236290812363e-09	1.34014429573754	0.189	0.21	3.40472581624727e-06
foxd2	1.87869161747128e-09	0.523429737173969	0.132	0.119	3.75738323494255e-06
dusp2	2.28845249201707e-09	0.790448292785737	0.382	0.376	4.57690498403414e-06
crabp1b	3.08751886170878e-09	2.30902426054011	0.311	0.297	6.17503772341756e-06
fn1b	3.89391938386388e-09	0.535019546583795	0.107	0.323	7.78783876772777e-06
si:ch73-281n10.2	5.73858020500014e-09	0.323031729178176	0.914	0.85	1.14771604100003e-05
barx1	6.52447223905868e-09	0.948555515826772	0.254	0.254	1.30489444781174e-05
si:dkey-12l12.1	7.33308926317657e-09	0.642327601960429	0.129	0.341	1.46661785263531e-05
fzd8a	7.50863882446235e-09	0.45451337797226	0.2	0.247	1.50172776489247e-05
CABZ01085139.1	1.03908303849673e-08	0.298631185108371	0.082	0.315	2.07816607699346e-05
cldn11a	1.11432502683412e-08	0.737359846336825	0.154	0.397	2.22865005366823e-05
si:ch1073-459j12.1	1.13908241440145e-08	1.25446620910302	0.336	0.278	2.2781648288029e-05
slc16a10	2.25785071082863e-08	0.387753243398134	0.175	0.442	4.51570142165726e-05
rnd3a	2.4230586520722e-08	0.749001070214095	0.425	0.417	4.8461173041444e-05
