gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hmgb2a	1.37276497613764e-46	2.7105074961824	1	0.928	2.74552995227527e-43
ccna2	1.48815803276451e-44	1.99650487420755	0.921	0.246	2.97631606552902e-41
aurkb	1.70531580185076e-41	2.03170479637356	0.908	0.325	3.41063160370152e-38
h3f3b.1	7.12485131079906e-41	2.06805648180638	1	0.897	1.42497026215981e-37
hmgn2	1.01635324224705e-40	2.14692320127697	1	0.957	2.03270648449409e-37
hmga1a	4.10179574342494e-40	1.91804959419178	1	0.881	8.20359148684988e-37
hmgb2b	7.71713079250908e-40	1.86855715881827	1	0.797	1.54342615850182e-36
tubb2b	1.74025358703592e-39	2.21102143015322	0.987	0.706	3.48050717407185e-36
tuba8l4	6.89159234520356e-38	1.94518972428284	0.987	0.671	1.37831846904071e-34
stmn1a	1.53327123518406e-36	2.29773481926287	0.921	0.39	3.06654247036813e-33
cks1b	2.35588791727266e-35	1.74419179755771	0.816	0.208	4.71177583454533e-32
si:ch73-281n10.2	5.4951487123701e-35	1.59568376918119	1	0.852	1.09902974247402e-31
mibp	7.09314332509963e-32	2.34134342887551	0.789	0.274	1.41862866501993e-28
rrm1	8.89071034223176e-30	1.72927375992502	0.789	0.283	1.77814206844635e-26
tuba8l	1.85071388117788e-29	1.7977207945936	0.947	0.568	3.70142776235576e-26
cdk1	2.22074577310855e-29	1.80860676662727	0.776	0.287	4.44149154621709e-26
mki67	1.89073014425638e-28	1.70310960177716	0.671	0.17	3.78146028851277e-25
tubb4b	1.09348304616929e-27	1.16907441518367	1	0.98	2.18696609233859e-24
tpx2	1.44545784708391e-27	1.70585628378345	0.724	0.256	2.89091569416782e-24
mad2l1	4.90399670528283e-27	1.56253673695335	0.711	0.235	9.80799341056566e-24
rrm2	1.83602440407643e-26	2.48328522906898	0.711	0.231	3.67204880815287e-23
zgc:110540	4.56637584599781e-26	1.97705402619328	0.645	0.18	9.13275169199561e-23
ube2c	8.47390613449961e-26	1.69173381276131	0.711	0.239	1.69478122689992e-22
dlgap5	1.3777162545955e-24	1.32283490351302	0.618	0.174	2.755432509191e-21
top2a	1.56615168237791e-23	1.5311540755639	0.592	0.169	3.13230336475582e-20
plk1	1.78350669082739e-23	1.85783797848677	0.684	0.289	3.56701338165478e-20
pcna	7.11465084622534e-23	2.1592441726055	0.829	0.393	1.42293016924507e-19
sb:cb81	4.97474475353364e-22	2.11954888682997	0.789	0.467	9.94948950706727e-19
pclaf	5.29334805321218e-22	1.46587815097463	0.605	0.19	1.05866961064244e-18
foxd3	5.49705863361425e-21	2.35914209677704	0.724	0.423	1.09941172672285e-17
cdca8	9.95814949645165e-21	1.40225966597327	0.632	0.264	1.99162989929033e-17
birc5a	9.35945373966219e-20	1.25279809931005	0.592	0.224	1.87189074793244e-16
rrm2.1	2.22072912132479e-19	2.21844253456585	0.579	0.219	4.44145824264957e-16
CABZ01058261.1	2.48418331977654e-19	1.21683406030051	0.553	0.189	4.96836663955309e-16
nusap1	4.06295574758552e-19	1.66411275202392	0.658	0.33	8.12591149517104e-16
kifc1	6.1797476627104e-19	1.44567063279443	0.605	0.263	1.23594953254208e-15
asf1ba	1.31785282478095e-18	1.37130196296589	0.579	0.225	2.63570564956191e-15
cdc20	8.26517847710718e-18	1.10088618355656	0.526	0.182	1.65303569542144e-14
tuba8l3	1.08915926648747e-16	1.11188037563945	0.895	0.614	2.17831853297494e-13
esco2	2.57823055538563e-16	1.03890475917832	0.421	0.118	5.15646111077125e-13
dut	1.37039305698867e-15	1.60294304358212	0.566	0.253	2.74078611397735e-12
hoxb5b	6.19737999103831e-15	1.12691120062581	0.763	0.507	1.23947599820766e-11
phox2bb	6.21177147898848e-15	1.28826881801817	0.763	0.486	1.2423542957977e-11
ccnb1	1.75097383896486e-14	1.05391020918816	0.434	0.158	3.50194767792972e-11
slc29a2	3.24458906047242e-14	1.43981531313911	0.421	0.147	6.48917812094484e-11
scn4ab	3.78229673081154e-14	2.01979673620288	0.632	0.388	7.56459346162309e-11
tuba1a	4.40334863051105e-14	0.558611241748908	0.803	0.449	8.8066972610221e-11
cenpf	6.56598590821452e-14	1.00244778118658	0.408	0.141	1.3131971816429e-10
tuba1c	8.41810176694168e-14	0.336795222209507	0.816	0.51	1.68362035338834e-10
zgc:110425	1.26710477817086e-13	1.00460503305941	0.487	0.223	2.53420955634173e-10
si:ch211-156b7.4	1.39502439457384e-13	0.995204636028731	0.566	0.275	2.79004878914769e-10
sox10	2.03401026360227e-13	1.10544958819314	0.789	0.599	4.06802052720454e-10
g2e3	9.48902771793027e-13	0.946588213907117	0.421	0.169	1.89780554358605e-09
slbp	2.27376964693299e-12	1.00832511263817	0.421	0.192	4.54753929386598e-09
tuba1b	2.96217667182954e-12	0.920737331470144	0.5	0.25	5.92435334365907e-09
si:ch211-69g19.2	3.40039743239778e-12	1.14390939939242	0.395	0.152	6.80079486479555e-09
her6	2.68527023179216e-11	1.48849429326523	0.908	0.773	5.37054046358431e-08
ccnb3	4.78117072539867e-11	0.613755649387163	0.237	0.076	9.56234145079733e-08
prc1a	6.20923835243894e-11	0.847719999609488	0.382	0.165	1.24184767048779e-07
kmt5ab	2.88318016043338e-10	0.655093797186319	0.289	0.113	5.76636032086676e-07
h2afx	4.83336735164318e-10	0.737649784813966	0.447	0.244	9.66673470328636e-07
crip2	5.65819765396545e-10	1.05672557819939	0.658	0.5	1.13163953079309e-06
prc1b	6.96876735164235e-10	1.00945836516298	0.434	0.218	1.39375347032847e-06
dck	1.03719464262297e-09	1.09575195942518	0.447	0.257	2.07438928524593e-06
kif23	1.07176578055743e-09	1.06836288621103	0.421	0.218	2.14353156111486e-06
cdc6	1.11086980754277e-09	0.859475749508836	0.289	0.138	2.22173961508554e-06
fabp7a	1.69248110294034e-09	2.0413952523546	0.526	0.347	3.38496220588069e-06
maptb	3.62895261702987e-09	1.19396049801731	0.632	0.486	7.25790523405975e-06
ngfrb	4.08776551536405e-09	0.971087751449538	0.566	0.391	8.17553103072809e-06
fen1	5.54861446755142e-09	0.986550722942594	0.447	0.275	1.10972289351028e-05
