gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
slc2a3a	8.27311211762902e-50	2.72329771582548	0.864	0.139	1.6546224235258e-46
plcxd3	1.89092151881646e-40	3.26640363649256	0.955	0.255	3.78184303763293e-37
fgf13b	1.90537013789417e-38	2.23772564856136	0.909	0.237	3.81074027578835e-35
syt1a	1.24384914783603e-37	2.18096827693213	0.932	0.239	2.48769829567207e-34
etv1	5.30118536044228e-36	2.84860305054706	0.977	0.319	1.06023707208846e-32
islr2	5.42560560431097e-36	3.66855776868999	0.977	0.34	1.08512112086219e-32
sncb	1.57875665482773e-34	2.10750349646552	0.909	0.164	3.15751330965546e-31
zgc:65894	1.95680263214337e-34	3.54852256868304	1	0.357	3.91360526428674e-31
sult4a1	3.23216368576398e-34	1.73284066986602	0.841	0.211	6.46432737152796e-31
chrna5	4.68640972726894e-34	2.70336356102434	1	0.378	9.37281945453788e-31
stmn2b	5.30323584644941e-34	3.68751444902527	1	0.358	1.06064716928988e-30
stmn2a	5.76418374962617e-34	3.42898053441545	1	0.381	1.15283674992523e-30
mllt11	8.34305022699005e-34	3.0518356882423	1	0.362	1.66861004539801e-30
adcyap1b	6.20908251886908e-33	5.02629766114355	0.955	0.303	1.24181650377382e-29
olfm1b	7.57300498272242e-33	2.33948920037039	0.977	0.331	1.51460099654448e-29
maptb	4.6221743758705e-32	2.89351966513266	1	0.483	9.244348751741e-29
gng3	4.91015697541219e-32	3.12423290459498	1	0.38	9.82031395082439e-29
tspan18a	5.75256651713209e-32	3.47795800874084	1	0.523	1.15051330342642e-28
dgkaa	7.47160210561025e-32	2.78159880109236	0.932	0.329	1.49432042112205e-28
atp1a3a	1.5929930513882e-31	1.46077644608135	0.705	0.08	3.18598610277639e-28
gap43	3.74788504736538e-31	3.36149321111	1	0.459	7.49577009473076e-28
tuba1a	1.33327265886208e-30	3.36728087717062	1	0.45	2.66654531772415e-27
hsbp1a	2.0158406509504e-30	2.94439422953161	1	0.507	4.03168130190081e-27
scg5.1	3.37710126794323e-30	1.91933530483244	0.864	0.232	6.75420253588646e-27
snap25a	4.15016576319278e-30	1.63740018506069	0.932	0.22	8.30033152638556e-27
ywhag2	5.50799463897302e-30	2.88213247488801	1	0.471	1.1015989277946e-26
gch1	6.96845064757965e-30	2.11389043728509	0.932	0.323	1.39369012951593e-26
nfasca	8.68222777348989e-30	2.27132749390998	0.864	0.198	1.73644555469798e-26
zgc:101840	9.46539270037314e-30	1.83752078687659	0.932	0.23	1.89307854007463e-26
pcsk1nl	1.42783272882315e-29	2.26700110940548	0.909	0.29	2.85566545764631e-26
tuba1c	1.68120543622577e-29	3.25231637241297	1	0.51	3.36241087245154e-26
map1b	1.74368666591159e-29	1.92307459041391	0.864	0.207	3.48737333182319e-26
gng2	1.83375017851858e-29	2.46316138422784	1	0.444	3.66750035703716e-26
nsg2	2.38719113840595e-29	2.49187345379106	0.977	0.294	4.77438227681191e-26
rnasekb	1.50463822323079e-28	2.37810803784153	1	0.434	3.00927644646157e-25
dpysl3	1.58850004469135e-28	2.36010201932611	0.955	0.326	3.17700008938271e-25
vim	1.64176600246581e-28	2.62266747811519	1	0.558	3.28353200493161e-25
alcama	1.97393313775608e-28	2.954558390353	0.955	0.411	3.94786627551216e-25
tubb5	2.10183727918389e-28	2.97627606617404	1	0.366	4.20367455836778e-25
atp6v0cb	4.56044553975808e-28	2.51353264906278	1	0.459	9.12089107951616e-25
cpe	6.66110971865917e-28	2.43732877284185	0.955	0.438	1.33222194373183e-24
stmn1b	1.49635824353757e-27	2.73202946762933	1	0.451	2.99271648707515e-24
tuba2	1.68605148702854e-27	1.99224085378799	0.932	0.32	3.37210297405709e-24
aldocb	2.80233210547756e-27	2.12670844738961	0.977	0.435	5.60466421095513e-24
syn2a	3.03042051673379e-27	1.73659585981683	0.841	0.229	6.06084103346758e-24
vgf	3.8459996614095e-27	2.12367298124068	0.841	0.257	7.691999322819e-24
vamp2	2.81048360306458e-26	1.89425743327307	0.932	0.323	5.62096720612917e-23
sult6b1	3.41092214167747e-26	3.4124277697979	0.977	0.712	6.82184428335495e-23
phox2a	3.81247259155486e-26	2.19163062657543	1	0.48	7.62494518310973e-23
elavl3	4.26101074453828e-26	2.24009818487295	1	0.408	8.52202148907655e-23
atpv0e2	4.59080232843288e-26	1.96820273623334	0.955	0.334	9.18160465686576e-23
eno2	7.21465921893568e-26	1.62095775010342	0.864	0.316	1.44293184378714e-22
