gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:dkey-151g10.6	9.50873928196082e-22	0.706467074650533	1	1	1.90174785639216e-18
npm1a	1.64890789879599e-21	1.89278553212442	0.976	0.478	3.29781579759197e-18
trpm1b	3.07732528941892e-21	1.50037163713865	0.732	0.21	6.15465057883785e-18
tfap2e	1.20192413765265e-19	2.04363377861917	0.878	0.373	2.4038482753053e-16
gpx3	1.62955028119872e-19	1.10901975630337	0.561	0.127	3.25910056239745e-16
pax3a	3.79311568588231e-19	1.21053100277527	0.585	0.129	7.58623137176462e-16
phlda1	2.13096942411662e-18	1.67343927304803	0.805	0.318	4.26193884823325e-15
smim29	2.3620645784816e-18	1.88413717934786	0.927	0.573	4.72412915696321e-15
snu13b	4.91044713122317e-18	1.49293028399593	0.951	0.529	9.82089426244634e-15
gpr143	1.02527990998138e-17	1.21389731342886	0.951	0.488	2.05055981996276e-14
ctsd	1.68344633011023e-17	1.26013376618256	1	0.519	3.36689266022047e-14
eif4ebp3l	1.72967647538862e-17	1.83143752783958	0.927	0.381	3.45935295077723e-14
si:dkey-204f11.64	4.41576319596993e-17	1.58643721245664	0.927	0.553	8.83152639193986e-14
prdx2	8.64100026603006e-17	1.05627070954338	1	0.89	1.72820005320601e-13
abracl	2.10899511449356e-16	1.20988906574365	0.927	0.36	4.21799022898712e-13
fabp3	4.44088753767092e-16	1.23250020167679	1	0.743	8.88177507534185e-13
gpm6ab	2.62818123018427e-14	0.934772134668931	0.927	0.551	5.25636246036853e-11
mgat4b	1.29631078718645e-13	1.28671302996954	0.707	0.321	2.59262157437289e-10
atp6v1g1	1.35149041095444e-13	1.20365569275529	0.976	0.604	2.70298082190888e-10
prmt1	2.73930708508749e-13	1.30500738991641	0.927	0.554	5.47861417017498e-10
nop58	4.73334877149467e-13	1.17900163486624	0.878	0.457	9.46669754298934e-10
ckbb	1.1365800793994e-12	1.22860714016209	0.902	0.572	2.2731601587988e-09
gadd45ga	1.15119317651135e-12	1.31808900331298	0.902	0.432	2.3023863530227e-09
tspan36	1.26010911858529e-12	1.05254128290056	0.854	0.469	2.52021823717058e-09
fbl	1.34587512405138e-12	1.11610158180902	0.854	0.486	2.69175024810276e-09
pcbd1	2.61394606310667e-12	1.40985564395933	0.829	0.454	5.22789212621335e-09
sypl2b	5.98537598328266e-12	1.25726223006804	0.732	0.351	1.19707519665653e-08
atp5if1b	6.09211955145871e-12	0.843305755396875	0.927	0.515	1.21842391029174e-08
mtbl	1.2939698404974e-11	0.322029851513321	0.854	0.563	2.58793968099479e-08
paics	2.48746102958868e-11	1.12448611180487	0.707	0.309	4.97492205917736e-08
zgc:110591	3.78209980767153e-11	1.07530476529483	0.707	0.341	7.56419961534306e-08
ctsla	4.13159422277193e-11	0.901562207954061	1	0.85	8.26318844554385e-08
