gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
timd4	2.21864811807077e-40	4.15178636409039	1	0.323	4.43729623614154e-37
qki2	2.04427738077926e-33	4.15159930594378	0.976	0.33	4.08855476155851e-30
mbpb	2.67988745456018e-32	6.91440052188946	1	0.491	5.35977490912037e-29
cldn19	3.93708986311763e-30	3.40605404647441	0.905	0.334	7.87417972623525e-27
gpm6ab	4.80853547617271e-30	3.79677730960333	1	0.551	9.61707095234543e-27
si:rp71-19m20.1	1.15119984658919e-28	3.53517041780953	0.929	0.272	2.30239969317838e-25
efhd1	2.93740465497386e-28	3.84394364093115	0.929	0.373	5.87480930994773e-25
elovl1b	8.83664112381201e-26	3.43439472455781	0.976	0.67	1.7673282247624e-22
fabp2	4.50137512257062e-25	3.20566855760186	0.881	0.387	9.00275024514123e-22
si:ch211-156j16.1	2.10816890112503e-22	5.03751851608857	0.929	0.594	4.21633780225006e-19
plp1a	3.84711437672037e-22	1.96061669986548	0.548	0.098	7.69422875344074e-19
calm3a.1	3.20132922670499e-21	2.51298991570249	0.952	0.7	6.40265845340999e-18
sox10	7.9610109867966e-21	2.45536916135548	0.929	0.599	1.59220219735932e-17
acbd7	1.86495375411115e-20	2.45986847509745	0.857	0.423	3.72990750822229e-17
pou3f1	2.72518487728426e-19	3.74392781088235	0.714	0.19	5.45036975456853e-16
fabp3	1.88662436579e-17	1.96017263391778	1	0.743	3.77324873158e-14
marcksl1b	3.02079194383787e-15	2.78218310800045	1	0.793	6.04158388767574e-12
lim2.2	1.29321843385808e-14	2.74566199005962	0.619	0.224	2.58643686771616e-11
si:dkey-164f24.2	1.35069664959839e-14	2.0248746365367	0.81	0.463	2.70139329919679e-11
tjp2b	3.91493869782807e-14	2.47090514574523	0.667	0.29	7.82987739565614e-11
histh1l	4.0857893891173e-14	1.46589051097935	1	0.96	8.17157877823461e-11
nrgna	1.44745737235452e-13	3.01386258143202	0.714	0.405	2.89491474470904e-10
rps27l	3.36218515028892e-13	1.4635359171207	0.857	0.664	6.72437030057785e-10
cadm4	4.55350782207564e-13	1.94285465441897	0.524	0.147	9.10701564415128e-10
ugt8	5.18087978773981e-13	1.4485512913314	0.333	0.058	1.03617595754796e-09
myo1cb	4.40072025257885e-12	3.04705137941117	0.619	0.289	8.80144050515771e-09
rbm24a	4.86992186180729e-12	2.20688121869037	0.595	0.247	9.73984372361457e-09
elovl1a	6.10361145235402e-12	2.22913308752424	0.524	0.177	1.2207222904708e-08
asmtl	7.99000014259709e-12	2.83176809604219	0.619	0.298	1.59800002851942e-08
depdc7a	9.40962454688665e-12	2.58127379655061	0.548	0.219	1.88192490937733e-08
egr2b	1.03883906448667e-11	3.09626440082482	0.595	0.262	2.07767812897335e-08
map4k2	1.32661885435082e-11	2.01308421069321	0.548	0.217	2.65323770870165e-08
vat1	3.89652251127071e-11	2.21286615810678	0.69	0.412	7.79304502254141e-08
cotl1	4.46035588319377e-11	2.46185562891188	0.738	0.527	8.92071176638753e-08
tmem125b	6.62177433147473e-11	2.24300438613903	0.476	0.16	1.32435486629495e-07
anxa13l	1.81197172664511e-10	3.89917022434396	0.667	0.432	3.62394345329023e-07
gadd45ga	3.81734087593953e-10	2.39915188239414	0.69	0.434	7.63468175187906e-07
fstl3	1.20804510120527e-09	2.56773950663021	0.667	0.437	2.41609020241053e-06
necap1	5.41513573543973e-09	1.65409318052656	0.548	0.263	1.08302714708795e-05
hsp70.3	6.10056357626595e-09	1.30061346913346	1	0.971	1.22011271525319e-05
tuba8l3	2.37446228747736e-08	1.58161114577914	0.81	0.617	4.74892457495472e-05
tcima	2.45007754067798e-08	2.27357654008046	0.524	0.286	4.90015508135596e-05
UBB	3.12000423794499e-08	1.85927441543648	0.881	0.851	6.24000847588998e-05
slc44a1b	3.18293398685341e-08	2.26083456935687	0.524	0.291	6.36586797370683e-05
ubb	3.25251501078375e-08	1.59893529080335	0.905	0.813	6.50503002156751e-05
nr4a2b	7.3318780443861e-08	2.68963552178103	0.5	0.262	0.000146637560887722
hsp70.2	1.90664197832425e-07	1.62331780140842	0.929	0.937	0.000381328395664851
syngr2b	3.66420649808628e-07	1.69543661174664	0.595	0.41	0.000732841299617256
grasp	4.31571841696472e-07	2.25766885031056	0.548	0.354	0.000863143683392944
hsp70l	4.44404972299722e-07	1.8667332219367	0.929	0.89	0.000888809944599445
ppp1r14aa	4.61877045290224e-07	2.66801718658254	0.405	0.195	0.000923754090580447
hsp70.1	5.80946608176134e-07	1.60736186670411	0.952	0.905	0.00116189321635227
crip1	5.96447748693457e-07	2.60596660207423	0.595	0.433	0.00119289549738691
pmp22b	9.1811870438534e-07	1.59337907430373	0.762	0.787	0.00183623740877068
hsp90aa1.2	1.09127212285842e-06	0.884715577655979	0.976	0.971	0.00218254424571685
vmp1	2.56495025002056e-06	1.04269069950427	0.381	0.216	0.00512990050004111
si:dkeyp-117h8.2	3.09656825629873e-06	1.81504790731199	0.452	0.269	0.00619313651259746
her2	5.34905575486209e-06	0.292140186546046	0.071	0.479	0.0106981115097242
tmsb4x	6.06708616832527e-06	0.607092075427372	0.976	0.99	0.0121341723366505
nfasca	6.76266234082826e-06	1.32324818853961	0.405	0.204	0.0135253246816565
ctsd	6.80983481378095e-06	0.775546052793817	0.69	0.522	0.0136196696275619
tspo	1.01035433310412e-05	1.89606730927965	0.571	0.467	0.0202070866620823
si:dkey-24c2.9	1.87551217824144e-05	1.45733754182843	0.286	0.106	0.0375102435648288
