gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
slc2a11b	4.78089261304055e-40	2.30764469350062	0.718	0.091	9.5617852260811e-37
si:dkey-251i10.2	1.97677315983958e-37	5.15879143436279	1	0.311	3.95354631967916e-34
uraha	5.02379765798828e-31	4.70880907142299	0.974	0.367	1.00475953159766e-27
si:ch211-251b21.1	5.52392951759627e-30	5.4458676330697	1	0.494	1.10478590351925e-26
aqp3a	9.47111700715342e-30	4.91946258578032	1	0.488	1.89422340143068e-26
slc22a7a	1.67662098197224e-29	4.22427426523867	1	0.489	3.35324196394449e-26
paics	4.69796934123628e-28	4.01847273565668	0.974	0.306	9.39593868247257e-25
gch2	1.90335586991817e-27	5.64959852731965	1	0.634	3.80671173983634e-24
CABZ01021592.1	3.00098003915407e-27	8.21416773485138	1	0.786	6.00196007830815e-24
gstp1	2.01441969959551e-25	5.34389087761235	1	0.754	4.02883939919103e-22
marcksl1b	2.46443134927626e-24	2.65917965899019	1	0.793	4.92886269855251e-21
akr1b1	1.54645186177416e-23	3.72963832998968	0.923	0.48	3.09290372354832e-20
mdh1aa	7.01762496572049e-23	3.57059918798205	0.949	0.562	1.4035249931441e-19
zgc:110339	1.02120216977582e-22	4.02821037965371	0.974	0.591	2.04240433955164e-19
atic	2.69359158455802e-21	2.63016221226963	0.744	0.113	5.38718316911603e-18
pon1	3.5259643222396e-20	2.39885944586054	0.744	0.259	7.0519286444792e-17
impdh1b	1.74322238730647e-19	2.29855181334988	0.872	0.41	3.48644477461294e-16
aldob	4.51583472881143e-19	3.1073032000916	0.949	0.633	9.03166945762287e-16
prps1a	8.92322177383672e-19	2.23647111481812	0.846	0.391	1.78464435476734e-15
rhag	1.06311340054755e-18	2.10614895971326	0.923	0.519	2.12622680109509e-15
gmps	4.0650445676601e-18	1.81550299899195	0.821	0.305	8.13008913532019e-15
phyhd1	8.56521611240741e-18	2.83559626542446	0.795	0.373	1.71304322248148e-14
idh1	1.23138785581748e-17	2.2287041964799	0.897	0.557	2.46277571163496e-14
ctsd	2.8236355595923e-17	1.82268856605787	0.923	0.52	5.64727111918461e-14
rtn1b	1.99915928560769e-16	1.82172404124741	0.949	0.54	3.99831857121537e-13
actb2	3.944495279344e-16	1.49517431519756	1	0.999	7.888990558688e-13
pfn1	5.03592347812677e-16	1.73487094681403	0.923	0.609	1.00718469562535e-12
si:dkey-56m19.5	6.29076960712262e-16	2.22299682166641	0.795	0.354	1.25815392142452e-12
mibp	1.4643958397697e-15	2.49127430301707	0.744	0.279	2.92879167953941e-12
fabp3	2.547190204156e-15	1.31536817096851	1	0.743	5.09438040831201e-12
oxr1b	9.94181027480668e-14	2.37536630214388	0.692	0.327	1.98836205496134e-10
pik3c3	1.42727238360752e-13	1.93583472364389	0.692	0.304	2.85454476721503e-10
pcbd1	2.98808891337598e-13	1.9200835016427	0.821	0.454	5.97617782675196e-10
vamp3	3.23733529593689e-13	1.22713383385826	0.923	0.761	6.47467059187378e-10
pnp5a	3.69374884315492e-13	2.52757889165838	0.744	0.439	7.38749768630983e-10
pmp22b	4.78925286816787e-13	1.61647721633175	0.923	0.785	9.57850573633574e-10
mlpha	5.05158611639165e-13	1.66969443637438	0.821	0.468	1.01031722327833e-09
pax7a	8.00632543741083e-13	1.40435532019644	0.333	0.028	1.60126508748217e-09
ucp2	1.87414371750198e-12	1.96920541832882	0.872	0.687	3.74828743500396e-09
txn	3.40925153898994e-12	3.58152940188043	0.769	0.51	6.81850307797988e-09
si:dkey-204f11.64	3.90078428520731e-12	1.32836474779681	0.846	0.554	7.80156857041461e-09
rasd1	4.81375572422366e-12	2.3185960937647	0.744	0.413	9.62751144844733e-09
si:dkey-21a6.5	6.04057628984048e-12	1.62436490429553	0.769	0.439	1.2081152579681e-08
agmo	6.96126420761751e-12	2.69091961933114	0.718	0.448	1.3922528415235e-08
cmtm7	8.15975857325165e-12	2.03364335530051	0.769	0.54	1.63195171465033e-08
si:ch73-366l1.5	1.09147621879174e-11	2.32644869831835	0.692	0.397	2.18295243758348e-08
prdx1	1.48924124463895e-11	2.89906978185434	0.744	0.494	2.9784824892779e-08
fthl27	2.6024708800768e-11	1.10512879905324	1	0.971	5.20494176015359e-08
cst14a.2	4.16324490526308e-11	1.36687155392943	0.872	0.624	8.32648981052616e-08
bloc1s6	4.92107474444587e-11	1.60619007284111	0.769	0.492	9.84214948889173e-08
gpd1b	5.00969022943035e-11	2.26814419631022	0.564	0.217	1.00193804588607e-07
slc2a15b	6.93881823344442e-11	1.64918219941147	0.667	0.306	1.38776364668888e-07
cotl1	1.25171951220856e-10	1.49797567658086	0.821	0.527	2.50343902441711e-07
gpm6ab	1.28499156709149e-10	1.35027791190857	0.821	0.553	2.56998313418298e-07
cd63	1.37382120278111e-10	1.30093227909509	0.923	0.808	2.74764240556221e-07
sh3bp5b	2.23689898144623e-10	1.55459299404906	0.462	0.131	4.47379796289246e-07
arl6ip1	6.58894700169207e-10	1.06399137075802	0.872	0.68	1.31778940033841e-06
cbr1l	3.78741550554884e-09	1.43215086308783	0.615	0.327	7.57483101109769e-06
ctsla	4.26201895494586e-09	1.14297847026891	0.923	0.85	8.52403790989172e-06
