gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-256m1.8	7.38438941064046e-172	1.83769009865806	0.844	0.023	1.47687788212809e-168
gpnmb	1.92574945431492e-156	1.61634442403151	0.75	0.019	3.85149890862984e-153
hdr	1.76474729504413e-27	0.8621154726413	0.406	0.037	3.52949459008826e-24
apoda.1	9.68487169429788e-27	5.15504025344359	1	0.404	1.93697433885958e-23
si:ch211-243a20.3	4.92577855257432e-26	3.78530613712851	0.969	0.365	9.85155710514865e-23
paics	3.62515253311568e-24	3.42389979207584	1	0.307	7.25030506623135e-21
defbl1	6.11650340391567e-23	6.21312633267494	0.969	0.5	1.22330068078313e-19
smim29	3.84271910351801e-18	2.07586101723289	1	0.573	7.68543820703601e-15
alx4a	8.18393428419391e-18	2.0935857484772	0.781	0.213	1.63678685683878e-14
atic	1.48370374394899e-17	2.33457093512074	0.75	0.114	2.96740748789798e-14
si:dkey-21a6.5	3.70630251059676e-17	1.79467347845298	0.938	0.438	7.41260502119352e-14
nme4	7.04498228569351e-17	2.19253505508102	0.844	0.308	1.4089964571387e-13
ldhba	1.625445500601e-16	2.19676508344795	0.969	0.698	3.250891001202e-13
pax7a	3.95373351237358e-16	1.13709818801284	0.438	0.027	7.90746702474717e-13
zgc:110789	4.78866745043827e-16	2.21589124269392	0.656	0.177	9.57733490087653e-13
emp3b	1.04884549601599e-15	1.74219212629023	0.781	0.288	2.09769099203199e-12
si:dkey-151g10.6	3.40539264189475e-15	0.702868025424746	1	1	6.81078528378949e-12
gmps	3.45431382566406e-15	2.27460976235868	0.812	0.306	6.90862765132812e-12
si:dkey-197i20.6	6.49926404779811e-15	4.85391255173533	0.781	0.363	1.29985280955962e-11
trpm1b	7.53805493259311e-15	1.8938263847865	0.688	0.212	1.50761098651862e-11
atox1	1.41394561376512e-14	1.86116718035007	0.938	0.609	2.82789122753024e-11
impdh1b	7.82565853424488e-14	2.47538838507427	0.844	0.411	1.56513170684898e-10
cst14a.2	6.35187508061782e-13	1.17708940505937	1	0.623	1.27037501612356e-09
pnp4a	1.1187027397606e-12	4.62291049591726	0.75	0.334	2.23740547952119e-09
si:ch211-160j14.2	1.1392869187644e-12	1.75268410008784	0.625	0.205	2.27857383752879e-09
agtrap	2.73727636192117e-12	2.00609617089663	0.719	0.31	5.47455272384234e-09
gm2a	3.94135804155606e-12	1.16004704454483	0.75	0.249	7.88271608311212e-09
zgc:110591	5.27947372136192e-12	1.52966065799135	0.781	0.341	1.05589474427238e-08
atp5mc1	9.08253505035825e-12	1.19919830961359	0.969	0.718	1.81650701007165e-08
phgdh	1.57660376917357e-11	1.85977424331321	0.75	0.34	3.15320753834715e-08
slc25a38a	1.65128881456618e-11	1.42776405323129	0.562	0.154	3.30257762913236e-08
eno3	2.34755617007542e-11	1.44719959545097	0.906	0.564	4.69511234015084e-08
ctsd	3.69192734632971e-11	1.17818666679165	0.938	0.52	7.38385469265942e-08
abracl	4.27886321424974e-11	0.805056413761593	0.906	0.362	8.55772642849948e-08
zgc:63831	4.94417947025653e-11	0.991405341852844	0.75	0.375	9.88835894051306e-08
gpr143	5.47938093923504e-11	1.04228857831712	0.875	0.489	1.09587618784701e-07
fabp3	7.50232861881831e-11	1.26188308635642	0.969	0.744	1.50046572376366e-07
fhl3a	7.97193496902651e-11	1.92986168014979	0.688	0.299	1.5943869938053e-07
npm1a	2.31299575905708e-10	1.85964853055284	0.844	0.481	4.62599151811415e-07
snu13b	2.64573447994882e-10	1.29477631566496	0.875	0.53	5.29146895989764e-07
prdx2	3.31832058549025e-10	0.803833078902928	1	0.89	6.6366411709805e-07
prps1a	4.3144016541536e-10	1.6612899352262	0.781	0.392	8.6288033083072e-07
psat1	6.62962809196968e-10	1.58639707278802	0.844	0.446	1.32592561839394e-06
phyhd1	1.54634404011582e-09	1.6212514616818	0.688	0.375	3.09268808023163e-06
phlda2	1.82071573603406e-09	1.93235901356795	0.812	0.548	3.64143147206813e-06
dtnbp1a	2.121888584726e-09	1.09697830276724	0.75	0.381	4.243777169452e-06
rab32a	2.40862725962496e-09	1.19274136759379	0.75	0.394	4.81725451924993e-06
sh3glb2b	3.45149878869377e-09	0.725309351400071	0.781	0.285	6.90299757738755e-06
alx4b	9.18994361763755e-09	0.914090743157019	0.438	0.116	1.83798872352751e-05
s100v2	9.53274495918001e-09	1.31952268817651	0.844	0.501	1.906548991836e-05
tpd52l1	9.90129949790992e-09	1.30569823787352	0.625	0.307	1.98025989958198e-05
ponzr1	1.05076122924866e-08	1.6865263735382	0.625	0.321	2.10152245849731e-05
tcirg1a	1.59664319502702e-08	1.16125847014369	0.469	0.157	3.19328639005405e-05
atp6v1e1b	2.39770545974517e-08	0.849177563819453	0.906	0.568	4.79541091949035e-05
cox17	3.36342975460285e-08	0.797898647453925	0.781	0.423	6.7268595092057e-05
lgmn	3.88358781784629e-08	1.23349875045546	0.75	0.473	7.76717563569259e-05
tagln3b	8.32560294322537e-08	1.56009227102517	0.625	0.328	0.000166512058864507
prmt1	1.5016646139016e-07	0.906538989403174	0.875	0.555	0.00030033292278032
bloc1s6	1.68938168258768e-07	0.79842532655503	0.812	0.492	0.000337876336517536
eif4ebp3l	1.97943586415724e-07	1.17979734884003	0.719	0.384	0.000395887172831448
gapdhs	2.18928849929011e-07	0.958243801227711	0.969	0.758	0.000437857699858023
anxa4	2.26320341465856e-07	2.81948894236566	0.875	0.614	0.000452640682931712
tuba1b	7.65591093274152e-07	0.813799577061385	0.562	0.253	0.0015311821865483
mdh1aa	9.14062752065027e-07	0.706672289088192	0.875	0.563	0.00182812550413005
slc29a1a	1.39209708674718e-06	0.582892478651603	0.406	0.147	0.00278419417349436
zgc:165573	2.08544424199256e-06	1.05253842072447	0.688	0.461	0.00417088848398512
rab7a	2.22021870121508e-06	0.706756131854318	0.844	0.606	0.00444043740243017
id2a	3.31098804064699e-06	1.40239121491933	0.875	0.689	0.00662197608129397
