gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
anxa2a	6.61405126876782e-14	2.97048085327149	1	0.47	1.32281025375356e-10
rabl6b	1.65925139587081e-13	2.28122784701217	1	0.383	3.31850279174163e-10
tuba8l	1.98941906819969e-13	2.90796120826955	1	0.573	3.97883813639937e-10
zgc:91968	2.38837392847251e-13	3.39666023977914	1	0.534	4.77674785694502e-10
s100a10b	2.9262030577421e-13	3.54024145965234	1	0.595	5.8524061154842e-10
mlpha	3.86103142646784e-13	2.46624028120005	1	0.469	7.72206285293569e-10
abracl	5.62894898143295e-13	2.37697815003557	1	0.363	1.12578979628659e-09
pfn1	6.35384967202808e-13	2.48044018959325	1	0.61	1.27076993440562e-09
slc2a15b	7.00718948656107e-13	2.44375377251349	0.895	0.306	1.40143789731221e-09
tuba8l3	7.68479234429931e-13	2.5635521817967	1	0.617	1.53695846885986e-09
gch2	8.83008950419655e-13	2.68439318605794	1	0.636	1.76601790083931e-09
tyrp1a	9.21996771330477e-13	2.43416882056254	1	0.478	1.84399354266095e-09
zgc:110339	9.71117237663831e-13	2.71945929987821	1	0.593	1.94223447532766e-09
tuba8l4	1.18098054773355e-12	2.39884152835808	1	0.676	2.36196109546711e-09
tspan10	1.59564544544469e-12	1.76093710625703	0.789	0.214	3.19129089088938e-09
ube2c	1.63512415640601e-12	2.41653440627298	0.947	0.245	3.27024831281202e-09
gpr143	1.74292660930122e-12	2.41732099689932	1	0.49	3.48585321860244e-09
mtbl	1.75714966206972e-12	2.88546359267071	1	0.564	3.51429932413944e-09
icn	1.7927034963903e-12	3.50383599127571	1	0.716	3.58540699278061e-09
lgals2a	2.30772264387457e-12	2.62612798330367	0.947	0.453	4.61544528774915e-09
gstt1a	2.94920490623794e-12	2.57876961056473	1	0.441	5.89840981247589e-09
tmem243a	3.40694326426298e-12	2.58731685192931	0.947	0.444	6.81388652852595e-09
dct	3.92883892697048e-12	2.85549305760204	1	0.602	7.85767785394096e-09
tyrp1b	7.40744409730104e-12	3.24199989493823	1	0.79	1.48148881946021e-08
arl6ip1	7.45441000190663e-12	2.01254938772206	1	0.68	1.49088200038133e-08
slc45a2	9.56279207417806e-12	2.17866477212235	1	0.56	1.91255841483561e-08
cst14a.2	1.19664401284865e-11	2.13539521434172	1	0.624	2.3932880256973e-08
vamp3	1.37411124031787e-11	1.91138255508839	1	0.762	2.74822248063575e-08
pmela	1.49063648146103e-11	2.95294048779057	1	0.715	2.98127296292205e-08
fabp3	2.66767027564503e-11	2.08020462649226	1	0.745	5.33534055129006e-08
atp6v0ca	2.75155709430183e-11	2.15965716412852	1	0.573	5.50311418860366e-08
prdx2	2.98337925881764e-11	1.80872243472302	1	0.89	5.96675851763529e-08
gstp1	3.67995626982532e-11	1.87889548128335	1	0.755	7.35991253965064e-08
fabp11a	3.87948680825445e-11	3.12186699377409	0.895	0.392	7.75897361650889e-08
sypl2b	6.24723925451677e-11	1.73110911413711	0.895	0.352	1.24944785090335e-07
slc22a7a	6.25475206066627e-11	2.07312866265971	0.947	0.492	1.25095041213325e-07
pttg1ipb	9.75465184031582e-11	1.99702586776377	0.947	0.482	1.95093036806316e-07
si:dkey-204f11.64	1.07613091660966e-10	1.8008231794412	1	0.555	2.15226183321932e-07
tubb2b	1.11793122799881e-10	1.91431641796015	1	0.71	2.23586245599762e-07
pcna	1.54887486553822e-10	2.04229064399091	0.947	0.399	3.09774973107643e-07
tspan36	1.69800250148864e-10	2.15966594325484	0.947	0.471	3.39600500297728e-07
fxyd1	2.63201366018388e-10	1.78338427502822	1	0.654	5.26402732036775e-07
cdk1	3.02766580680312e-10	2.22653564520016	0.842	0.293	6.05533161360624e-07
rab32a	3.9845863340082e-10	1.78248033634585	0.895	0.395	7.96917266801639e-07
si:dkey-21a6.5	4.2115547653498e-10	1.9506332062231	0.895	0.44	8.42310953069959e-07
tubb4b	4.66601451984178e-10	1.44132187496147	1	0.98	9.33202903968355e-07
spock3	6.58254141623915e-10	2.31271692249367	0.895	0.446	1.31650828324783e-06
slc22a2	7.49123095008074e-10	1.7791129686684	0.842	0.349	1.49824619001615e-06
rasd1	9.05878092838823e-10	1.96975242007082	0.895	0.414	1.81175618567765e-06
anxa1a	1.22020195600562e-09	1.49785091410354	1	0.598	2.44040391201124e-06
csrp2	1.28177273291808e-09	2.18889971802468	0.842	0.387	2.56354546583616e-06
pcbd1	1.36212103664673e-09	1.6396924912834	0.947	0.455	2.72424207329346e-06
nqo1	1.38568219036458e-09	1.91396153765769	0.842	0.367	2.77136438072917e-06
mt2	1.6356727714765e-09	3.28727987122523	0.895	0.541	3.271345542953e-06
marcksl1b	1.80584898359809e-09	1.63168788912805	1	0.794	3.61169796719617e-06
cotl1	4.98951143866562e-09	1.55115299036238	0.947	0.528	9.97902287733124e-06
slc3a2a	6.67377836152941e-09	1.62810834875482	0.895	0.482	1.33475567230588e-05
rnaseka	7.15581822868095e-09	1.43892743948539	0.895	0.484	1.43116364573619e-05
stmn1a	1.50728715274217e-08	1.38563314117123	0.947	0.398	3.01457430548434e-05
tmsb4x	1.51049220744894e-08	0.924364875027581	1	0.99	3.02098441489788e-05
ap3m2	1.77296512396672e-08	1.6413355496296	0.789	0.305	3.54593024793344e-05
cdh1	2.49566325229242e-08	1.61933686315004	0.684	0.259	4.99132650458484e-05
pir	3.16003870765509e-08	1.65262659780105	0.789	0.432	6.32007741531018e-05
slc37a2	5.73827838342594e-08	1.49197847057912	0.947	0.647	0.000114765567668519
ak1	5.88894297917316e-08	1.82621888548061	0.842	0.5	0.000117778859583463
h3f3b.1	5.91943886341848e-08	1.11364545075142	1	0.898	0.00011838877726837
sh3glb2b	7.72722763332278e-08	1.58988690580174	0.789	0.287	0.000154544552666456
rtn1b	8.21878952082058e-08	1.88273010802431	0.895	0.542	0.000164375790416412
atp6v1g1	1.10277384666808e-07	1.33492290557154	0.947	0.606	0.000220554769333616
cks1b	1.13588345274618e-07	1.56773145770616	0.684	0.217	0.000227176690549237
hmgb2a	1.52390845554458e-07	0.975811416172465	1	0.929	0.000304781691108916
dtnbp1a	1.74217734141649e-07	1.57625131961969	0.789	0.382	0.000348435468283298
tfap2e	1.98138455836188e-07	1.48869556334074	0.789	0.376	0.000396276911672376
dut	2.35809786371422e-07	1.52954667613952	0.737	0.257	0.000471619572742845
si:ch211-156b7.4	2.36225573652878e-07	1.36617071173094	0.737	0.279	0.000472451147305757
zdhhc2	2.56800899584204e-07	1.94743117250698	0.737	0.36	0.000513601799168409
rhag	3.17015204093047e-07	1.63583966499614	0.842	0.521	0.000634030408186095
tmem243b	3.3295603997022e-07	1.21840765174496	0.789	0.332	0.00066591207994044
atp6v1ab	3.33310038998889e-07	1.30799589213015	0.737	0.306	0.000666620077997778
gm2a	3.39504248288984e-07	1.38978565156687	0.684	0.251	0.000679008496577967
gramd2aa	3.62755127014789e-07	1.76937033337984	0.737	0.37	0.000725510254029578
cd63	3.79825351796063e-07	1.73628013318706	0.947	0.808	0.000759650703592127
ckbb	3.96858811555591e-07	1.31529927636403	0.947	0.573	0.000793717623111181
cks2	5.35426323574849e-07	1.37153288530543	0.684	0.29	0.0010708526471497
si:dkey-238d18.4	6.1272682758262e-07	1.03427143369937	0.474	0.117	0.00122545365516524
atox1	7.3028995337148e-07	1.08977866472621	0.947	0.61	0.00146057990674296
ctsd	8.92786912517193e-07	1.48204340288912	0.842	0.522	0.00178557382503439
rrm1	1.27436174221279e-06	1.46319476459708	0.684	0.291	0.00254872348442559
pcdh10a	1.58514601764313e-06	1.24077428921076	0.737	0.365	0.00317029203528626
pik3c3	1.72518353923314e-06	1.1437371765322	0.684	0.306	0.00345036707846628
agtrap	1.84524244682018e-06	1.26594015128646	0.684	0.311	0.00369048489364037
ccna2	2.10718501143122e-06	1.05520485635494	0.684	0.257	0.00421437002286244
actb2	2.17146539856285e-06	0.784028353284242	1	0.999	0.00434293079712569
zgc:63831	3.64168851228673e-06	1.59679341798815	0.684	0.377	0.00728337702457346
