gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
prss35	8.68965909524359e-17	4.5430123367452	1	0.235	1.73793181904872e-13
epyc	7.54493129005031e-16	3.44552258967747	1	0.319	1.50898625801006e-12
col11a2	8.36340642562614e-15	3.86970783823357	1	0.384	1.67268128512523e-11
thbs1b	1.69466609819341e-14	2.6696946947893	1	0.299	3.38933219638683e-11
matn4	4.93267143608497e-14	3.66414618378033	1	0.367	9.86534287216993e-11
srpx	1.24131432520267e-13	2.50873967371509	1	0.366	2.48262865040534e-10
col2a1b	2.90025947540589e-13	2.65965397005726	1	0.396	5.80051895081178e-10
fgfr3	3.50866923123778e-13	2.39762684145107	1	0.397	7.01733846247556e-10
col9a2	4.05269417259839e-13	4.08969305543493	1	0.465	8.10538834519678e-10
col11a1a	5.08848120895901e-13	4.1787256443534	1	0.487	1.0176962417918e-09
col2a1a	8.02910116710948e-13	4.55898585541827	1	0.528	1.6058202334219e-09
col9a1a	8.35687986566714e-13	4.24648999316963	1	0.55	1.67137597313343e-09
col9a3	9.89384129626368e-13	4.16251015453896	1	0.554	1.97876825925274e-09
papss2b	4.62195344079005e-12	2.52762427177522	1	0.481	9.24390688158009e-09
cnmd	5.90199488039064e-12	3.9622344218809	1	0.579	1.18039897607813e-08
fkbp9	7.20558970578805e-12	2.8228037762444	1	0.527	1.44111794115761e-08
rcn3	5.11040991206759e-11	1.6683325014581	0.938	0.336	1.02208198241352e-07
tgfbi	6.46099043034386e-11	2.39176682503608	1	0.389	1.29219808606877e-07
ecrg4a	6.730205967008e-11	2.57333785094897	1	0.535	1.3460411934016e-07
foxa3	1.55099112318865e-10	2.27421925958247	0.812	0.248	3.10198224637731e-07
fgfbp2b	1.85316089816232e-10	2.77158778134727	1	0.619	3.70632179632463e-07
sparc	2.90600298755037e-10	1.95621507896298	1	0.829	5.81200597510074e-07
mkxa	4.35555398661295e-10	1.62556811141974	0.812	0.271	8.7111079732259e-07
hapln1b	7.23788702111038e-10	1.94602963397819	0.938	0.397	1.44757740422208e-06
fkbp11	4.1407842468571e-09	1.80798194370378	0.938	0.47	8.2815684937142e-06
pdcd6	1.2396459072987e-08	1.86832741523507	1	0.69	2.47929181459741e-05
pcolce2b	2.62072643904217e-08	2.03441825897507	0.812	0.366	5.24145287808434e-05
p4ha1b	4.08438228206682e-08	1.63771577464598	0.75	0.171	8.16876456413364e-05
si:ch211-156j16.1	4.17736604714208e-08	1.25948810609874	1	0.596	8.35473209428416e-05
rrbp1b	3.84205190450938e-07	1.47368343012705	0.812	0.39	0.000768410380901876
pdk2b	4.21804650294101e-07	0.920966284952839	1	0.594	0.000843609300588202
cgref1	4.95438913675221e-07	1.45548397789187	0.75	0.362	0.000990877827350442
tdh	8.83582480786873e-07	1.77995621230919	0.938	0.616	0.00176716496157374
mcl1a	1.04635872871421e-06	1.22745667472417	1	0.924	0.00209271745742842
twist1a	1.33319222927534e-06	1.71360434714287	0.875	0.489	0.00266638445855068
chac1	1.36793596990138e-06	2.92047175539577	0.938	0.779	0.00273587193980276
cyp26b1	1.40110089478307e-06	1.23501229803878	0.938	0.529	0.00280220178956614
igfbp3	1.55356505789448e-06	1.71728321396038	0.812	0.455	0.00310713011578896
fxyd1	1.82829017240416e-06	1.1370411107748	1	0.654	0.00365658034480832
serpinh1b	2.22056341988447e-06	1.30873840384324	1	0.908	0.00444112683976894
fibina	2.42625976096391e-06	1.31069479830237	0.75	0.244	0.00485251952192783
otos	2.45282351031047e-06	3.40345213787547	0.562	0.177	0.00490564702062094
zgc:162730	2.63250171039225e-06	1.22858191013443	1	0.875	0.0052650034207845
barx1	2.67025423850283e-06	1.89929385560521	0.688	0.252	0.00534050847700566
efemp2a	2.84110006589783e-06	1.26583230398268	0.688	0.276	0.00568220013179566
foxc1a	2.89929467762911e-06	1.42456410267481	0.875	0.382	0.00579858935525821
snai1a	3.56128228022368e-06	1.2800265668367	1	0.68	0.00712256456044735
mycb	4.72980917171087e-06	1.25188901807793	0.938	0.615	0.00945961834342173
zgc:158343	5.37795165886126e-06	1.59689289614354	0.938	0.749	0.0107559033177225
eva1bb	5.93613868768474e-06	1.13519275566622	0.688	0.306	0.0118722773753695
stc2a	6.25100590514283e-06	1.99720413764222	0.625	0.239	0.0125020118102857
nucb2b	7.33989499858388e-06	1.10625916802928	0.688	0.343	0.0146797899971678
mmp2	7.45400063667341e-06	1.26860712710788	0.938	0.641	0.0149080012733468
cthrc1a	8.49287518652905e-06	1.66650289636589	0.75	0.362	0.0169857503730581
cpn1.1	8.73444289391308e-06	1.0823224627396	0.938	0.616	0.0174688857878262
ier2a	1.04499535644985e-05	1.30792722129944	1	0.859	0.0208999071289969
cdo1	1.61505924786045e-05	1.61292225584329	0.75	0.454	0.032301184957209
arpc1b	2.02074522504926e-05	1.22417658790886	0.875	0.52	0.0404149045009852
