gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
zfp36l1b	7.07304084237347e-102	2.79750136554142	0.974	0.67	1.41460816847469e-98
trib3	3.23803829920954e-98	2.38156545897984	0.965	0.684	6.47607659841908e-95
zgc:158343	1.49474963912307e-78	2.65075033803848	0.961	0.737	2.98949927824614e-75
serpine1	2.19313441661822e-78	2.86067533970181	0.913	0.595	4.38626883323644e-75
chac1	1.61591134793578e-69	2.20848781410873	0.952	0.769	3.23182269587157e-66
angptl4	2.10737793100749e-64	1.86223692392645	0.965	0.758	4.21475586201497e-61
sdc4	3.16198491610924e-62	1.22889276408216	0.996	0.942	6.32396983221849e-59
tpm4a	1.23828358113381e-60	1.58437214293812	0.93	0.627	2.47656716226762e-57
snai1a	2.84956905951604e-59	1.77083428588528	0.882	0.669	5.69913811903208e-56
mvp	7.32433064667174e-55	1.90390829212914	0.821	0.611	1.46486612933435e-51
cbx7a	1.08015954882894e-53	1.46981071368568	0.948	0.798	2.16031909765789e-50
cnn2	1.45616362469676e-51	1.56801121388587	0.825	0.596	2.91232724939351e-48
krt8	7.83173150103477e-47	1.01810047244372	0.996	0.867	1.56634630020695e-43
actb1	1.27740961206734e-45	1.0736700406801	0.996	0.987	2.55481922413469e-42
krt18a.1	5.5422503348575e-44	0.99925511595963	0.978	0.781	1.1084500669715e-40
midn	2.19083060734795e-43	1.33478472628218	0.825	0.56	4.3816612146959e-40
pim1	2.6439117575899e-43	1.60078448861965	0.843	0.623	5.28782351517981e-40
pmp22b	2.00672058728657e-42	1.97911658193804	0.882	0.781	4.01344117457313e-39
actb2	5.93195408489093e-42	0.752268094555818	1	0.999	1.18639081697819e-38
col1a2	6.77449310404651e-42	1.11683175087254	0.843	0.583	1.3548986208093e-38
zgc:162730	7.45707325925408e-41	1.1970868199616	0.983	0.869	1.49141465185082e-37
si:ch211-15b10.6	3.97127877727047e-39	1.42351274316492	0.777	0.609	7.94255755454093e-36
si:ch73-335l21.4	1.19613491346567e-37	1.24843208835903	0.969	0.837	2.39226982693134e-34
cnn3a	1.37957649205422e-37	1.15003148146338	0.865	0.702	2.75915298410843e-34
sat1a.2	6.25002878878427e-34	1.26049178628789	0.852	0.696	1.25000575775685e-30
timp2b	6.32543340036801e-34	2.23712446543137	0.624	0.432	1.2650866800736e-30
gadd45ba	2.01428479421987e-33	1.26127684466665	0.904	0.775	4.02856958843974e-30
