gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
sb:cb81	3.80859630640315e-68	2.56458961824728	0.8	0.454	7.61719261280629e-65
fabp7a	4.01614577923372e-44	2.78109902885549	0.631	0.333	8.03229155846745e-41
scn4ab	2.72334433566905e-38	2.7117073221307	0.618	0.379	5.4466886713381e-35
fabp3	8.45057647311138e-25	0.585219321964709	0.902	0.736	1.69011529462228e-21
hells	6.82431790138157e-18	0.349766397762332	0.138	0.107	1.36486358027631e-14
sox10	7.65020956136572e-18	1.06057790967649	0.658	0.599	1.53004191227314e-14
jun	2.50297975953482e-17	0.735860832067558	0.956	0.904	5.00595951906965e-14
cldn11a	2.19061560410722e-15	0.352687214022786	0.084	0.397	4.38123120821445e-12
si:dkey-151g10.6	4.93445374057843e-15	0.250654292118929	1	1	9.86890748115687e-12
tuba8l3	1.50037251319433e-14	0.622329006878822	0.716	0.613	3.00074502638866e-11
hmga1a	3.03396500236357e-14	0.814379930908612	0.902	0.882	6.06793000472714e-11
abhd6a	1.4902077946914e-13	3.39334796795632	0.524	0.489	2.9804155893828e-10
hsp70l	2.03085491092891e-13	1.04557992371521	0.924	0.888	4.06170982185782e-10
foxd3	2.12914370320335e-13	1.89488890031563	0.489	0.426	4.25828740640671e-10
her6	3.13794227012554e-13	1.20225534208802	0.8	0.774	6.27588454025108e-10
slc35c2	4.09325620402161e-13	1.32247694557222	0.4	0.324	8.18651240804322e-10
crip1	5.426111026482e-13	0.375036807390641	0.133	0.453	1.0852222052964e-09
zeb2a	7.4593742201176e-13	1.33983822553277	0.471	0.411	1.49187484402352e-09
marcksl1b	4.36285971341488e-12	0.404400262411198	0.893	0.789	8.72571942682977e-09
hsp70.2	4.64769123643055e-12	0.771206868979956	0.964	0.936	9.2953824728611e-09
irf2	5.58301809786371e-12	0.282964167071935	0.129	0.449	1.11660361957274e-08
mcm2	6.01128931262967e-12	0.827394708483998	0.316	0.274	1.20225786252593e-08
nanos1	6.18891005170114e-12	1.79533912004275	0.547	0.512	1.23778201034023e-08
hsp70.1	8.21455243454974e-12	0.84428577269218	0.911	0.905	1.64291048690995e-08
