gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
tyrp1a	1.06203700081012e-144	3.84992899567225	1	0.451	2.12407400162024e-141
mlpha	8.29332184903876e-140	3.17531099724675	0.995	0.442	1.65866436980775e-136
slc45a2	6.46261490466527e-138	4.42738116850001	1	0.537	1.29252298093305e-134
zgc:91968	1.57228226451308e-137	4.24373991890001	1	0.509	3.14456452902617e-134
gpr143	2.43464796938614e-135	3.28564796319585	0.991	0.464	4.86929593877228e-132
mtbl	4.27144338903994e-135	4.19458274158886	0.995	0.542	8.54288677807988e-132
dct	1.14137485427358e-133	4.37972042137351	1	0.582	2.28274970854716e-130
slc2a15b	1.39391132479615e-133	2.51995974643643	0.91	0.275	2.7878226495923e-130
s100a10b	9.71422519680677e-132	4.42103470939849	0.995	0.574	1.94284503936135e-128
gstt1a	4.02230890674665e-131	3.56690738146776	0.991	0.413	8.0446178134933e-128
pmela	2.45565099360636e-129	4.72699009356199	1	0.7	4.91130198721272e-126
tyrp1b	3.29489413492027e-127	4.6938688602891	1	0.779	6.58978826984054e-124
atp6v0ca	5.87187989407851e-127	2.80426694513731	1	0.551	1.1743759788157e-123
tmem243a	1.25362484578868e-126	2.82980654572281	0.958	0.418	2.50724969157736e-123
spock3	3.11928084886844e-126	2.89193536584287	0.972	0.418	6.23856169773689e-123
mt2	9.09709903603125e-125	3.88255811369256	0.972	0.518	1.81941980720625e-121
icn	3.24509274805108e-123	4.67779564564316	0.991	0.701	6.49018549610216e-120
abracl	2.52065012182599e-122	2.60838313645791	0.972	0.332	5.04130024365197e-119
pttg1ipb	8.94201392560461e-122	2.73205507218858	0.967	0.457	1.78840278512092e-118
prdx2	2.69453091836367e-121	2.43071488217446	1	0.884	5.38906183672734e-118
slc22a2	1.72865982790756e-120	2.49691363241509	0.892	0.32	3.45731965581511e-117
slc22a7a	1.89154762120689e-120	2.88513455581543	0.958	0.468	3.78309524241378e-117
zgc:110339	8.75101852128586e-119	2.685666320966	0.995	0.572	1.75020370425717e-115
pfn1	1.00645693976146e-118	2.35767062966336	0.995	0.59	2.01291387952293e-115
rhag	1.16721231173485e-118	2.58534750993311	0.972	0.497	2.3344246234697e-115
gch2	1.25647466011788e-117	2.59632382444124	0.995	0.617	2.51294932023575e-114
fabp3	5.13999967241248e-117	2.50101967180339	0.995	0.732	1.0279999344825e-113
anxa2a	6.22742059411488e-117	3.07168743730869	0.943	0.445	1.24548411882298e-113
rabl6b	6.62440663449858e-117	2.54485245662253	0.929	0.355	1.32488132689972e-113
slc3a2a	1.69167861095335e-115	2.72068033020488	0.939	0.458	3.3833572219067e-112
tspan36	1.78009305043416e-115	3.24511593480345	0.962	0.445	3.56018610086832e-112
zdhhc2	2.7191629630448e-115	2.55625693855789	0.877	0.332	5.4383259260896e-112
vamp3	1.54894598778527e-112	2.10542753216247	0.995	0.75	3.09789197557055e-109
pcbd1	2.45301011385032e-112	2.66223813966976	0.958	0.429	4.90602022770065e-109
gstp1	4.2834366266603e-112	2.21317870769124	1	0.743	8.5668732533206e-109
ctsd	4.52419736262618e-112	2.52790734873398	0.972	0.498	9.04839472525236e-109
si:dkey-204f11.64	1.83635334099318e-110	2.48755889878525	0.962	0.534	3.67270668198637e-107
anxa1a	5.22797842742478e-110	3.04294973054641	0.967	0.579	1.04559568548496e-106
rtn1b	3.0985093470506e-107	2.26931354874683	0.991	0.518	6.19701869410121e-104
arl6ip1	1.76469457059237e-106	2.17167732272012	0.986	0.664	3.52938914118473e-103
csrp2	1.82171199910256e-106	2.42366313125712	0.873	0.361	3.64342399820513e-103
