gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
elavl3	4.43023470138031e-94	2.38954870523193	0.931	0.386	8.86046940276063e-91
phox2a	1.79034808063824e-93	2.60183359320854	0.921	0.462	3.58069616127647e-90
phox2bb	7.37475707914261e-84	2.49459720179941	0.921	0.468	1.47495141582852e-80
elavl4	3.59140013009473e-81	2.38716143833049	0.881	0.424	7.18280026018947e-78
rtn1a	5.09086625333024e-80	2.02463650025858	0.931	0.485	1.01817325066605e-76
gap43	5.02558680192193e-69	2.0721744948459	0.856	0.444	1.00511736038439e-65
tuba1c	7.43515035857455e-68	2.17075544036218	0.896	0.495	1.48703007171491e-64
rnasekb	1.28462428780593e-67	1.65711134660505	0.851	0.418	2.56924857561186e-64
tuba1a	1.19632515835154e-62	2.02955674958378	0.856	0.434	2.39265031670309e-59
zc4h2	1.78083092641416e-57	1.49300026820293	0.851	0.489	3.56166185282833e-54
gapdhs	6.22517844707762e-57	1.63933687078933	0.946	0.75	1.24503568941552e-53
atp6v0cb	7.90374594308542e-57	1.76543832997589	0.807	0.447	1.58074918861708e-53
hoxb5b	6.08141360845864e-56	1.75810160978001	0.837	0.495	1.21628272169173e-52
stmn1b	1.3894336260608e-49	2.24588817827467	0.777	0.44	2.7788672521216e-46
gng2	5.66270606862868e-49	1.68703055987311	0.767	0.433	1.13254121372574e-45
hand2	1.69990592113311e-47	2.21258066506552	0.847	0.649	3.39981184226622e-44
tubb5	2.685971697872e-46	1.96097039518636	0.713	0.355	5.371943395744e-43
nsg2	5.0130756101688e-44	1.43686314087059	0.649	0.283	1.00261512203376e-40
mdkb	1.78250086119786e-43	1.7642366936995	0.817	0.527	3.56500172239572e-40
ywhag2	2.13218099618851e-43	1.77430845394574	0.752	0.462	4.26436199237702e-40
myt1b	4.17557721622583e-43	1.32347993636527	0.579	0.223	8.35115443245165e-40
maptb	2.00251082218631e-41	1.62120373741134	0.728	0.475	4.00502164437261e-38
vamp2	6.64637612449314e-40	1.40803758798781	0.639	0.313	1.32927522489863e-36
vim	1.64356966059889e-39	1.25901657312634	0.812	0.549	3.28713932119778e-36
jagn1a	6.65202884108245e-37	1.1809564199281	0.564	0.25	1.33040576821649e-33
syt1a	7.3249166222531e-37	1.35278181947517	0.53	0.231	1.46498332445062e-33
atpv0e2	7.80846448369988e-37	1.37119608461966	0.624	0.326	1.56169289673998e-33
gng3	2.3492963779898e-36	1.95179543728984	0.649	0.373	4.69859275597961e-33
chrna5	2.54419342086619e-34	1.95658875894602	0.619	0.372	5.08838684173238e-31
tuba2	4.54629536343391e-32	1.49226831360977	0.584	0.312	9.09259072686782e-29
cnrip1a	5.82119155885738e-32	1.16112607412873	0.495	0.232	1.16423831177148e-28
h2afx1	1.12756885608276e-31	0.963000793250365	0.96	0.925	2.25513771216552e-28
cplx2	5.13311561419131e-31	1.39962989830433	0.574	0.318	1.02662312283826e-27
si:dkeyp-75h12.5	1.03516704367371e-29	1.28251954008747	0.703	0.497	2.07033408734742e-26
tlx2	1.06003031037543e-28	1.73254879482487	0.624	0.416	2.12006062075087e-25
tmsb	3.53389938140423e-28	1.78136878228013	0.535	0.297	7.06779876280846e-25
tspan7b	4.54179590119218e-27	0.997538880178955	0.48	0.236	9.08359180238436e-24
nova2	8.83867694841641e-27	1.17006565971011	0.535	0.29	1.76773538968328e-23
atp6ap2	1.23650105354532e-26	0.872450296905213	0.752	0.526	2.47300210709065e-23
zgc:65894	3.3629374161697e-26	1.64282271030836	0.574	0.353	6.7258748323394e-23
zgc:153426	3.56185780082921e-26	1.80810106518769	0.554	0.335	7.12371560165842e-23
si:ch211-222l21.1	3.90175818910648e-26	1.41998452941337	0.926	0.824	7.80351637821296e-23
scg3	4.72144078752912e-26	1.41172026160657	0.614	0.442	9.44288157505823e-23
insm1b	7.65195826811967e-26	1.61636293278918	0.505	0.281	1.53039165362393e-22
aldocb	1.45779224194218e-25	1.29900346193986	0.619	0.431	2.91558448388435e-22
h3f3b.1	3.08538099627461e-25	0.563127812747542	0.985	0.894	6.17076199254922e-22
necap1	7.24837760140498e-25	1.12899712513992	0.475	0.254	1.449675520281e-21
zgc:101840	1.00175996067011e-24	1.23911313059435	0.446	0.227	2.00351992134021e-21
hoxa3a	1.23050214912037e-24	1.34686008882322	0.673	0.505	2.46100429824073e-21
sncb	1.34650206549676e-24	1.22447633030225	0.396	0.16	2.69300413099352e-21
syt11a	2.20469366609842e-24	1.23533869397268	0.515	0.287	4.40938733219684e-21
stmn2a	2.49055102652304e-24	1.82098977218068	0.579	0.378	4.98110205304607e-21
stmn2b	4.23696838611215e-24	1.48171997825758	0.564	0.355	8.4739367722243e-21
eno1a	7.97517178871229e-24	1.29570961487779	0.599	0.42	1.59503435774246e-20
hmx2	8.25438945451608e-24	2.05493325445748	0.46	0.259	1.65087789090322e-20
atp6v1e1b	5.1000485291153e-23	1.06058460364444	0.733	0.562	1.02000970582306e-19
mab21l1	5.97173063945529e-23	1.3044303930455	0.619	0.449	1.19434612789106e-19
hmx3a	1.78805921872616e-22	1.96145011374366	0.535	0.367	3.57611843745232e-19
fez1	3.54383192357268e-22	1.27016427549884	0.505	0.31	7.08766384714535e-19
tubb2b	4.42164633398163e-22	0.774408757517622	0.881	0.702	8.84329266796326e-19
hsbp1a	2.82031088744032e-21	1.23626677788044	0.644	0.506	5.64062177488063e-18
celf3a	4.35156040897732e-21	1.01610346636294	0.485	0.29	8.70312081795465e-18
