gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
fosab	3.83670145412048e-40	1.50584607672077	0.984	0.908	7.67340290824096e-37
her6	3.9899920902459e-39	1.91206828048657	0.885	0.77	7.9799841804918e-36
serpinh1b	4.90621002726583e-39	1.24852188102387	0.995	0.904	9.81242005453166e-36
si:ch73-335l21.4	3.66065721693415e-35	1.57927494153228	0.942	0.84	7.3213144338683e-32
hsp90aa1.2	1.36109681336209e-33	0.980517112064908	0.984	0.97	2.72219362672418e-30
hsp70.3	5.29941312191201e-33	0.960602392149876	1	0.97	1.0598826243824e-29
col1a2	1.95528813995568e-32	1.79304318355786	0.832	0.586	3.91057627991135e-29
net1	2.38573395987225e-32	1.49524313251566	0.791	0.616	4.7714679197445e-29
junba	3.32416003590264e-32	1.19520795215021	0.963	0.89	6.64832007180528e-29
socs3b	3.49615616012012e-31	1.11326487553517	0.963	0.825	6.99231232024025e-28
twist1a	5.33200942780369e-30	1.59562330579456	0.743	0.478	1.06640188556074e-26
btg2	6.90813430625181e-30	1.44134869093706	0.874	0.74	1.38162686125036e-26
jdp2b	6.10877126760916e-29	1.33622450100536	0.932	0.777	1.22175425352183e-25
dnajb1b	4.59352863589023e-27	0.934618021640752	0.974	0.814	9.18705727178046e-24
fibina	1.5123522547259e-26	1.26173359201189	0.471	0.234	3.0247045094518e-23
pdcd4b	2.64436920597334e-24	1.34052294822425	0.874	0.794	5.28873841194667e-21
mcl1a	5.54249116623931e-24	1.22102929911214	0.963	0.922	1.10849823324786e-20
klf6a	1.59733175615376e-23	1.02803101106047	0.906	0.829	3.19466351230751e-20
zgc:162730	3.14950542415957e-23	1.08446946903888	0.958	0.871	6.29901084831914e-20
col1a1a	5.21758701829128e-23	1.0107883743736	0.764	0.598	1.04351740365826e-19
tgfbi	2.13541272208705e-22	1.63560393742882	0.576	0.382	4.27082544417409e-19
foxp4	3.44850453441772e-22	1.36246699023262	0.675	0.518	6.89700906883543e-19
cdh11	3.60745108576946e-22	1.19998441782935	0.702	0.54	7.21490217153892e-19
fmoda	4.6724821102971e-22	1.27598645893218	0.639	0.466	9.34496422059419e-19
pmp22a	4.9082012825658e-22	0.625800211999942	0.927	0.698	9.8164025651316e-19
hey1	8.54058714281666e-22	2.34266436301731	0.602	0.46	1.70811742856333e-18
ier2a	2.75840096279886e-21	0.972933957992706	0.937	0.856	5.51680192559771e-18
f3b	1.22711056769556e-19	2.17743906297797	0.66	0.549	2.45422113539111e-16
hsp70.2	2.16234108102358e-19	0.834043515625073	0.979	0.935	4.32468216204717e-16
cyr61	4.75542646019324e-19	1.66427873662044	0.712	0.586	9.51085292038648e-16
hspa4a	2.15332530518263e-17	1.01967930498571	0.88	0.805	4.30665061036526e-14
hspbp1	3.10984860838221e-17	1.51013558888022	0.749	0.7	6.21969721676442e-14
matn4	6.64451810903706e-17	1.99445796864085	0.508	0.363	1.32890362180741e-13
sparc	8.05729068278106e-17	0.896061273741295	0.942	0.824	1.61145813655621e-13
