gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
defbl1	1.43424638567281e-55	2.10120354587378	0.956	0.493	2.86849277134563e-52
actc1b	4.44535346341433e-54	2.29103398153993	0.978	0.656	8.89070692682865e-51
CABZ01021592.1	1.4767264012336e-52	1.2628933645475	0.989	0.784	2.9534528024672e-49
pvalb2	5.31139387175691e-45	1.8608032585288	0.922	0.542	1.06227877435138e-41
gch2	5.64218811722641e-43	1.72765445833366	0.978	0.629	1.12843762344528e-39
pmela	2.84698209338059e-42	1.12881435615659	1	0.709	5.69396418676119e-39
CABZ01074130.1	3.74184775831604e-42	1.16696200079125	0.867	0.476	7.48369551663208e-39
mylpfa	5.2478612120866e-42	2.13492902972962	0.878	0.512	1.04957224241732e-38
dct	3.10451391595917e-40	1.26163433665641	0.967	0.596	6.20902783191833e-37
tyrp1b	4.15341526187702e-40	1.30036737489943	1	0.786	8.30683052375405e-37
gstp1	1.07897026035392e-39	1.39368278573291	0.989	0.751	2.15794052070783e-36
mylz3	2.13623867765938e-35	2.05319244767896	0.822	0.475	4.27247735531876e-32
zgc:91968	7.72573280250397e-35	0.574009819592206	0.922	0.527	1.54514656050079e-31
apoa1b	4.90836550436926e-32	3.92435466271256	0.778	0.461	9.81673100873852e-29
s100a10b	7.19154249595164e-32	0.407895828212486	0.922	0.589	1.43830849919033e-28
slc45a2	2.68622265802019e-31	0.663073238750772	0.9	0.554	5.37244531604039e-28
apoda.1	2.15137111694387e-29	1.87995840763135	0.744	0.401	4.30274223388774e-26
tpma	2.25932178114954e-28	2.08891543199371	0.756	0.456	4.51864356229908e-25
ckma	3.83197496443697e-28	1.81078755389802	0.722	0.369	7.66394992887394e-25
mtbl	6.34890363040575e-27	0.471000563596618	0.878	0.559	1.26978072608115e-23
tspan36	8.85548969961854e-27	0.824163119479763	0.844	0.464	1.77109793992371e-23
hspb1	3.25127259093464e-25	0.668244444474909	1	0.771	6.50254518186927e-22
gstt1a	1.15351807822147e-22	0.546231804380676	0.822	0.435	2.30703615644293e-19
ckmb	5.15874548404748e-22	1.87618544738806	0.678	0.41	1.0317490968095e-18
col1a1a	1.1181528735402e-21	0.572263670730436	0.867	0.6	2.23630574708039e-18
mt2	1.76801745021099e-21	0.440516285273469	0.8	0.536	3.53603490042197e-18
pnp4a	7.11686652570411e-21	1.6677528615015	0.633	0.33	1.42337330514082e-17
pvalb1	8.85926799899683e-21	1.52579240676803	0.711	0.476	1.77185359979937e-17
paics	1.50682853261817e-20	1.24606951402342	0.622	0.306	3.01365706523633e-17
myl1	2.31960122425393e-20	1.64346061446241	0.656	0.399	4.63920244850785e-17
hmgb2a	5.40380245854427e-20	0.676608028176532	1	0.928	1.08076049170885e-16
aqp3a	7.33653606696288e-20	1.17639428790586	0.722	0.487	1.46730721339258e-16
abhd6a	8.72098172701461e-20	0.817369522612678	0.733	0.486	1.74419634540292e-16
fabp3	2.51944030632107e-19	0.776962683629678	0.956	0.741	5.03888061264214e-16
pcbd1	3.62733527583625e-19	0.826543954450008	0.778	0.45	7.25467055167251e-16
hmgn2	5.52470778332183e-19	0.517867370976302	1	0.957	1.10494155666437e-15
marcksl1b	1.64295558246256e-18	0.728033226808711	0.989	0.79	3.28591116492511e-15
mt-atp6	8.19858875133143e-18	0.648453164600169	1	0.969	1.63971775026629e-14
tyrp1a	1.23460206023117e-17	0.752909659534961	0.733	0.475	2.46920412046234e-14
her6	4.42423445943854e-16	0.434062896092706	0.956	0.771	8.84846891887708e-13
UBB	4.98593118097563e-16	0.456098277981755	0.989	0.848	9.97186236195126e-13
zgc:110339	8.70865770366449e-16	0.649485604868618	0.789	0.591	1.7417315407329e-12
atp6v0ca	2.46778938417983e-15	0.592353394382489	0.833	0.569	4.93557876835966e-12
tnnt3b	6.0332834511671e-15	1.64444448791591	0.611	0.428	1.20665669023342e-11
ctsd	7.79053085588992e-15	0.759243426496954	0.767	0.518	1.55810617117798e-11
ldhba	2.17421014632981e-14	0.794786814065914	0.867	0.696	4.34842029265962e-11
tuba8l3	2.28182107461982e-14	0.701384887043981	0.856	0.614	4.56364214923964e-11
fabp7a	2.61925604284733e-14	0.491335879873311	0.611	0.344	5.23851208569467e-11
id2a	3.72423377931839e-14	0.761781116817132	0.867	0.687	7.44846755863678e-11
prdx2	3.81863625576892e-14	0.411393718506466	0.956	0.889	7.63727251153784e-11
gpr143	5.27432261742693e-14	1.04719399958042	0.7	0.488	1.05486452348539e-10
ctsla	5.326269614331e-14	0.638517074897336	0.989	0.848	1.0652539228662e-10
mbpb	6.60686358111576e-14	0.477018590109168	0.644	0.493	1.32137271622315e-10
atp5mc1	9.48283035522187e-14	0.83371254947391	0.867	0.717	1.89656607104437e-10
ucp2	9.66933045894004e-14	0.975556369223163	0.789	0.686	1.93386609178801e-10
si:ch211-251b21.1	1.5384051444922e-13	0.552440070572923	0.678	0.495	3.07681028898441e-10
hmgb2b	2.44074016676281e-13	0.482525045245684	0.967	0.797	4.88148033352561e-10
tubb2b	3.08405028822685e-13	0.429601690665065	0.933	0.706	6.1681005764537e-10
prdx1	4.82136199962738e-13	1.10247759150181	0.656	0.493	9.64272399925477e-10
pvalb4	5.52053430546566e-13	1.4328572526389	0.622	0.495	1.10410686109313e-09
ccng1	1.07669206215998e-12	0.399300443930379	0.967	0.907	2.15338412431995e-09
tuba8l	1.16150879956491e-12	0.654705294807337	0.789	0.57	2.32301759912981e-09
mdh1aa	1.29841546111909e-12	0.810629145322746	0.733	0.561	2.59683092223817e-09
npm1a	1.49252319638782e-12	0.940361474349615	0.689	0.479	2.98504639277564e-09
gadd45ba	2.49848293047421e-12	0.546500832142678	0.922	0.779	4.99696586094841e-09
abracl	5.45921793389447e-12	0.738795507509946	0.589	0.361	1.09184358677889e-08
hspbp1	1.00891575957235e-11	0.442643030138994	0.867	0.699	2.01783151914469e-08
hspa5	1.84579804005188e-11	0.503454822644993	1	0.928	3.69159608010376e-08
tubb4b	3.93872162576728e-11	0.425129781647884	1	0.98	7.87744325153457e-08
slc22a7a	7.1241129237255e-11	0.87079759795928	0.644	0.49	1.4248225847451e-07
atic	1.87280662492602e-10	0.576889613740471	0.233	0.116	3.74561324985205e-07
vamp3	2.34659080948515e-10	0.598190227777534	0.833	0.761	4.69318161897031e-07
gadd45ga	3.27829284514458e-10	0.741823137765584	0.589	0.433	6.55658569028916e-07
pmp22b	4.05152839374642e-10	0.503501829203405	0.867	0.785	8.10305678749285e-07
hmga1a	5.01252572117028e-10	0.437975122041972	0.978	0.881	1.00250514423406e-06
fthl31	6.04432067558322e-10	1.06036626564881	0.3	0.185	1.20886413511664e-06
acta1a	6.39016938126948e-10	0.818249330479997	0.356	0.215	1.2780338762539e-06
pfn1	6.79200138289679e-10	0.295220243968885	0.744	0.609	1.35840027657936e-06
cd63	1.54054303426113e-09	0.567015732567581	0.889	0.807	3.08108606852225e-06
si:ch211-243a20.3	1.81344919307014e-09	1.20539432641378	0.522	0.366	3.62689838614029e-06
si:dkey-197i20.6	2.88868757213155e-09	1.33373025425767	0.5	0.364	5.77737514426309e-06
her4.1	5.22669861312561e-09	1.24801627517234	0.556	0.437	1.04533972262512e-05
uraha	8.81739698482266e-09	1.1012747600738	0.5	0.37	1.76347939696453e-05
nfkbiab	9.85216786463508e-09	0.753305934168429	0.678	0.552	1.97043357292702e-05
h3f3b.1	1.31086814512536e-08	0.386963138698531	0.956	0.897	2.62173629025071e-05
fabp11a	1.64379779551279e-08	0.266920803206245	0.533	0.391	3.28759559102559e-05
rabl6b	1.89882963592461e-08	0.809229709873997	0.522	0.383	3.79765927184922e-05
fxyd1	2.58378179975335e-08	0.593159996128119	0.778	0.652	5.1675635995067e-05
tmsb4x	3.22433027094038e-08	0.261198557706328	1	0.989	6.44866054188076e-05
gm2a	3.6945049350299e-08	0.743848117829484	0.344	0.251	7.3890098700598e-05
nme2b.2	4.43607120540733e-08	1.04566113667344	0.367	0.256	8.87214241081467e-05
her15.1	5.07572623831866e-08	0.51374857728686	0.611	0.51	0.000101514524766373
si:ch73-281n10.2	5.68527727029255e-08	0.341670918868756	0.967	0.852	0.000113705545405851
si:dkey-4p15.3	7.24226724882253e-08	0.266398885910686	0.667	0.521	0.000144845344976451
aldob	8.26453767007095e-08	0.947351947111837	0.689	0.635	0.000165290753401419
tpm2	1.32856913763936e-07	0.916498856236984	0.389	0.289	0.000265713827527871
aoc2	1.99386324421059e-07	0.708581480891707	0.078	0.404	0.000398772648842118
atp2a1	2.48619478656839e-07	1.40594986554099	0.489	0.398	0.000497238957313677
im:7150988	3.15200277612374e-07	0.547094926799641	0.5	0.417	0.000630400555224749
hsp90aa1.1	3.72376859696701e-07	0.25686013216433	0.489	0.365	0.000744753719393403
gapdh	4.69725812739749e-07	1.67679023939538	0.511	0.446	0.000939451625479498
arl6ip1	5.13406092440868e-07	0.636365035577052	0.733	0.681	0.00102681218488174
cst14a.2	5.79000036646144e-07	0.568336393851946	0.689	0.625	0.00115800007329229
tuba8l4	5.93644811911368e-07	0.437980837005218	0.744	0.676	0.00118728962382274
her15.1.1	6.02241202843718e-07	0.518233896340585	0.567	0.478	0.00120448240568744
impdh1b	6.63780050448317e-07	0.682423265903152	0.489	0.413	0.00132756010089663
tnnc2	1.12657606751647e-06	0.996974861895332	0.378	0.288	0.00225315213503294
phlda2	1.1764637313554e-06	0.853890730574451	0.6	0.549	0.0023529274627108
anxa4	1.24694058254773e-06	0.810188650838871	0.633	0.616	0.00249388116509547
pttg1ipb	1.32242342003061e-06	0.730734102228708	0.567	0.482	0.00264484684006121
mdkb	1.33958013839114e-06	0.317686014118988	0.678	0.538	0.00267916027678229
smim29	1.34157902539885e-06	0.738874480744685	0.633	0.575	0.00268315805079769
acta1b	1.433665103981e-06	1.03468003245274	0.422	0.344	0.00286733020796201
pcna	1.73455421033338e-06	0.414541170428232	0.522	0.398	0.00346910842066677
akr1b1	1.74839392318165e-06	0.902695865404199	0.544	0.483	0.0034967878463633
msx2b	2.80773702136523e-06	0.508874865796194	0.378	0.299	0.00561547404273047
rasd1	2.88436484981435e-06	0.730347629508924	0.5	0.414	0.0057687296996287
ckbb	3.11895494149743e-06	0.431223305284957	0.689	0.572	0.00623790988299486
rnaseka	3.39559219079556e-06	0.613122478410661	0.556	0.484	0.00679118438159113
tnni2a.4	4.08091317231832e-06	1.31804533433168	0.456	0.401	0.00816182634463664
bhmt	4.29024237969953e-06	0.990929459078717	0.633	0.58	0.00858048475939906
socs3a	4.33183260660887e-06	0.352994916195652	0.744	0.669	0.00866366521321774
kpna2	4.39033041044893e-06	0.591216182510983	0.289	0.225	0.00878066082089785
mapre1a	4.96351721575612e-06	0.629278799937186	0.233	0.207	0.00992703443151224
anxa2a	7.0659379447649e-06	0.399888589511226	0.556	0.47	0.0141318758895298
calm2a	1.06733803920034e-05	0.48676766042072	0.733	0.675	0.0213467607840068
atp1b1a	1.59976888200225e-05	0.31235174364928	0.8	0.808	0.031995377640045
zfand2a	1.70100606841916e-05	0.263016392107279	0.744	0.704	0.0340201213683832
rtn1b	1.80070057839887e-05	0.340305284676287	0.656	0.541	0.0360140115679775
suclg1	2.06857277873219e-05	0.661435310581798	0.544	0.519	0.0413714555746438
atp5if1b	2.2320494617268e-05	0.686273806828307	0.556	0.519	0.0446409892345359
cks1b	2.40533387063588e-05	0.309689437192932	0.233	0.219	0.0481066774127176
