gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
nell2b	0	3.09655002301132	0.751	0.031	0
lmx1bb	0	3.25887718407572	0.891	0.031	0
pou2f2a	0	2.80047797423884	0.667	0.02	0
slc1a2b	0	2.10283915665418	0.706	0.03	0
sncb	2.67557387310355e-301	2.80799413666233	0.881	0.067	3.88760883761946e-297
uncx	1.31782010388457e-294	2.18541784179336	0.602	0.021	1.91479261094428e-290
tfap2b	3.73648162378312e-275	2.83705583509922	0.552	0.019	5.42910779935687e-271
fez1	5.6203480244266e-269	2.16630565564054	0.886	0.08	8.16636567949185e-265
adcyap1b	5.32432476868223e-261	2.29905356178798	0.816	0.064	7.73624388889529e-257
tmsb	5.33019595179451e-258	3.27879244922248	0.995	0.13	7.74477471795743e-254
ppp1r14ab	9.62027634108515e-250	2.19885734940605	0.672	0.043	1.39782615235967e-245
gng3	1.89340441505883e-249	2.5984174749872	0.97	0.109	2.75111661508049e-245
mcama	2.31957699490955e-248	2.30998951455007	0.667	0.044	3.37034537360358e-244
onecut1	6.7879613600943e-247	2.4015272156163	0.647	0.038	9.86290785621702e-243
zgc:101840	9.66217114798648e-233	2.03636082780976	0.801	0.076	1.40391346780244e-228
pou2f2a.1	1.68939546171777e-219	2.54690711259032	0.716	0.064	2.45469160587591e-215
cadm4	2.36977110619357e-218	1.79071976121004	0.687	0.053	3.44327741729925e-214
stmn1b	7.28161349179085e-212	3.04985932849356	1	0.174	1.05801844035721e-207
elmo1	2.62956995235087e-208	2.1494148804257	0.781	0.089	3.82076514076581e-204
stmn2b	8.08426566890448e-204	2.09744058106888	0.831	0.093	1.17464380169182e-199
elavl3	8.33634333218256e-204	2.55235909044278	0.99	0.154	1.21127068616613e-199
tuba2	5.58060760212563e-198	1.97064696475442	0.741	0.075	8.10862284588854e-194
uncx4.1	6.11707834091023e-196	1.5798068769385	0.463	0.021	8.88811482934256e-192
mllt11	6.48245601130246e-196	2.18252012895786	0.816	0.095	9.41900858442248e-192
stx1b	7.83459546205723e-194	1.95025497303872	0.711	0.07	1.13836672063692e-189
stmn2a	2.67446192671556e-191	2.1787802972587	0.781	0.086	3.88599317951771e-187
nrn1a	2.09713745435129e-190	1.74709356483413	0.517	0.031	3.04714072117242e-186
nova2	6.89558769149583e-187	2.94112250253653	0.995	0.221	1.00192889157434e-182
celf3a	9.40524120546569e-186	1.79705560047469	0.726	0.079	1.36658154715416e-181
nsg2	2.31453238612045e-183	2.12709524157201	0.9	0.143	3.36301555703301e-179
r3hdm1	1.19892422252165e-181	1.94289505496774	0.627	0.061	1.74203689532395e-177
golga7ba	1.78128560732729e-175	1.7256042727812	0.637	0.061	2.58820798744656e-171
gap43	5.52403140394638e-172	2.4449882644346	0.91	0.157	8.0264176299341e-168
zfhx3	6.26041242375338e-171	2.88132456304683	0.826	0.141	9.09637925171366e-167
scrt2	1.84249667487215e-170	1.47921765647871	0.512	0.035	2.67714766858924e-166
tfap2a	1.14996968286098e-169	2.96946883041	0.871	0.166	1.67090594919701e-165
si:ch73-386h18.1	1.3836035318566e-168	1.73962696333588	0.637	0.067	2.01037593178763e-164
nrxn1a	1.57036901922767e-167	1.35215417787021	0.512	0.037	2.2817461849378e-163
serp2	7.25596626284697e-167	1.15344745938644	0.383	0.017	1.05429189799167e-162
zgc:65894	1.84699439742353e-165	1.73187656624854	0.761	0.095	2.68368285945639e-161
tmem59l	4.92608902508987e-165	1.85362487997761	0.811	0.126	7.15760735345559e-161
gng2	8.43978999051252e-165	2.24248603134777	0.96	0.206	1.22630148562147e-160
tmsb2	1.26446092475131e-164	2.13670316934421	0.632	0.064	1.83726172366365e-160
csdc2a	4.4787905647022e-163	1.71092942813599	0.682	0.082	6.50768269051229e-159
stap2a	3.12634688647411e-162	1.4060554775588	0.493	0.035	4.54258202604688e-158
atcaya	1.58879275682697e-161	1.61105469410742	0.657	0.073	2.30851587566959e-157
si:dkey-56f14.7	1.34442110920753e-160	1.20538942760922	0.453	0.029	1.95344387167854e-156
tlx2	3.64514707617381e-160	2.34353259325178	0.781	0.117	5.29639870168054e-156
