gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ccl25b	1.09967250523374e-110	3.29512977953117	0.608	0.041	1.59782415010462e-106
postnb	2.95630205349169e-76	2.76214184206286	0.932	0.17	4.29550688372342e-72
kazald2	6.4405749610362e-71	1.36609641065615	0.486	0.041	9.35815541838559e-67
lbx2	5.46269983148811e-64	1.40197156071646	0.5	0.048	7.93730285515222e-60
sfrp2	2.73987704070205e-51	1.68603209457072	0.824	0.167	3.98104134014008e-47
prrx1a	3.88766380847744e-42	1.67955129429749	0.905	0.265	5.64877551371772e-38
eya2	3.15612032474474e-41	1.01541171765184	0.473	0.066	4.5858428318541e-37
six1a	3.4932916255694e-41	1.1790945936964	0.784	0.177	5.07575273195234e-37
six2b	4.5348177372559e-41	0.446832526018468	0.216	0.013	6.58909017223282e-37
rbp5	8.78525842562158e-39	1.36274311931117	0.919	0.276	1.27649804924282e-34
artnb	6.46665848342047e-38	0.890919459894434	0.324	0.033	9.39605477640994e-34
cxcl12a	3.71418198245144e-37	1.86585471706774	0.824	0.236	5.39670642050194e-33
crabp2a	1.06497813718408e-36	1.24697819718016	0.486	0.076	1.54741323332846e-32
prrx1b	1.53361908816044e-36	1.64916824462385	0.797	0.212	2.22834853509712e-32
six1b	3.52562612886206e-36	1.37952049760568	0.662	0.149	5.12273476523658e-32
cd248a	9.24366310812573e-36	0.986669819249156	0.581	0.109	1.34310424961067e-31
tbx1	1.44338527115903e-35	0.78619892920509	0.257	0.022	2.09723879899407e-31
hoxa2b	7.982655712575e-33	1.18287203115723	0.5	0.09	1.15987987503715e-28
sfrp1a	2.49015096938822e-32	0.8114647922043	0.419	0.064	3.61818935852109e-28
pmp22a	7.23479149653946e-32	1.59732595458788	1	0.638	1.05121520444718e-27
six2a	7.55683911075093e-31	1.09935493294089	0.459	0.082	1.09800872279211e-26
lrrc17	9.4461052626616e-31	1.12058620068827	0.757	0.207	1.37251909466473e-26
cdh11	1.62525126310912e-29	1.21957517950388	0.851	0.278	2.36149008529755e-25
