gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
aldh1a2	7.09753707235209e-61	1.66419348179711	0.672	0.078	1.03127213661276e-56
rdh10a	1.9547407358096e-53	2.16032998273121	0.639	0.084	2.84023828913135e-49
mrrf	5.01406503181454e-49	1.15825419049445	0.705	0.106	7.28543649122652e-45
sfrp5	1.91242340342046e-46	0.989538676355129	0.508	0.056	2.77875120516994e-42
meis3	2.68243463774187e-43	0.791716847334238	0.459	0.049	3.89757752863893e-39
mpped2	5.08235514879284e-38	1.42366288554761	0.754	0.163	7.38466203119599e-34
gsc	7.11772464132748e-38	1.7312830872873	0.82	0.188	1.03420539038488e-33
rbp5	1.20810905050778e-37	1.52365625156496	0.967	0.278	1.7553824503878e-33
gata5	1.6142458300299e-35	0.388271989262396	0.23	0.015	2.34549919103344e-31
lhx6	3.76540023641057e-35	1.00890410002412	0.574	0.093	5.47112654350457e-31
hoxb6a	3.9374120951673e-30	0.639367610441073	0.656	0.127	5.72105977427809e-26
cyp26a1	4.70277451918817e-29	2.04007312459181	0.557	0.11	6.83313137638041e-25
hs3st3b1b	1.08057573339286e-25	0.47511031297085	0.344	0.045	1.57007654061983e-21
vasna	6.80732137674796e-25	0.675893280039122	0.443	0.076	9.89103796041479e-21
prrx1b	1.7062358598049e-24	1.06389964119442	0.77	0.215	2.47916070429651e-20
si:ch211-222l21.1	1.93284195034511e-24	1.42087676897185	1	0.83	2.80841935385144e-20
cyyr1	4.55962886195769e-24	0.954422010838365	0.77	0.222	6.62514073642452e-20
ackr3b	1.18135449645183e-23	1.2384876233267	0.689	0.178	1.71650808334451e-19
prdm1a	1.20781253678228e-23	0.816944001502382	0.508	0.1	1.75495161594465e-19
cirbpa	2.58973039267265e-23	1.13418378204822	0.984	0.941	3.76287826055337e-19
hells	4.94837610666117e-23	0.687673633574942	0.459	0.086	7.18999048297869e-19
lbx2	3.70567175379769e-22	0.55658553463769	0.344	0.052	5.38434105826804e-18
h2afvb	1.08089614663578e-21	1.11255203321752	1	0.893	1.57054210106178e-17
dlx2a	2.3878038766596e-21	0.97485429326653	0.557	0.134	3.46947903278639e-17
hmgb2b	3.25109023872707e-21	1.27753692620827	1	0.804	4.72383411687043e-17
hmga1a	5.67383879559232e-21	1.20035916107764	1	0.885	8.24408776999564e-17
cdca7a	6.73480957539243e-21	0.806624307341096	0.639	0.166	9.7856783130452e-17
khdrbs1a	9.62340353250107e-21	0.939773130627261	1	0.925	1.39828053327241e-16
mllt3	1.37229636502617e-20	0.3943868949104	0.279	0.038	1.99394661838302e-16
apela	9.07729136360164e-20	0.504654167143852	0.262	0.035	1.31893043513132e-15
sox12	2.01243365575701e-19	0.39975029785225	0.23	0.027	2.92406610181494e-15
hoxb8a	2.22909309891958e-19	0.427620940935014	0.426	0.083	3.23887227273015e-15
meis2a.1	6.16305060486306e-19	0.549342858941617	0.77	0.228	8.95491252886603e-15
TXN	9.9187284286491e-18	0.798601029444456	1	0.917	1.44119124068271e-13
snrpb	1.28609301387644e-17	0.998918184037934	1	0.735	1.86869314916247e-13
inip	3.66572441892229e-17	0.819417924216374	0.721	0.256	5.32629758069409e-13
mcm2	4.82752368134141e-17	0.770147557100727	0.689	0.217	7.01439190898907e-13
meis1a	6.01413467499988e-17	0.645757879125447	0.689	0.204	8.73853768277482e-13
hoxb1b	6.81436458216512e-17	0.537595531546654	0.459	0.105	9.90127173788592e-13
hnrnpabb	7.65629794154545e-17	0.968998402485925	0.984	0.796	1.11246009090655e-12
hsp90ab1	1.11849310739568e-16	0.614738660733685	1	0.998	1.62517048504592e-12
sae1	1.22627336999159e-16	0.828575456690509	0.754	0.276	1.78177520659778e-12
hnrnpa0l	1.24626776165855e-16	0.868315316744348	1	0.936	1.81082705768988e-12
ybx1	1.43543776890367e-16	0.553850839267817	1	0.998	2.08569107821703e-12
stmn1a	2.09786613134249e-16	0.791744041054062	0.951	0.401	3.04819948884064e-12
si:ch73-281n10.2	2.14866719429942e-16	1.05044769571152	1	0.851	3.12201343331706e-12
rpl12	2.8547198368094e-16	0.62471919500966	1	0.997	4.14790792288405e-12
si:ch211-267e7.3	4.70062925916889e-16	0.348561478658083	0.246	0.037	6.8300143135724e-12
dpcd	5.56198862530702e-16	0.503197770159109	0.443	0.105	8.0815694725711e-12
xirp2a	6.445670775089e-16	0.464202740266709	0.393	0.084	9.36555963620432e-12
zgc:56699	7.54804392891703e-16	0.609440196344745	0.41	0.097	1.09673078287164e-11
foxf2a	8.81417990426317e-16	1.13308838408129	0.525	0.15	1.28070034008944e-11
rcc2	1.04410795165842e-15	0.902697058672837	0.869	0.394	1.51708885375968e-11
rpl4	1.05302169781557e-15	0.566868839807788	1	0.989	1.53004052692602e-11
si:dkeyp-44a8.4	1.33212944399851e-15	0.638506972689797	0.393	0.089	1.93558408212984e-11
hmgn2	1.3447071278467e-15	0.988703688486858	1	0.959	1.95385945676126e-11
pbx1b	1.354769782911e-15	0.267027678542009	0.164	0.018	1.96848049456969e-11
