gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
phox2ba	0	3.59805287865308	0.738	0.003	0
olig3	1.19482640507095e-195	1.74522861194499	0.459	0.007	1.73608276656809e-191
tlx3b	4.87741254224469e-177	1.85062055704833	0.541	0.013	7.08688042388154e-173
lmx1ba	6.10182417056731e-175	1.7551400515763	0.541	0.013	8.8659505198343e-171
srrm4	3.72667770902405e-170	2.25365608640644	0.738	0.031	5.41486271121195e-166
ebf2	5.79649507223874e-159	2.24876863442715	0.77	0.038	8.42230733996288e-155
zgc:162707	1.46061001965186e-153	1.86010840284984	0.541	0.017	2.12226635855416e-149
dlb	1.53200858030832e-147	2.82053344062997	0.82	0.048	2.22600846718799e-143
uncx4.1	3.26814060505034e-144	2.08806958508012	0.705	0.033	4.74860829913814e-140
irx4a	6.76163333853941e-137	1.75139725715576	0.41	0.01	9.82465324089776e-133
rhbdl3	1.54129215038221e-134	1.92445561830227	0.672	0.033	2.23949749450536e-130
scrt2	4.57948411574568e-134	2.52497130518898	0.787	0.048	6.65399042017848e-130
olig4	5.28947658798989e-123	1.07978943925624	0.23	0.002	7.6856094823493e-119
nhlh2	3.59427656319904e-121	0.940348016723482	0.328	0.006	5.2224838463282e-117
uncx	1.07967946893651e-119	2.58528862272107	0.689	0.04	1.56877426836475e-115
neurod4	2.49110704655099e-118	1.83054105867214	0.344	0.008	3.61957853863859e-114
lmx1bb	7.27655643620447e-110	2.56950172075145	0.82	0.063	1.05728365018051e-105
stap2a	6.75716344799717e-108	1.8491623483478	0.705	0.048	9.81815848993989e-104
irx1a	3.86674639044565e-102	1.85997982994987	0.508	0.025	5.61838250531753e-98
mpp2a	9.65161145217011e-100	1.33456174567044	0.475	0.021	1.40237914400032e-95
insm1a	6.7437480607342e-98	2.50552050257244	0.672	0.049	9.79866593224679e-94
thsd7aa	2.01613835268644e-95	1.35461926192923	0.508	0.026	2.9294490264534e-91
nkain2	3.5620145593536e-88	1.24886655581741	0.508	0.029	5.17560715474079e-84
insm1b	2.77277303432545e-87	2.48324989439995	0.787	0.08	4.02883921887488e-83
gsx2	1.72952935912707e-86	1.3578526023226	0.23	0.004	2.51300615881163e-82
si:ch73-386h18.1	9.79252196453185e-84	2.3110901068324	0.787	0.085	1.42285344144648e-79
pou3f1	1.03382843322107e-83	2.02200902846997	0.705	0.064	1.50215271347021e-79
myt1b	7.63468729682035e-83	2.35670646991361	0.869	0.108	1.109320064228e-78
hes6	7.76598274921971e-82	2.74710879797292	0.951	0.15	1.12839729346162e-77
adcyap1b	8.18633737716621e-80	2.20586544141741	0.82	0.091	1.18947482090225e-75
elavl3	6.10302330355537e-77	3.33157472504116	1	0.184	8.86769286006596e-73
zgc:77784	7.1482909504321e-71	0.633306989212752	0.246	0.007	1.03864667509778e-66
atcaya	1.49923890179882e-67	1.83170746858055	0.754	0.093	2.17839412431369e-63
draxin	1.46482608426182e-66	1.14452069129446	0.344	0.017	2.12839230043242e-62
scrt1a	2.21890581658985e-66	1.08508028784078	0.295	0.012	3.22407015150506e-62
isl1	2.62222649202159e-64	1.40919725015645	0.328	0.016	3.81009509290737e-60
plxna4	3.72579423485652e-61	1.56498189363088	0.607	0.065	5.41357902324652e-57
zic1	7.01820905165326e-60	0.78680870217537	0.262	0.011	1.01974577520522e-55
tmsb	9.16367450378445e-59	2.25639835763041	0.918	0.163	1.33148190539988e-54
gadd45gb.1	9.27769362481248e-59	1.79303268385325	0.361	0.022	1.34804888368525e-54
BX530077.1	2.39764873742265e-58	1.08095991512228	0.279	0.013	3.48378361547511e-54
pou2f2a.1	1.14302633214099e-57	1.8497907412761	0.689	0.089	1.66081726060086e-53
gdf11	2.18122288265109e-55	1.20938767110081	0.492	0.047	3.16931684849204e-51
notch1a	1.24985471965618e-54	1.25343363462712	0.426	0.035	1.81603890766043e-50
enc3	1.92984533211494e-54	1.40523058604883	0.377	0.027	2.80406526756301e-50
tfap2a	9.5869907150401e-53	2.24080708059463	0.902	0.192	1.39298975089533e-48
sox12	1.16184432088107e-52	1.05844923180818	0.361	0.025	1.68815979824019e-48
meis2a.1	6.10379674212208e-52	2.74177875525145	0.918	0.226	8.86881666630338e-48
nova2	7.39181471235607e-52	2.42582387555511	0.984	0.249	1.07403067770534e-47
tlx2	7.08138005947893e-51	2.33339921695278	0.787	0.141	1.02892452264229e-46
gpm6aa	1.29752432450785e-50	1.71785916422356	0.705	0.105	1.8853028435099e-46
sox11b	1.14563036467995e-48	2.94447283996976	0.967	0.289	1.66460091987997e-44
kif21b	1.93642227710055e-48	0.967906911726224	0.328	0.023	2.8136215686271e-44
ascl1b.1	2.22930487989868e-48	0.917560198429499	0.262	0.014	3.23917999049279e-44
ptprna	5.78526071057688e-46	0.845373648275138	0.295	0.019	8.40598381246821e-42
cdkn1ca	3.31450341385224e-45	2.65254282303556	0.738	0.143	4.8159734603273e-41
pou3f3b	3.3537155139632e-45	1.4904584157422	0.492	0.058	4.87294864178853e-41
celf3a	3.50280792711986e-45	1.45910830881756	0.672	0.104	5.08957991810516e-41
rtn1a	3.9823268464687e-45	2.20766751416808	1	0.31	5.78632090791902e-41
pou4f2	6.39786410648117e-45	0.688068717467039	0.197	0.008	9.29609654671714e-41
zfhx3	1.76185932202059e-43	2.01691066605096	0.787	0.166	2.55998159489592e-39
stmn1b	3.16805331469167e-43	2.04386571346382	0.902	0.206	4.60318146624699e-39
dmbx1a	1.23176837791417e-42	0.593590777449457	0.115	0.002	1.78975945310928e-38
bcam	2.90016909087826e-42	1.6762325373474	0.574	0.084	4.21394568904611e-38
pou4f1	3.60816970721684e-42	1.18960971956847	0.295	0.021	5.24267058458607e-38
nrn1a	2.13860730442204e-41	1.73164667097335	0.443	0.05	3.10739641332523e-37
zfhx4	3.85128848255785e-41	2.50696977481985	0.787	0.189	5.59592216515656e-37
tuba1a	5.78848589595181e-41	2.30747692003349	1	0.355	8.41067000681799e-37
tp53inp2	2.06970123994019e-40	1.80191614248116	0.836	0.212	3.0072759016331e-36
sept3	1.20792067058058e-39	1.39959984494572	0.525	0.075	1.75510873435358e-35
lzts1	7.57233271477384e-39	0.603487494645155	0.164	0.006	1.10025994345664e-34
dla	1.43065496838899e-38	1.30351113450465	0.344	0.032	2.0787416690692e-34
tfap2b	2.80466075593103e-38	1.06069557161729	0.393	0.041	4.07517207836779e-34
tubb5	1.44252313629441e-37	2.0210459284074	0.967	0.342	2.09598611703578e-33
tmed4	8.26782309639964e-37	1.2873386949376	0.639	0.119	1.20131469590687e-32
tuba1c	9.06185343095592e-37	1.8397875962132	1	0.357	1.3166873035179e-32
gsx1	1.69886291939511e-36	0.861568231748645	0.131	0.004	2.4684478218811e-32
phox2bb	2.83881250068163e-36	2.86485549865554	0.803	0.218	4.1247945634904e-32
hoxc1a	3.65625466364168e-36	1.41335208829238	0.623	0.115	5.31253802627136e-32
kctd15a	3.26271038254018e-35	1.54918288262477	0.443	0.06	4.74071818583088e-31
hmgn6	4.59465351849716e-35	1.9630208048948	1	0.859	6.67603156237638e-31
zic3	5.15731212478315e-35	0.647332463773598	0.246	0.018	7.49357451730992e-31
hmgb1b	7.13358308969307e-35	1.9399026803527	1	0.707	1.0365096229324e-30
irx2a	1.44504766344506e-33	0.800975745424312	0.246	0.018	2.09965425498567e-29
tmeff1b	2.31208558682865e-33	1.98131805636747	0.967	0.456	3.35946035766203e-29
dpysl5a	3.13437525060984e-33	1.09759205256216	0.492	0.075	4.55424723913609e-29
nfasca	1.01850840361189e-32	0.930301002692067	0.459	0.064	1.47989271044808e-28
khdrbs1a	3.26251310844892e-32	1.42865765057179	1	0.925	4.74043154657628e-28
si:ch211-222l21.1	7.10795095348171e-32	1.86085672474387	1	0.83	1.03278527354089e-27
rbpjb	1.97322023967547e-31	1.3345717581732	0.475	0.079	2.86708900824846e-27
hnrnpaba	2.08780777961187e-31	1.58951533672467	1	0.923	3.03358470377605e-27
ptmab	4.81245221139771e-31	1.35463525213978	1	0.972	6.99249306316088e-27
bcl11ba	7.29460102110146e-31	0.733819231625465	0.23	0.018	1.05990552836604e-26
