gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
sox9b	2.14004195309781e-79	1.82045883586921	0.707	0.065	3.10948095785112e-75
hoxa9b	7.2162348785313e-70	1.04924209575857	0.638	0.056	1.0485189278506e-65
tbx15	5.8646352651933e-64	1.3420469421911	0.724	0.079	8.52131504032586e-60
zbtb16a	2.16805688332404e-47	1.37378511181645	0.776	0.134	3.15018665146982e-43
tgfbi	5.60809832528362e-39	1.74138012108167	0.948	0.272	8.14856686663711e-35
hoxd12a	2.57346790906291e-37	1.05376464353811	0.483	0.059	3.73924887186841e-33
abtb2a	1.03373951864062e-36	0.992216485164965	0.655	0.108	1.50202352058483e-32
efhd1	2.90261528318283e-35	0.916407697282684	0.569	0.087	4.21750000646466e-31
hs3st3b1b	2.45265288285821e-34	0.670978460053487	0.397	0.044	3.56370463879298e-30
il16	3.57642396282288e-34	0.569200862022924	0.397	0.043	5.19654401798165e-30
bmp2a	5.22744394848115e-32	0.4914733339813	0.328	0.032	7.59547605714312e-28
hoxd9a	6.33307210080066e-32	0.824174945969576	0.517	0.076	9.20195376246336e-28
tbx18	8.38787490368391e-31	0.486459334767541	0.224	0.016	1.21875822350527e-26
sema3d	9.86350252556248e-29	0.674387624703653	0.397	0.051	1.43316691696423e-24
pth1a	2.45253349089142e-28	0.735928527092873	0.121	0.005	3.56353116226523e-24
kcnk5b	8.20318741038585e-28	0.88772209348695	0.534	0.095	1.19192313072906e-23
hoxd10a	1.46771713372902e-27	0.607800171724955	0.31	0.034	2.13259299530827e-23
eva1a	1.27833309470645e-25	0.897713419310653	0.638	0.139	1.85741798660848e-21
wwp2	1.91278875543754e-24	0.887633964547445	0.638	0.143	2.77928206165075e-20
sema3bl	3.59105800428403e-24	0.591563575700867	0.379	0.055	5.2178072802247e-20
nog3	3.80828497594672e-23	0.917260381639464	0.431	0.073	5.53343807005059e-19
lpar1	4.35240086974327e-22	0.639957132336183	0.5	0.096	6.32403846373696e-18
fam129ba	4.38458295725638e-22	0.628627019572719	0.552	0.112	6.37079903689352e-18
zgc:66479	4.82013818082954e-21	0.608658659877721	0.466	0.09	7.00366077674532e-17
rpl26	6.32781414696651e-21	0.754932631555164	0.759	0.217	9.19431395554234e-17
fam198a	1.10353899790045e-20	0.645269035670098	0.534	0.115	1.60344216394936e-16
zgc:153675	4.10964942051248e-20	0.90854603174728	0.845	0.284	5.97132060800463e-16
id3	1.64635797423539e-19	1.64431441866639	0.948	0.495	2.39215813656402e-15
hoxd13a	1.65979157090901e-19	0.579712423816763	0.224	0.025	2.4116771525308e-15
id1	3.61181040837016e-18	1.77346715814244	0.966	0.604	5.24796052336185e-14
loxl1	3.98616849228585e-18	0.497027219402984	0.483	0.101	5.79190281929134e-14
