gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
sox3	9.91679980795768e-266	2.76424461535018	0.705	0.01	1.44091101209625e-261
atp1b4	2.20721090068063e-245	1.95432015538378	0.614	0.008	3.20707743868895e-241
gfap	2.43585008153398e-195	2.49747986180747	0.636	0.013	3.53929016846887e-191
sox19a	3.29569639434228e-157	1.25322254699853	0.318	0.003	4.78864686097934e-153
nkx2.2a	6.41378381970229e-138	1.78035116024124	0.386	0.006	9.31922789002742e-134
prdm8	3.66268308527388e-124	2.30992239726154	0.523	0.015	5.32187852290294e-120
masp1	9.22218432023532e-108	1.98253823783547	0.318	0.005	1.33998338173019e-103
olig2	2.04001425645549e-97	2.38659602814063	0.364	0.009	2.96414071462982e-93
zic4	4.28248386233819e-89	1.42717015075369	0.273	0.005	6.22244905197739e-85
kcnj11l.1	2.91876766257166e-82	4.09280594664797	0.341	0.01	4.24096941371662e-78
pou3f3a	1.41445036015108e-67	1.2552630378432	0.477	0.026	2.05519637329951e-63
gsx1	6.03627163973119e-65	2.11843718137553	0.205	0.004	8.77070269252942e-61
zgc:165461	7.39607837035734e-64	1.09724777412707	0.295	0.01	1.07465018721292e-59
si:ch73-265d7.2	3.06886874331725e-63	0.824267875060123	0.159	0.002	4.45906628403997e-59
gadd45gb.1	2.64131490784009e-62	2.09475869550783	0.432	0.023	3.83783056109166e-58
wnt7aa	3.09465680317829e-62	0.749729744071334	0.205	0.004	4.49653633501805e-58
plp1a	7.50138081581968e-61	1.01800478298754	0.295	0.01	1.0899506325386e-56
pax6a	1.37794589058748e-57	0.795818545762823	0.205	0.005	2.00215537902361e-53
ugt8	3.71806329106894e-57	0.61606757706806	0.273	0.009	5.40234596192316e-53
gsx2	5.30556276957237e-50	1.5077898279859	0.205	0.006	7.70898270418866e-46
npas1	9.63828353724477e-50	0.635946794066082	0.159	0.003	1.40044259796167e-45
prdm13	5.785904368093e-49	0.705632154293334	0.114	0.001	8.40691904683913e-45
sox13	3.53853448019111e-46	0.64136553503442	0.227	0.008	5.14149059971769e-42
neurog1	6.04829523647554e-44	2.34753473335314	0.182	0.005	8.78817297859896e-40
lrrtm2	1.5327623722839e-41	0.811710124823272	0.205	0.007	2.22710372692851e-37
dla	5.0719440931042e-41	1.72980460163902	0.409	0.032	7.36953476728041e-37
gpm6bb	5.32679011741112e-39	0.841509716305504	0.364	0.027	7.73982604059836e-35
her8.2	8.63358395730266e-39	0.4439748308084	0.136	0.003	1.25445974899608e-34
lrrn1	5.37648859351723e-38	2.22575681171906	0.523	0.06	7.81203792638054e-34
fabp7a	1.31879941193294e-37	4.1727906392232	0.795	0.155	1.91621554553856e-33
pou3f1	4.20492219185235e-37	1.89543153499297	0.568	0.068	6.10975194476146e-33
notch1a	8.16331789995732e-36	1.03121253101218	0.409	0.037	1.1861300908638e-31
pax3a	1.98396231415899e-34	1.24536590823046	0.273	0.017	2.88269724247302e-30
mapk12b	7.68408606892468e-33	0.522327768320446	0.182	0.007	1.11649770581476e-28
qki2	3.02494382716705e-32	1.27807886101326	0.523	0.069	4.39524338087372e-28
phyhiplb	1.07703860813021e-29	1.15195879943122	0.295	0.023	1.5649370976132e-25
hes6	1.53994895939584e-29	2.00519245925899	0.727	0.156	2.23754583800215e-25
sox2	1.2981826475108e-28	0.400127967669551	0.205	0.011	1.8862593868332e-24
s100b	1.5635902020883e-28	0.595465861725352	0.182	0.009	2.2718965636343e-24
slc6a9	3.48308755585103e-28	1.09140157128091	0.341	0.033	5.06092621865155e-24
NPAS3	4.30741149324609e-28	0.712721849883286	0.182	0.009	6.25866889968657e-24
BX530077.1	8.20738173328608e-28	1.09809172496736	0.227	0.014	1.19253256584647e-23
