gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
otomp	0	1.42786675450151	0.522	0	0
si:dkey-16l2.17	0	1.17240764444764	0.652	0.001	0
cldn7b	0	3.48724639794563	1	0.009	0
col9a1b	0	1.69262503239299	0.696	0.001	0
cldnh	0	3.07852195083371	0.783	0.005	0
cldnc	0	2.17828679058141	0.696	0.003	0
si:dkey-222f2.1	0	3.30080950027838	0.826	0.001	0
spint1a	4.0669294787035e-277	1.65819464455134	0.826	0.007	5.90924853255619e-273
stm	5.39446265145756e-267	5.3035551886076	0.913	0.011	7.83815423256783e-263
mb	2.60102552014443e-265	2.65430580565242	0.435	0.001	3.77929008076986e-261
si:ch211-98n17.5	1.07286646776401e-235	0.926973733738642	0.478	0.002	1.55887497766111e-231
agr2	2.63201624406633e-228	3.40638875864713	0.826	0.01	3.82431960262838e-224
zgc:92313	6.91324835291822e-227	1.83798465612185	0.783	0.009	1.00449498567902e-222
marveld3	1.25158268568897e-223	0.477001607191627	0.261	0	1.81854964230608e-219
atp1a1a.4	5.753366451857e-222	1.28378141090921	0.522	0.003	8.35964145454822e-218
spint2	8.10322174231347e-212	2.31668334211888	0.913	0.014	1.17739811915815e-207
irf6	2.00278778067292e-201	1.60939333700239	0.696	0.008	2.91005064531776e-197
ildr1a	5.09051229177714e-190	1.1044902250506	0.522	0.004	7.39651435995219e-186
bricd5	1.52425647066466e-187	2.27408362462387	0.478	0.003	2.21474465187575e-183
tnfb	5.07953042155692e-182	3.71069452983671	0.652	0.008	7.38055770252221e-178
si:ch211-80h18.1	3.00525865979611e-178	4.0974695960917	0.609	0.007	4.36664083268374e-174
stap2b	4.94349376928077e-177	1.27996743882476	0.391	0.002	7.18289644676496e-173
si:ch211-243g18.2	5.28199706449127e-173	2.90210035828652	0.609	0.007	7.67474173470581e-169
cahz	8.57668635027867e-150	1.24685226377212	0.391	0.003	1.24619252669549e-145
ap1m2	1.53245844715921e-134	0.720588006778911	0.478	0.006	2.22666212372233e-130
tmprss4a	1.03863539009794e-131	0.739375569857699	0.348	0.003	1.50913722181231e-127
zgc:112437	4.90799400075589e-131	2.22514318923776	0.826	0.021	7.13131528309831e-127
cldna	1.14149796215317e-130	1.60012668111601	0.783	0.019	1.65859653900856e-126
cd9b	1.62479429355044e-122	2.35834945796789	0.913	0.029	2.36082610852878e-118
arrdc1a	2.25988115482055e-121	0.870790299260696	0.304	0.002	3.28360731795425e-117
oclna	3.13085250310083e-118	1.54647784336918	0.522	0.008	4.5491286870055e-114
zgc:136892	1.06013465613434e-116	0.525254211421539	0.217	0.001	1.5403756553632e-112
elf3	1.3299565148252e-116	2.74830179739749	0.652	0.015	1.93242681604102e-112
rassf7b	1.51895383846473e-107	0.645367666652207	0.348	0.004	2.20703992728926e-103
vsig10	1.4436170224701e-106	0.722694137881499	0.391	0.005	2.09757553364906e-102
lsr	4.28424990409256e-102	0.970648387753617	0.435	0.007	6.22501511064648e-98
f11r.1	5.26957401735415e-94	2.5577060876889	1	0.049	7.65669104721558e-90
cldnb	8.03727671476099e-90	5.67378919379023	1	0.054	1.16781630665477e-85
aldh1a3	1.62808792696592e-89	1.89731838855614	0.261	0.002	2.36561175788148e-85
pkp1b	1.83709064939347e-86	0.871401648337788	0.304	0.004	2.66929271356871e-82
mfsd6a	3.11173156293932e-78	0.465237775250081	0.348	0.006	4.52134596095084e-74
tectb	4.6029618307114e-78	3.47136652544721	0.217	0.002	6.68810354002367e-74
itgb6	1.05730782040657e-77	0.547303666395339	0.217	0.002	1.53626826305075e-73
klf5l	3.17590653504122e-75	0.39962401676286	0.304	0.004	4.6145921954149e-71
pkp3a	2.85993700306259e-74	0.483403719038054	0.261	0.003	4.15548846544994e-70
lrp2a	2.60544589047063e-73	0.640244236897424	0.348	0.006	3.78571287885383e-69
si:ch211-191a24.4	1.1459188807644e-69	0.728899797869931	0.435	0.011	1.66502013375067e-65
tjp3	7.11689920559872e-68	1.09004256439445	0.435	0.011	1.03408545457349e-63
s100v1	1.22646285593765e-66	0.648015091745319	0.304	0.005	1.78205052967741e-62
mpzl2b	3.3433433246146e-60	0.542400918595832	0.304	0.006	4.85787785066502e-56
st14a	4.66277508533323e-59	0.797007214870657	0.391	0.011	6.77501219898918e-55
ildr1b	7.57792225045326e-53	0.566857304586211	0.304	0.007	1.10107210299086e-48
stard14	9.60918878978771e-52	0.794839494347532	0.348	0.009	1.39621513115615e-47
epcam	3.00614808479886e-50	4.85616359104082	0.957	0.097	4.36793316721275e-46
si:ch1073-443f11.2	1.64436181666624e-49	0.825101870042336	0.261	0.005	2.38925771961604e-45
si:ch73-141c7.1	3.07805454872585e-49	0.964351440818614	0.565	0.028	4.47241325929866e-45
chmp4c	4.41282427705363e-49	0.433169113529524	0.217	0.004	6.41183367455892e-45
edn2	2.64941024718178e-46	0.895390190969995	0.174	0.002	3.84959308915512e-42
esrp1	3.10809626108688e-46	0.371370624796809	0.174	0.002	4.51606386735923e-42
tmem54a	1.27350708927239e-44	0.411795822811615	0.304	0.008	1.85040580071279e-40
krt5	1.57538855965452e-44	1.03740687229097	0.783	0.061	2.28903957717802e-40
zgc:158404	1.17657742754672e-42	0.407977326757493	0.13	0.001	1.70956700222538e-38
otx1	1.33992031546047e-42	0.284823081869677	0.13	0.001	1.94690421836407e-38
si:dkey-182g1.2.1	4.63946888830535e-42	0.589778171086524	0.522	0.027	6.74114829470767e-38
mid1ip1a	7.61966302865762e-42	1.31560250037369	0.435	0.019	1.10713703806395e-37
rbm47	1.96804864413292e-41	0.34519799337716	0.261	0.007	2.85957467992513e-37
pvalb6	2.1644961092089e-40	0.588006337182239	0.217	0.005	3.14501284668054e-36
tspan33a	4.9594537510551e-39	0.476997209272271	0.261	0.007	7.20608630028306e-35
vgll4l	2.43055313990909e-38	0.637234967575942	0.348	0.013	3.53159371228791e-34
si:ch211-133n4.6	5.4144556968792e-38	1.75681045763624	0.13	0.002	7.86720412756547e-34
si:ch211-152c2.3	6.39547654847699e-38	2.6130132094383	0.739	0.069	9.29262742493707e-34
zgc:193711	9.81885150140493e-38	0.575546363827738	0.391	0.017	1.42667912315414e-33
gipc2	6.33748432316388e-37	0.657558763472024	0.435	0.022	9.20836472155712e-33
tmem238a	5.37646641669674e-36	0.686614029541889	0.391	0.018	7.81200570346036e-32
limch1b	9.43334593138473e-36	0.690485491512931	0.435	0.023	1.3706651638302e-31
gal3st3	2.43648611402895e-35	0.443807789474885	0.174	0.003	3.54021432368406e-31
cgnb	3.59241526745633e-34	0.523986459828433	0.304	0.012	5.21977938361405e-30
si:ch73-233k15.2	8.82592293166975e-34	0.825515801101808	0.435	0.024	1.28240660197162e-29
ap1s3b	7.76755276321387e-33	0.3694282065361	0.261	0.009	1.12862541649498e-28
capsla	5.55079137241055e-32	0.464792781919802	0.217	0.006	8.06529986411253e-28
fgf8a	3.25068166947183e-31	0.516925135720862	0.13	0.002	4.72324046574257e-27
macc1	7.11435761776711e-31	0.632615612332744	0.217	0.006	1.03371616186156e-26
tmem79b	4.22280069558487e-30	0.270303434061721	0.174	0.004	6.13572941068482e-26
gsnb	3.06940883763258e-28	0.805897769588736	0.217	0.007	4.45985104108014e-24
elovl1a	2.66624966609825e-27	0.770207851278093	0.348	0.019	3.87406076484075e-23
inhbb	3.26367253298151e-27	1.28983822061483	0.522	0.045	4.74211619042214e-23
ankrd22	3.60405158523443e-27	0.342061579131158	0.217	0.007	5.23668695334563e-23
hpn	5.11425852389401e-27	0.281859542526549	0.217	0.007	7.431017635218e-23
pkp2	1.13804619197392e-26	0.53347661689831	0.304	0.015	1.65358111693811e-22
si:ch211-236l14.4	2.14651061554257e-26	0.282514274830086	0.13	0.003	3.11887992438335e-22
vamp8	1.43742218086173e-25	0.317668602861124	0.217	0.008	2.0885744287921e-21
mos	4.83911079812986e-25	0.493680992056609	0.174	0.005	7.03122798968269e-21
tnfaip2b	5.42341557090037e-25	0.421100071308152	0.174	0.005	7.88022282451824e-21
kera	6.66037374368312e-25	0.494161601719336	0.217	0.008	9.67752304957158e-21
esama	2.36453846455697e-24	0.583422845705104	0.304	0.017	3.43567438900128e-20
wnt7aa	5.84919215299763e-24	0.295541226873397	0.174	0.005	8.49887619830555e-20
zgc:92380	4.61043408392788e-23	1.17087983333048	0.174	0.006	6.69896072394721e-19
gpx3	5.83030802935568e-23	0.524882173512575	0.261	0.013	8.4714375666538e-19
phactr4a	1.20201022553659e-21	0.67340170648246	0.565	0.062	1.74652085770467e-17
cfl1l	1.45380656604388e-21	1.425597024565	0.522	0.055	2.11238094046176e-17
nfe2	1.56065331570631e-21	0.257176351950666	0.13	0.003	2.26762926772127e-17
apcdd1l	2.29958161863045e-21	0.490336634088555	0.261	0.014	3.34129209187005e-17
ch25h	2.39500288267624e-21	0.557553458984156	0.304	0.019	3.47993918852857e-17
b3gnt7l	5.29832795717251e-21	0.985592656312783	0.435	0.039	7.69847052177166e-17
nr4a2b	5.70613895284569e-21	1.20008439153214	0.391	0.033	8.29101989848478e-17
hmx4	9.26398091866623e-21	1.12397539653017	0.217	0.01	1.3460564274822e-16
arl5c	1.16906179043897e-20	1.35706730614129	0.696	0.104	1.69864678150782e-16
prrg4	2.17640649475078e-20	0.603240055410653	0.478	0.047	3.16231863687289e-16
tent5c	4.45618573997768e-20	0.999996199269247	0.304	0.021	6.47483788018757e-16
anxa1c	3.86662548035123e-19	0.522342988285363	0.13	0.004	5.61820682295033e-15
prrg2	5.95439617046149e-19	0.272654127071624	0.217	0.011	8.65173763568055e-15
wnt4a	2.44695014032217e-18	0.662368626879994	0.261	0.017	3.55541855388812e-14
dag1	2.64150804338066e-18	0.767277546410501	0.652	0.093	3.83811118703209e-14
jam2b	3.98006562217589e-18	0.340107293759424	0.261	0.017	5.78303534902157e-14
