gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
neurod1	1.68329970167814e-279	4.32985132370327	0.957	0.011	2.44583446653834e-275
isl2b	1.73240879987388e-247	2.14194745253577	0.826	0.009	2.51718998621675e-243
cerkl	2.33300712064735e-183	0.788196953093606	0.522	0.004	3.38985934630059e-179
rab3db	9.62089719090947e-172	1.54201730758187	0.739	0.012	1.39791636183915e-167
si:ch211-56a11.2	4.61636408711625e-145	2.93761874572911	0.87	0.021	6.70757701857991e-141
foxg1d	2.28869311036966e-139	0.819098382288373	0.348	0.002	3.32547108936712e-135
si:ch211-215d8.2	4.66050037113316e-125	0.907037999238489	0.522	0.008	6.77170703925648e-121
gal3st3	8.67008094056453e-107	0.556584591655442	0.304	0.003	1.25976276066403e-102
sst6	1.29214775782872e-83	0.72405782415016	0.261	0.003	1.87749069212513e-79
sulf2a	1.18979564073918e-79	0.79518102307286	0.478	0.011	1.72877306599402e-75
nes	4.48619263244781e-78	1.63058210815466	0.696	0.026	6.51843789494666e-74
msi2a	5.94644898439998e-72	1.10622126702983	0.565	0.018	8.64019037433317e-68
gpc6a	3.63561392641956e-68	1.30872976205194	0.435	0.011	5.28254703508762e-64
six2b	1.04284864987081e-67	1.39472189413708	0.478	0.014	1.51525908826228e-63
klhl41b	3.88920338528665e-62	0.58407251415478	0.304	0.006	5.6510125188215e-58
itga6a	4.11345650510654e-61	0.800437645544349	0.435	0.013	5.9768523019198e-57
dlb	6.40359992527976e-60	2.24395353523693	0.87	0.055	9.3044306914315e-56
si:dkey-183i3.9	6.79074818131912e-49	0.443813299574907	0.217	0.004	9.86695710745668e-45
rps6ka3b	7.10561377511302e-49	0.322176128429974	0.217	0.004	1.03244568152392e-44
trpm5	1.15630680210614e-48	0.266335272007754	0.13	0.001	1.68011378346023e-44
onecut1	8.05715754979033e-48	2.3473781946909	0.826	0.065	1.17070499198454e-43
neurog1	2.34039320389834e-47	1.19002590878206	0.261	0.006	3.40059132526429e-43
chga	3.07987340625532e-46	1.51256769571593	0.435	0.018	4.47505605928897e-42
onecutl	4.79599435365174e-44	0.343580846549054	0.217	0.004	6.96857979585597e-40
opcml	9.71248782055864e-43	0.86143798225387	0.565	0.032	1.41122448032717e-38
im:7152348	1.78885113558381e-42	1.60280772981925	0.565	0.033	2.59920070000328e-38
tcap	1.40494652651915e-39	1.96992081097904	0.739	0.062	2.04138730303232e-35
six4b	4.89237201071526e-39	0.935629779266633	0.435	0.021	7.10861653156928e-35
scrt2	6.85956051006632e-37	1.51026131761631	0.696	0.056	9.96694142112636e-33
bcam	1.56795621978067e-36	1.55603229623213	0.87	0.087	2.27824038734132e-32
six1b	1.30914310808267e-35	2.63297080341404	1	0.153	1.90218493604412e-31
nrn1a	2.5218630482035e-35	1.38119068583105	0.652	0.053	3.66426700903969e-31
neurod4	1.04285008031653e-34	0.581642018521504	0.304	0.011	1.51526116669992e-30
rps6ka1	9.01550589604112e-34	0.384325346137322	0.261	0.008	1.30995300669477e-29
tubb2	1.47550761280028e-33	1.40046982994933	0.478	0.03	2.14391256139881e-29
ppp1r14ab	1.58303790126124e-33	1.84649767779107	0.739	0.071	2.30015407053258e-29
dachb	5.3437417043196e-33	0.694146329012238	0.435	0.025	7.76445669637637e-29
ngfrb	1.78756418094455e-32	1.39487856882196	0.87	0.1	2.59733075491243e-28
map1aa	1.1878515012878e-31	1.59810664142709	0.783	0.085	1.72594823137117e-27
pou4f1	3.13385059650962e-29	1.24214885843884	0.391	0.023	4.55348491672848e-25
insm1b	1.26337846256468e-27	1.9175230558047	0.739	0.087	1.83568890610648e-23
trim107	4.34259225760159e-26	0.302336972025897	0.174	0.005	6.30978655029511e-22
tmeff2b	2.00483743688107e-25	1.01224867192767	0.522	0.047	2.91302879578819e-21
emb	5.50120311314549e-25	0.333532315747082	0.174	0.005	7.9932481234004e-21
phactr3a	1.60073376709258e-24	0.424034373002888	0.348	0.021	2.32586616358551e-20
stambpl1	1.98382363318495e-24	0.592486625329198	0.261	0.012	2.88249573901774e-20
isl2a	3.49385883533028e-24	1.11938730587012	0.478	0.041	5.0765768877349e-20
CABZ01118738.1	3.57427217612291e-24	0.764258513425841	0.174	0.005	5.19341747190659e-20
elavl3	1.05273548985524e-23	2.53134387322556	0.957	0.192	1.52962466675966e-19
zgc:114046	5.16322306323575e-23	0.914647962904335	0.609	0.067	7.50216311088154e-19
dlg1	6.40991852850478e-22	0.482839659744244	0.304	0.019	9.31361162191745e-18
irx1b	1.07421005312944e-20	1.33031351615843	0.348	0.027	1.56082720719707e-16
hmx4	1.77480979922756e-20	0.536663376177279	0.217	0.01	2.57879863827765e-16
tmem178b	2.40909053239901e-20	0.927643819888607	0.652	0.084	3.50040854357577e-16
zgc:171759	2.72617899929073e-20	1.44580805058297	0.696	0.106	3.96113808596943e-16
si:ch211-150g13.3	4.95969260736406e-20	0.54354644730911	0.348	0.026	7.20643335849998e-16
ank2a	6.07002455091157e-20	0.318109352753419	0.174	0.007	8.81974567247452e-16
hccsb	7.91593891840441e-20	1.58636112028147	0.739	0.132	1.15018592484416e-15
fabp7a	1.22669338854407e-19	1.85568732967159	0.826	0.158	1.78238549355454e-15
ndnfl	3.07628307525745e-19	0.446668496806767	0.13	0.004	4.46983930834907e-15
her8.2	3.65200425480468e-19	0.337593452330681	0.13	0.004	5.3063621822312e-15
epb41l4a	4.34639426739483e-19	0.342117332184305	0.217	0.011	6.31531087052469e-15
tmsb	4.75842094909926e-19	2.05916509016178	0.87	0.17	6.91398563904122e-15
cdh6	1.05402636188373e-18	1.39198365517283	0.609	0.088	1.53150030381705e-14
adam19b	1.12836560298942e-18	0.406811296378384	0.304	0.022	1.63951522114363e-14
rbpjb	2.65219873013999e-18	0.699199719273504	0.609	0.082	3.85364475489341e-14
chodl	3.39355887081226e-18	0.670467819721919	0.217	0.012	4.93084103929021e-14
syt4	3.88086907108726e-18	0.775025361334778	0.565	0.07	5.63890276028979e-14
stap2a	2.68746398582329e-17	0.887070982576399	0.478	0.056	3.90488517140124e-13
irx1a	3.15490107515659e-17	0.563410208843303	0.348	0.03	4.58407126220253e-13
pkib	7.68966909622841e-17	0.411547168956225	0.348	0.03	1.11730891968199e-12
myo6b	1.76810704431459e-16	0.468536090213545	0.13	0.005	2.5690595353891e-12
