gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
zgc:158296	0	2.25513934991809	1	0.003	0
pfkmb	8.63283573454377e-275	1.25643187317379	0.75	0.002	1.25435103222921e-270
capn3b	7.47055790746363e-257	1.39376170117347	0.75	0.002	1.08547206395447e-252
cavin4a	1.39570491468717e-253	2.13374595862296	1	0.005	2.02795924104046e-249
si:dkey-211f22.5	6.58184369564446e-214	1.70499054545193	0.75	0.003	9.5634188897714e-210
myoz2a	3.62779562339651e-206	1.18060153482234	0.625	0.002	5.27118704079512e-202
fbp2	1.04530216440531e-205	1.15363869542477	0.625	0.002	1.51882404488091e-201
cavin4b	5.4923382519252e-202	2.21183895405273	1	0.007	7.98036748004731e-198
actn3b	1.55665520430278e-194	1.53499894084625	1	0.007	2.26182001185194e-190
actn3a	1.31261709062096e-191	2.89299867444149	1	0.007	1.90723263267226e-187
mybpc2b	4.09580318688683e-191	1.15969861904152	0.625	0.002	5.95120203054656e-187
stac3	1.54219153054396e-183	1.42806507307634	0.75	0.004	2.24080429388037e-179
pvalb3	3.54966352785393e-178	1.04315700231711	0.625	0.003	5.15766110597176e-174
pygma	7.17704462633063e-168	1.61762463111295	0.75	0.004	1.04282458420584e-163
tnni2b.2	2.29278563839416e-158	2.45886202399555	0.625	0.003	3.33141753258672e-154
ldb3b	2.66946633333496e-154	3.32875771438736	1	0.009	3.8787345823357e-150
neb	7.60999325572315e-148	1.62292322829852	0.75	0.005	1.10573202005657e-143
myoz1b	3.73378558996712e-139	3.40792459176449	0.75	0.006	5.42519046222222e-135
ank1a.1	3.04327438203125e-138	1.66005802369	0.75	0.006	4.42187767709141e-134
mybphb	7.30189854905791e-138	2.50314707407052	1	0.011	1.06096585917811e-133
pkmb	7.35249381679055e-130	3.51736468251774	0.875	0.009	1.06831735157967e-125
zgc:92518	3.67330551046828e-127	1.08407449077234	0.625	0.004	5.33731290671041e-123
apobec2a	1.78414241186163e-124	1.71641285307948	0.875	0.009	2.59235892443494e-120
jph2	3.40264901182005e-123	1.53969646290191	0.5	0.003	4.94404901417453e-119
rbfox1l	5.61249315988278e-123	1.31939955836698	0.5	0.003	8.15495256130968e-119
ankrd9	2.98206170102025e-121	1.98979222279155	0.75	0.007	4.33293565158242e-117
si:ch211-255p10.3	1.4730636986305e-120	3.97349830914261	1	0.013	2.14036155411011e-116
ldb3a	2.36106610547891e-120	2.13182039404957	0.875	0.009	3.43062905126086e-116
pgam2	1.34981261192969e-114	4.05074142741358	1	0.014	1.96127772513383e-110
actc1a.1	3.65353310879642e-107	3.76943478187445	1	0.015	5.3085836070812e-103
cav3	3.74213056237811e-106	2.5241879175038	0.875	0.011	5.4373157071354e-102
slc25a4	2.24140387152574e-104	3.35167528453879	0.625	0.005	3.25675982532689e-100
CABZ01078594.1	1.499532405573e-102	2.23804881023329	0.875	0.011	2.17882058529757e-98
txlnbb	9.13116373909234e-99	0.802237851161557	0.625	0.006	1.32675809129012e-94
myhz1.2	1.83377568729512e-93	2.58788412597119	0.625	0.006	2.66447607363981e-89
myom1a	8.32051477024737e-91	1.2702838789462	0.5	0.004	1.20897079611694e-86
map3k7cl	2.57617790728538e-88	0.656026539053325	0.375	0.002	3.74318649928566e-84
hhatla	3.89753171394145e-84	1.2279861887035	0.625	0.007	5.66311358035692e-80
txlnba	7.52936830758975e-81	0.577422170148341	0.375	0.002	1.09401721509279e-76
desma	1.85825879879939e-79	2.26920957095743	1	0.02	2.70005003465551e-75
trdn	3.44669054562378e-78	1.22529306505963	0.5	0.005	5.00804136279135e-74
tmem38a	7.59822481377512e-75	2.91435519514257	0.875	0.016	1.10402206544152e-70
sgk2b	9.43773837714079e-73	1.24386696204527	0.625	0.008	1.37130338619856e-68
nmrk2	1.41200348363657e-71	1.68520114731684	0.875	0.017	2.05164106172394e-67
si:ch73-367p23.2	7.64372178324742e-69	2.6037870373504	0.75	0.013	1.11063277510585e-64
myhz1.1	8.33917988253752e-65	3.00289855693361	0.75	0.014	1.2116828369327e-60
tmod4	5.45131660861016e-63	2.07762697644422	0.75	0.014	7.92076303231056e-59
tnni2b.1	9.05824199108332e-61	3.63105106597913	1	0.028	1.31616256130441e-56
rtn2b	9.79579417627943e-61	0.619767300224631	0.375	0.003	1.4233288938134e-56
cox5b2	3.07277171871438e-59	0.661630907979943	0.5	0.006	4.464737307292e-55
tnnc2	7.06835854838514e-55	5.85414273910891	1	0.032	1.02703249708036e-50
aldoab	1.84273435881456e-54	5.65099581566585	1	0.032	2.67749302335755e-50
txnipb	1.31190267135567e-53	1.83789274386356	0.875	0.023	1.90619458147979e-49
zgc:92287	3.27582829637925e-52	0.902563049594837	0.5	0.007	4.75977851463904e-48
mybpc3	2.7325229476009e-49	3.11513581783997	0.375	0.004	3.97035584286411e-45
smyhc1	6.36898228262699e-47	3.10338019110341	0.375	0.005	9.25413125665701e-43
tnnt3a	9.50548204501638e-47	6.22659004530282	1	0.038	1.38114654114088e-42
zgc:101853	2.95775575400826e-46	2.07602787262396	0.75	0.02	4.29761911057401e-42
smyd1a	1.11129779058226e-42	2.47019061036206	0.875	0.031	1.61471568971602e-38
myoz1a	1.12163892872211e-42	0.960602700923189	0.375	0.005	1.62974136343323e-38
ckmt2b	8.62442092429814e-42	1.70783367458829	0.625	0.015	1.25312836030052e-37
sar1ab	9.01519662497793e-41	0.603304217918039	0.375	0.005	1.30990806960929e-36
jph1b	1.26879615897124e-40	0.543641810114479	0.375	0.005	1.84356081898521e-36
myod1	4.17538726690646e-40	1.27172128633968	0.625	0.016	6.06683769881509e-36
mylpfb	1.85228964607461e-39	6.0797284295175	0.75	0.025	2.69137685574641e-35
lims2	1.98088023399224e-36	0.802694593870677	0.375	0.006	2.87821897999072e-32
acta1a	9.87099712547538e-36	3.81643497841665	1	0.051	1.43425588233157e-31
tnnt2e	1.49211495936812e-35	3.34882922137515	0.375	0.006	2.16804303596187e-31
acta1b	1.85182915654869e-35	6.21920326396235	1	0.051	2.69070776446524e-31
atp2a1	2.05792169809586e-35	3.76079231607434	0.875	0.038	2.99016022733329e-31
tnni1c	2.23629283479315e-34	3.28205725561135	0.375	0.007	3.24933348895445e-30
klhl41b	5.81600512895217e-34	0.905773583751931	0.375	0.007	8.4506554523675e-30
trim63b	1.23724213434875e-31	0.594391775923247	0.375	0.007	1.79771282120873e-27
cfl2	3.1719206763949e-31	1.21260338682588	1	0.053	4.60880074280179e-27
trim63a	4.5174879347196e-31	1.35636388278113	0.75	0.03	6.56390996914758e-27
actc1c	1.11845972043046e-29	1.34572888310173	0.25	0.003	1.62512197378545e-25
ttn.2	1.25685005747812e-29	0.538266926643514	0.375	0.008	1.82620313351571e-25
ckmb	1.67962671299359e-29	6.26736355991761	1	0.065	2.44049761397968e-25
nme2b.2	2.34144673538862e-29	5.15617198450355	1	0.065	3.40212210651967e-25
eef2l2	3.43676081541711e-28	0.66704787821105	0.375	0.008	4.99361346480107e-24
si:ch73-59c19.1	9.91371657433525e-28	0.323329946082323	0.25	0.004	1.44046301825091e-23
gapdh	1.63544365700043e-27	5.5711911825369	1	0.07	2.37629963362162e-23
zgc:86709	1.82802724842863e-26	1.97727150186134	0.5	0.016	2.6561235919668e-22
tcap	2.15567031519179e-26	2.28298821343009	1	0.064	3.13218896797367e-22
tns1a	4.75293537566236e-26	0.287384869308491	0.25	0.004	6.9060151008374e-22
usp13	4.12392736372192e-25	0.438189573009301	0.375	0.009	5.99206645948795e-21
trim101	9.27961447907633e-25	0.359557074141753	0.25	0.004	1.34832798380979e-20
si:ch73-43g23.1	1.01648065836264e-24	0.807266459615873	0.375	0.009	1.47694639660092e-20
dysf	1.32894354033517e-24	0.287171144007439	0.25	0.004	1.930954964107e-20
hspb9	3.73931617361717e-24	0.513404467768089	0.625	0.026	5.43322640026574e-20
tnnc1b	1.69576110273104e-22	5.3723866394681	0.625	0.03	2.4639408822682e-18
tpma	1.02760073069542e-20	6.63630446394525	1	0.095	1.49310386170045e-16
gamt	2.61026681663568e-20	3.64324915465035	1	0.101	3.79271768457165e-16
MGARP	1.30024721396623e-19	1.49136728455131	0.75	0.049	1.88925920189294e-15
ckma	1.64167831890754e-19	6.24039913522694	1	0.107	2.38535859737265e-15
mylk2	3.36113063187848e-19	0.553431508707496	0.125	0.001	4.88372280811944e-15
znf1063	3.5047053980434e-19	0.30077902829087	0.125	0.001	5.09233694335705e-15
srgap1a	3.65433619453612e-19	0.30125979405419	0.125	0.001	5.30975049066098e-15
srl	4.14567243420338e-19	1.54644167864374	0.375	0.013	6.02366204689751e-15
cckb	9.25410481488294e-19	0.608444420347142	0.25	0.006	1.34462142960249e-14
pabpc4	1.26977190820488e-18	1.53327352016281	0.5	0.023	1.84497858262168e-14
tnnt2d	3.68014991704209e-17	5.3095639890089	0.5	0.026	5.34725782946216e-13
ak1	2.17810840193913e-16	5.05813100227082	1	0.132	3.16479150801756e-12
rad54b	3.35619581257518e-16	0.393270085768913	0.25	0.007	4.87655251567174e-12
agla	3.6556463500462e-16	0.763010809171864	0.375	0.015	5.31165414661713e-12
BX629344.1	4.25193248725595e-16	0.710627797513963	0.5	0.027	6.17805790398289e-12
ndufb11	3.01764280436271e-15	0.844314108790478	0.625	0.044	4.38463499473902e-11
bin1b	6.10665871337934e-15	0.445914108075711	0.375	0.016	8.87297511054018e-11
tnnt3b	7.55213441735221e-15	6.12642272625919	0.75	0.075	1.09732513084128e-10
tnni2a.4	3.04305458260509e-14	6.89833663532817	0.75	0.079	4.42155830852519e-10
pvalb4	5.13518875240022e-14	6.15530750280957	0.875	0.106	7.46142925723753e-10
MPRIP	5.49945349618174e-14	0.305906182486776	0.375	0.017	7.99070592995207e-10
myl1	7.6042873323488e-14	6.59771687087733	0.75	0.081	1.10490294939028e-09
parvb	2.1850230977554e-13	0.789656559955495	0.5	0.032	3.17483856103859e-09
pvalb1	4.1189081607431e-13	7.94386587292441	1	0.178	5.98477355755972e-09
smdt1a	1.20521234612666e-12	1.12827496402778	0.375	0.02	1.75117353892203e-08
mylz3	2.25538482469783e-12	7.28244163705204	0.875	0.128	3.27707415028595e-08
ttn.1	2.42421185529259e-12	0.346169661296228	0.25	0.009	3.52237982574013e-08
msrb1a	4.71729174940662e-12	0.382709274775148	0.25	0.009	6.85422491188782e-08
hacd1	7.02828749411811e-12	0.782221140756088	0.375	0.021	1.02121017289536e-07
si:dkey-51e6.1	7.25065726626339e-12	1.35449988372757	0.5	0.038	1.05352050078807e-07
cox17	1.35774681122353e-11	2.49706100580898	1	0.194	1.97280611670779e-07
mylpfa	3.54304555056142e-11	6.60375385995023	0.875	0.15	5.14804518496574e-07
tnni4b.2	4.66260504802443e-11	5.1894613111029	0.375	0.024	6.7747651347795e-07
cdkn3	5.57536326377407e-11	0.45206481673179	0.375	0.022	8.10100282226372e-07
bzw2	9.32477911072866e-11	0.434150407111307	0.375	0.023	1.35489040478887e-06
slc25a33	1.44445212755434e-10	0.965467671155051	0.625	0.063	2.09878894133646e-06
gpd1b	2.7748692492741e-10	0.868634559401965	0.5	0.043	4.03188501919527e-06
tuba8l2	2.95766895899179e-10	1.06045111974516	0.75	0.09	4.29749299741507e-06
casq2	5.24404741549809e-10	0.37005645250148	0.25	0.011	7.61960089471873e-06
si:dkey-6b12.5	6.05194080840958e-10	0.570949095654153	0.25	0.011	8.79346999461912e-06
apooa	6.58886373475945e-10	0.660086515782995	0.5	0.044	9.57361900660547e-06
lgals2a	1.14989039241454e-09	0.655645851533395	0.875	0.119	1.67079074017832e-05
pgk1	1.26736243244911e-09	1.71936663119823	1	0.204	1.84147761434856e-05
gys1	1.4141798235604e-09	0.585752434819404	0.375	0.026	2.05480328363326e-05
myl10	2.05797586137717e-09	7.33729005298621	0.5	0.052	2.99023892658103e-05
eno1a	2.44246636245027e-09	1.78491183789076	1	0.22	3.54890362464024e-05
actc1b	3.85952692927881e-09	7.7195068631783	1	0.321	5.60789262824211e-05
mafaa	4.16315474470359e-09	0.369447461770897	0.25	0.013	6.04906384405432e-05
eno3	6.09559324479367e-09	3.5945023494244	1	0.285	8.85689698468521e-05
si:dkey-16p21.8	6.1430573551014e-09	3.79060363207615	1	0.304	8.92586233696234e-05
zgc:153981	1.73416698768277e-08	0.738725693466846	0.375	0.03	0.000251974463310306
adsl	2.43529345395e-08	1.20146632311488	0.75	0.126	0.000353848138858935
chchd10	2.77261761754591e-08	1.84935459098747	0.875	0.153	0.000402861339829421
mrpl43	2.99993294161667e-08	0.813567328996612	0.625	0.084	0.000435890256416902
myl13	3.292829818458e-08	7.35519935702944	0.5	0.06	0.000478448172621948
unc45b	5.85728988669247e-08	0.321891012905195	0.375	0.031	0.000851064220536416
eda	7.7583908044128e-08	0.259284038418339	0.125	0.004	0.00112729418388118
rgcc	7.79495652103112e-08	1.92701137836521	0.75	0.14	0.00113260718250582
en1a	8.13226095334067e-08	0.286744247010696	0.125	0.004	0.0011816175165204
tpi1b	8.63635900442302e-08	2.65165416076714	1	0.364	0.00125486296334266
pvalb2	1.56010247401445e-07	8.554540058698	0.875	0.241	0.002266828894743
ppifb	1.72389983187392e-07	0.97446861860053	0.625	0.09	0.0025048264557128
pitx3	1.76504265551581e-07	0.54324355855615	0.125	0.004	0.00256460697846447
slc25a11	1.78482331868933e-07	1.39061796833216	0.875	0.185	0.00259334828205559
eif4e2	2.33471888467257e-07	0.575730216218641	0.375	0.034	0.00339234653942924
sdhaf3	2.7172800422397e-07	0.596314305750602	0.5	0.059	0.00394820790137429
mrpl27	2.90866860891443e-07	1.27587626083857	0.875	0.19	0.00422629548875267
lyrm7	4.38581179261353e-07	1.40616111336395	0.5	0.066	0.00637258453466745
chchd1	6.65108870051488e-07	1.17007857975298	0.75	0.147	0.00966403188184812
gcdha	6.90134933244913e-07	0.471981082077286	0.375	0.036	0.0100276605800486
pigbos1	7.79182549976382e-07	1.13752083267893	0.625	0.097	0.0113215224511568
dcaf6	9.85522396263303e-07	0.259491242219622	0.125	0.005	0.0143196404177058
acot13	1.09087863770395e-06	0.726178476020787	0.5	0.067	0.0158504666058385
chchd7	1.10944981045888e-06	0.959523264380938	0.5	0.07	0.0161203057459675
calm3a	1.44779859512937e-06	1.23663423474423	0.875	0.199	0.0210365135872297
slc37a4b.1	1.96238960062645e-06	0.367153584599576	0.25	0.018	0.0285135208971023
