gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
dut	3.20768003857101e-58	1.853144170349	0.824	0.263	4.66075909604368e-54
stmn1a	3.0247298628195e-55	1.73597932611993	0.936	0.393	4.39493249067673e-51
rrm2.1	5.51967977487966e-50	1.69058782179571	0.688	0.183	8.02009471290014e-46
snrpg	4.38853622241555e-48	1.45816106846023	0.96	0.549	6.37654313116979e-44
tma7	1.82691010376747e-47	1.34132334747345	0.984	0.718	2.65450038077413e-43
pclaf	2.45355393623521e-47	1.43546572232465	0.616	0.152	3.56501386934976e-43
pcna	4.74850789033252e-47	1.64619114513914	0.904	0.378	6.89958196465315e-43
rplp2l	1.35391130589427e-46	0.718777512574138	1	0.998	1.96723312746437e-42
rplp1	5.36350758852313e-46	0.628831040791481	1	0.999	7.7931765261241e-42
hmgb2b	1.39878647764072e-45	1.47846363490625	0.992	0.801	2.03243675201196e-41
rpa3	2.14808334827218e-45	1.40868968329031	0.808	0.294	3.12116510503948e-41
rpl23	2.17119430265629e-45	0.69905966346918	1	0.999	3.15474532175958e-41
snrpd2	4.48638371881149e-45	1.29712263392812	0.976	0.65	6.5187155434331e-41
rps24	8.47578564181782e-44	0.688712805153411	1	0.998	1.23153165375613e-39
lig1	1.49395102819432e-43	1.1810348512414	0.736	0.228	2.17071084396634e-39
rps9	4.29659622508621e-42	0.630232324657674	1	0.999	6.24295431505026e-38
rps23	4.59370284829024e-42	0.687168573628708	1	0.996	6.67465023856572e-38
rps25	8.19087833714982e-42	0.722858344022915	1	0.996	1.19013462238787e-37
rpl23a	8.28985113148063e-42	0.733232247890494	1	0.994	1.20451536940413e-37
cirbpa	1.10046285116284e-41	1.10584178767927	1	0.94	1.59897252273961e-37
rpl36a	1.65957994998043e-41	0.704236981600764	1	0.998	2.41136966732157e-37
rps14	2.28981069326618e-41	0.684615132658759	1	0.998	3.32709493731577e-37
rpl38	5.71822733579914e-41	0.848507712244024	1	0.988	8.30858431891614e-37
slbp	8.90667606976111e-41	1.33052074463248	0.568	0.152	1.29414003293629e-36
rpl14	1.41410209599343e-40	0.878852873520171	1	0.966	2.05469034547845e-36
rps10	3.60086655878741e-40	0.665037711282144	1	0.996	5.23205910991811e-36
rpl21	3.86437308731726e-40	0.651279436004927	1	0.998	5.61493409587197e-36
rps15	4.19385466448529e-40	0.60941771424052	1	0.998	6.09367082749713e-36
rps26l	6.01105961237712e-40	0.698755020957803	1	0.995	8.73406961678395e-36
rpl13	1.45279847974508e-39	0.640672853135647	1	0.996	2.1109161910696e-35
TXN	2.27298210736762e-39	0.952486159494513	0.992	0.916	3.30264300200515e-35
rps29	8.00462496469306e-39	0.700904829815538	1	0.995	1.1630720073699e-34
snu13b	1.55516530665997e-38	1.41187586762085	0.864	0.451	2.25965519057694e-34
snrpd1	1.79325333194833e-38	1.19372531877447	0.952	0.572	2.60559709132093e-34
RPS17	2.69198139797603e-38	0.636561179325053	1	0.996	3.91144897125917e-34
mcm6	3.60381206332314e-38	1.10477973541377	0.664	0.203	5.23633892800852e-34
h2afvb	6.40840073775341e-38	1.07957318025165	1	0.891	9.3114062719557e-34
dlx4a	1.49889768689303e-37	1.92068382057093	0.36	0.065	2.17789833905557e-33
snrpf	2.36662995969077e-37	1.15980358847864	0.944	0.606	3.4387133314307e-33
si:dkey-151g10.6	2.64683977582378e-37	0.563347327623105	1	1	3.84585819427195e-33
rps8a	3.847214558844e-37	0.586180209169839	1	0.998	5.59000275400033e-33
tuba8l4	9.40575993446195e-37	1.32522406832404	0.952	0.66	1.36665691847732e-32
nasp	1.04170933882914e-36	1.09847087256638	0.728	0.249	1.51360366931873e-32
h3f3b.1	1.6856720410543e-36	1.12113660324875	1	0.896	2.4492814756519e-32
rpl24	2.23430429961021e-36	0.617038330255966	1	0.999	3.24644414733363e-32
si:ch211-222l21.1	3.51064190878735e-36	1.2404487734101	1	0.827	5.10096269346802e-32
rps27a	3.51212921890592e-36	0.603344269511893	1	0.998	5.1031237550703e-32
rps11	1.07197595602311e-35	0.61022259421679	1	0.998	1.55758106410158e-31
rpl28	1.28223589716698e-35	0.599975092102885	1	0.998	1.86308875858362e-31
cdca7a	1.29042134105353e-35	1.04505209114426	0.576	0.16	1.87498220855077e-31
mcm5	2.55875304508764e-35	1.01999110926737	0.584	0.169	3.71786817451234e-31
anp32b	4.00704218137617e-35	1.11988446331907	0.92	0.575	5.82223228953957e-31
dlx4b	4.45988804785175e-35	0.83535645945791	0.32	0.053	6.48021733352859e-31
rps15a	7.33885461738199e-35	0.526935707425741	1	0.999	1.0663355759056e-30
hmgb2a	9.7676327392358e-35	1.28839054887736	0.984	0.903	1.41923703701096e-30
rps16	3.25126126494336e-34	0.526718240417781	1	0.999	4.7240826179627e-30
cbx3a	3.47967645767448e-34	1.10482562256937	0.88	0.519	5.05596989300102e-30
ran	4.05483643193181e-34	0.81630960588374	1	0.967	5.89167733559693e-30
rps12	7.05065541711578e-34	0.547720807249364	1	0.999	1.02446023210692e-29
rpl35a	7.5770056481871e-34	0.559304183942244	1	0.998	1.10093892068159e-29
rpl17	8.17432713096523e-34	0.584741377144515	1	0.998	1.18772973212925e-29
rpl13a	1.15605097054439e-33	0.627714991345806	1	0.996	1.679742060201e-29
nop10	2.2593754122011e-33	1.01764064194743	0.832	0.366	3.2828724739282e-29
snrpb	1.06812395096458e-32	1.00722130118455	0.968	0.732	1.55198410075154e-28
rps19	1.0909475558479e-32	0.485657357990909	1	0.999	1.585146798647e-28
rpl35	1.85331114312667e-32	0.523511009346438	1	0.999	2.69286109096305e-28
magoh	3.01109427497481e-32	1.15717937464357	0.832	0.435	4.37511998153841e-28
sem1	3.63688873370512e-32	1.20218719343602	0.912	0.733	5.28439933007354e-28
rpl27	3.71156831304522e-32	0.539163459762827	1	0.997	5.39290875885471e-28
sub1a	4.58874318856937e-32	1.09604315903353	0.928	0.697	6.66744385299129e-28
mt-nd1	6.23139190977434e-32	1.43403670609706	0.96	0.808	9.05421244490211e-28
snrpe	7.34880856820836e-32	1.0739521341955	0.912	0.614	1.06778188496068e-27
rpl11	7.35200260325892e-32	0.509815868560412	1	0.999	1.06824597825352e-27
hirip3	7.58727300656661e-32	0.950202878038855	0.584	0.182	1.10243076785413e-27
fen1	1.04915997115671e-31	1.06794844622994	0.64	0.221	1.5244294380907e-27
hnrnpabb	1.92537734904739e-31	1.04024827517997	0.968	0.794	2.79757328816586e-27
nutf2l	3.9015381712357e-31	0.987525965294598	0.808	0.363	5.66893496280547e-27
rpl18a	1.39464104095957e-30	0.447335494965137	1	1	2.02641343251426e-26
rpl12	1.6270377882425e-30	0.620965904377283	1	0.997	2.36408590631636e-26
rps13	1.8397986090568e-30	0.508670206049572	1	0.999	2.67322737895953e-26
rpl30	2.20715012540272e-30	0.525121109131458	1	0.996	3.20698913221016e-26
rpl31	3.00029065431505e-30	0.695032339271622	1	0.993	4.35942232071977e-26
rpl39	4.25414957011965e-30	0.550515798604216	1	0.999	6.18127932538385e-26
mt-atp6	2.49948811747063e-29	1.23033051969242	0.984	0.963	3.63175623468483e-25
lsm8	4.81874031598933e-29	1.07351280246092	0.816	0.406	7.00162967913249e-25
phf5a	5.43311060317032e-29	0.983927899122564	0.768	0.376	7.89430970640647e-25
rps28	6.53572325611807e-29	0.537186521935457	1	0.997	9.49640589113956e-25
si:ch211-156b7.4	1.18295293180426e-28	0.920395581587323	0.568	0.185	1.71883060991158e-24
hells	1.5135829858125e-28	0.729581555423097	0.368	0.083	2.19923607838556e-24
rps18	3.51256929098468e-28	0.474385160799024	1	0.997	5.10376317980074e-24
mcm2	4.94259370994324e-28	0.91807516043783	0.616	0.212	7.18158866054753e-24
rps7	5.40024832523057e-28	0.455248351107391	1	0.998	7.84656081656002e-24
hmga1a	6.17808578187973e-28	0.995039174966994	0.992	0.884	8.97675864107125e-24
rpa2	9.72475868963466e-28	0.962287226945503	0.672	0.262	1.41300743760392e-23
sumo3b	1.16980676289694e-27	1.0381500912419	0.872	0.522	1.69972922648925e-23
eny2	1.35495538378851e-27	0.978944349032506	0.784	0.388	1.96875017264471e-23
chaf1a	1.84254212879832e-27	0.906610143072899	0.6	0.209	2.67721371314396e-23
parp1	2.21012981057903e-27	0.781752592215297	0.488	0.144	3.21131861477133e-23
mcm3	2.52378139735705e-27	0.818773980897603	0.496	0.147	3.66705437035979e-23
rpl32	2.93983933382188e-27	0.462679465768048	1	0.999	4.2715865520432e-23
uba52	3.55433404254798e-27	0.642364134445053	0.992	0.982	5.16444736382222e-23
rps3a	3.72384003270499e-27	0.503220712853566	1	0.998	5.41073956752035e-23
lsm6	4.11175524912327e-27	0.895425672642477	0.904	0.538	5.97438037697611e-23
rpl18	4.57707535268251e-27	0.422171021960118	1	0.999	6.65049048744768e-23
seta	5.13644837223739e-27	0.944485905716653	0.968	0.768	7.46325948486093e-23
hmgn2	1.33190225602423e-26	0.938707495612177	0.992	0.958	1.93525397800321e-22
nme2b.1	1.39115981059424e-26	0.565793424780884	1	0.994	2.02135520479343e-22
faua	1.73194441558917e-26	0.45571750010475	1	0.997	2.51651523585107e-22
dlx6a	1.76557644219262e-26	0.567057114723181	0.256	0.044	2.56538257050587e-22
rpl22l1	2.26143409253845e-26	0.75569816074735	0.992	0.952	3.28586373645836e-22
rps3	3.83958415002646e-26	0.52552986401029	1	0.997	5.57891576998844e-22
mt-nd2	4.63915036834982e-26	1.40589302206041	0.936	0.805	6.74068548521229e-22
ccne2	1.1019413129112e-25	0.431274891369267	0.232	0.038	1.60112072765998e-21
