gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
dut	4.16676033777606e-51	1.53451967765391	0.877	0.264	6.05430277078862e-47
mcm5	3.79289415569235e-45	1.06450036728325	0.698	0.168	5.51107520822098e-41
mcm6	4.36453859729152e-43	1.1637549390461	0.736	0.203	6.34167458186457e-39
hoxa2b	1.70199722533999e-41	0.867101433501335	0.481	0.087	2.473001968419e-37
stmn1a	2.53751042505524e-39	1.296478988381	0.953	0.395	3.68700264760526e-35
mcm2	4.58114462637411e-38	1.10409161168501	0.726	0.211	6.65640314212158e-34
cirbpa	5.85389807728996e-37	1.12684038603478	0.991	0.941	8.5057139063023e-33
mcm3	1.09000475546957e-36	0.956822276927158	0.604	0.146	1.58377690969728e-32
pcna	1.35293357268154e-36	1.58653375556302	0.877	0.381	1.96581248110628e-32
cdca7a	5.85298836537843e-36	1.17899735648255	0.613	0.161	8.50439209489486e-32
mcm4	1.39060633792197e-35	0.993970599254835	0.774	0.243	2.02055100900062e-31
rpa3	2.61581256780925e-34	1.02458573832589	0.84	0.296	3.80077566102683e-30
hmgb2b	4.16524191395802e-34	1.30315325617942	1	0.802	6.052096500981e-30
hells	6.06812949251322e-34	0.676033739030192	0.434	0.082	8.81699215262171e-30
snrpg	1.05503280725243e-33	1.13498228741053	0.962	0.551	1.53296266893778e-29
gins2	1.80549560331278e-33	0.583540119245414	0.491	0.102	2.62338511161347e-29
si:ch211-222l21.1	4.61237599654708e-33	1.23013077509007	1	0.828	6.70178232298291e-29
TXN	8.00695717979324e-33	0.919556821692141	1	0.916	1.16341087822396e-28
ran	9.666694129715e-31	0.838432047634293	1	0.967	1.40457065704759e-26
rps3a	2.26439811294997e-30	0.575004844715254	1	0.998	3.29017045811631e-26
lig1	1.34393090833427e-29	0.99293967478257	0.708	0.231	1.95273160980969e-25
rpa2	1.76804264622545e-29	1.00394140196327	0.755	0.262	2.56896596496557e-25
prrx1b	2.87045577180712e-29	1.11319390636787	0.67	0.211	4.17077223643574e-25
hmgb2a	3.70486575510858e-29	1.18999909489114	0.991	0.903	5.38316994217276e-25
cdc6	6.85529067997586e-29	0.568556241209601	0.396	0.08	9.96073735800492e-25
hnrnpabb	8.04751228844739e-29	1.02430590250828	0.981	0.794	1.16930353551141e-24
snrpd2	1.05079219136899e-28	0.960025702359654	0.981	0.651	1.52680105405914e-24
nasp	1.38893138136646e-28	1.04436131737932	0.708	0.252	2.01811729712547e-24
snrpb	1.63309313527104e-28	0.95765844265213	0.981	0.732	2.37288432554882e-24
pa2g4a	3.89514674047143e-28	0.999477075484761	0.821	0.361	5.65964821390499e-24
rrm2.1	4.12539675673009e-28	0.991250930444357	0.632	0.187	5.99420148752882e-24
c1qbp	6.83361936402463e-28	0.746262758746099	0.651	0.202	9.92924893592779e-24
hmga1a	7.13096787784677e-28	1.06224708001846	1	0.884	1.03612963265114e-23
tma7	9.83086860698813e-28	0.989337508243191	0.972	0.72	1.42842520859538e-23
slbp	1.26939951514268e-27	0.796572734621304	0.557	0.154	1.84443749550231e-23
fen1	2.4206372441173e-27	0.921667981270186	0.679	0.222	3.51718591570243e-23
asf1ba	2.96090046803552e-27	0.771252867504965	0.528	0.142	4.30218838005561e-23
sumo3b	3.70692390924515e-27	1.06479265363751	0.906	0.523	5.3861604401332e-23
ssrp1a	4.9203885649724e-27	0.896832120508288	0.708	0.258	7.1493245849049e-23
hnrnpa0l	5.98119112333405e-27	0.824815796022597	1	0.936	8.69067070220438e-23
rpl13a	8.54063413279455e-27	0.6110447789089	1	0.996	1.24095413949505e-22
h2afvb	1.91209010976946e-26	0.904553526210318	1	0.892	2.77826692949502e-22
rps9	2.89059485531077e-26	0.507278887486271	1	0.999	4.20003432476655e-22
rps27a	4.03907233631338e-26	0.513291443784341	1	0.998	5.86877210466335e-22
khdrbs1a	4.17208506684505e-26	0.824250150040276	0.991	0.924	6.06203960212586e-22
tuba8l4	7.01048880467681e-26	1.13883022025665	0.962	0.661	1.01862402331954e-21
sub1a	7.25598138071102e-26	0.973745618123608	0.953	0.698	1.05429409461731e-21
rpl21	1.47406009426877e-25	0.534423214413223	1	0.998	2.14180931697253e-21
eif5a2	5.64418051331628e-25	0.865731190309668	0.962	0.841	8.20099428584856e-21
snrpd1	6.15188720676994e-25	0.925232480865738	0.943	0.574	8.93869211143672e-21
rpl17	6.75497692399427e-25	0.523737689588226	1	0.998	9.81498147056368e-21
rpl23	6.8999458573889e-25	0.507345547599999	1	0.999	1.00256213307861e-20
cirbpb	7.23402633591822e-25	0.741578643817671	1	0.986	1.05110402660892e-20
rps8a	9.45757477329643e-25	0.474230039398705	1	0.998	1.37418561455997e-20
rps23	1.36132450463552e-24	0.517522163590243	1	0.996	1.97800450523541e-20
gar1	2.30847832135873e-24	0.831200951463847	0.679	0.256	3.35421900093423e-20
si:ch73-281n10.2	2.69936423382107e-24	0.983115457377019	0.991	0.849	3.92217623174202e-20
rpl9	3.27562294308073e-24	0.482885708227133	1	0.998	4.75948013629631e-20
rpl26	3.41940111008806e-24	0.636602804599498	0.66	0.213	4.96838981295795e-20
snu13b	4.26973831458096e-24	1.07308887682893	0.858	0.453	6.20392977108613e-20
rps14	6.97289392190853e-24	0.516691671590878	1	0.998	1.01316148685331e-19
rpl23a	8.35705524343096e-24	0.544628198733407	1	0.995	1.21428012687052e-19
hmgn2	1.03143340927916e-23	0.951879015658698	1	0.958	1.49867274368261e-19
twist1b	1.11144211027486e-23	0.907379781353273	0.726	0.272	1.61492538622938e-19
ddx39ab	6.37094974452188e-23	0.862240877021922	0.943	0.607	9.2569899787903e-19
rps11	7.28531226450582e-23	0.487290593929107	1	0.998	1.0585558720327e-18
cyyr1	9.41651411696346e-23	0.761970304440427	0.632	0.22	1.36821950119479e-18
rpl10a	9.49906500165049e-23	0.482750230488748	1	0.997	1.38021414473982e-18
setb	1.04185667940139e-22	0.95040042290098	0.953	0.769	1.51381775517022e-18
si:dkey-16p21.8	1.10806558737275e-22	0.800827520521887	0.726	0.294	1.6100192984526e-18
srsf2a	1.64628008463272e-22	0.903064664056282	0.943	0.578	2.39204496297135e-18
rplp2l	1.64850144434872e-22	0.455991021082658	1	0.998	2.39527259863868e-18
rpl5b	2.38727964889492e-22	0.568240044123143	1	0.973	3.46871732984433e-18
rpl4	2.98744771836136e-22	0.537100548971408	1	0.989	4.34076153477905e-18
rps3	3.14422198784508e-22	0.511556955186606	1	0.997	4.5685545483389e-18
si:ch211-156b7.4	3.68014327639291e-22	0.799289766120063	0.575	0.187	5.3472481805989e-18
rrm2	3.68544912790964e-22	0.800850939387949	0.557	0.177	5.3549575828527e-18
taf15	6.36752117175994e-22	0.870944016300693	0.906	0.538	9.25200826256719e-18
fibina	7.77281197878117e-22	0.643437381734841	0.585	0.189	1.1293895805169e-17
rps7	8.90080575431954e-22	0.421671368046904	1	0.998	1.29328707610263e-17
rps10	8.91953907259371e-22	0.4878193656422	1	0.996	1.29600902724787e-17
inip	9.2668350805692e-22	0.634359195785495	0.689	0.251	1.3464711372067e-17
rbbp4	1.0676820743143e-21	0.942041896460966	0.83	0.408	1.55134205397868e-17
rfc2	1.25234904818851e-21	0.539082411985048	0.472	0.132	1.81966316701791e-17
ahcy	3.0962292394388e-21	0.829696454419929	0.953	0.592	4.49882108490458e-17
pclaf	3.33281806634564e-21	0.820101378616919	0.509	0.158	4.84258465040021e-17
rrm1	4.56756742648481e-21	0.626642023547637	0.642	0.223	6.63667547068243e-17
lsm8	4.84115799796387e-21	0.780536069752774	0.849	0.407	7.0342025710415e-17
abcf1	5.44477803751856e-21	0.887952412268892	0.783	0.383	7.91126248851447e-17
rpl13	6.39450322806455e-21	0.486065554225694	1	0.996	9.29121319037779e-17
rnaseh2b	8.89658331948524e-21	0.462707342794298	0.377	0.092	1.29267355632121e-16
rps4x	1.14509053298069e-20	0.42156379655058	1	0.998	1.66381654442095e-16
snrpf	1.3650082760054e-20	0.849828605978887	0.953	0.607	1.98335702503585e-16
parp1	1.51108426143365e-20	0.621727475925802	0.491	0.146	2.19560543186309e-16
rps24	2.10018029847459e-20	0.439133960181338	1	0.998	3.05156197368358e-16
