gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ednrab	1.82035289862069e-155	0.885379086313824	0.29	0.004	2.64497276169586e-151
fabp7a	3.24564867523064e-101	3.93030020986816	0.892	0.144	4.71592752511012e-97
mcamb	8.13859652404495e-88	1.00609564280389	0.409	0.026	1.18253807494373e-83
fa2h	5.5762979232421e-68	0.392522498842759	0.204	0.007	8.10236088247077e-64
mmp17b	1.23907534534997e-65	0.5472800291194	0.247	0.012	1.80037647679351e-61
foxd3	4.00046480222779e-61	1.66549714328052	0.613	0.092	5.81267535763698e-57
ngfrb	3.55039640596998e-60	1.0176547429161	0.634	0.092	5.15872597787439e-56
zc3h7ba	2.59571242718025e-59	0.836292571392965	0.43	0.044	3.7715701566929e-55
sash1a	8.89126797868811e-53	1.29577912036128	0.656	0.118	1.29190123730338e-48
entpd3	1.05129524010015e-50	0.945978010439093	0.312	0.027	1.52753198386551e-46
zeb2a	3.95232653458762e-42	1.36084398430965	0.613	0.128	5.74273045475581e-38
fabp3	7.05205111222515e-40	1.78160232974057	1	0.752	1.02466302660631e-35
slc35c2	3.10760179688335e-39	0.799183457208759	0.473	0.078	4.51534541087151e-35
tuba8l3	2.2566826951663e-37	1.50571469317931	0.968	0.468	3.27895995607663e-33
hepacama	2.54655683175967e-34	1.04372549916691	0.194	0.016	3.7001470765468e-30
sb:cb81	7.48818421653886e-33	1.30037426858075	0.699	0.201	1.0880331666631e-28
slc1a3a	1.94182517630321e-32	1.16181448245902	0.581	0.152	2.82147198116856e-28
hbegfb	2.71702371396636e-31	0.603316636721806	0.183	0.015	3.94783545639312e-27
si:dkey-34d22.1	2.58777104619309e-30	0.47020412738714	0.258	0.031	3.76003133011856e-26
zeb2b	7.07033570998246e-30	0.671069665298749	0.333	0.051	1.02731977866045e-25
phlda2	1.08145440577275e-29	1.98992845489035	0.645	0.204	1.57135325158781e-25
rpl12	9.42009748099563e-28	0.693614248952643	1	0.997	1.36874016398867e-23
sox2	5.62687178455309e-27	0.30357796152051	0.14	0.01	8.17584470295564e-23
rgcc	2.65556176933038e-26	1.65297936777589	0.516	0.132	3.85853125083705e-22
FO704721.1	4.54725431446732e-26	0.342465406485961	0.183	0.019	6.60716051892102e-22
alcama	4.77630192233021e-26	0.836252381780358	0.57	0.155	6.93996669314579e-22
col18a1a	7.19422290438269e-26	0.750040969520941	0.312	0.053	1.0453205880068e-21
sox10	2.21496417239026e-25	0.986170251214611	0.742	0.268	3.21834294248305e-21
rps27a	4.51323725673885e-25	0.583196628245576	1	0.998	6.55773373404154e-21
lef1	2.65930710548987e-24	0.407869958314734	0.215	0.027	3.86397322427678e-20
rps25	1.76869398944411e-23	0.538612356701254	1	0.996	2.5699123666623e-19
rps14	3.9161444674409e-23	0.531677897031697	1	0.998	5.69015791119163e-19
rpl10a	4.18041174513129e-23	0.541987955052411	1	0.997	6.07413826567577e-19
rpl21	6.98623983313187e-23	0.528812104562838	1	0.998	1.01510064775406e-18
rps3	9.10579764019575e-23	0.55415096724017	1	0.997	1.32307239712044e-18
tm4sf18	2.58922949423043e-22	0.517511886911094	0.204	0.027	3.76215045511682e-18
rpl23a	4.54027565302898e-22	0.561428788643526	1	0.995	6.59702052385111e-18
rpl13	6.02778882525525e-22	0.499634888326607	1	0.996	8.75837716309588e-18
fstb	1.03381888281159e-21	0.886384026700204	0.419	0.102	1.50213883672525e-17
msx1b	1.44436778014793e-21	1.4371246733689	0.409	0.104	2.09866638455494e-17
rps3a	1.76038186029638e-21	0.50420566375344	1	0.998	2.55783484301063e-17
rps9	7.15962388764319e-21	0.515850544827662	1	0.999	1.04029335087455e-16
rpl17	9.73297991634808e-21	0.512532690830508	1	0.998	1.41420198184538e-16
nanos1	1.78068915214749e-20	0.883100040943066	0.699	0.271	2.58734133807031e-16
rps26l	2.35638447309004e-20	0.506753041687904	1	0.995	3.42382663939983e-16
rpl26	2.50880308831902e-20	0.758690934278312	0.624	0.216	3.64529088732753e-16
rps10	2.95566500661783e-20	0.484501781031397	1	0.996	4.29458125461571e-16
rpl23	3.3992040511697e-20	0.493628881370098	1	0.999	4.93904348634958e-16
qkia	5.36399472134178e-20	1.08869052340127	0.903	0.664	7.7938843301096e-16
rnd2	6.66609706670137e-20	0.643055483631806	0.172	0.022	9.68583903791709e-16
rpl27	9.90208747131012e-20	0.457794474218037	1	0.997	1.43877330958136e-15
RPS17	1.10372778249648e-19	0.473497968155774	1	0.996	1.60371646796739e-15
rpl13a	3.13569545520773e-19	0.555077800460833	1	0.996	4.55616549641684e-15
rps5	5.42475155436246e-19	0.428589470108497	1	0.998	7.88216400848865e-15
ptpn11b	8.74680658719702e-19	0.25232586882032	0.14	0.015	1.27091099711973e-14
rps23	9.13994456304693e-19	0.470617510461695	1	0.996	1.32803394501072e-14
gng13b	1.88876094611289e-18	0.381886129098873	0.194	0.029	2.74436965470203e-14
rpl9	2.41378094192405e-18	0.441355214082584	1	0.998	3.50722370861564e-14
mcf2l2	3.53415652014786e-18	0.349102244843062	0.204	0.032	5.13512942377484e-14
akap12b	3.65793547620227e-18	0.732355843048338	0.452	0.131	5.3149802469219e-14
zgc:165555	4.01754587279527e-18	0.480360593636693	0.204	0.033	5.83749415317153e-14
rpl31	6.43918055781844e-18	0.520499504786995	1	0.993	9.35612935051019e-14
marcksl1a	9.96297277347774e-18	1.10000858824327	0.688	0.313	1.44761994398631e-13
rpl24	1.28529820310817e-17	0.442088403236717	1	0.999	1.86753828911617e-13
rplp2l	1.28787744464343e-17	0.425402356217001	1	0.998	1.8712859270669e-13
rpl4	1.39026278590003e-17	0.526294271684622	1	0.989	2.02005182791274e-13
uba52	2.04966656194774e-17	0.523166547021157	1	0.982	2.97816551451006e-13
ybx1	2.10132761731001e-17	0.483804796120816	1	0.998	3.05322902795145e-13
FP236812.1	2.12274565589641e-17	1.73338109622038	0.613	0.263	3.08434943801748e-13
rpl15	2.19280484969341e-17	0.395193202847619	1	0.999	3.18614544660453e-13
serinc5	2.96370583871943e-17	0.779304235423965	0.527	0.183	4.30626458365933e-13
rps4x	4.31330331291891e-17	0.415638510637889	1	0.998	6.26722971367117e-13
ano9a.1	7.93196866311181e-17	0.384334309476978	0.118	0.013	1.15251504675015e-12
rpl35	2.0958210745796e-16	0.367069135105478	1	0.999	3.04522802136416e-12
zgc:171759	2.29689478158381e-16	0.848237676747062	0.376	0.103	3.33738811764127e-12
tgfb1a	3.72307837875404e-16	0.598019996219038	0.452	0.141	5.40963288432963e-12
lrrtm1	3.8324990927973e-16	0.280296040501102	0.118	0.013	5.56862118183448e-12
vamp5	5.81278940878774e-16	0.700853865780697	0.419	0.127	8.44598301096859e-12
rplp1	6.31837118227175e-16	0.363833272998662	1	0.999	9.18059332784085e-12
si:dkey-182g1.2.1	7.25957936913897e-16	0.376804326975216	0.172	0.027	1.05481688233589e-11
rpl14	1.08362720109105e-15	0.561845150520238	1	0.966	1.5745103231853e-11
esama	1.10517726766143e-15	0.282407539336396	0.129	0.016	1.60582256991206e-11
rps6	1.30806811307061e-15	0.356112356609605	1	0.999	1.90062296829159e-11
zgc:154164	1.32271885854459e-15	0.794446107146805	0.323	0.084	1.92191050146529e-11
rps24	1.3368856290479e-15	0.429058479937121	1	0.998	1.94249481900659e-11
rpl28	1.42607325695756e-15	0.400568767170163	1	0.998	2.07208444235933e-11
nid1b	2.03764750304907e-15	0.559158396742627	0.333	0.088	2.96070182193031e-11
txnipa	2.41436538361571e-15	1.08725379705648	0.763	0.378	3.50807290239362e-11
chst11	5.44806208008622e-15	0.257069328635375	0.14	0.019	7.91603420236527e-11
rps8a	5.69151064498736e-15	0.381172283318501	1	0.998	8.26976496716663e-11
rps11	6.5074234025836e-15	0.398683310453007	1	0.998	9.45528620395397e-11
tes	7.43608681413919e-15	0.510231462069938	0.29	0.072	1.08046341409442e-10
stard8	1.01415894400559e-14	0.594282725737832	0.376	0.113	1.47357294564012e-10
gmfb	1.06023128193816e-14	0.816933632402828	0.774	0.443	1.54051605265615e-10
src	1.29077647949254e-14	0.281710791542376	0.14	0.02	1.87549822470265e-10
rps29	1.69932528666086e-14	0.387927902558278	1	0.995	2.46911964151823e-10
znf536	1.77642664179201e-14	0.506453567911653	0.355	0.098	2.58114791052378e-10
zgc:112437	1.8591736326198e-14	0.400200594302135	0.151	0.023	2.70137928819657e-10
eef1b2	2.48342397076221e-14	0.413400396536119	1	0.996	3.60841502951749e-10
rpl38	2.88984622068761e-14	0.44226645717676	1	0.988	4.1989465586591e-10
rpl5a	3.38270806123327e-14	0.512107493737955	1	0.964	4.91507481297195e-10
scn4ab	3.60086620338478e-14	0.470448722436592	0.269	0.062	5.23205859351809e-10
pik3ip1	3.89923210817218e-14	0.799598250796992	0.505	0.19	5.66558425317418e-10
CU459186.3	5.56128941624836e-14	0.267689328824615	0.129	0.018	8.08055352180887e-10
rps16	6.0400753039795e-14	0.33042156490945	1	0.999	8.77622941668221e-10
plxnb1a	6.54195432120943e-14	0.354134598962083	0.215	0.044	9.5054596287173e-10
cdh6	7.18792810961045e-14	0.720853519064016	0.312	0.085	1.0444059543264e-09
atf3	7.41703776714422e-14	1.14227197826393	0.903	0.687	1.07769558756606e-09
rpl11	8.37825955048304e-14	0.339073822884241	1	0.999	1.21736111268519e-09
rack1	9.83320838862782e-14	0.350394108581449	1	0.999	1.42876517886762e-09
socs3a	1.09900584847086e-13	0.832533666777459	0.796	0.408	1.59685549782816e-09
zgc:112234.2	1.4072125291408e-13	0.460843253691484	0.183	0.035	2.04467980484158e-09
rplp0	1.89142125610535e-13	0.326287356080829	1	0.999	2.74823508512107e-09
rpl18a	2.00619400375153e-13	0.312705101801686	1	1	2.91499988745097e-09
notch3	2.60324097729047e-13	0.452053312260011	0.398	0.131	3.78250914000305e-09
si:ch211-137a8.4	2.96416777631865e-13	0.39850844355043	0.667	0.267	4.30693577899099e-09
tanc2a	3.09796908301804e-13	0.470835906822683	0.312	0.087	4.50134907762521e-09
zgc:163040	3.34603047445526e-13	0.478778363004587	0.204	0.044	4.86178227938349e-09
serbp1a	3.89575651624632e-13	0.543817870918531	0.978	0.924	5.66053421810591e-09
rps19	3.91528786778482e-13	0.308150787180889	1	0.999	5.68891327189135e-09
rpl30	5.43853543939775e-13	0.373949596922859	1	0.996	7.90219199344493e-09
rps15	5.5961740727649e-13	0.333030961486902	1	0.998	8.13124092772739e-09
rps18	9.74683394851743e-13	0.351790449918413	1	0.997	1.41621497271958e-08
rps15a	1.09825106194493e-12	0.331699909879836	1	0.999	1.59575879300598e-08
zgc:114046	1.596295634154e-12	0.429030702760027	0.258	0.066	2.31941755642576e-08
junbb	1.64669006304894e-12	0.901069299677043	0.72	0.369	2.39264066161012e-08
rpz5	1.73025796652316e-12	0.525831966999089	0.301	0.084	2.51406482535815e-08
pfdn5	1.9303575811323e-12	0.747342001967069	0.753	0.427	2.80480956538523e-08
adam8a	2.80331137954813e-12	0.696717837342046	0.398	0.144	4.07321143448343e-08
rpl5b	2.80938969507066e-12	0.449205626543513	1	0.973	4.08204322693767e-08
si:ch211-66e2.5	2.90477142953125e-12	0.372931798333213	0.118	0.017	4.2206328871089e-08
zgc:165555.3	3.48203848319272e-12	0.421884599633451	0.118	0.017	5.05940191607902e-08
cxcl18b	3.85175563288888e-12	0.587707937473876	0.731	0.415	5.59660093458754e-08
si:ch211-286o17.1	5.64090438540739e-12	0.852844960309924	0.677	0.365	8.19623407199693e-08
rpl10	5.78043197074498e-12	0.303884778659085	1	0.999	8.39896765349246e-08
rps12	7.00308377983371e-12	0.31937196588547	1	0.999	1.01754807320984e-07
rpl7a	7.53233564306062e-12	0.299108312399765	1	1	1.09444836893671e-07
rnd1b	9.50738825749323e-12	0.427551637241089	0.247	0.064	1.38142351381377e-07
fosl2	1.03675872734166e-11	0.676393919758077	0.505	0.22	1.50641043082743e-07
mdka	1.2159861340526e-11	1.40158248914537	0.882	0.576	1.76682785277843e-07
si:dkey-239h2.3	1.95302796844623e-11	0.522241157813228	0.538	0.236	2.83774963815238e-07
gpm6ab	2.00382240435029e-11	0.44531695174611	0.667	0.288	2.91155395352097e-07
rps2	3.70742493014423e-11	0.261168426243858	1	1	5.38688842349956e-07
bckdhbl	4.194718410247e-11	0.488549177289435	0.247	0.069	6.09492585008889e-07
rtkn2b	5.2057780033831e-11	0.37097257488352	0.161	0.033	7.56399543891564e-07
rasgef1ba	6.03775178928641e-11	0.71681485395477	0.57	0.266	8.77285334983315e-07
myl4	6.43845311374447e-11	0.363016863315682	0.118	0.019	9.35507237427072e-07
ascl1a	6.88944040478671e-11	0.761386250308398	0.204	0.05	1.00103569081551e-06
zgc:92107	7.12085966009344e-11	0.337640345867577	0.215	0.054	1.03466090861158e-06
rpl6	7.92764613450473e-11	0.334260347278869	1	0.999	1.15188698334354e-06
si:ch211-153b23.5	9.61644401831569e-11	0.807924300122153	0.14	0.026	1.39726931586127e-06
stxbp6	1.00867377510895e-10	0.37416453242157	0.419	0.16	1.46560299523331e-06
wasf3b	1.13794533691826e-10	0.367226434439843	0.366	0.128	1.65343457454223e-06
rpl36a	1.16512831682359e-10	0.307494829432241	1	0.998	1.69293144434468e-06
rpl22	1.29593810857786e-10	0.31351649141526	1	0.994	1.88299807176363e-06
gab1	1.88255118346564e-10	0.294638163511887	0.226	0.06	2.73534686957558e-06
ppap2d	2.05077581406978e-10	0.407769982299539	0.247	0.07	2.97977725784339e-06
faua	3.02698930493176e-10	0.310078347559432	1	0.997	4.39821546006585e-06
afdna	3.55904885863421e-10	0.262238344494976	0.258	0.074	5.17129799159551e-06
marcksl1b	3.57956786232876e-10	0.591198654446755	0.968	0.778	5.20111210396369e-06
MYADM	4.27961332707734e-10	0.283053713658587	0.204	0.052	6.21827816424338e-06
rpl35a	6.47605409367105e-10	0.28189615108233	1	0.998	9.40970659810403e-06
eef1g	8.91421705988673e-10	0.358579897128162	1	0.991	1.29523573880154e-05
fxyd1	1.07006596946423e-09	0.282253563269657	0.677	0.305	1.55480585363153e-05
znf516	1.16281058663919e-09	0.290628706670819	0.172	0.041	1.68956378238674e-05
fosaa	1.18898013698671e-09	0.386021388745425	0.161	0.037	1.72758813904169e-05
si:ch1073-291c23.2	1.20947760617025e-09	0.494628921925318	0.495	0.219	1.75737096176537e-05
rpl7	1.33804674957393e-09	0.277561779561348	1	0.999	1.94418192713092e-05
pwp2h	1.40153367158089e-09	0.265587580817024	0.237	0.068	2.03642842480703e-05
pim2	1.42509546233058e-09	0.631701058890251	0.548	0.259	2.07066370676634e-05
zgc:110796	1.64628748341924e-09	0.615947863220842	0.323	0.115	2.39205571340815e-05
eef1db	1.74887049229753e-09	0.463199008591442	0.957	0.801	2.5411088253083e-05
map7d1a	2.20803156375871e-09	0.303173262167173	0.215	0.059	3.20826986214141e-05
selenot1b	2.35495577910563e-09	0.482906279193014	0.581	0.297	3.42175074704049e-05
zgc:173587	2.44172210545463e-09	0.506348695473413	0.237	0.07	3.54782221922558e-05
tmem176	2.62380172962604e-09	0.614394036217163	0.634	0.355	3.81238391314664e-05
lipg	2.78579075352978e-09	0.416634229581419	0.247	0.076	4.04775396487878e-05
rasl11b	3.32387017648664e-09	0.51567821845361	0.183	0.047	4.82958336643509e-05
rpl39	3.83295278229336e-09	0.265746390444727	1	0.999	5.56928039267226e-05
