gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
slc32a1	0	2.63060066912131	0.628	0.005	0
slc6a5	0	1.84294228376977	0.442	0.001	0
nkx1.2lb	0	2.96951671670162	0.547	0.002	0
lhx1a	0	1.78064736030674	0.477	0.003	0
lhx5	4.79034728105651e-301	1.69626340776993	0.5	0.004	6.96037459937511e-297
gad1b	1.50269660192647e-264	1.80141155450971	0.372	0.002	2.18341816259916e-260
cplx2l	1.21756657636868e-212	3.12222962315477	0.791	0.038	1.76912423546369e-208
tal1	6.52603953871512e-200	2.11382053078679	0.372	0.005	9.48233544975306e-196
gad2	4.38884273784781e-187	1.53858089148965	0.395	0.007	6.37698849809287e-183
rbfox3a	4.64026299823251e-178	2.51186047824037	0.686	0.034	6.74230213643184e-174
hoxa9a	7.23502596698395e-155	2.04652722741106	0.372	0.008	1.05124927300277e-150
onecut1	8.22688432360246e-144	2.25796859236885	0.756	0.054	1.19536629221944e-139
slc6a1b	7.7737134567456e-140	2.17346818553009	0.36	0.009	1.12952056526514e-135
stx1b	2.15059346605444e-139	2.6820451181753	0.884	0.085	3.1248123061771e-135
golga7ba	2.06493326067181e-131	2.00350022149929	0.826	0.074	3.00034802775613e-127
sncb	1.34929654020355e-127	2.52874179058817	0.884	0.091	1.96052787291576e-123
snap25a	1.05226345436816e-123	3.22620017200397	0.767	0.072	1.52893879919693e-119
diras1a	1.11647065027209e-123	1.29443259771499	0.512	0.026	1.62223185484535e-119
grin1a	2.15651952811246e-120	1.02275090671128	0.279	0.006	3.1334228743474e-116
syt2a	3.9557866344845e-117	1.58269378266646	0.628	0.046	5.74775797990598e-113
hoxb9a	1.11797107559087e-116	2.00613545610466	0.349	0.011	1.62441197283353e-112
cacna2d3	5.0189292626513e-114	0.746127342688033	0.186	0.002	7.29250421863233e-110
cadm4	1.84531674634239e-111	1.66813619365719	0.756	0.071	2.68124523243549e-107
vsnl1a	2.19944335897271e-104	1.07212271862963	0.337	0.012	3.19579120058735e-100
nsg2	3.88007357442527e-104	3.18180024739029	0.977	0.164	5.63774690363992e-100
gng3	8.96349042235831e-104	2.66153812069951	0.942	0.135	1.30239515836866e-99
tubb2	4.35625570378073e-100	1.74204626106169	0.43	0.023	6.3296395375934e-96
hoxc10a	5.92218702015735e-100	1.57222366065585	0.291	0.009	8.60493774028862e-96
hoxb10a	7.99472649571566e-100	0.983209074019826	0.221	0.004	1.16163375982748e-95
nrxn3a	8.32728630870058e-100	0.528884149908972	0.128	0	1.20995470065419e-95
gnao1b	6.77548246643754e-97	1.27840189188612	0.465	0.029	9.84477602373375e-93
stmn2b	7.33353979743396e-97	2.06621412805157	0.872	0.114	1.06556333256715e-92
stxbp1a	5.84943538526761e-95	2.18980346098814	0.744	0.087	8.49922961479384e-91
camta1b	8.68454809121919e-95	1.36402369266089	0.43	0.025	1.26186483765415e-90
atcaya	2.71233471472213e-94	1.88228585761704	0.756	0.089	3.94102234049125e-90
elavl4	2.87112870816277e-94	3.15450278819032	0.93	0.147	4.1717500129605e-90
sypb	9.86835672260563e-93	1.46943591813684	0.512	0.038	1.4338722317946e-88
csdc2a	1.89378592035296e-91	1.92244793176878	0.767	0.098	2.75167094227285e-87
sall3b	3.91882131240388e-90	0.699322412253488	0.198	0.004	5.69404736692283e-86
gpm6aa	7.48661580117383e-90	1.93961142292183	0.779	0.1	1.08780527591056e-85
cbfa2t3	2.49527848992694e-83	0.839410351992614	0.279	0.011	3.62563964586384e-79
nova2	3.08336318414439e-83	2.93731378197214	1	0.244	4.4801267065618e-79
cnrip1a	1.89352994133372e-82	1.78493664195078	0.733	0.098	2.75129900475789e-78
elavl3	1.29579151452908e-81	2.14593560069145	1	0.179	1.88278507061075e-77
fez1	4.07195251046855e-81	1.89609578165664	0.767	0.107	5.9165469977108e-77
tmem59l	4.07361468393364e-81	2.19896433951916	0.849	0.146	5.91896213575558e-77
pcsk1nl	1.53173930594599e-80	1.52222800692465	0.628	0.067	2.22561721153952e-76
rundc3ab	1.20904271344694e-79	1.40093486409058	0.581	0.059	1.7567390626384e-75
nefma	2.04789891268521e-79	0.709884278552404	0.128	0.001	2.97559712013161e-75
nrxn1a	8.08379963750484e-79	1.61775537236521	0.535	0.051	1.17457608732945e-74
nptna	1.03665143469786e-78	1.3354740698362	0.395	0.026	1.50625453461599e-74
gata3	4.00801871405694e-78	2.32728310996846	0.419	0.031	5.82365119152473e-74
tmsb	6.6203486712416e-77	2.20232064130068	0.907	0.158	9.61936661931405e-73
eno2	4.43788878224779e-76	1.69520090416166	0.488	0.044	6.44825240060603e-72
calb2b	4.87421068297989e-76	2.10030098597658	0.233	0.008	7.08222812236978e-72
tmie	2.97141125806646e-75	0.93840846968596	0.337	0.019	4.31746055797056e-71
slc1a2b	6.48427064585262e-75	1.39900954143344	0.547	0.054	9.42164524842386e-71
scrt2	2.59080459708309e-74	1.41933693350989	0.523	0.049	3.76443907956173e-70
zgc:65894	7.91113196730995e-74	1.84292084032111	0.767	0.114	1.14948747485014e-69
si:ch211-215d8.2	1.47858799734477e-73	0.622821795020448	0.209	0.006	2.14838836014195e-69
mllt11	2.72333196362263e-73	1.89282328295562	0.779	0.117	3.95700134314368e-69
si:dkey-35i13.1	4.25108265810368e-73	1.0376003938692	0.349	0.021	6.17682310222465e-69
pax2b	5.60465212686562e-73	0.414543834278628	0.105	0.001	8.14355954033574e-69
vamp1	1.57752222273409e-72	1.60275434396226	0.337	0.02	2.29213978963264e-68
jagn1a	1.70968045077126e-72	1.58012759944938	0.651	0.085	2.48416569497064e-68
gng2	1.33948494263451e-71	2.21064190996157	0.965	0.228	1.94627162164794e-67
aig1	7.20582610306432e-71	0.956691443083235	0.36	0.024	1.04700653277525e-66
pik3r3b	8.41150715809559e-71	2.41203922471886	0.744	0.122	1.22219199007129e-66
sh3gl2a	9.42705659436198e-71	1.25931092737696	0.465	0.042	1.3697513231608e-66
stmn1b	1.8540748655231e-70	2.21870916164729	0.953	0.2	2.69397077960507e-66
tuba2	2.72280304927396e-69	1.54025583614502	0.698	0.096	3.95623283059506e-65
dclk1b	4.21432503669328e-69	1.31518630840877	0.5	0.051	6.12341427831533e-65
atp1a3a	5.66791922127354e-69	1.32595224352601	0.465	0.043	8.23548662851045e-65
myt1b	6.31162696278007e-69	1.92145245261743	0.709	0.107	9.17079397691944e-65
add2	7.59193353244411e-69	0.923889951180592	0.349	0.023	1.10310794226413e-64
si:dkeyp-75h12.5	1.39678948850772e-68	2.13533703609617	0.953	0.24	2.02953512680171e-64
clstn3	1.23661987839506e-67	0.945802667969722	0.314	0.018	1.79680868330802e-63
vamp2	8.86337168554387e-67	1.69410297435991	0.686	0.101	1.28784790590952e-62
lingo2a	9.39848508233389e-67	0.427219801155777	0.105	0.001	1.36559988246311e-62
ckbb	2.72388063677565e-65	2.90457361981775	0.988	0.319	3.95779856523502e-61
camk2d2	3.1167466539279e-65	1.07926176465127	0.395	0.032	4.52863288815725e-61
cdk5r2a	3.13332411164618e-65	1.11747777864248	0.326	0.021	4.5527199342219e-61
cadm3	4.28394153597539e-65	1.13872962268937	0.512	0.055	6.22456705177224e-61
glrbb	1.83079803925262e-64	0.964534836082965	0.337	0.023	2.66014955103406e-60
necap1	4.80416444885647e-64	1.43187476215117	0.581	0.074	6.98045094418845e-60
zgc:153426	6.16966450729498e-64	2.08197935939354	0.698	0.114	8.9645225290996e-60
si:dkey-56f14.7	6.61480169300504e-64	1.15902095435941	0.442	0.042	9.61130685993632e-60
stmn2a	1.08286566548809e-63	1.72726230205275	0.709	0.109	1.57340381195419e-59
inab	1.41734776705519e-63	0.57752422687213	0.198	0.007	2.05940630553119e-59
map1ab	2.59840075697974e-63	1.38753929990089	0.326	0.022	3.77547629989157e-59
pak1	2.73592077805328e-63	1.28185944726988	0.558	0.071	3.97529289051142e-59
rtn1a	2.06786459454724e-62	2.2116984309387	1	0.306	3.00460725587713e-58
rnasekb	7.58066067003467e-62	1.83015559595416	0.826	0.17	1.10146999535604e-57
zgc:101840	1.21269480193036e-61	1.47572431309448	0.674	0.101	1.76204554720482e-57
tmsb2	1.26477057653425e-61	1.92829624959437	0.593	0.082	1.83771164770427e-57
zgc:100920	1.56352962721957e-61	1.81572194802815	0.744	0.145	2.27180854835003e-57
sstr1a	2.25128135226926e-61	0.384891906848146	0.105	0.001	3.27111180484723e-57
map1aa	2.90401381112972e-61	2.00388053784996	0.57	0.078	4.21953206757149e-57
nmnat2	3.1440952107461e-61	1.20655079499228	0.453	0.046	4.56837034121409e-57
stmn4l	8.97086445738678e-60	1.47042351358	0.616	0.086	1.3034666056583e-55
nxph1	2.73100622712404e-59	1.43597692153526	0.267	0.016	3.96815204801123e-55
atpv0e2	4.48575143651309e-59	1.68352864672441	0.733	0.137	6.51779683725351e-55
id4	6.51045008965893e-59	1.8399227298888	0.605	0.092	9.45968398027443e-55
tuba1c	1.29433424919868e-57	2.85512924499746	0.977	0.353	1.88066766408568e-53
gas7a	2.88360810624649e-57	0.754093840792804	0.244	0.013	4.18988257837615e-53
dmrt3a	4.78038494668337e-57	2.28664935978685	0.105	0.001	6.94589932753093e-53
tmeff1b	1.00660624934195e-56	2.4875412301226	1	0.452	1.46259888029386e-52
si:dkey-12h9.6	1.44717226528517e-56	0.929034291099932	0.337	0.027	2.10274130145935e-52
apba2b	4.52565082802965e-56	1.02919740096209	0.395	0.038	6.57577065312708e-52
si:dkey-276j7.1	4.76329907617537e-56	2.41977840295643	0.988	0.433	6.92107355768281e-52
cetn2	5.07150919720121e-56	0.443730899420686	0.151	0.004	7.36890286353336e-52
rbfox3b	5.19821339049938e-56	0.461695654002763	0.128	0.003	7.5530040563956e-52
nell2b	7.28722238085976e-56	1.88463982320325	0.488	0.059	1.05883341193892e-51
ppp1r14ab	1.32092343918484e-55	1.63912789574535	0.512	0.065	1.91930175713557e-51
ywhah	5.19068264255999e-55	2.22531776698745	0.988	0.413	7.54206187963967e-51
rbfox1	5.65123230421731e-55	2.74027235040019	0.674	0.135	8.21124053802775e-51
glra1	5.85603298928278e-55	0.692962920770349	0.233	0.012	8.50881593342788e-51
si:dkey-153k10.9	7.30919028330481e-55	0.938164435693656	0.349	0.03	1.06202534816419e-50
map7d2b	1.31751426776732e-54	1.01589559727688	0.453	0.051	1.91434823106592e-50
