gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ptger4a	7.53918423535502e-205	0.989605687224036	0.388	0.005	1.09544346939708e-200
pah	7.45698994080009e-186	2.69398597458973	0.912	0.061	1.08350063839825e-181
si:ch211-243a20.3	2.87961566068858e-168	2.86449830387338	0.887	0.064	4.1840815549805e-164
actn2b	3.67234860058426e-163	1.35839472960681	0.488	0.015	5.33592251664892e-159
tspan10	4.62199389435705e-150	2.10373176406153	0.762	0.051	6.71575712850079e-146
pnp4a	9.60126475859312e-150	2.41248959299526	0.9	0.077	1.39506376942358e-145
lgals2a	4.42032161177822e-140	3.68822807320501	0.963	0.103	6.42272730191376e-136
tyrp1a	1.30221904237924e-137	3.25670077072192	0.988	0.104	1.89212426857704e-133
hnmt	6.76223332129316e-136	1.160319455509	0.462	0.017	9.82552501583897e-132
tyr	4.07754213977837e-130	1.33539012859217	0.512	0.023	5.92466872909797e-126
CABZ01084501.3	4.37295670789311e-130	0.756230578733536	0.238	0.003	6.35390609656869e-126
slc24a5	4.95518534114803e-127	1.47877325889824	0.55	0.029	7.19988430068808e-123
nppa	6.11452889824663e-126	0.77268710009331	0.238	0.003	8.88441048915236e-122
qdpra	1.64906273720822e-125	3.30207328670497	0.95	0.118	2.39608815716354e-121
tmem243a	1.74705876988101e-120	2.52507050452092	0.925	0.101	2.53847639263711e-116
anxa2a	1.16147878536209e-118	3.13773228919526	0.975	0.124	1.68762867513112e-114
csrp2	6.13085315473803e-112	2.11237699056949	0.825	0.082	8.90812963383435e-108
SMIM18	1.47984418294093e-110	1.36210063707088	0.375	0.014	2.15021359781317e-106
pmelb	3.73720928783613e-109	0.433903574864197	0.15	0.001	5.4301650952259e-105
rabl6b	6.09967502285184e-109	2.57244756533433	0.938	0.125	8.86282780820373e-105
mlpha	2.55681798892757e-106	1.89543159366156	0.95	0.111	3.71505653791176e-102
rab32a	5.12473378305848e-104	2.32403857337523	0.875	0.109	7.44623818678398e-100
zgc:91968	4.35471499386411e-102	3.05478465076564	1	0.15	6.32740088608456e-98
slc29a3	2.43455551767366e-101	1.85150829374623	0.75	0.076	3.53740916717983e-97
