gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
dlx4a	1.04158203739165e-183	2.89237914459645	0.921	0.058	1.51341870033007e-179
dlx4b	5.62190109140364e-163	1.61487695359945	0.803	0.047	8.16862228580949e-159
dlx3b	2.26480190591567e-115	2.10639252107265	0.882	0.09	3.29075716929548e-111
dlx6a	2.45917954865685e-95	1.09182784332649	0.566	0.04	3.5731878841984e-91
dlx1a	1.86303629659281e-69	0.584202676616604	0.447	0.034	2.70699173894935e-65
dlx5a	3.36223183845474e-69	1.61255336691277	0.855	0.141	4.88532286127473e-65
ppp1r3b	1.69736648846739e-51	0.876794962529194	0.566	0.075	2.46627350774311e-47
nr2f1b	1.12253370027635e-49	1.25574821217641	0.526	0.068	1.63104146650153e-45
irx7	1.6498151980747e-48	0.651834638853796	0.197	0.009	2.39718148280254e-44
si:dkey-16p21.8	3.75287731377272e-47	1.41540108399307	0.961	0.293	5.45293073691176e-43
dlx2a	1.40301568594138e-45	1.58583168888864	0.684	0.13	2.03858179167282e-41
cdh6	1.19658692486872e-43	0.848766637032895	0.553	0.082	1.73864080183426e-39
grem2b	1.07804568574763e-42	1.50842067830585	0.579	0.097	1.5664003813913e-38
vasna	2.58422465734477e-41	0.644522600065991	0.513	0.073	3.75487842712195e-37
mcm3	2.70624220585612e-41	1.22521295116512	0.697	0.148	3.93216992510894e-37
cdca7a	4.62658995972154e-41	1.28424035247873	0.737	0.162	6.72243521147539e-37
mcm6	2.02889552836363e-40	1.12870896879835	0.842	0.205	2.94798520271236e-36
fgfbp2a	1.65321052040119e-39	0.878631774473307	0.211	0.013	2.40211488614293e-35
mcm2	3.12676152029191e-39	1.27530324368328	0.829	0.213	4.54318448898415e-35
foxd1	4.04993132703677e-39	0.63878416581167	0.474	0.066	5.88455021818443e-35
mcm5	1.95727462312719e-38	1.15443963314414	0.75	0.171	2.84392002740381e-34
mmrn2a	3.64391672998157e-37	0.27405412323004	0.105	0.003	5.29461100866322e-33
pcna	7.74151275215825e-36	1.81414384794393	0.947	0.384	1.12484180288859e-31
lig1	1.73394055855315e-34	1.12147897164743	0.855	0.232	2.51941563157772e-30
stmn1a	3.01385180344449e-34	1.56185976110933	0.987	0.399	4.37912667040485e-30
si:ch211-222l21.1	9.15763450980535e-34	1.57890874768102	1	0.83	1.33060429427472e-29
twist3	7.70311470716147e-33	0.688287161133431	0.513	0.09	1.11926256695056e-28
fen1	3.57147222241862e-32	1.21147384635263	0.803	0.223	5.18934913917426e-28
