gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
col1a2	2.09628231408021e-185	2.39331381944868	0.957	0.247	3.04589820235855e-181
mxra8b	1.79771968000258e-163	1.8995636077126	0.668	0.103	2.61208669504376e-159
col1a1b	1.2811667598979e-159	1.82175165804695	0.714	0.125	1.86153530213165e-155
ccdc3b	4.667479099711e-157	1.91331788143455	0.514	0.057	6.78184713188009e-153
col6a1	3.00849177004942e-153	1.93187725647282	0.579	0.08	4.37133854188181e-149
col6a3	1.00982221709667e-152	1.44587431666653	0.393	0.028	1.46727168144146e-148
zgc:153704	1.05743234541461e-140	2.04686378459806	0.475	0.052	1.53644919788743e-136
mfap2	2.72250114123434e-140	2.16487342176364	0.989	0.473	3.95579415821349e-136
si:ch211-106h4.12	1.60276434197202e-127	3.69435564918412	0.35	0.028	2.32881658888534e-123
col6a2	1.47663124373469e-121	1.31318729529629	0.411	0.045	2.1455451971465e-117
olfml3b	6.7384012545113e-115	1.23661030007609	0.425	0.053	9.79089702280492e-111
efna2a	4.93731572547813e-114	1.74596323359765	0.482	0.075	7.17391974911972e-110
serpinf1	1.62366272411131e-111	1.76289237538575	0.446	0.063	2.35918193813373e-107
cd81a	1.57709226205499e-107	1.55983737721568	0.996	0.868	2.2915150567659e-103
foxf2a	1.60088541515452e-107	2.08025972326331	0.582	0.123	2.32608650821952e-103
mamdc2b	1.38082017844244e-105	1.118373464938	0.239	0.013	2.00633171927686e-101
thbs4b	2.74656091154178e-105	2.29051193230737	0.379	0.045	3.9907530044702e-101
col5a2a	1.81448110962452e-103	1.08956891557668	0.411	0.053	2.63644105228442e-99
col1a1a	3.86104804278765e-102	1.08849882573398	0.793	0.263	5.61010280617046e-98
fosab	6.40541303177701e-102	2.27457182431843	0.989	0.847	9.30706513517199e-98
fstl1b	1.79219788202088e-100	1.68904317574276	0.871	0.413	2.60406352257633e-96
rgs5a	1.90957611562091e-98	1.69052776749041	0.525	0.098	2.77461409599718e-94
dcn	7.27200693481303e-95	1.7037547825163	0.539	0.116	1.05662260762833e-90
lum	4.12555593690362e-94	2.25329142628286	0.446	0.074	5.99443277632096e-90
si:ch211-106j24.1	4.68188156187607e-94	1.1424540373022	0.243	0.017	6.80277390940593e-90
col5a1	1.93898476350226e-93	1.64779887877139	0.7	0.22	2.81734486136879e-89
colec12	9.20687507927843e-88	1.49017324215354	0.614	0.174	1.33775894901916e-83
wnt11r	4.59121448760287e-87	1.99588922889898	0.443	0.079	6.67103465048697e-83
pmp22a	1.84395820953475e-86	1.68854155835369	0.975	0.619	2.679271278454e-82
cdh11	7.85824757279629e-86	1.75634908061936	0.714	0.256	1.1418033723273e-81
jdp2b	4.72695690422582e-84	2.30748073414636	0.914	0.565	6.86826838184012e-80
selenop	5.69022416589843e-83	2.01426674403813	0.507	0.116	8.26789571305042e-79
entpd1	2.24217532911968e-81	1.39856000076253	0.511	0.123	3.25788075321089e-77
lrrc17	8.66451864353568e-81	1.78526614025478	0.614	0.187	1.25895455890573e-76
ifitm1	1.53708793894376e-79	2.39732517055642	0.279	0.031	2.23338877528528e-75
jun	5.58561735177028e-78	1.71672753343028	0.964	0.83	8.11590201212222e-74
hsp70.2	1.0931328543611e-76	1.64980585878425	0.989	0.862	1.58832203738668e-72
sparc	6.80020733705724e-76	1.39140518365959	0.979	0.667	9.88070126074417e-72
s100v2	5.12619338277016e-73	1.48531822724949	0.6	0.193	7.44835898516504e-69
hspa12b	1.41441190626697e-72	0.921363767168604	0.289	0.038	2.05514049980591e-68
zfp36l2	2.53528125629467e-72	1.63806671435769	0.561	0.17	3.68376366539616e-68
si:ch211-212k18.8	9.29746014592019e-71	1.2417790091825	0.479	0.119	1.3509209592022e-66
wls	2.95978794498287e-70	1.37549728105651	0.775	0.386	4.30057188406011e-66
col6a4a	6.93477845689104e-69	0.670661757113377	0.179	0.012	1.00762330978627e-64
si:ch1073-459j12.1	5.74989364115732e-68	1.32422408254596	0.336	0.057	8.35459546060158e-64
dpt	7.14063482322632e-68	0.808490561293529	0.125	0.004	1.03753423981479e-63
twist2	4.08041598627612e-66	1.2608162241411	0.404	0.086	5.92884442805921e-62
gsc	4.65114934208832e-66	2.4276983355721	0.546	0.171	6.75811999405433e-62
flot1b	7.67978400239334e-66	1.42663370191901	0.889	0.622	1.11587261554775e-61
cyp1c1	6.86822673367754e-65	1.91143348318696	0.311	0.05	9.97953344403346e-61
si:ch1073-291c23.2	2.93084718866161e-64	1.21584050694217	0.579	0.198	4.25852096512532e-60
hsp70.1	9.46177344427942e-64	1.71709876406859	0.961	0.803	1.3747956814538e-59
steap4	3.67037295421481e-62	0.88057017497672	0.221	0.025	5.33305190247412e-58
sfrp2	3.09820492410709e-61	2.31904767681916	0.511	0.154	4.5016917547276e-57
socs3a	1.03385956694311e-60	1.70201728341877	0.764	0.39	1.50219795076834e-56
