gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ccna2	7.29433615496126e-95	1.9169239515216	0.921	0.124	1.05986704331587e-90
aurkb	2.01941233971882e-93	2.0116824643225	0.908	0.128	2.93420612961144e-89
scn4ab	3.54798122823917e-88	2.23456396258745	0.632	0.056	5.15521672463152e-84
ly6m5	5.79527776140781e-83	2.59443314423661	0.526	0.042	8.42053858732555e-79
cenpk	1.49919009815169e-81	1.20190055312219	0.553	0.048	2.1783232126144e-77
tpx2	1.72251162637313e-80	1.6745343849035	0.724	0.085	2.50280939312016e-76
ly6m3	1.24660789867028e-79	0.396874164702102	0.132	0.001	1.81132127676791e-75
foxd3	2.57967928311399e-77	2.42418663861834	0.724	0.092	3.74827399836463e-73
smc2	1.48124109634023e-72	1.33493329584919	0.711	0.092	2.15224331298235e-68
cdk1	3.09178235617761e-72	1.77358818307696	0.776	0.111	4.49235976352606e-68
pane1	5.64404195850226e-72	1.29396131355481	0.684	0.087	8.20079296570378e-68
cdca8	2.29223088354089e-66	1.35717720811194	0.632	0.077	3.33061147378491e-62
prc1b	1.73245241959528e-65	1.03926666173182	0.434	0.035	2.51725336567194e-61
plk1	1.34716472342757e-64	1.8147614247915	0.684	0.098	1.95743034314026e-60
top2a	7.54637766488962e-64	1.49552162119879	0.592	0.071	1.09648867470846e-59
ncapg	1.17145329013759e-63	1.21412393086936	0.526	0.057	1.70212163056991e-59
kifc1	7.84807848381183e-63	1.45645513536844	0.605	0.076	1.14032580369786e-58
nusap1	2.64580613045679e-61	1.62664082045606	0.658	0.091	3.84435630755372e-57
rtkn2a	5.36071683885642e-61	0.8623883076337	0.408	0.034	7.78912156685837e-57
cks1b	1.14251307068054e-60	1.61821993631478	0.816	0.15	1.66007149169883e-56
cenpn	3.03497148429333e-59	1.02057530919175	0.447	0.043	4.40981356667821e-55
gtse1	5.76388384254396e-59	0.797873110441823	0.355	0.026	8.37492322321638e-55
slc29a2	1.03795320414878e-58	1.45911137950444	0.421	0.038	1.50814600562818e-54
mibp	1.50275447913045e-57	2.18583405881209	0.789	0.154	2.18350225817654e-53
racgap1	1.5647427697307e-57	1.01791063055409	0.461	0.047	2.27357124441871e-53
dlgap5	1.60514411206999e-57	1.2807881378364	0.618	0.087	2.3322743948377e-53
