gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-202h22.9	0	2.32713059679469	0.773	0.009	0
nos1	0	2.45758686957283	0.818	0.005	0
si:ch73-193i22.1	0	2.14612377849915	0.773	0.01	0
slc2a3a	7.60668956376418e-299	2.79802771269104	0.864	0.014	1.10525199361494e-294
tekt4	5.5041817839485e-290	1.80410656286021	0.659	0.007	7.99757613207717e-286
oprd1b	3.01528598149178e-284	1.44809300964519	0.545	0.004	4.38121053110755e-280
CHST8	7.66685343606254e-275	1.71208425957471	0.659	0.008	1.11399380425989e-270
kmo	2.21663842653641e-260	1.08570212218269	0.409	0.002	3.22077563375741e-256
atp2b3a	8.33252891280506e-236	1.66925700398241	0.682	0.011	1.21071645103058e-231
atp2b3b	4.59699552285894e-213	1.32475890155983	0.568	0.008	6.67943449471404e-209
plcxd3	1.70189768493214e-208	3.48905720892373	0.955	0.032	2.4728573362064e-204
islr2	1.83304439167327e-192	3.92650863491656	0.977	0.038	2.66341350110126e-188
etv1	3.58543209746194e-190	2.9786273685785	0.977	0.038	5.2096328376122e-186
cygb2	1.03253797617727e-184	2.32623723288075	0.682	0.016	1.50027767938557e-180
gch1	3.84522338626728e-184	2.24249664974259	0.932	0.035	5.58710958024635e-180
dgkaa	2.67363613130594e-175	2.92362933901031	0.932	0.038	3.88479329878753e-171
xgb	4.30074089418412e-169	0.80656364711763	0.364	0.003	6.24897651924952e-165
gcnt7	3.73737256260502e-164	0.935897264955512	0.318	0.002	5.43040233346509e-160
fgf13b	1.30002483670162e-163	2.30449574931481	0.909	0.038	1.88893608772746e-159
tnfaip8l2b	2.72919880152427e-163	1.44071682160833	0.386	0.004	3.96552585861477e-159
sult4a1	4.44616174237175e-160	1.83356063847383	0.841	0.032	6.46027301166615e-156
kif26aa	1.40090089907083e-157	1.25659460378164	0.591	0.014	2.03550900634992e-153
scn1laa	1.08783707335084e-149	0.991260097889447	0.386	0.005	1.58062726757878e-145
oprl1	4.394503204295e-149	0.970025254639234	0.386	0.005	6.38521315584064e-145
chrna3	3.57907718986315e-148	1.86442740806718	0.659	0.02	5.20039915687115e-144
syt1a	1.33962583331182e-147	2.33711032088828	0.932	0.045	1.94647633580207e-143
tbx3a	2.11868395073123e-144	2.1126694773252	0.818	0.035	3.07844778041247e-140
hpcal4	4.49526783734623e-140	1.21182364211707	0.523	0.012	6.53162416766407e-136
arl3l2	3.17787368430764e-138	0.588885215501082	0.227	0.001	4.61745046329899e-134
vgf	6.4216161302764e-138	2.2197798790872	0.841	0.039	9.33060823729161e-134
chrna5	1.0814856480989e-132	2.97468551514585	1	0.063	1.5713986466877e-128
slc9a5	1.07161999135017e-131	0.890762725871679	0.364	0.005	1.5570638474318e-127
syn2a	2.5345705186603e-128	1.83716183742629	0.841	0.042	3.68273096361341e-124
eno2	2.22974405117796e-126	1.68123445123922	0.864	0.045	3.23981810636158e-122
si:dkeyp-120h9.1	3.53586916409689e-121	2.42440175606339	0.886	0.053	5.13761789543279e-117
dpp6b	1.15730856695033e-118	0.752488999626135	0.341	0.005	1.68156934777883e-114
scg5.1	2.05011050259528e-116	2.04321395261753	0.864	0.05	2.97881056027095e-112
nrxn1b	4.25279521279787e-116	0.532702869923653	0.25	0.002	6.17931144419531e-112
cacng5a	8.19607801541021e-112	0.541027003544059	0.205	0.001	1.1908901356391e-107
si:ch211-157j23.2	1.19037916536037e-111	0.708638399861684	0.295	0.004	1.72962092726861e-107
ada	1.73531686398109e-110	1.39441157981741	0.591	0.023	2.52141540336452e-106
nrsn1	3.59435751241972e-107	1.26859383410559	0.659	0.03	5.22260146554586e-103
map1b	2.39113404497256e-106	1.9132558433305	0.864	0.054	3.47431776734513e-102
ntng1a	5.45906214868792e-106	0.413811087251136	0.159	0.001	7.93201730204355e-102
olfm1b	9.23397978025502e-105	2.48189429472283	0.977	0.076	1.34169726207105e-100
ctnnd2a	3.52478634311449e-104	1.21397063550345	0.523	0.019	5.12151455654536e-100
zgc:101663	3.54497949336711e-104	0.609127034831486	0.295	0.005	5.15085520386241e-100
atp8b2	2.2848257144227e-103	0.389914441249981	0.182	0.001	3.31985176305618e-99
slc29a4	7.60687421640202e-102	1.5246662151328	0.568	0.023	1.10527882364321e-97
st8sia5	1.85387852031394e-101	1.07050935012606	0.568	0.022	2.69368549001615e-97
nfasca	3.19801419735527e-101	2.34330593866773	0.864	0.061	4.64671462875721e-97
tppp2	4.41524425204853e-101	1.03707492654578	0.409	0.011	6.41534989822651e-97
bean1	1.29700501285586e-100	0.926163026138763	0.432	0.012	1.88454828367956e-96
tph1b	1.58807049139248e-100	0.857889248484566	0.386	0.01	2.30746642399327e-96
pcsk1nl	8.03987459999448e-99	2.36527162099262	0.909	0.07	1.1681937793792e-94
FO907089.1	1.0041956458657e-98	0.990689127642433	0.386	0.01	1.45909627344286e-94
ret	1.93392906650716e-96	1.68796703494678	0.818	0.054	2.80999893363491e-92
si:ch211-207d6.2	2.08433806734644e-95	0.333306584621573	0.159	0.001	3.02854321185437e-91
rab6bb	1.87499300348057e-92	2.08444584235625	0.795	0.055	2.72436483405726e-88
syngr3b	3.04102700796105e-92	1.33103029480149	0.568	0.026	4.41861224256741e-88
gpr22b	1.17598747003744e-91	0.682809899881612	0.273	0.005	1.7087097939644e-87
adcyap1b	1.32075191865864e-91	4.69624294690832	0.955	0.093	1.919052537811e-87
si:ch211-157j23.3	6.6476785499284e-90	0.815786128453245	0.295	0.006	9.65907693304597e-86
gfra1a	9.01439153728557e-88	2.6628018002702	0.818	0.064	1.30979109036759e-83
kcnd2	1.01900701152621e-87	0.885232750426011	0.409	0.013	1.48061718774758e-83
cacna1ba	1.38662584345876e-86	0.362985357236141	0.159	0.001	2.01476735054558e-82
stmn2a	8.1905778021667e-86	3.65227517155495	1	0.112	1.19009095465482e-81
nacad	8.28909794635045e-86	0.67127170658721	0.318	0.007	1.20440593160472e-81
snap25a	1.21553073956479e-85	1.56070792932184	0.932	0.078	1.76616616458764e-81
kcnc1a	1.98893578454754e-85	0.726677570357282	0.364	0.01	2.88992369494758e-81
cplx2	2.52562844590458e-85	2.35459330313565	0.886	0.079	3.66973813189935e-81
cpe	8.0032817027537e-85	2.70195410020018	0.955	0.098	1.16287683141011e-80
atp1a3a	7.63753115187078e-84	1.43161711031482	0.705	0.045	1.10973327636682e-79
zgc:65894	4.74877828061549e-83	3.77749632341844	1	0.119	6.8999748417343e-79
maptb	5.31703503482508e-83	3.20791667606613	1	0.118	7.72565190560084e-79
lrrn1	9.0180424759918e-83	1.7035445862968	0.773	0.057	1.31032157176161e-78
slc35g2b	1.3030364150832e-82	1.42752296194399	0.614	0.035	1.89331191111589e-78
