gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
gpx3	1.75030602191521e-190	1.11291510256063	0.561	0.009	2.5431946498428e-186
pax3a	5.05089996127513e-149	1.20388834590794	0.585	0.014	7.33895764373276e-145
trpm1b	6.62967409710473e-89	1.51377042476972	0.732	0.043	9.63291646309318e-85
tfec	7.2851301938756e-83	0.357968475500593	0.195	0.002	1.05852941717013e-78
trim63a	2.31445917505763e-80	2.53939710551014	0.537	0.026	3.36290918135873e-76
tmprss3a	2.36933758747248e-78	0.336844916541442	0.171	0.002	3.44264751459751e-74
tfap2e	8.73405068520975e-62	2.12426112510378	0.878	0.093	1.26905756456098e-57
mgat4b	1.69493196346388e-61	1.29552860061767	0.707	0.06	2.46273614291301e-57
phlda1	9.19574806585439e-60	1.66365299765739	0.805	0.083	1.33614219396864e-55
mef2cb	4.86038483809972e-58	1.29587095972889	0.732	0.069	7.0621391697589e-54
cyth1b	5.20868667293353e-41	1.87012053038611	0.902	0.165	7.56822173577242e-37
gpr143	1.95334620970847e-38	1.26869957922469	0.951	0.153	2.8382120427064e-34
trmt1	2.99256278192632e-37	0.525809847562712	0.366	0.026	4.34819372213895e-33
CPNE8	2.72463961609561e-36	1.10920284264151	0.756	0.11	3.95890136218691e-32
slc45a2	1.22491415517088e-35	0.354551392520484	0.976	0.175	1.77980026746329e-31
ttyh2l	3.34102367863076e-34	0.800792801645218	0.439	0.04	4.85450740505049e-30
pcdh10a	1.48973186154522e-32	1.11106875353409	0.707	0.106	2.1645803948252e-28
si:dkey-204f11.64	2.08357619010032e-31	1.67899201872923	0.927	0.212	3.02743620421576e-27
si:dkey-12j5.1	1.02018415220671e-30	0.713073556978616	0.585	0.077	1.48232757315634e-26
smim29	2.25674967680931e-30	1.90774030377489	0.927	0.24	3.27905728040393e-26
bhlhe41	9.56799473811033e-30	1.14127131093371	0.585	0.082	1.39022963544743e-25
fuca2	4.01210081788346e-29	0.889592436152911	0.659	0.102	5.82958248838466e-25
zgc:110591	7.72843849857785e-29	1.10118967835875	0.707	0.12	1.12294211384336e-24
hs3st1l2	1.05770647991528e-26	0.320334156158101	0.171	0.008	1.5368475153169e-22
bloc1s4	1.1460201573136e-26	1.25077162568956	0.659	0.117	1.66516728857667e-22
sypl2b	1.39260968010134e-26	1.23913312784352	0.732	0.141	2.02346186518724e-22
bloc1s3	8.24255340806995e-26	0.465564593699919	0.39	0.041	1.19764301019256e-21
slc3a2a	1.34010238732092e-25	1.01821339893347	0.756	0.138	1.9471687687773e-21
iscub	1.34465086759595e-25	0.819047431324451	0.634	0.104	1.95377771061692e-21
cdh1	1.50915662339156e-25	0.575826484194947	0.537	0.073	2.19280457378793e-21
ankib1a	3.02439366210757e-25	0.41038906621628	0.293	0.024	4.39444399104229e-21
asah1a	3.12427986152603e-25	0.418560981130523	0.366	0.037	4.53957863879732e-21
akr7a3	4.30466534456251e-25	0.523620816130739	0.366	0.038	6.25467874564933e-21
mrpl43	2.91833457280397e-24	0.603215924362429	0.537	0.08	4.24034013428417e-20
spg21	3.66355230002898e-24	0.84148219525667	0.707	0.134	5.32314149194211e-20
mtbl	4.57504459844008e-24	0.419945631515321	0.854	0.197	6.64753980153344e-20
ppat	1.29138317323613e-23	0.629621859861577	0.488	0.07	1.8763797507121e-19
slc15a4	1.53155348559401e-23	0.616122951667921	0.366	0.04	2.2253472145681e-19
zeb2a	1.59722337342575e-23	1.08180692391277	0.683	0.134	2.32076556158761e-19
tfap2c	1.78973003005267e-23	0.52703907053484	0.366	0.041	2.60047773366653e-19
tspan36	4.19982333649308e-23	1.20506891637442	0.854	0.208	6.10234330792444e-19
mob1ba	4.2476615179378e-23	1.37328588728287	0.732	0.176	6.17185218556363e-19
tmem256	4.42036314501504e-23	0.850203746602745	0.634	0.116	6.42278764970686e-19
mlpha	5.50767102571175e-23	1.22961984997325	0.659	0.122	8.00264600035917e-19
npm1a	1.01701841957657e-22	1.71297197324674	0.976	0.413	1.47772776364476e-18
abracl	5.42914236500396e-22	1.09209840810607	0.927	0.275	7.88854385635075e-18
atp6v1ab	9.65940464777518e-22	0.800837450720211	0.61	0.111	1.40351149532173e-17
FO704721.1	1.24237862943203e-21	0.379505982285281	0.244	0.02	1.80517614856474e-17
adi1	1.55583048854086e-21	1.15575528587443	0.854	0.238	2.26062169984987e-17
emp3b	1.65861832565391e-21	0.891158168969609	0.463	0.068	2.40997242717513e-17
phactr2	2.45191416780935e-21	0.359014113791809	0.293	0.029	3.56263128582698e-17
scamp3	3.40331869270478e-21	0.661528087038351	0.659	0.123	4.94502206050004e-17
ablim3	3.9327156308553e-21	0.407402961192966	0.268	0.025	5.71423581163275e-17
mibp2	5.88311667920301e-21	1.25790597343419	1	0.898	8.54816853488198e-17
si:dkey-151g10.6	5.97948338649323e-21	0.679848594400893	1	1	8.68818936057467e-17
gm2a	9.85023665293552e-21	0.675744637878956	0.634	0.12	1.43123938567153e-16
foxo1a	2.5124300909905e-20	0.831895524732814	0.561	0.105	3.6505609222092e-16
rabl6b	3.63388429468923e-20	0.677092761887128	0.683	0.136	5.28003388018345e-16
ctsd	3.65241008245665e-20	1.29123849949431	1	0.434	5.30695184980951e-16
cox20	3.76775501857854e-20	0.707177659216283	0.61	0.121	5.47454804199462e-16
lamtor5	5.33281540267781e-20	0.97930624185939	0.829	0.219	7.74858078009085e-16
bri3	6.10793325578284e-20	0.544207085400806	0.732	0.151	8.87482702065247e-16
spock3	6.18754232744822e-20	0.727755792431422	0.756	0.166	8.99049900178226e-16
selenoj	6.21643200064489e-20	0.728497845043927	0.659	0.135	9.03247569693702e-16
eif4ebp3l	8.40251292791447e-20	1.65702597284741	0.927	0.324	1.22088512842597e-15
