gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
cldnk	0	6.25414957087859	1	0.018	0
cx27.5	0	3.37170577797622	0.833	0.004	0
mag	0	1.72513809001504	0.476	0.001	0
timd4	2.45476393769687e-298	4.19894045798195	1	0.021	3.56677200147355e-294
si:ch211-234p6.5	5.65121930889277e-289	1.87491599872859	0.476	0.002	8.2112216558212e-285
cd59	1.21292738767058e-253	6.45301722678614	1	0.027	1.76238349428535e-249
tlcd1	3.20545609481979e-253	2.84531308727814	0.667	0.009	4.65752770577315e-249
mbpa	2.65277534602803e-231	7.01939317131729	0.952	0.027	3.85448257777873e-227
si:ch211-214p13.3	1.02440344671986e-223	1.24338059560636	0.262	0	1.48845820808396e-219
sncga	6.82051206420172e-213	2.52720808222098	0.476	0.005	9.9102040292851e-209
plp1a	2.30166943078592e-205	1.96389832088594	0.548	0.007	3.34432568293195e-201
depdc7a	2.36661814903328e-198	2.5942054108171	0.548	0.008	3.43869617054536e-194
zgc:113337	1.26014646899129e-196	1.81562525028362	0.476	0.005	1.83099281944434e-192
cldn19	4.96029640569798e-192	3.44837761312118	0.905	0.031	7.20731067747917e-188
si:dkey-262k9.4	1.40275077507743e-171	3.09074894036662	0.571	0.011	2.03819687618751e-167
map4k2	1.71510726200241e-164	2.02687818922663	0.548	0.011	2.4920508516895e-160
plp1b	1.54270772650765e-155	5.59886530195549	0.571	0.013	2.24155432661562e-151
si:ch211-132g1.3	4.99283480029562e-140	1.65430826304425	0.452	0.008	7.25458896482953e-136
tmc8	1.05654762728963e-136	1.19254145692541	0.31	0.003	1.53516370245183e-132
padi2	9.74278124516021e-130	1.33104245414424	0.357	0.005	1.41562611492178e-125
qki2	1.01735926733693e-126	4.22281195378648	0.976	0.064	1.47822301544057e-122
fabp2	5.79048948671461e-124	3.23594027721492	0.881	0.05	8.41358122419633e-120
cd226	8.53014824929771e-123	0.912084011592343	0.143	0	1.23943054062296e-118
rsad2	1.39448624506901e-117	1.01882934035853	0.214	0.001	2.02618851408527e-113
elovl1a	4.6901775534597e-117	2.22729029179918	0.524	0.016	6.81482798517694e-113
tmem125b	1.56101331521893e-110	2.25160771127499	0.476	0.014	2.2681523470131e-106
elovl7a	8.03391250950387e-110	1.84769971471367	0.333	0.006	1.16732748763091e-105
CU929418.2	1.4354712857941e-108	0.831494059188225	0.19	0.001	2.08573977825882e-104
nab1a	9.52701876866435e-108	1.38295559430375	0.286	0.004	1.38427582708693e-103
CABZ01068367.1	2.50094224327432e-105	1.76918092236747	0.357	0.007	3.63386907947759e-101
si:ch211-125c23.3	1.25153100647661e-102	0.639756697353098	0.119	0	1.81847455241052e-98
egr2b	2.52854319937376e-102	3.09930874271782	0.595	0.025	3.67397326869008e-98
nrgna	5.89754264789005e-98	3.06506682746345	0.714	0.04	8.56912946738424e-94
myo1cb	9.38067534675251e-98	3.06392631003604	0.619	0.03	1.36301212788314e-93
lim2.2	4.78943607095476e-97	2.75851827792371	0.619	0.03	6.95905061109726e-93
si:dkey-200l5.4	4.86567683580046e-92	2.33342741265972	0.238	0.003	7.06982844241807e-88
mtmr1b	4.5997871387542e-91	1.94488975423196	0.524	0.022	6.68349071260986e-87
efhd1	7.75234802589094e-91	3.87601239582541	0.929	0.085	1.12641616816195e-86
tjp2b	3.97510598433824e-88	2.49024997047196	0.667	0.04	5.77582899524346e-84
rgl3a	1.57617497158269e-85	0.4621823469711	0.119	0	2.29018223370965e-81
ugt8	1.03112779653805e-83	1.44700703343012	0.333	0.008	1.49822868836979e-79
si:rp71-19m20.1	2.58405852108876e-79	3.5440051582288	0.929	0.101	3.75463703114197e-75
mbpb	2.10402896667909e-78	7.06375135967917	1	0.126	3.05715408858472e-74
pdgfd	8.0183241041568e-77	0.742537144087657	0.167	0.002	1.16506249233398e-72
asmtl	1.3878123588252e-72	2.84556941335526	0.619	0.042	2.01649135737302e-68
nr4a2b	5.2284597958925e-64	2.70342604624587	0.5	0.03	7.5969520834318e-60
pou3f1	1.11616737060942e-62	3.57400284939127	0.714	0.067	1.62179118949549e-58
aatka	2.04287470785215e-55	1.12142129038675	0.333	0.014	2.96829695050918e-51
mpz	2.31617621852901e-55	3.35182260782498	0.167	0.003	3.36540404552266e-51
rgra	3.28817757136363e-54	1.61891247447697	0.238	0.007	4.77772201119135e-50
