gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
cax1	0	2.97572910850597	0.795	0.004	0
tmem130	0	4.39852365487295	1	0.014	0
bscl2l	0	4.60546702350789	1	0.014	0
zgc:113142	0	2.41651297808863	0.487	0	0
oacyl	0	3.04031697689387	0.744	0.006	0
cyb561a3b	0	2.92645847110899	0.769	0.004	0
aox5	0	3.65928676636507	0.949	0.009	0
pax7b	0	2.72581526981858	0.692	0.002	0
cx30.3	3.5229612397118e-284	2.48416628881739	0.667	0.007	5.11886268130124e-280
tat	3.13346556219671e-241	2.36506707934993	0.615	0.007	4.55292546187183e-237
slc2a11b	1.40528112442805e-235	2.30556556827276	0.718	0.012	2.04187347379395e-231
pon1	1.62966520757342e-231	2.41245417107625	0.744	0.013	2.36790354660418e-227
si:dkey-251i10.2	2.36783914567201e-227	5.17065509322126	1	0.029	3.44047027866143e-223
si:dkey-126g1.9	1.35003372598507e-214	1.19588100741313	0.41	0.003	1.9615990038563e-210
xdh	9.88329903231752e-197	1.05444757507919	0.308	0.001	1.43604334939574e-192
rbp4l	4.13673570402212e-178	2.93939065308213	0.359	0.003	6.01067697794414e-174
uraha	6.55541491558698e-144	4.64947290484615	0.974	0.05	9.52501787234788e-140
zgc:153031	3.06337568839733e-116	2.13196473279929	0.436	0.01	4.45108487524132e-112
add3b	3.66224548916802e-104	1.2293407412449	0.308	0.005	5.32124269576113e-100
oxr1b	2.18433854449721e-92	2.42248015524663	0.692	0.038	3.17384390515445e-88
lygl1	1.38385657877902e-89	1.23793903158532	0.359	0.008	2.01074360896592e-85
slc2a15a	1.84545102869239e-89	0.521382137329152	0.179	0.001	2.68144034469004e-85
phyhd1	1.84277506980687e-85	2.86667862630588	0.795	0.058	2.67755217642938e-81
aqp3a	4.53993702492706e-85	4.99481077335624	1	0.1	6.59652849721902e-81
slc22a7a	8.47823683486344e-81	4.40492027040259	1	0.108	1.23188781210566e-76
pts	6.99016969655059e-78	1.11214904982353	0.359	0.01	1.0156716569088e-73
sgcg	1.65267352369338e-77	0.663225255156072	0.205	0.003	2.40133462992648e-73
dhrs13a.1	9.44232901653873e-77	2.28385464032322	0.846	0.074	1.37197040610308e-72
bco1	2.89930220395883e-74	1.92211693130937	0.641	0.041	4.21268610235218e-70
si:ch211-251b21.1	8.44734758687824e-74	5.52435656779463	1	0.124	1.22739960437341e-69
pax7a	6.93402430751508e-73	1.4024936946249	0.333	0.01	1.00751373188194e-68
TMEM19	9.5965869002242e-71	3.3449314367123	0.949	0.112	1.39438407660258e-66
agmo	2.34367994059219e-65	2.74112632501287	0.718	0.061	3.40536695368046e-61
plxdc2	3.19311082673612e-60	1.89056932863287	0.564	0.039	4.63959003124758e-56
gpd1b	6.18362300668233e-60	2.25837583780099	0.564	0.039	8.98480422870942e-56
si:ch73-366l1.5	3.85880282286565e-57	2.35166086511809	0.692	0.066	5.60684050162378e-53
pnp5a	1.18665039584791e-56	2.57008284456072	0.744	0.077	1.72420302516701e-52
