gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-256m1.8	0	1.83813779845867	0.844	0.004	0
gpnmb	0	1.61799957066327	0.75	0.005	0
si:ch211-38m6.6	0	1.11726126599781	0.469	0.001	0
akap12a	0	1.71790195250375	0.594	0.002	0
CR318624.2	0	1.19744596472307	0.469	0.001	0
si:ch73-89b15.3	5.06597910479503e-214	0.552229139579367	0.25	0	7.36086763926718e-210
unm-sa821	4.43078979777913e-180	0.502382005138574	0.281	0.001	6.43793757617308e-176
sytl2b	2.71084315392296e-177	0.649928950662001	0.312	0.001	3.93885510265006e-173
hdr	3.93434370518777e-172	0.861080699440602	0.406	0.003	5.71660140363783e-168
tcirg1a	1.67172780600647e-165	1.16854288739918	0.469	0.005	2.42902050212741e-161
lypc	9.47306824782372e-151	3.51470984544093	0.625	0.013	1.37643681640879e-146
apoda.1	6.4059379825237e-142	5.24158998182009	1	0.044	9.30782788860693e-138
slc25a38a	9.41685027616507e-135	1.43054058659596	0.562	0.012	1.36826834512678e-130
si:dkey-197i20.6	9.36451855943429e-116	4.89531054975383	0.781	0.032	1.3606645466858e-111
pltp	2.27753162498998e-106	0.738688938288478	0.438	0.009	3.30925345111045e-102
pax7a	2.78884948301482e-102	1.13525194271915	0.438	0.009	4.05219829882053e-98
myof	1.45459049502272e-100	0.545627492306784	0.219	0.002	2.11351998926802e-96
alx4b	1.97481986127101e-91	0.912510626627256	0.438	0.011	2.86941325842677e-87
si:ch211-243a20.3	1.58454510481551e-85	3.67993362242691	0.969	0.073	2.30234403729693e-81
zgc:110789	2.48458192571581e-78	2.23540275720729	0.656	0.033	3.61009753806508e-74
ponzr1	2.16627204416326e-75	1.73475836537425	0.625	0.03	3.14759328016922e-71
si:ch211-160j14.2	2.53407107798736e-69	1.76452540863285	0.625	0.033	3.68200527631564e-65
alx4a	9.12500876328351e-68	2.08535719598324	0.781	0.056	1.32586377330509e-63
defbl1	7.11710335956483e-66	6.34032473195864	0.969	0.105	1.03411511814477e-61
trpm1b	3.22248744076748e-62	1.90723408358795	0.688	0.045	4.68227425143515e-58
si:ch211-81a5.8	3.61909869662941e-59	0.716007367174164	0.219	0.004	5.25855040620254e-55
nme4	1.10525967785351e-56	2.19683143909102	0.844	0.079	1.60594231192115e-52
emp3b	1.28191004843459e-55	1.77484855826324	0.781	0.067	1.86261530037545e-51
tpd52l1	5.49114734752116e-51	1.32980749195993	0.625	0.046	7.97863709594825e-47
zgc:63831	4.1834145385423e-50	1.01024014025759	0.75	0.063	6.07850132450196e-46
coro1a	7.51403076516069e-49	0.328901085282899	0.25	0.007	1.09178867017785e-44
phyhd1	1.17221058019817e-48	1.65097542676748	0.688	0.06	1.70322197302794e-44
si:dkey-21a6.5	2.5059628489767e-46	1.91619657509274	0.938	0.114	3.64116401956314e-42
SYNPR	4.63038148490864e-42	1.01422993908522	0.156	0.003	6.72794429757226e-38
agtrap	2.76052173652819e-41	2.01773835620033	0.719	0.08	4.01103808317546e-37
pgm2	3.50218996104811e-41	0.718472977670595	0.375	0.02	5.0886820134029e-37
pnp4a	7.5169794538585e-41	4.52224637060489	0.75	0.088	1.09221711464564e-36
si:ch211-214j24.14	9.97186591855709e-41	0.57187358936215	0.375	0.02	1.44891211796635e-36
ttyh2l	1.2104660192765e-40	0.997606538037143	0.531	0.041	1.75880712600876e-36
atic	1.35818976322693e-39	2.26432043696781	0.75	0.093	1.97344972596872e-35
si:dkey-30c15.17	1.37488595505281e-39	0.273455003256579	0.188	0.005	1.99770929269173e-35
kcnip3b	2.31280547094275e-39	0.396146913012383	0.156	0.003	3.36050634927982e-35
paics	6.30587152798335e-38	3.30889689377831	1	0.223	9.1624313301598e-34
BX571715.1	9.7421495858362e-38	0.488741556552428	0.375	0.021	1.415534334822e-33
pfas	1.18366866752757e-36	0.923982230914316	0.562	0.049	1.71987057391755e-32
zgc:63972	4.14123280830699e-36	0.3317682997983	0.125	0.002	6.01721127047005e-32
mboat1	2.42909041587365e-35	0.479592613618073	0.188	0.005	3.52946837426441e-31
ppat	4.74580520803159e-35	1.35507120854179	0.625	0.07	6.89565496726989e-31
fhl3a	7.7147358101571e-35	1.96854359182886	0.688	0.085	1.12095111321583e-30
triobpa	2.77093846703096e-34	0.609729599340725	0.281	0.013	4.02617359259598e-30
cremb	4.94038785984099e-34	0.575825490861074	0.406	0.027	7.17838356034896e-30
