gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
si:ch211-14k19.8	0	2.41182718446295	0.96	0.004	0
acy3.2	0	1.90923966412944	0.84	0.006	0
hoxc13a	0	0.749335023747351	0.52	0.001	0
zgc:114181	2.02152071925802e-288	1.43294878063484	0.52	0.002	2.9372696050819e-284
ucp1	2.17813927065882e-277	4.24441234134005	0.72	0.006	3.16483636026727e-273
hoxc13b	6.56297810656585e-267	1.24528061999342	0.72	0.006	9.53600718884017e-263
capn12	1.56456987398947e-256	1.28016532552631	0.56	0.003	2.2733200269067e-252
si:ch211-76l23.4	1.3548211765196e-240	4.12596386234889	0.72	0.007	1.96855516948297e-236
hoxc12b	2.96255091642722e-239	1.05533198782493	0.52	0.003	4.30458648156875e-235
angptl6	3.33857832630882e-223	1.7936552763129	0.48	0.003	4.85095430812672e-219
ttc36	2.79419084655511e-202	4.02327256176824	1	0.021	4.05995930004457e-198
itgb1b.2	5.24186648921013e-191	2.32207008652738	0.56	0.005	7.61643200882231e-187
and1	2.85754749664366e-184	5.69253209207114	0.96	0.022	4.15201651262324e-180
mxra8a	2.08433287476915e-175	2.23949880516407	0.92	0.021	3.02853566703958e-171
glsl	6.09092969326225e-168	0.46784749597295	0.32	0.001	8.85012084431005e-164
hoxb13a	3.45455799298775e-154	0.688138439977175	0.24	0.001	5.0194727638112e-150
fbxo32	1.81035737496609e-153	2.79290910153124	0.6	0.009	2.63044926582573e-149
hhla2a.1	1.92249236518806e-151	1.5721122382636	0.96	0.026	2.79338140661826e-147
hpdb	3.84432849208096e-148	6.32915843498953	0.96	0.029	5.58580929899363e-144
zgc:113307	1.23106657586999e-131	1.01421453930114	0.6	0.011	1.78873973473909e-127
pck1	1.90341143644178e-131	1.27623337615665	0.36	0.003	2.76565681714991e-127
c1qtnf5	7.4338088148462e-128	3.10616375168961	0.76	0.02	1.08013242079715e-123
pfkfb1	1.79430892220957e-113	0.692853855580544	0.44	0.006	2.6071308639705e-109
acy3.1	4.35579339118154e-107	0.61087402828974	0.44	0.007	6.32896779738677e-103
ackr4b	6.74104104739314e-107	0.768030648412826	0.44	0.007	9.79473264186223e-103
alkbh3.1	1.47026856456491e-106	2.94222227756728	0.52	0.011	2.13630022431281e-102
notum1b	2.25991577067814e-105	1.65928454828491	0.72	0.022	3.28365761479534e-101
CABZ01085139.1	8.91934806801692e-103	1.27394458941222	0.68	0.019	1.29598127428286e-98
ptk2bb	1.50265263240684e-102	0.345480114922901	0.24	0.002	2.18335427488714e-98
si:ch211-252f13.5	2.65194282014763e-95	0.276706697082795	0.2	0.001	3.85327291767451e-91
si:ch211-51a6.2	1.48841063201775e-94	0.271991157466403	0.24	0.002	2.16266064832179e-90
