gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
sp100.1	1.73780105690412e-51	0.402358664733067	0.158	0.001	2.52502493568168e-47
f7i	7.74167077888557e-46	0.289704952939205	0.158	0.002	1.12486476417207e-41
pir	1.22150527098413e-40	1.70352472016514	0.789	0.06	1.77484715873994e-36
tspan10	2.62128488047167e-38	1.7117566167357	0.789	0.062	3.80872693132534e-34
zgc:163014	2.64975443638131e-37	0.976438799157562	0.368	0.013	3.85009319606205e-33
sh3d21	2.11448130647735e-35	1.14677258535615	0.526	0.029	3.07234133831159e-31
slc22a2	1.61899052419315e-34	1.89587791147873	0.842	0.077	2.35239323165265e-30
slc2a15b	4.1393412082071e-34	2.50193553652367	0.895	0.095	6.01446277552492e-30
zgc:113276	3.73572344210229e-33	0.499687998209994	0.211	0.005	5.42800616137463e-29
mlpha	2.17907127358821e-32	2.59394388366534	1	0.124	3.16619056052367e-28
tmem243a	3.72127025705575e-32	2.64870405272778	0.947	0.114	5.407005683502e-28
tyrp1a	7.38624986673984e-32	2.48469370537753	1	0.117	1.0732221056373e-27
anxa2a	1.04452719132612e-30	2.93289334363405	1	0.137	1.51769800899685e-26
lgals2a	1.40082447209633e-30	2.43467880974076	0.947	0.117	2.03539795795597e-26
slc22a7a	1.64313186921152e-30	2.22694544563535	0.947	0.112	2.38747060596434e-26
rabl6b	1.26399867017779e-29	2.2514345268057	1	0.138	1.83659006776833e-25
zdhhc2	2.17690005164901e-29	2.05691603707088	0.737	0.071	3.16303577504601e-25
csrp2	3.47953544880941e-29	2.23177427877509	0.842	0.094	5.05576500712007e-25
fabp11a	3.93149748260532e-29	3.28961219987456	0.895	0.117	5.71246584222552e-25
nqo1	4.09388502466853e-29	1.98169812346176	0.842	0.096	5.94841494084338e-25
si:dkey-238d18.4	2.05776964198567e-28	1.04340035427913	0.474	0.029	2.98993928980519e-24
zgc:63831	9.42880375004954e-28	1.61559782986113	0.684	0.066	1.3700051848822e-23
zgc:91968	1.87425405044114e-27	3.56834265811805	1	0.164	2.72329113529098e-23
zswim7	3.31084826519095e-27	1.03298972016062	0.421	0.025	4.81066252932245e-23
si:dkey-21a6.5	3.79613416339843e-27	2.07095919481615	0.895	0.117	5.51578293941792e-23
zanl	7.56890377804351e-27	0.297344870144955	0.105	0.001	1.09976171894972e-22
depdc1a	9.77274996642834e-27	1.00621311477268	0.368	0.019	1.41998057012204e-22
cks2	1.06541410282232e-26	1.36934372978732	0.684	0.067	1.54804669140083e-22
slc38a11	1.5038756485927e-26	1.24047104363524	0.632	0.055	2.1851313174052e-22
gpr143	9.25102363642131e-26	2.47220492355951	1	0.158	1.34417373437202e-21
ube2c	9.85499374674652e-26	2.31614110569733	0.947	0.138	1.43193059140227e-21
cenph	1.60305874479985e-25	1.18716590974625	0.474	0.034	2.32924435619417e-21
rasd1	1.75701704261939e-25	2.05618995750937	0.895	0.12	2.55294576292597e-21
adssl1	2.73933338092478e-25	1.14703024843237	0.526	0.042	3.98025140248371e-21
rab32a	4.26004908299429e-25	1.7794790793565	0.895	0.121	6.1898513175907e-21
cdh1	1.01401599937906e-24	1.65072536357994	0.684	0.075	1.47336524709778e-20
hsc70	2.25834266909593e-24	1.17215011279373	0.526	0.042	3.28137189819638e-20
cdk1	7.66656092758515e-24	2.19301940246854	0.842	0.12	1.11395130277812e-19
si:ch73-196l6.5	2.3180771868104e-23	0.512774445175322	0.263	0.011	3.36816615243551e-19
slc24a4a	3.15588551656902e-23	1.13942206493471	0.579	0.053	4.58550165557479e-19
si:dkey-51e6.1	3.25649533923166e-23	1.2611468435538	0.474	0.037	4.73168772790361e-19
sypl2b	5.365420103914e-23	1.71313966230958	0.895	0.144	7.79595541098705e-19
mt2	7.4572353246703e-23	3.65466011220781	0.895	0.149	1.08353629267459e-18
alkal2b	9.37514841761233e-23	0.980419200288276	0.526	0.044	1.36220906507907e-18
tfap2e	1.13690411073301e-22	1.56695124561906	0.789	0.098	1.65192167289506e-18
slc45a2	1.37064010780437e-22	2.34992417762017	1	0.18	1.99154007663975e-18
pik3c3	2.67621673497358e-22	1.15244902792831	0.684	0.077	3.88854291591662e-18
mtbl	2.81950215594518e-22	2.98565590586986	1	0.2	4.09673663258835e-18
gramd2aa	4.28856546731677e-22	1.79321989941248	0.737	0.097	6.23128562401127e-18
mitfa	7.28676500133416e-22	1.77351432084078	0.684	0.081	1.05876695469385e-17
s100w	9.57608287363724e-22	1.4065174947112	0.579	0.057	1.39140484153949e-17
s100a10b	9.66830509702037e-22	3.59835376629743	1	0.227	1.40480473059706e-17
ak1	9.7210267278307e-22	1.94566210991427	0.842	0.13	1.4124651835538e-17
cenps	1.56327407560799e-21	1.36840926256268	0.632	0.073	2.27143723185841e-17
fuom	2.01546829076319e-21	1.16587326418301	0.474	0.04	2.92847542647892e-17
hs1bp3	4.57834735594328e-21	1.08025720768029	0.421	0.032	6.65233870818559e-17
dhrs9	5.06831266007164e-21	1.02122673151586	0.421	0.032	7.36425829508409e-17
agtrap	6.87376501527336e-21	1.2773410970827	0.684	0.082	9.98758056719219e-17
slc3a2a	1.39790046770703e-20	1.65032466950742	0.895	0.141	2.03114937957831e-16
spock3	3.45062822970706e-20	2.43101594360404	0.895	0.168	5.01376281776436e-16
rhag	6.66900887349035e-20	1.84449719072696	0.842	0.132	9.69006989318148e-16
smc2	8.72745473660027e-20	1.23124240490393	0.737	0.101	1.26809917322802e-15
bves	1.01402110303623e-19	0.67605698713689	0.368	0.026	1.47337266271164e-15
dct	1.11118621411958e-19	2.81288944445638	1	0.228	1.61455356911575e-15
dtymk	1.39009244822431e-19	1.33947358272487	0.632	0.08	2.01980432726992e-15
cdk15	1.81180024032431e-19	1.23085328025566	0.526	0.054	2.63254574919122e-15
atp6v0a2b	2.42331467030709e-19	1.29018437885678	0.579	0.066	3.5210762159562e-15
tm7sf3	3.5559186255275e-19	1.06605201794571	0.526	0.055	5.16674976289145e-15
abca4a	5.2322097192123e-19	0.322106809645451	0.158	0.005	7.60240072201547e-15
ppp1r13ba	1.96372811125756e-18	0.860374384528235	0.316	0.021	2.85329694565724e-14
pcdh10a	2.0259341895648e-18	1.30409056635411	0.737	0.109	2.94368237743765e-14
si:dkey-204f11.64	4.25595957176969e-18	1.89201178933787	1	0.215	6.18390925778135e-14
