gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
tnxba	2.37988097942436e-261	3.67674970467358	1	0.009	3.4579670631036e-257
arsia	8.48154121594877e-190	1.20035756250663	0.625	0.005	1.23236793867736e-185
prss35	6.8408274425556e-116	4.59646040322262	1	0.027	9.93972227403329e-112
si:ch211-120e1.7	1.71844365606972e-80	0.83296635478337	0.5	0.009	2.49689863226931e-76
mkxa	1.19567008278185e-76	1.64100294796973	0.812	0.026	1.73730863028202e-72
zgc:92162	1.46280445460271e-69	0.39575620413423	0.188	0.001	2.12545487253774e-65
otos	3.67954396828492e-63	3.43721952442939	0.562	0.015	5.34637738591798e-59
ucmab	5.612071486964e-63	2.35330059899644	0.875	0.038	8.1543398705587e-59
epyc	6.34272129984238e-54	3.4960920324794	1	0.066	9.21597404867098e-50
tnfrsf11a	2.7419689752613e-53	1.20339325607921	0.688	0.027	3.98408092105466e-49
pcolce2b	5.20768087346173e-53	2.06984355547582	0.812	0.04	7.56676030913989e-49
nucb2b	1.42687247769831e-50	1.13500609530933	0.688	0.029	2.07324571009564e-46
cgref1	1.58260643240143e-50	1.48190174083109	0.75	0.036	2.29952714627928e-46
thbs1b	2.71307062354768e-50	2.70162026382365	1	0.07	3.94209161601478e-46
matn1	1.68811720520542e-49	6.82810305224442	1	0.075	2.45283429916348e-45
otc	7.09504981772255e-49	0.494833437136834	0.188	0.002	1.03091073851509e-44
omgb	2.24430321668517e-44	0.270066509675941	0.188	0.002	3.26097257384356e-40
foxa3	1.52036966130933e-42	2.3045073824552	0.812	0.052	2.20909711788246e-38
itih1	1.62755969091665e-41	2.47473425135104	0.875	0.06	2.36484423090189e-37
snorc	2.25175215971794e-41	3.44834220732299	1	0.083	3.27179588807017e-37
micu3a	1.78029069130593e-40	0.672666919063535	0.375	0.01	2.58676237446751e-36
ptgs2b	3.42161507736748e-39	2.12905531955826	0.5	0.02	4.97160670741495e-35
anxa6	5.0172504540096e-39	0.863392363858031	0.438	0.015	7.29006490967595e-35
col15a1b	7.34622277450671e-38	1.40721409559952	0.75	0.047	1.06740616913582e-33
col11a2	8.32941624465261e-38	3.95473551513169	1	0.103	1.21026418034802e-33
mia	1.10556350345743e-36	2.64030509995628	0.938	0.077	1.60638377052365e-32
stc2a	1.44243483835233e-36	2.00230737904592	0.625	0.034	2.09585782012594e-32
gale	1.52073214516846e-36	2.10663398229375	1	0.095	2.20962380692977e-32
srpx	1.91373669781606e-36	2.57500319741264	1	0.099	2.78065942192674e-32
tent5bb	1.02248597991359e-35	1.23608599274253	0.625	0.034	1.48567212881445e-31
si:ch211-247j9.1	8.96662666260472e-33	0.409666119583068	0.188	0.003	1.30285085407647e-28
slc17a9b	2.2752766770288e-32	1.43968575391883	0.875	0.076	3.30597701172285e-28
loxl3b	5.52830773372012e-32	1.44104236240822	0.812	0.065	8.03263113709534e-28
fgfr3	1.77898989680431e-31	2.44857072265784	1	0.12	2.58487232005667e-27
matn4	1.88727223087929e-31	3.72121177992549	1	0.125	2.7422065514676e-27
slc10a7	2.53713033055181e-30	1.30953614514916	0.75	0.06	3.68645037029178e-26
pcolceb	3.30131119177993e-30	2.13285220596872	0.625	0.041	4.79680516165624e-26
rcn3	6.38479381815617e-29	1.68084685575974	0.938	0.1	9.27710541778091e-25
slc16a1b	1.25310822716078e-28	0.819964277100663	0.562	0.035	1.82076625406461e-24
nbas	5.4662895261308e-28	0.718771882692576	0.438	0.021	7.94251868146806e-24
col9a2	1.6868578051971e-27	4.19351979341703	1	0.149	2.45100439095138e-23
il16	1.02303906586463e-26	1.08107733633893	0.625	0.046	1.4864757627013e-22
col11a1a	1.35596398726338e-25	4.28494453586273	1	0.169	1.97021567349369e-21
tp53i11b	1.61042645305671e-25	0.923400383667012	0.625	0.047	2.3399496362914e-21
limch1b	1.70734860759885e-25	0.570131789968945	0.438	0.023	2.48077752684113e-21
eva1bb	3.52091604016795e-25	1.1714320188163	0.688	0.059	5.11589100636404e-21
hapln1b	3.92076569124074e-25	2.00413006809079	0.938	0.11	5.6968725493728e-21
ecrg4a	6.06672812614893e-25	2.79531602660367	1	0.145	8.8149559672944e-21
