gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
cyp3a65	0	0.865959286747082	0.556	0	0
cldn15la	0	4.44437682647568	1	0.002	0
zgc:77748	0	3.31290912155847	1	0.002	0
zgc:153968	0	2.07295143407999	0.778	0.001	0
apoa1a	0	1.41533810568281	0.556	0.001	0
zgc:158846	0	4.07586662979373	1	0.002	0
cldn15a	0	2.11822210263461	0.667	0.001	0
zgc:172079.2	0	2.88796211012551	0.778	0.002	0
anxa2b	0	3.6217156587922	1	0.002	0
calml4a	0	2.06533776577394	0.889	0.001	0
si:ch211-133l5.7	0	1.84054309991328	0.556	0.001	0
wu:fb59d01	0	3.13538466499848	1	0.002	0
plac8.1	0	5.10980583350952	1	0.001	0
stoml3b	0	3.08544817225426	1	0.003	0
chia.2	0	2.05564404470514	0.667	0.001	0
ace2	0	1.61113495455244	0.667	0.001	0
aqp8a.2	0	3.32357010228619	0.889	0.002	0
si:ch211-117n7.7	0	1.09269335463533	0.556	0	0
cyp2y3	0	1.47647692849328	0.667	0.001	0
si:dkey-36i7.3	0	4.69828878958821	1	0.003	0
ezra	0	1.80442956426817	0.778	0.001	0
sult3st3.1	0	2.61265586400968	0.889	0.001	0
tm4sf4	0	3.82369644562826	1	0.003	0
bin2a	0	2.5493727276392	0.889	0.001	0
msrb2	0	1.71082599842469	0.889	0.002	0
si:dkeyp-73b11.8	0	4.98689740444342	1	0.004	0
ca4b	8.07212438636909e-305	2.00468336580221	0.444	0	1.17287967333943e-300
hnf4g	9.64484727976669e-305	0.655444261347825	0.444	0	1.4013963097501e-300
pdx1	1.37683149452434e-304	0.780569769551948	0.444	0	2.00053616154387e-300
ugt5b3	2.65159493205938e-297	0.881555993894078	0.556	0.001	3.85276743628228e-293
si:dkey-33i11.9	1.49321537161001e-290	2.16830980139055	0.889	0.003	2.16964193494935e-286
faah2b	6.27950029628343e-286	1.44574309463316	0.333	0	9.12411393049983e-282
si:ch211-137i24.10	1.84179273901866e-277	3.24164061694637	0.889	0.004	2.67612484979412e-273
IZUMO1R	2.31645242242157e-264	1.11707414733053	0.556	0.001	3.36580536977854e-260
vil1	5.78102026130633e-264	2.20721125446369	0.667	0.002	8.39982243967809e-260
s100a10a	2.40255770541996e-259	5.50983616146227	1	0.005	3.4909163459752e-255
pdzk1	7.90549109869804e-254	1.07022295502974	0.444	0.001	1.14866785664083e-249
mogat2	7.90549109869804e-254	0.61876867579582	0.444	0.001	1.14866785664083e-249
spink4	6.24439804928369e-245	1.50139882707259	0.667	0.002	9.0731103656092e-241
cox8b	8.08446849557406e-243	2.97175273434597	1	0.006	1.17467327240691e-238
tspan13a	2.15655078176851e-238	1.86435494393923	0.556	0.001	3.13346828590965e-234
rbp2a	3.83943932389082e-236	5.34259922067436	1	0.006	5.57870533761336e-232
gstp2	3.60665587133168e-229	4.0310587021774	0.667	0.002	5.24047098104493e-225
krt97	5.83716534366293e-219	4.08117608646064	0.889	0.005	8.48140124434224e-215
cldnc	4.49762887465405e-218	3.28139282877094	0.889	0.005	6.53505475487233e-214
clic5b	7.6500069133514e-218	0.882406662568612	0.444	0.001	1.11154600450996e-213
pla2g12b	1.11995083020021e-217	1.55023956414551	0.444	0.001	1.62728855628091e-213
apoc2	8.35682462142185e-217	4.67215077973472	1	0.007	1.2142466174926e-212
srd5a2a	1.05285179716553e-216	1.91590731108135	0.556	0.002	1.52979366128152e-212
pbld	3.91840015316741e-216	0.86961686411363	0.556	0.002	5.69343542255225e-212
cdh17	9.60252182037762e-215	1.04174135730521	0.333	0	1.39524642050087e-210
creb3l3a	1.34051877305461e-214	0.449391178369869	0.333	0	1.94777377724835e-210
cldn15lb	2.97763341728226e-214	1.50381682990222	0.667	0.003	4.32650135531112e-210
cx32.3	8.41682731870519e-191	1.44785852277198	0.444	0.001	1.22296500940786e-186
apobb.1	2.04790033623027e-190	0.801123844911371	0.444	0.001	2.97559918854258e-186
apoa4b.1	2.74630702365818e-186	4.30338982435702	1	0.008	3.99038410537534e-182
ugt1a7	1.1086384397043e-185	3.27721440638641	1	0.008	1.61085165289035e-181
si:ch211-201h21.5	9.43638962576198e-181	1.3384307811864	0.667	0.003	1.37110741262322e-176
muc13b	3.87349177423692e-172	1.12316089367973	0.333	0.001	5.62818354796624e-168
cyp3c3	1.35560880985591e-169	1.12124047667887	0.444	0.001	1.96969960072064e-165
fbp1b	1.70766525677764e-164	2.16763344873479	1	0.01	2.48123761809791e-160
si:ch211-71m22.1	3.23147148661319e-157	2.39893639875634	0.889	0.008	4.69532807004896e-153
tmem45b	1.96356825670989e-152	0.772808982404351	0.444	0.002	2.85306467699947e-148
