gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
phox2a	7.10946268085088e-271	3.77763706580552	0.921	0.099	1.03300492752763e-266
chrna5	2.18269941741066e-209	2.26643627177849	0.619	0.044	3.17146225349769e-205
syt1a	3.93211285096802e-204	1.52266025558566	0.53	0.029	5.71335997245653e-200
elavl4	1.59640192153691e-188	2.51721850786686	0.881	0.125	2.31957199199313e-184
hmx2	6.06179930366155e-175	2.18907318334754	0.46	0.027	8.80779438822024e-171
hmx3a	5.0485097546067e-161	2.11379488571986	0.535	0.045	7.33548467344354e-157
maptb	2.66260670639245e-158	1.96263589698983	0.728	0.096	3.86876754438822e-154
rnasekb	1.20437522754211e-157	2.05353730822521	0.851	0.148	1.74995720561869e-153
elavl3	6.03106881071253e-157	2.05071825814513	0.931	0.157	8.76314298196531e-153
chrnb4	8.37573658479962e-152	1.07108340855368	0.371	0.018	1.21699452577138e-147
gap43	5.42715772139919e-149	2.46470603932882	0.856	0.16	7.88566016919303e-145
slc35g2a	1.19069567240536e-143	1.56403674808838	0.475	0.038	1.73008081200499e-139
slc18a3a	3.75034841369645e-143	1.12392952258856	0.213	0.002	5.44925624510094e-139
scg3	7.02060396939073e-143	1.573802167165	0.614	0.072	1.02009375675247e-138
cplx2	1.65047734625653e-141	1.56945420563223	0.574	0.062	2.39814358411073e-137
dgkaa	7.54018588461477e-140	1.32460447590655	0.416	0.028	1.09558900903453e-135
phox2bb	1.81533337721346e-136	1.89820010458636	0.921	0.19	2.63767939709116e-132
chrna3	9.3442645233528e-134	1.19664959497932	0.302	0.012	1.35772163524316e-129
vamp2	3.0011623429472e-129	1.53882959753242	0.639	0.085	4.36068888430228e-125
plcxd3	4.29337520523555e-124	1.39833375569231	0.371	0.025	6.23827417320725e-120
slc29a4	3.13790847090732e-123	0.89101438263953	0.302	0.015	4.55938100822834e-119
scg5.1	3.34289077112109e-121	1.19604061946535	0.436	0.039	4.85722029043895e-117
vgf	9.00368129394848e-121	1.93638145133174	0.386	0.029	1.30823489201071e-116
jagn1a	1.30051489047753e-116	1.22416275056565	0.564	0.072	1.88964813586386e-112
scg2b	5.45403513418639e-114	1.81247484857515	0.416	0.038	7.92471304997282e-110
tuba2	1.85339526248906e-109	1.51568224641054	0.584	0.084	2.69298331639661e-105
etv1	7.10687341407116e-108	1.5494109086452	0.371	0.031	1.03262870706454e-103
atp6v0cb	6.67228068783887e-106	2.0565756452799	0.807	0.212	9.69482383942988e-102
hoxb5b	7.60289343842893e-103	2.15151829671201	0.837	0.224	1.10470041660372e-98
celf4	6.17552976749103e-102	1.14568587020624	0.49	0.063	8.97304475216446e-98
insm1b	4.99073534888738e-99	1.68423646715522	0.505	0.069	7.25153846193336e-95
olfm1b	1.88734454192084e-98	1.53611239364083	0.49	0.064	2.74231161941098e-94
rtn1a	3.89204329994642e-97	1.7145473426551	0.931	0.288	5.65513891482214e-93
ddc	1.29942601039353e-96	1.61205501931248	0.203	0.007	1.8880659931018e-92
stmn2a	1.72815490993227e-96	2.05934184520881	0.579	0.097	2.51100908413159e-92
gng3	6.59424329041943e-93	1.88017947309862	0.649	0.126	9.58143550097944e-89
atpv0e2	2.78253957987357e-92	1.58150608943071	0.624	0.124	4.04303000955629e-88
necap1	3.73220534671678e-92	1.14196147293804	0.475	0.064	5.42289436877948e-88
myt1b	1.07300955872413e-91	1.16894342487369	0.579	0.095	1.55908288882616e-87
syn2a	7.5488732698224e-91	0.972353618491942	0.356	0.034	1.09685128610519e-86
stmn1b	3.57308659242212e-89	1.95765527597379	0.777	0.186	5.19169481878934e-85
zgc:65894	4.44257601757431e-89	1.87987660079779	0.574	0.104	6.45506295353547e-85
syt11a	5.0889630455001e-89	1.20436594501934	0.515	0.078	7.39426330511164e-85
pcsk1nl	2.21528617156849e-88	1.33433690587571	0.446	0.059	3.21881080728901e-84
s100z	8.05906229074189e-86	1.15619731576395	0.163	0.005	1.1709817508448e-81
stmn4l	1.3989838206665e-83	2.26203920804518	0.48	0.077	2.03272349142842e-79
tlx2	2.6729413944781e-83	1.55569520520967	0.624	0.125	3.88378384617668e-79
gng2	1.09184103136647e-82	1.69804807232368	0.767	0.216	1.58644501857547e-78
