gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
hpgd	6.51037837810583e-77	1.61127743984895	0.45	0.068	9.45957978338777e-73
ogna	7.8938833527258e-76	2.208070197792	0.387	0.05	1.14698125115106e-71
col1a2	1.47062936085739e-74	2.25892492893503	0.832	0.27	2.13682446132579e-70
ecrg4a	8.27459826124583e-72	1.75023925168646	0.586	0.126	1.20229912735902e-67
hey1	1.47345042073216e-71	2.50541401508	0.602	0.15	2.14092346132383e-67
matn4	1.55023837448902e-63	2.05995581371051	0.508	0.109	2.25249635813254e-59
mxra8b	3.13908200185076e-55	1.11853696475085	0.534	0.123	4.56108614868916e-51
col1a1a	1.66041894644747e-54	1.24853818400841	0.764	0.277	2.41258872918818e-50
her6	1.98849759848926e-54	2.27561252519164	0.885	0.56	2.88928701060489e-50
fmoda	4.93781922643791e-53	1.47433343452819	0.639	0.204	7.17465133601429e-49
serpinh1b	2.05045889092755e-50	1.54383596839787	0.995	0.803	2.97931676851773e-46
klf2a	8.32326880903778e-50	1.40842073509736	0.398	0.078	1.20937095795319e-45
hsp70.3	1.09595440783843e-49	1.33926534778115	1	0.945	1.59242175458924e-45
net1	8.83162420678764e-49	1.62972106394493	0.791	0.386	1.28323499724624e-44
hsp90aa1.2	9.15563387109255e-48	1.3194271164073	0.984	0.947	1.33031360146975e-43
cdh11	4.44328216645649e-46	1.33404411401316	0.702	0.268	6.45608898786128e-42
boc	4.62287221868338e-46	1.2671696277255	0.707	0.295	6.71703333374696e-42
jdp2b	8.39993845112482e-46	1.72300502433311	0.932	0.573	1.22051105694844e-41
si:ch73-335l21.4	8.51923703698737e-46	1.90301478416664	0.942	0.685	1.23784514147426e-41
mfap2	1.08913393877537e-45	1.08080450670519	0.942	0.488	1.58251161304061e-41
col5a1	1.36062753254134e-45	1.20686159562678	0.649	0.234	1.97699180478257e-41
fosab	1.49551018865055e-45	1.66598285741711	0.984	0.85	2.17297630410925e-41
socs3b	1.4004602495234e-44	1.39826474159679	0.963	0.646	2.0348687425575e-40
junba	1.534695274032e-43	1.46332333147003	0.963	0.77	2.2299122331685e-39
col1a1b	1.08404133709364e-41	1.65293431168232	0.513	0.149	1.57511206279706e-37
dnajb1b	9.22988263933829e-38	1.21352728976278	0.974	0.702	1.34110194749585e-33
zgc:162730	2.87912884244221e-37	1.48497979220997	0.958	0.679	4.18337420806853e-33
f3b	1.67367590601335e-35	2.27718128920725	0.66	0.319	2.4318510914374e-31
