gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
apodb	2.77075945976633e-203	1.57838847761566	0.522	0.014	4.02591349504047e-199
apoda.1	9.32871765869883e-202	1.95233107075547	0.744	0.035	1.35546267580894e-197
tfa	5.6062120199561e-189	3.77323465407364	0.644	0.028	8.14582606499621e-185
and2	8.341417210736e-187	1.49361042104981	0.856	0.057	1.21200792071994e-182
CABZ01074130.1	1.53960157090179e-175	1.19831294081635	0.867	0.065	2.23704108252029e-171
apoa1b	4.9405401087335e-171	3.98305227387712	0.778	0.053	7.17860477798978e-167
defbl1	3.24849368797824e-166	2.18694832232518	0.956	0.092	4.72006132863238e-162
serpina1l	3.56905229326905e-147	1.61419335247357	0.344	0.008	5.18583298211993e-143
mbpa	5.06232583695287e-146	0.678451975549658	0.544	0.025	7.35555944109252e-142
ckmb	1.63633193081344e-129	1.96659042851082	0.678	0.053	2.37759029547193e-125
uox	1.62242737861959e-125	1.31202007203027	0.256	0.004	2.35738698113426e-121
apoa2	2.19993182194997e-124	3.79439767871715	0.7	0.062	3.1965009372933e-120
si:dkey-197i20.6	1.22312198143446e-120	1.36908229083832	0.5	0.027	1.77719623902428e-116
tpma	9.19898254362888e-114	1.97175234800403	0.756	0.082	1.33661216358928e-109
atp2a1	1.26261636522892e-110	1.57292107559456	0.489	0.029	1.83458157867762e-106
mylpfa	1.01582014019536e-105	2.33824989569489	0.878	0.134	1.47598666370386e-101
mylz3	8.83620414695195e-104	1.92992890118887	0.822	0.113	1.28390046255212e-99
im:7150988	1.23084204453586e-99	0.576917620634071	0.5	0.034	1.7884134907106e-95
fgg	2.22504733093614e-99	0.927215882051901	0.189	0.003	3.23299377185022e-95
myl1	1.23207124610522e-97	1.55288268614452	0.656	0.069	1.79019952059089e-93
serpina1	1.03912575031018e-95	0.975850590594528	0.189	0.003	1.50984971520069e-91
and1	9.21490188996418e-92	0.833875083368992	0.378	0.02	1.3389252446118e-87
fabp10a	1.13569775537479e-91	1.85941448513822	0.311	0.013	1.65016883855958e-87
serpinc1	1.9442074884236e-91	0.638489037236771	0.156	0.002	2.82493348067949e-87
col10a1a	2.17130127825639e-91	0.684216062757123	0.411	0.025	3.15490075730654e-87
lypc	2.17336050678109e-91	0.949939196557855	0.3	0.011	3.15789281635292e-87
ckma	3.40916265883833e-91	1.81879671850297	0.722	0.095	4.95351334329209e-87
tnnt3b	1.95422705889516e-90	1.6445253881334	0.611	0.064	2.83949191657467e-86
si:dkey-33i11.4	1.20126211677093e-88	1.20548135134439	0.411	0.026	1.74543385566816e-84
agxta	7.34078052385221e-88	0.578336394382326	0.122	0.001	1.06661541011573e-83
cd59	3.51177403240705e-84	0.515850532791084	0.422	0.028	5.10260766908744e-80
aqp3a	9.24159594438371e-81	1.23694583496569	0.722	0.095	1.34280389071895e-76
rbp2b	2.72760291845506e-80	1.1242050949326	0.211	0.006	3.96320704051519e-76
gc	2.12153062309681e-79	0.63724886098431	0.133	0.001	3.08258399535966e-75
fgb	3.51337956216035e-79	0.935903544991639	0.156	0.002	5.104940503819e-75
apom	8.85294372950458e-79	0.905567909435462	0.178	0.004	1.28633272389702e-74
zgc:91968	1.25894845199508e-78	0.742869230131158	0.922	0.15	1.82925210074885e-74
pvalb2	1.27450609153676e-76	1.53402638764095	0.922	0.226	1.85185735100291e-72
actc1b	1.55785323279218e-76	2.35359082484215	0.978	0.307	2.26356074724704e-72
hpdb	1.48780166051528e-75	0.513126298282435	0.389	0.027	2.1617758127287e-71
leg1.1	7.43638730551753e-75	0.922076522388561	0.133	0.002	1.0805070754917e-70
tnnc2	8.32542951192304e-75	0.896199896351023	0.378	0.026	1.20968490808242e-70
abhd6a	7.86813773154777e-74	0.963702029588902	0.733	0.104	1.14324041239389e-69
pnp4a	1.22437012893087e-73	1.57747340189563	0.633	0.081	1.77900979733655e-69
ces2	1.54812710313509e-72	0.563490391368571	0.111	0.001	2.24942868085529e-68
agt	1.77482347662637e-72	0.479497714047847	0.111	0.001	2.57881851153811e-68
uraha	4.25745823374873e-72	1.0517386682813	0.5	0.049	6.1860868136369e-68
zgc:123103	6.3868139247598e-71	0.580659892558019	0.122	0.001	9.28004063267599e-67
dct	6.85703152648402e-70	1.21817679947963	0.967	0.215	9.96326680798128e-66
vipb	6.93532838888571e-69	0.453819229743293	0.778	0.142	1.00770321490509e-64
slc45a2	1.39507374678869e-68	0.837028547022757	0.9	0.167	2.02704215408397e-64
CABZ01021592.1	6.0085381947608e-68	1.31969781377011	0.989	0.378	8.73040599698743e-64
her4.1	1.17502049081948e-67	1.32774406897264	0.556	0.065	1.70730477316071e-63
pvalb4	8.2075835136336e-66	1.61596782910666	0.622	0.095	1.19256188453096e-61
mt2	9.27489304519369e-66	0.801662788757875	0.8	0.137	1.34764195946664e-61
gch2	1.24346809081549e-65	1.44956211414303	0.978	0.255	1.8067591359549e-61
cldnk	7.39444616064316e-65	0.671529555375029	0.322	0.021	1.07441302714145e-60
tnni2a.1	4.86876268434534e-64	0.757724831458081	0.244	0.012	7.07431218035378e-60
ambp	1.02103225383406e-63	0.707653263075672	0.133	0.002	1.48355986482088e-59
tyrp1a	2.98275581237815e-63	0.80409900014461	0.733	0.107	4.33394419538545e-59
gapdh	3.73984238644224e-63	1.65516408773401	0.511	0.062	5.43399098750058e-59
serpinf2b	8.75188786383161e-63	0.802359683009279	0.122	0.002	1.27164930661473e-58
grhprb	1.02439062141377e-60	0.67491231000304	0.133	0.003	1.48843957291421e-56
tmem130	1.99285434871637e-60	0.707698351293874	0.289	0.018	2.89561736868489e-56
acta1b	7.78713859123893e-59	0.972728683290516	0.422	0.045	1.13147123730702e-54
s100a10b	4.98958992976847e-58	0.464580306123661	0.922	0.215	7.24987416795359e-54
pmela	5.71567104262537e-57	1.32710291099663	1	0.335	8.30487002493467e-53
mtbl	4.4560610173024e-56	0.570850781340387	0.878	0.188	6.47465665814039e-52
si:ch73-281k2.5	2.19926068540655e-55	0.56439086717696	0.133	0.003	3.19552577589572e-51
ifitm5	7.15662641601589e-55	0.950730882026587	0.189	0.008	1.03985781824711e-50
apoa4b.1	1.03208439908108e-54	0.809916096713458	0.178	0.007	1.49961863186481e-50
si:ch211-243a20.3	1.85140914272398e-53	1.10543669711171	0.522	0.07	2.69009748437794e-49
mbpb	2.11108500576226e-53	0.542032788004005	0.644	0.123	3.06740651337257e-49
myl10	3.9937468921076e-53	0.955518014732705	0.4	0.044	5.80291423423234e-49
slc22a7a	4.64468663495475e-53	1.02818914640069	0.644	0.104	6.74872968058925e-49
tnni2b.1	7.05629390088058e-53	1.02344202207698	0.3	0.024	1.02527950379795e-48
si:ch211-251b21.1	1.75124762091782e-51	0.60848794641235	0.678	0.12	2.5445627931936e-47
pvalb1	2.84645779853816e-51	1.09925793844695	0.711	0.167	4.13590318127594e-47
tspan36	8.05535215371258e-51	0.979788476900661	0.844	0.2	1.17044266793444e-46
myhz2	1.14401947621187e-50	0.570791327232352	0.167	0.007	1.66226029893585e-46
tyrp1b	1.41999526026031e-50	1.49392861573276	1	0.41	2.06325311315824e-46
aldoab	2.01473677250417e-49	1.0053476051495	0.311	0.028	2.92741253044855e-45
pvalb7	2.44565712426646e-49	0.574417121107561	0.167	0.007	3.55353980155916e-45
aqp12	5.8394877671462e-49	0.500114507060132	0.111	0.002	8.48477572566343e-45
fbp1b	1.19224678808669e-48	0.732583022518425	0.178	0.008	1.73233458308996e-44
bscl2l	2.19695653719847e-48	0.569296465435545	0.256	0.018	3.19217784854938e-44
her4.2	7.91091691017634e-48	0.929446029782277	0.489	0.069	1.14945622704862e-43
tnnt3a	1.49828158606151e-47	0.728907778794311	0.333	0.033	2.17700314454737e-43
kng1	2.02235246865077e-47	0.426378317127919	0.1	0.002	2.93847813694957e-43
hao1	2.1784281227619e-47	0.498892271423608	0.1	0.002	3.16525606237304e-43
tnnc1b	6.74623424841468e-47	0.929888239066678	0.289	0.025	9.80227836294653e-43
enam	2.55816705044199e-45	0.374719110566769	0.156	0.007	3.71701672429221e-41
gstp1	8.33842314241702e-45	1.45777290104718	0.989	0.508	1.21157288259319e-40
zgc:112265	1.64380776940697e-44	0.826719368647354	0.1	0.002	2.38845268894833e-40
tnni2a.4	1.80560436693535e-44	1.17188979109781	0.456	0.071	2.62354314515706e-40
si:ch73-367p23.2	1.865951454406e-44	0.577611429150121	0.189	0.01	2.71122746325191e-40
pygl	3.3859773934796e-44	0.606237639674228	0.111	0.003	4.91982515272587e-40
