gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
cldnc	3.71789691491411e-35	3.2899998569779	0.889	0.023	7.43579382982821e-32
s100v1	2.49755188572164e-21	2.11860850422486	0.556	0.028	4.99510377144327e-18
krt92	2.84657177549585e-14	3.69138422517863	1	0.156	5.69314355099169e-11
ociad2	3.64308983683088e-09	3.57950211332227	1	0.303	7.28617967366176e-06
hsd11b1la	4.41484814582003e-09	1.2338921807015	0.667	0.106	8.82969629164006e-06
fabp2	5.55634557990894e-09	6.61846841139585	1	0.391	1.11126911598179e-05
lgals2b	7.93267670221998e-09	5.62082090436344	1	0.409	1.586535340444e-05
pycard	1.08200513595141e-08	1.58702720010351	0.778	0.169	2.16401027190282e-05
ndufa4	1.21193176826908e-08	3.07678316561899	1	0.274	2.42386353653815e-05
ap1m2	2.12745025660541e-08	0.90918248558464	0.556	0.081	4.25490051321082e-05
cox6b1	2.15847061158056e-08	3.82870486051502	1	0.239	4.31694122316112e-05
gsta.1	3.27995664896302e-08	5.32051761423096	1	0.388	6.55991329792604e-05
tmsb1	4.09945311314761e-08	3.63442294828474	1	0.438	8.19890622629522e-05
cox17	7.61105134064989e-08	2.34264290649998	1	0.425	0.000152221026812998
dap	1.29682601331738e-07	3.06515942791439	1	0.523	0.000259365202663476
txn	1.55271181953435e-07	2.65652120276518	1	0.512	0.00031054236390687
chchd10	3.30278215604199e-07	1.98659338526835	1	0.292	0.000660556431208398
si:dkey-102m7.3	3.4645726997988e-07	1.89080010729338	1	0.297	0.00069291453995976
anks4b	3.47295693527031e-07	1.66342672519111	0.667	0.085	0.000694591387054062
atp5if1b	3.92543034512475e-07	3.17546264342522	1	0.518	0.00078508606902495
atp5mc1	4.06027965771705e-07	2.66502258412562	1	0.72	0.000812055931543409
nupr1b	4.95801549929467e-07	2.07402529300796	1	0.553	0.000991603099858935
gstp1	5.06706386288742e-07	3.2188985227821	1	0.756	0.00101341277257748
zgc:112146	5.31703385386963e-07	1.86698683170503	0.556	0.048	0.00106340677077393
snu13b	5.74623172268606e-07	1.84854676687051	1	0.532	0.00114924634453721
nipsnap3a	6.73775381927203e-07	1.58161252905681	0.778	0.136	0.00134755076385441
phlda2	7.88646341382509e-07	2.93623786289412	1	0.55	0.00157729268276502
chmp4c	8.19387020861147e-07	0.626389806221706	0.333	0.028	0.00163877404172229
cd36	1.1601575735588e-06	1.47067079288761	0.556	0.075	0.0023203151471176
prdx1	1.3729523876763e-06	2.13653882763305	1	0.495	0.00274590477535259
epcam	1.98091780149635e-06	2.95795796094225	0.889	0.268	0.00396183560299269
cbr1l	1.99958571104695e-06	3.13341828282201	0.889	0.329	0.00399917142209389
si:ch1073-443f11.2	2.01266738506056e-06	1.14195463479877	0.444	0.068	0.00402533477012112
scp2a	2.48415749129539e-06	2.22746061933206	0.889	0.315	0.00496831498259077
gcshb	2.53756608431589e-06	2.99848129329207	0.778	0.243	0.00507513216863177
gapdh	2.87841832956628e-06	3.16705708755494	0.889	0.446	0.00575683665913255
gstm.3	2.9667545757429e-06	2.08815200198359	0.778	0.206	0.0059335091514858
cldnb	2.97836918204473e-06	3.44486765403454	0.889	0.324	0.00595673836408946
sod2	3.95110462580973e-06	2.09013459335343	0.889	0.382	0.00790220925161946
rac2	5.12048240444439e-06	1.35103264105047	0.778	0.245	0.0102409648088888
ckmt1	6.40377002909078e-06	2.75417535590815	0.778	0.262	0.0128075400581816
gpx4a	8.85954905457163e-06	3.33106373917554	0.889	0.575	0.0177190981091433
gstt1a	9.36249851803073e-06	1.51281284749989	1	0.443	0.0187249970360615
gsto2	1.1975710320715e-05	2.23583205781469	0.889	0.401	0.0239514206414301
sult2st2	1.26212466763413e-05	2.11253686652763	0.667	0.132	0.0252424933526826
zgc:193711	1.3878103867611e-05	1.3005528566846	0.556	0.119	0.0277562077352219
gnpda1	1.42031205868686e-05	1.91908080491332	0.778	0.214	0.0284062411737371
tmsb4x	1.60213543100745e-05	1.08388346113351	1	0.99	0.0320427086201489
suclg1	1.70573657348838e-05	1.70864695047657	0.889	0.519	0.0341147314697676
cox4i1l	1.83162172624184e-05	1.13197998925191	0.556	0.072	0.0366324345248368
ponzr1	2.49427673106951e-05	1.66490975450114	0.778	0.322	0.0498855346213902
